state,district,year,bajra_summer_yield_tonne_per_hectare
,Parvathipuram manyam,2022 - 2023,
,Prakasam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Spsr nellore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sri sathya sai,2022 - 2023,
,Srikakulam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirupati,2022 - 2023,
,Visakhapatanam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vizianagaram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West godavari,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
Bihar,Araria,2000 - 2001,
,Aurangabad,2005 - 2006,
,Banka,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,Begusarai,2016 - 2017,
,Bhagalpur,2000 - 2001,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhojpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Buxar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Darbhanga,2002 - 2003,
,Gaya,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,Gopalganj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,Jehanabad,2002 - 2003,
,,2003 - 2004,
,Kaimur (bhabua),2000 - 2001,
,,2001 - 2002,
,,2005 - 2006,
,Katihar,2018 - 2019,
,Khagaria,2006 - 2007,
,Madhepura,2002 - 2003,
,,2014 - 2015,
,Madhubani,2000 - 2001,
,,2001 - 2002,
,Nawada,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2013 - 2014,
,Pashchim champaran,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Patna,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,Purbi champaran,2002 - 2003,
,,2011 - 2012,
,Rohtas,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2009 - 2010,
,,2010 - 2011,
,Saharsa,2007 - 2008,
,Samastipur,2009 - 2010,
,Saran,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,Sheohar,2001 - 2002,
,,2004 - 2005,
,Sitamarhi,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,Siwan,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vaishali,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
Chhattisgarh,Baloda bazar,2014 - 2015,
,,2021 - 2022,
,,2022 - 2023,
,Balrampur,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bastar,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bemetara,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Bijapur,2017 - 2018,
,Bilaspur,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Dantewada,2022 - 2023,
,Durg,2000 - 2001,
,,2001 - 2002,
,,2017 - 2018,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Gariyaband,2011 - 2012,
,,2012 - 2013,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gaurella-pendra-marwahi,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jashpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kabirdham,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2020 - 2021,
,Korba,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Korea,2019 - 2020,
,Mahasamund,2002 - 2003,
,,2016 - 2017,
,,2017 - 2018,
,,2022 - 2023,
,Manendragarh chirimiri bharatpur,2022 - 2023,
,Mungeli,2019 - 2020,
,Raigarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Raipur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2022 - 2023,
,Rajnandgaon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Surajpur,2020 - 2021,
,,2021 - 2022,
,Surguja,2001 - 2002,
,,2005 - 2006,
,,2007 - 2008,
,,2018 - 2019,
,,2021 - 2022,
,,2022 - 2023,
Daman and Diu,Diu,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
Delhi,Delhi_total,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
Gujarat,Ahmadabad,2000 - 2001,2.26
,,2001 - 2002,2.1
,,2002 - 2003,1.63
,,2003 - 2004,2.45
,,2004 - 2005,2.53
,,2005 - 2006,2.66
,,2006 - 2007,2.55
,,2007 - 2008,2.5
,,2008 - 2009,2.64
,,2009 - 2010,2.56
,,2010 - 2011,2.78
,,2011 - 2012,2.57
,,2012 - 2013,2.56
,,2013 - 2014,2.43
,,2014 - 2015,2.76
,,2015 - 2016,2.94
,,2016 - 2017,3.64
,,2017 - 2018,2.88
,,2018 - 2019,2.86
,,2019 - 2020,3.35
,,2020 - 2021,3.2
,,2021 - 2022,3.46
,,2022 - 2023,3.23
,Amreli,2000 - 2001,3.0
,,2001 - 2002,1.5
,,2002 - 2003,2.0
,,2003 - 2004,2.5
,,2004 - 2005,2.5
,,2005 - 2006,2.17
,,2006 - 2007,2.35
,,2007 - 2008,2.27
,,2008 - 2009,2.43
,,2009 - 2010,2.0
,,2010 - 2011,2.38
,,2011 - 2012,2.57
,,2012 - 2013,2.5
,,2013 - 2014,2.79
,,2014 - 2015,2.62
,,2015 - 2016,2.66
,,2016 - 2017,2.5
,,2017 - 2018,2.92
,,2018 - 2019,2.91
,,2019 - 2020,2.87
,,2020 - 2021,2.27
,,2021 - 2022,3.12
,,2022 - 2023,2.8
,Anand,2003 - 2004,2.35
,,2004 - 2005,2.22
,,2005 - 2006,2.3
,,2006 - 2007,2.49
,,2007 - 2008,2.75
,,2008 - 2009,2.62
,,2009 - 2010,2.62
,,2010 - 2011,2.79
,,2011 - 2012,2.77
,,2012 - 2013,2.76
,,2013 - 2014,3.12
,,2014 - 2015,2.98
,,2015 - 2016,3.13
,,2016 - 2017,3.11
,,2017 - 2018,3.11
,,2018 - 2019,3.29
,,2019 - 2020,3.17
,,2020 - 2021,2.82
,,2021 - 2022,3.47
,,2022 - 2023,3.28
,Aravalli,2014 - 2015,2.48
,,2015 - 2016,2.18
,,2016 - 2017,2.63
,,2017 - 2018,3.06
,,2018 - 2019,1.97
,,2019 - 2020,2.95
,,2020 - 2021,3.52
,,2021 - 2022,3.25
,,2022 - 2023,3.0
,Banas kantha,2000 - 2001,1.88
,,2001 - 2002,1.63
,,2002 - 2003,1.43
,,2003 - 2004,2.04
,,2004 - 2005,2.02
,,2005 - 2006,2.27
,,2006 - 2007,2.19
,,2007 - 2008,2.16
,,2008 - 2009,2.33
,,2009 - 2010,2.05
,,2010 - 2011,2.36
,,2011 - 2012,2.43
,,2012 - 2013,2.51
,,2013 - 2014,2.77
,,2014 - 2015,2.56
,,2015 - 2016,2.57
,,2016 - 2017,2.37
,,2017 - 2018,2.87
,,2018 - 2019,2.78
,,2019 - 2020,2.78
,,2020 - 2021,2.82
,,2021 - 2022,2.8
,,2022 - 2023,2.93
,Bharuch,2000 - 2001,2.0
,,2001 - 2002,1.83
,,2002 - 2003,1.63
,,2003 - 2004,3.0
,,2004 - 2005,2.5
,,2005 - 2006,2.25
,,2006 - 2007,2.33
,,2007 - 2008,2.2
,,2008 - 2009,2.67
,,2009 - 2010,2.25
,,2010 - 2011,2.47
,,2011 - 2012,2.52
,,2012 - 2013,2.4
,,2013 - 2014,2.79
,,2014 - 2015,1.83
,,2015 - 2016,1.97
,,2016 - 2017,0.94
,,2017 - 2018,1.88
,,2018 - 2019,2.91
,,2019 - 2020,2.87
,,2020 - 2021,2.78
,,2021 - 2022,2.91
,,2022 - 2023,2.97
,Bhavnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,2.42
,,2006 - 2007,2.35
,,2007 - 2008,2.35
,,2008 - 2009,2.46
,,2009 - 2010,2.29
,,2010 - 2011,2.46
,,2011 - 2012,2.53
,,2012 - 2013,2.83
,,2013 - 2014,2.79
,,2014 - 2015,3.02
,,2015 - 2016,2.76
,,2016 - 2017,2.63
,,2017 - 2018,3.25
,,2018 - 2019,2.92
,,2019 - 2020,3.16
,,2020 - 2021,2.71
,,2021 - 2022,2.63
,,2022 - 2023,2.71
,Botad,2014 - 2015,2.62
,,2015 - 2016,2.66
,,2016 - 2017,2.5
,,2017 - 2018,2.92
,,2018 - 2019,2.92
,,2019 - 2020,2.87
,,2020 - 2021,2.78
,,2021 - 2022,2.91
,,2022 - 2023,2.97
,Chhotaudepur,2014 - 2015,2.64
,,2016 - 2017,2.5
,,2017 - 2018,2.92
,,2019 - 2020,2.86
,,2020 - 2021,2.78
,,2021 - 2022,2.91
,,2022 - 2023,2.97
,Devbhumi dwarka,2014 - 2015,2.62
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.93
,,2018 - 2019,
,,2019 - 2020,2.87
,,2020 - 2021,2.78
,,2021 - 2022,2.91
,,2022 - 2023,2.97
,Dohad,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,2.0
,,2015 - 2016,2.63
,,2016 - 2017,2.47
,,2017 - 2018,3.0
,,2018 - 2019,2.9
,,2019 - 2020,2.87
,,2020 - 2021,2.78
,,2022 - 2023,2.98
,Gandhinagar,2000 - 2001,2.15
,,2001 - 2002,2.15
,,2002 - 2003,2.4
,,2003 - 2004,2.55
,,2004 - 2005,2.45
,,2005 - 2006,2.53
,,2006 - 2007,2.67
,,2007 - 2008,2.81
,,2008 - 2009,2.69
,,2009 - 2010,2.75
,,2010 - 2011,2.79
,,2011 - 2012,2.72
,,2012 - 2013,3.07
,,2013 - 2014,3.26
,,2014 - 2015,2.86
,,2015 - 2016,3.12
,,2016 - 2017,3.12
,,2017 - 2018,3.45
,,2018 - 2019,3.51
,,2019 - 2020,3.63
,,2020 - 2021,3.08
,,2021 - 2022,3.36
,,2022 - 2023,3.32
,Gir somnath,2014 - 2015,2.62
,,2015 - 2016,2.65
,,2016 - 2017,2.49
,,2017 - 2018,2.92
,,2018 - 2019,2.92
,,2019 - 2020,2.87
,,2020 - 2021,2.78
,,2021 - 2022,3.3
,,2022 - 2023,3.65
,Jamnagar,2000 - 2001,2.0
,,2001 - 2002,1.67
,,2002 - 2003,2.0
,,2003 - 2004,2.0
,,2004 - 2005,2.0
,,2005 - 2006,2.0
,,2006 - 2007,2.3
,,2007 - 2008,2.4
,,2008 - 2009,2.37
,,2009 - 2010,2.25
,,2010 - 2011,2.48
,,2011 - 2012,2.57
,,2012 - 2013,3.0
,,2013 - 2014,2.79
,,2014 - 2015,2.62
,,2015 - 2016,2.67
,,2016 - 2017,2.5
,,2017 - 2018,2.92
,,2018 - 2019,
,,2019 - 2020,2.87
,,2020 - 2021,2.78
,,2021 - 2022,2.91
,,2022 - 2023,2.97
,Junagadh,2000 - 2001,1.8
,,2001 - 2002,1.83
,,2002 - 2003,1.63
,,2003 - 2004,2.13
,,2004 - 2005,2.11
,,2005 - 2006,2.29
,,2006 - 2007,2.58
,,2007 - 2008,2.27
,,2008 - 2009,2.94
,,2009 - 2010,2.46
,,2010 - 2011,2.68
,,2011 - 2012,2.72
,,2012 - 2013,2.62
,,2013 - 2014,2.79
,,2014 - 2015,2.62
,,2015 - 2016,2.66
,,2016 - 2017,2.5
,,2017 - 2018,3.15
,,2018 - 2019,3.0
,,2019 - 2020,3.84
,,2020 - 2021,2.91
,,2021 - 2022,2.82
,,2022 - 2023,2.97
,Kachchh,2000 - 2001,1.9
,,2001 - 2002,1.76
,,2002 - 2003,1.65
,,2003 - 2004,2.06
,,2004 - 2005,2.25
,,2005 - 2006,2.3
,,2006 - 2007,2.33
,,2007 - 2008,2.35
,,2008 - 2009,2.43
,,2009 - 2010,2.28
,,2010 - 2011,2.45
,,2011 - 2012,2.54
,,2012 - 2013,2.73
,,2013 - 2014,2.79
,,2014 - 2015,2.26
,,2015 - 2016,2.18
,,2016 - 2017,2.22
,,2017 - 2018,2.92
,,2018 - 2019,1.48
,,2019 - 2020,2.23
,,2020 - 2021,2.37
,,2021 - 2022,2.43
,,2022 - 2023,1.95
,Kheda,2000 - 2001,1.87
,,2001 - 2002,2.01
,,2002 - 2003,1.85
,,2003 - 2004,1.99
,,2004 - 2005,2.0
,,2005 - 2006,2.16
,,2006 - 2007,2.49
,,2007 - 2008,2.43
,,2008 - 2009,2.47
,,2009 - 2010,2.28
,,2010 - 2011,2.4
,,2011 - 2012,2.55
,,2012 - 2013,2.53
,,2013 - 2014,2.62
,,2014 - 2015,2.62
,,2015 - 2016,2.71
,,2016 - 2017,2.59
,,2017 - 2018,2.77
,,2018 - 2019,3.46
,,2019 - 2020,2.84
,,2020 - 2021,2.56
,,2021 - 2022,2.99
,,2022 - 2023,3.01
,Mahesana,2000 - 2001,1.9
,,2001 - 2002,1.91
,,2002 - 2003,2.0
,,2003 - 2004,2.24
,,2004 - 2005,2.3
,,2005 - 2006,2.3
,,2006 - 2007,2.56
,,2007 - 2008,2.54
,,2008 - 2009,2.63
,,2009 - 2010,2.31
,,2010 - 2011,2.59
,,2011 - 2012,2.49
,,2012 - 2013,2.78
,,2013 - 2014,2.66
,,2014 - 2015,2.61
,,2015 - 2016,2.59
,,2016 - 2017,3.02
,,2017 - 2018,3.22
,,2018 - 2019,3.21
,,2019 - 2020,3.25
,,2020 - 2021,2.65
,,2021 - 2022,3.07
,,2022 - 2023,3.04
,Mahisagar,2014 - 2015,1.86
,,2015 - 2016,1.47
,,2016 - 2017,1.8
,,2017 - 2018,1.79
,,2018 - 2019,2.05
,,2019 - 2020,2.54
,,2020 - 2021,2.24
,,2021 - 2022,2.53
,,2022 - 2023,2.49
,Morbi,2014 - 2015,3.66
,,2015 - 2016,2.84
,,2016 - 2017,1.13
,,2017 - 2018,3.09
,,2018 - 2019,3.2
,,2019 - 2020,3.15
,,2020 - 2021,2.69
,,2021 - 2022,2.91
,,2022 - 2023,2.97
,Narmada,2003 - 2004,2.5
,,2004 - 2005,1.5
,,2005 - 2006,2.0
,,2006 - 2007,2.25
,,2007 - 2008,2.36
,,2008 - 2009,2.56
,,2009 - 2010,2.4
,,2010 - 2011,2.4
,,2011 - 2012,2.53
,,2012 - 2013,3.0
,,2013 - 2014,2.79
,,2014 - 2015,1.67
,,2015 - 2016,1.93
,,2016 - 2017,1.71
,,2017 - 2018,2.92
,,2018 - 2019,2.91
,,2019 - 2020,2.87
,,2020 - 2021,2.79
,,2021 - 2022,2.91
,,2022 - 2023,2.97
,Navsari,2014 - 2015,2.63
,Panch mahals,2000 - 2001,0.8
,,2001 - 2002,1.17
,,2002 - 2003,1.0
,,2003 - 2004,1.26
,,2004 - 2005,2.09
,,2005 - 2006,2.27
,,2006 - 2007,2.39
,,2007 - 2008,2.32
,,2008 - 2009,2.42
,,2009 - 2010,2.27
,,2010 - 2011,2.45
,,2011 - 2012,2.52
,,2012 - 2013,2.65
,,2013 - 2014,2.79
,,2014 - 2015,1.65
,,2015 - 2016,1.69
,,2016 - 2017,2.31
,,2017 - 2018,2.1
,,2018 - 2019,2.12
,,2019 - 2020,2.01
,,2020 - 2021,1.72
,,2021 - 2022,1.92
,,2022 - 2023,1.95
,Patan,2003 - 2004,2.03
,,2004 - 2005,2.08
,,2005 - 2006,1.91
,,2006 - 2007,2.39
,,2007 - 2008,2.21
,,2008 - 2009,2.72
,,2009 - 2010,2.47
,,2010 - 2011,2.56
,,2011 - 2012,2.8
,,2012 - 2013,2.65
,,2013 - 2014,2.82
,,2014 - 2015,2.77
,,2015 - 2016,2.69
,,2016 - 2017,2.93
,,2017 - 2018,3.02
,,2018 - 2019,3.0
,,2019 - 2020,2.95
,,2020 - 2021,3.21
,,2021 - 2022,2.85
,,2022 - 2023,2.93
,Porbandar,2003 - 2004,2.0
,,2004 - 2005,2.0
,,2005 - 2006,3.0
,,2006 - 2007,2.29
,,2007 - 2008,2.43
,,2008 - 2009,3.0
,,2009 - 2010,
,,2010 - 2011,2.33
,,2011 - 2012,2.33
,,2012 - 2013,3.0
,,2013 - 2014,2.8
,,2014 - 2015,2.6
,,2015 - 2016,2.67
,,2016 - 2017,2.49
,,2017 - 2018,2.92
,,2018 - 2019,2.9
,,2019 - 2020,2.87
,,2020 - 2021,2.8
,,2021 - 2022,2.91
,,2022 - 2023,2.97
,Rajkot,2000 - 2001,
,,2001 - 2002,1.75
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,3.0
,,2006 - 2007,2.17
,,2007 - 2008,2.0
,,2008 - 2009,2.25
,,2009 - 2010,2.0
,,2010 - 2011,2.6
,,2011 - 2012,2.64
,,2012 - 2013,2.0
,,2013 - 2014,2.79
,,2014 - 2015,2.62
,,2015 - 2016,2.66
,,2016 - 2017,2.5
,,2017 - 2018,2.92
,,2018 - 2019,2.91
,,2019 - 2020,2.87
,,2020 - 2021,2.78
,,2021 - 2022,2.91
,,2022 - 2023,2.97
,Sabar kantha,2000 - 2001,2.15
,,2001 - 2002,1.77
,,2002 - 2003,1.51
,,2003 - 2004,2.31
,,2004 - 2005,1.97
,,2005 - 2006,2.35
,,2006 - 2007,2.35
,,2007 - 2008,2.44
,,2008 - 2009,2.5
,,2009 - 2010,2.38
,,2010 - 2011,2.41
,,2011 - 2012,2.66
,,2012 - 2013,2.74
,,2013 - 2014,2.42
,,2014 - 2015,2.69
,,2015 - 2016,2.82
,,2016 - 2017,3.0
,,2017 - 2018,3.32
,,2018 - 2019,3.32
,,2019 - 2020,3.47
,,2020 - 2021,3.1
