state,district,year,barley_kharif_yield_tonne_per_hectare
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rohtak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sirsa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sonipat,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Yamunanagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Himachal Pradesh,Bilaspur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chamba,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hamirpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kangra,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kinnaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kullu,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lahul and spiti,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shimla,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sirmaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Solan,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Una,2000 - 2001,
Jammu and Kashmir,Bandipora,2012 - 2013,
,,2013 - 2014,
,Doda,2000 - 2001,0.26
,,2001 - 2002,0.26
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.26
,,2006 - 2007,0.6
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.35
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ganderbal,2010 - 2011,0.41
,,2011 - 2012,0.41
,,2012 - 2013,0.41
,,2015 - 2016,0.35
,,2016 - 2017,0.35
,,2017 - 2018,0.35
,,2019 - 2020,0.35
,,2020 - 2021,0.35
,Jammu,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.35
,,2020 - 2021,0.35
,,2021 - 2022,
,,2022 - 2023,
,Kargil,2003 - 2004,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,Kathua,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.37
,,2018 - 2019,
,,2019 - 2020,0.35
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kishtwar,2007 - 2008,0.26
,,2008 - 2009,
,,2009 - 2010,0.26
,,2010 - 2011,0.26
,,2011 - 2012,0.27
,,2012 - 2013,0.27
,,2013 - 2014,
,,2014 - 2015,0.35
,,2015 - 2016,0.35
,,2016 - 2017,0.35
,,2017 - 2018,0.35
,,2018 - 2019,0.35
,,2019 - 2020,0.35
,,2020 - 2021,0.35
,,2021 - 2022,
,,2022 - 2023,
,Leh ladakh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Rajauri,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2015 - 2016,
,,2016 - 2017,0.35
,,2017 - 2018,
,,2018 - 2019,0.35
,Ramban,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Reasi,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.26
,,2010 - 2011,0.26
,,2011 - 2012,
,,2012 - 2013,0.28
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,0.35
,,2017 - 2018,0.35
,,2018 - 2019,0.35
,,2019 - 2020,0.35
,,2020 - 2021,0.35
,,2021 - 2022,
,Samba,2007 - 2008,0.26
,,2008 - 2009,
,,2009 - 2010,0.26
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.35
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Srinagar,2003 - 2004,
,Udhampur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,0.35
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.35
,,2020 - 2021,0.35
,,2021 - 2022,
,,2022 - 2023,
Jharkhand,Garhwa,2004 - 2005,
,Godda,2003 - 2004,
,Hazaribagh,2003 - 2004,
,Palamu,2003 - 2004,
Karnataka,Bagalkot,2022 - 2023,0.0
,Bangalore rural,2022 - 2023,0.0
,Belgaum,2022 - 2023,0.0
,Bellary,2022 - 2023,0.0
,Bengaluru urban,2022 - 2023,0.0
,Bijapur,2022 - 2023,0.0
,Chamarajanagar,2022 - 2023,0.0
,Chikballapur,2022 - 2023,0.0
,Chikmagalur,2022 - 2023,0.0
,Chitradurga,2022 - 2023,0.0
,Davangere,2022 - 2023,0.0
,Dharwad,2022 - 2023,0.0
,Gadag,2022 - 2023,0.0
,Gulbarga,2022 - 2023,
,Hassan,2022 - 2023,0.0
,Haveri,2022 - 2023,0.0
,Kolar,2022 - 2023,
,Koppal,2022 - 2023,0.0
,Mysore,2022 - 2023,0.0
,Raichur,2022 - 2023,0.0
,Ramanagara,2022 - 2023,0.0
,Shimoga,2022 - 2023,0.0
,Tumkur,2022 - 2023,0.0
,Uttar kannad,2022 - 2023,
,Yadgir,2022 - 2023,0.0
Ladakh,Kargil,2022 - 2023,
,Leh ladakh,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Madhya Pradesh,Agar malwa,2013 - 2014,1.63
,,2014 - 2015,1.0
,,2018 - 2019,0.94
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Alirajpur,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,1.2
,,2012 - 2013,1.0
,,2013 - 2014,1.24
,,2014 - 2015,1.0
,,2015 - 2016,2.5
,,2016 - 2017,3.0
,,2017 - 2018,1.6
,Anuppur,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,0.9
,,2012 - 2013,0.83
,,2013 - 2014,0.81
,,2014 - 2015,2.0
,,2016 - 2017,2.0
,,2017 - 2018,0.8
,,2018 - 2019,0.62
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ashoknagar,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.2
,,2012 - 2013,2.22
,,2013 - 2014,2.57
,,2014 - 2015,1.0
,,2016 - 2017,3.33
,,2017 - 2018,2.22
,,2018 - 2019,2.64
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balaghat,2000 - 2001,
,,2002 - 2003,
,,2014 - 2015,1.5
,,2017 - 2018,1.6
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Barwani,2015 - 2016,3.25
,,2016 - 2017,3.2
,,2017 - 2018,1.56
,,2019 - 2020,
,Betul,2001 - 2002,
,,2021 - 2022,
,Bhind,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.7
,,2012 - 2013,1.51
,,2013 - 2014,3.83
,,2014 - 2015,1.0
,,2015 - 2016,2.67
,,2016 - 2017,3.12
,,2017 - 2018,3.95
,,2018 - 2019,3.55
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhopal,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2010 - 2011,
,,2018 - 2019,1.0
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Burhanpur,2015 - 2016,2.5
,,2016 - 2017,3.0
,,2017 - 2018,1.46
,Chhatarpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.13
,,2012 - 2013,0.98
,,2013 - 2014,1.05
,,2014 - 2015,1.33
,,2015 - 2016,2.89
,,2016 - 2017,3.11
,,2017 - 2018,3.79
,,2018 - 2019,2.03
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chhindwara,2001 - 2002,
,Damoh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.5
,,2012 - 2013,1.8
,,2013 - 2014,2.44
,,2016 - 2017,2.9
,,2017 - 2018,1.0
,,2018 - 2019,2.0
,,2019 - 2020,
,,2020 - 2021,
,Datia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.98
,,2012 - 2013,2.54
,,2013 - 2014,3.62
,,2014 - 2015,2.0
,,2015 - 2016,5.0
,,2016 - 2017,3.08
,,2017 - 2018,2.4
,,2018 - 2019,3.16
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dewas,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.92
,,2012 - 2013,3.0
,,2013 - 2014,2.0
,,2014 - 2015,1.0
,,2016 - 2017,3.33
,Dhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.18
,,2012 - 2013,1.6
,,2013 - 2014,2.0
,,2015 - 2016,2.0
,,2016 - 2017,3.2
,,2017 - 2018,4.57
,,2018 - 2019,2.0
,,2019 - 2020,
,,2020 - 2021,
,Dindori,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,0.57
,,2013 - 2014,1.07
,,2016 - 2017,2.63
,,2019 - 2020,
,Guna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.4
,,2012 - 2013,2.31
,,2013 - 2014,2.38
,,2014 - 2015,2.0
,,2016 - 2017,3.16
,,2017 - 2018,2.17
,,2018 - 2019,2.75
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Gwalior,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.65
,,2012 - 2013,2.34
,,2013 - 2014,2.51
,,2014 - 2015,1.0
,,2015 - 2016,1.33
,,2016 - 2017,3.16
,,2017 - 2018,2.3
,,2018 - 2019,2.47
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Harda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.34
,,2012 - 2013,1.77
,,2013 - 2014,2.16
,,2016 - 2017,3.89
,,2017 - 2018,2.81
,,2018 - 2019,2.0
,,2019 - 2020,
,,2020 - 2021,
,Hoshangabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.0
,,2012 - 2013,2.25
,,2013 - 2014,1.86
,,2018 - 2019,1.0
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Indore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2016 - 2017,5.0
,,2017 - 2018,0.65
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Jabalpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.5
,,2012 - 2013,1.5
,Jhabua,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.16
,,2012 - 2013,0.91
,,2013 - 2014,2.58
,,2015 - 2016,4.5
,,2016 - 2017,4.67
,,2017 - 2018,2.3
,,2019 - 2020,
,,2020 - 2021,
,Katni,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.35
,,2012 - 2013,1.69
,,2013 - 2014,2.53
,,2014 - 2015,2.0
,,2016 - 2017,3.53
,,2017 - 2018,1.6
,,2018 - 2019,2.14
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khandwa,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2015 - 2016,2.38
,,2016 - 2017,3.0
,,2017 - 2018,1.7
,Khargone,2014 - 2015,1.0
,,2015 - 2016,2.75
,,2016 - 2017,3.2
,,2017 - 2018,2.19
,Mandla,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.2
,,2012 - 2013,0.91
,,2013 - 2014,1.45
,,2014 - 2015,2.0
,,2016 - 2017,3.11
,,2018 - 2019,1.33
,,2019 - 2020,
,,2021 - 2022,
,Mandsaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.26
,,2012 - 2013,3.85
,,2013 - 2014,4.89
,,2018 - 2019,2.92
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Morena,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.94
,,2012 - 2013,2.42
,,2013 - 2014,2.62
,,2014 - 2015,1.0
,,2015 - 2016,2.0
,,2016 - 2017,3.67
,,2017 - 2018,2.9
,,2018 - 2019,2.68
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Narsinghpur,2013 - 2014,1.75
,Neemuch,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.81
,,2012 - 2013,2.83
,,2013 - 2014,3.43
,,2016 - 2017,2.44
,,2018 - 2019,2.21
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Niwari,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Panna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.44
,,2012 - 2013,1.17
,,2013 - 2014,1.74
,,2014 - 2015,1.5
,,2015 - 2016,2.6
,,2016 - 2017,3.17
,,2017 - 2018,2.09
,,2018 - 2019,1.86
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raisen,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,3.55
,,2014 - 2015,1.0
,,2016 - 2017,3.11
,,2017 - 2018,2.3
,,2018 - 2019,2.0
,,2019 - 2020,
,Rajgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.25
,,2012 - 2013,1.63
,,2013 - 2014,2.21
,,2014 - 2015,1.0
,,2016 - 2017,3.33
,,2017 - 2018,2.7
,,2018 - 2019,1.86
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Ratlam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,5.32
,,2012 - 2013,4.39
,,2013 - 2014,4.17
,,2016 - 2017,3.33
,,2017 - 2018,3.21
,,2018 - 2019,4.22
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Rewa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,0.68
,,2012 - 2013,0.66
,,2013 - 2014,1.1
,,2014 - 2015,1.5
,,2015 - 2016,3.5
,,2016 - 2017,3.5
,,2017 - 2018,1.34
,,2018 - 2019,1.37
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.78
,,2012 - 2013,1.35
,,2013 - 2014,1.4
,,2014 - 2015,2.0
,,2015 - 2016,1.5
,,2016 - 2017,2.33
,,2017 - 2018,1.0
,,2018 - 2019,2.1
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Satna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.23
,,2012 - 2013,1.01
,,2013 - 2014,0.91
,,2014 - 2015,1.5
,,2015 - 2016,4.29
