state,district,year,dry_chillies_whole_year_yield_tonne_per_hectare
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Spsr nellore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sri sathya sai,2022 - 2023,
,Srikakulam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirupati,2022 - 2023,
,Visakhapatanam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vizianagaram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West godavari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
Arunachal Pradesh,Anjaw,2004 - 2005,1.38
,,2005 - 2006,1.4
,,2006 - 2007,1.43
,,2007 - 2008,14.27
,,2008 - 2009,1.3
,,2009 - 2010,1.39
,,2010 - 2011,1.5
,,2011 - 2012,1.59
,,2012 - 2013,4.0
,,2013 - 2014,3.96
,,2014 - 2015,2.04
,,2015 - 2016,3.07
,,2016 - 2017,2.93
,,2017 - 2018,3.08
,,2018 - 2019,3.12
,,2019 - 2020,3.23
,,2020 - 2021,3.28
,,2021 - 2022,3.33
,,2022 - 2023,3.34
,Changlang,2000 - 2001,1.32
,,2001 - 2002,1.33
,,2002 - 2003,1.5
,,2003 - 2004,1.55
,,2004 - 2005,1.04
,,2005 - 2006,1.37
,,2006 - 2007,1.43
,,2007 - 2008,1.41
,,2008 - 2009,1.56
,,2009 - 2010,1.52
,,2010 - 2011,1.52
,,2011 - 2012,1.59
,,2012 - 2013,1.5
,,2013 - 2014,3.5
,,2014 - 2015,3.4
,,2015 - 2016,3.4
,,2016 - 2017,3.37
,,2017 - 2018,3.37
,,2018 - 2019,3.37
,,2019 - 2020,3.38
,,2020 - 2021,3.38
,,2021 - 2022,3.46
,,2022 - 2023,3.46
,Dibang valley,2000 - 2001,4.0
,,2001 - 2002,1.32
,,2002 - 2003,1.47
,,2003 - 2004,1.47
,,2004 - 2005,1.22
,,2005 - 2006,1.56
,,2006 - 2007,1.55
,,2007 - 2008,1.55
,,2010 - 2011,1.9
,,2011 - 2012,2.0
,,2012 - 2013,2.23
,,2013 - 2014,2.39
,,2014 - 2015,1.32
,,2015 - 2016,1.93
,,2016 - 2017,2.21
,,2017 - 2018,2.34
,,2018 - 2019,2.36
,,2019 - 2020,2.41
,,2020 - 2021,2.45
,,2021 - 2022,2.65
,,2022 - 2023,2.66
,East kameng,2000 - 2001,1.52
,,2001 - 2002,1.4
,,2002 - 2003,1.41
,,2003 - 2004,1.43
,,2004 - 2005,1.43
,,2005 - 2006,1.42
,,2006 - 2007,1.53
,,2007 - 2008,1.54
,,2008 - 2009,1.57
,,2009 - 2010,1.58
,,2010 - 2011,1.6
,,2011 - 2012,1.67
,,2012 - 2013,1.81
,,2013 - 2014,1.85
,,2014 - 2015,1.34
,,2015 - 2016,2.94
,,2016 - 2017,2.91
,,2017 - 2018,2.97
,,2018 - 2019,2.99
,,2019 - 2020,3.0
,,2020 - 2021,3.03
,,2021 - 2022,3.2
,,2022 - 2023,3.21
,East siang,2000 - 2001,0.99
,,2001 - 2002,1.16
,,2002 - 2003,1.21
,,2003 - 2004,1.11
,,2004 - 2005,1.29
,,2005 - 2006,1.08
,,2006 - 2007,1.08
,,2007 - 2008,0.99
,,2008 - 2009,1.05
,,2009 - 2010,1.1
,,2010 - 2011,1.1
,,2011 - 2012,1.15
,,2012 - 2013,1.1
,,2013 - 2014,1.13
,,2014 - 2015,0.92
,,2015 - 2016,3.15
,,2016 - 2017,3.11
,,2017 - 2018,3.1
,,2018 - 2019,2.86
,,2019 - 2020,2.88
,,2020 - 2021,2.9
,,2021 - 2022,3.0
,,2022 - 2023,3.0
,Kamle,2018 - 2019,2.69
,,2019 - 2020,2.73
,,2020 - 2021,2.76
,,2021 - 2022,2.92
,,2022 - 2023,2.92
,Kra daadi,2015 - 2016,1.9
,,2016 - 2017,2.06
,,2017 - 2018,2.14
,,2018 - 2019,2.15
,,2019 - 2020,2.18
,,2020 - 2021,2.19
,,2021 - 2022,2.31
,,2022 - 2023,2.31
,Kurung kumey,2002 - 2003,1.42
,,2003 - 2004,1.3
,,2004 - 2005,1.53
,,2005 - 2006,2.17
,,2006 - 2007,1.52
,,2007 - 2008,0.25
,,2010 - 2011,0.3
,,2011 - 2012,0.36
,,2012 - 2013,0.45
,,2015 - 2016,1.99
,,2016 - 2017,2.22
,,2017 - 2018,2.33
,,2018 - 2019,2.35
,,2019 - 2020,2.4
,,2020 - 2021,2.42
,,2021 - 2022,2.6
,,2022 - 2023,2.61
,Leparada,2019 - 2020,2.84
,,2020 - 2021,2.92
,,2021 - 2022,3.58
,,2022 - 2023,3.6
,Lohit,2000 - 2001,1.89
,,2001 - 2002,1.4
,,2002 - 2003,1.4
,,2003 - 2004,1.4
,,2004 - 2005,1.5
,,2005 - 2006,1.39
,,2006 - 2007,1.59
,,2007 - 2008,1.52
,,2008 - 2009,1.59
,,2009 - 2010,2.14
,,2010 - 2011,1.73
,,2011 - 2012,1.82
,,2012 - 2013,2.4
,,2013 - 2014,2.46
,,2014 - 2015,2.06
,,2015 - 2016,2.83
,,2016 - 2017,2.82
,,2017 - 2018,2.92
,,2018 - 2019,2.94
,,2019 - 2020,3.01
,,2020 - 2021,3.05
,,2021 - 2022,3.25
,,2022 - 2023,3.25
,Longding,2013 - 2014,8.1
,,2014 - 2015,5.98
,,2015 - 2016,3.3
,,2016 - 2017,3.13
,,2017 - 2018,3.23
,,2018 - 2019,3.25
,,2019 - 2020,3.33
,,2020 - 2021,3.37
,,2021 - 2022,3.56
,,2022 - 2023,3.57
,Lower dibang valley,2002 - 2003,1.47
,,2003 - 2004,1.2
,,2004 - 2005,1.44
,,2005 - 2006,1.0
,,2006 - 2007,1.2
,,2007 - 2008,1.1
,,2008 - 2009,1.1
,,2009 - 2010,1.1
,,2010 - 2011,1.09
,,2011 - 2012,1.11
,,2012 - 2013,1.11
,,2013 - 2014,2.4
,,2014 - 2015,1.87
,,2015 - 2016,2.82
,,2016 - 2017,2.82
,,2017 - 2018,2.86
,,2018 - 2019,2.87
,,2019 - 2020,2.89
,,2020 - 2021,2.92
,,2021 - 2022,3.02
,,2022 - 2023,3.02
,Lower siang,2018 - 2019,2.87
,,2019 - 2020,2.89
,,2020 - 2021,2.9
,,2021 - 2022,3.01
,,2022 - 2023,3.02
,Lower subansiri,2000 - 2001,1.7
,,2001 - 2002,1.19
,,2002 - 2003,1.4
,,2003 - 2004,1.54
,,2004 - 2005,1.32
,,2005 - 2006,1.57
,,2006 - 2007,1.57
,,2007 - 2008,1.78
,,2008 - 2009,1.78
,,2009 - 2010,1.79
,,2010 - 2011,1.69
,,2011 - 2012,1.77
,,2012 - 2013,1.77
,,2013 - 2014,1.75
,,2014 - 2015,1.4
,,2015 - 2016,2.82
,,2016 - 2017,2.82
,,2017 - 2018,2.87
,,2018 - 2019,2.88
,,2019 - 2020,2.91
,,2020 - 2021,2.93
,,2021 - 2022,3.08
,,2022 - 2023,3.08
,Namsai,2015 - 2016,2.87
,,2016 - 2017,2.85
,,2017 - 2018,2.92
,,2018 - 2019,2.94
,,2019 - 2020,2.99
,,2020 - 2021,3.0
,,2021 - 2022,3.14
,,2022 - 2023,3.14
,Pakke kessang,2019 - 2020,3.05
,,2020 - 2021,3.11
,,2021 - 2022,3.53
,,2022 - 2023,3.54
,Papum pare,2000 - 2001,1.71
,,2001 - 2002,1.68
,,2002 - 2003,1.47
,,2003 - 2004,1.38
,,2004 - 2005,1.06
,,2005 - 2006,1.46
,,2006 - 2007,1.48
,,2007 - 2008,1.4
,,2008 - 2009,1.44
,,2009 - 2010,6.2
,,2010 - 2011,6.4
,,2011 - 2012,6.69
,,2012 - 2013,6.7
,,2013 - 2014,7.5
,,2014 - 2015,6.2
,,2015 - 2016,3.41
,,2016 - 2017,3.29
,,2017 - 2018,3.28
,,2018 - 2019,3.29
,,2019 - 2020,3.32
,,2020 - 2021,3.34
,,2021 - 2022,3.49
,,2022 - 2023,3.49
,Shi yomi,2019 - 2020,2.76
,,2020 - 2021,2.94
,,2021 - 2022,2.95
,,2022 - 2023,3.0
,Siang,2015 - 2016,2.98
,,2016 - 2017,2.95
,,2017 - 2018,3.01
,,2018 - 2019,3.02
,,2019 - 2020,3.07
,,2020 - 2021,3.09
,,2021 - 2022,3.2
,,2022 - 2023,3.21
,Tawang,2002 - 2003,1.94
,,2003 - 2004,2.0
,,2004 - 2005,2.0
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,2.0
,,2008 - 2009,2.2
,,2009 - 2010,2.3
,,2010 - 2011,2.31
,,2011 - 2012,2.43
,,2012 - 2013,2.31
,,2013 - 2014,2.31
,,2014 - 2015,1.57
,,2015 - 2016,2.09
,,2016 - 2017,2.27
,,2017 - 2018,2.42
,,2018 - 2019,2.44
,,2019 - 2020,2.46
,,2020 - 2021,2.47
,,2021 - 2022,2.62
,,2022 - 2023,2.63
,Tirap,2000 - 2001,1.59
,,2001 - 2002,1.33
,,2002 - 2003,1.1
,,2003 - 2004,1.2
,,2004 - 2005,6.92
,,2006 - 2007,1.24
,,2007 - 2008,1.2
,,2008 - 2009,5.25
,,2009 - 2010,1.83
,,2010 - 2011,1.85
,,2011 - 2012,1.94
,,2012 - 2013,8.0
,,2013 - 2014,8.11
,,2014 - 2015,5.35
,,2015 - 2016,2.76
,,2016 - 2017,2.77
,,2017 - 2018,2.9
,,2018 - 2019,2.92
,,2019 - 2020,3.01
,,2020 - 2021,3.06
,,2021 - 2022,3.31
,,2022 - 2023,3.31
,Upper siang,2000 - 2001,0.85
,,2001 - 2002,1.24
,,2002 - 2003,1.26
,,2003 - 2004,1.26
,,2004 - 2005,1.39
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.63
,,2012 - 2013,0.8
,,2013 - 2014,6.5
,,2014 - 2015,6.07
,,2015 - 2016,1.96
,,2016 - 2017,2.05
,,2017 - 2018,2.11
,,2018 - 2019,2.12
,,2019 - 2020,2.13
,,2020 - 2021,2.14
,,2021 - 2022,2.26
,,2022 - 2023,2.27
,Upper subansiri,2000 - 2001,1.47
,,2001 - 2002,1.33
,,2002 - 2003,1.33
,,2003 - 2004,1.31
,,2004 - 2005,1.56
,,2005 - 2006,0.55
,,2006 - 2007,2.0
,,2007 - 2008,1.77
,,2008 - 2009,1.74
,,2009 - 2010,1.74
,,2010 - 2011,1.6
,,2011 - 2012,1.68
,,2012 - 2013,1.87
,,2013 - 2014,1.98
,,2014 - 2015,1.73
,,2015 - 2016,2.24
,,2016 - 2017,2.3
,,2017 - 2018,2.34
,,2018 - 2019,2.35
,,2019 - 2020,2.37
,,2020 - 2021,2.38
,,2021 - 2022,2.46
,,2022 - 2023,2.47
,West kameng,2000 - 2001,3.42
,,2001 - 2002,3.4
,,2002 - 2003,3.4
,,2003 - 2004,3.4
,,2004 - 2005,3.4
,,2005 - 2006,3.4
,,2006 - 2007,3.4
,,2007 - 2008,3.48
,,2008 - 2009,3.62
,,2009 - 2010,3.71
,,2010 - 2011,3.68
,,2011 - 2012,3.88
,,2013 - 2014,3.79
,,2014 - 2015,2.64
,,2015 - 2016,2.91
,,2016 - 2017,2.88
,,2017 - 2018,2.97
,,2018 - 2019,2.99
,,2019 - 2020,3.03
,,2020 - 2021,3.06
,,2021 - 2022,3.22
,,2022 - 2023,3.23
,West siang,2000 - 2001,1.33
,,2001 - 2002,0.98
,,2002 - 2003,1.55
,,2003 - 2004,1.55
,,2004 - 2005,0.5
,,2005 - 2006,1.43
,,2006 - 2007,1.55
,,2007 - 2008,1.5
,,2008 - 2009,1.54
,,2009 - 2010,1.6
,,2010 - 2011,1.59
,,2011 - 2012,1.66
,,2012 - 2013,1.62
,,2013 - 2014,1.63
,,2014 - 2015,1.35
,,2015 - 2016,2.6
,,2016 - 2017,2.63
,,2017 - 2018,2.69
,,2018 - 2019,2.72
,,2019 - 2020,2.78
,,2020 - 2021,2.85
,,2021 - 2022,3.28
,,2022 - 2023,3.29
Assam,Baksa,2005 - 2006,0.74
,,2006 - 2007,0.74
,,2007 - 2008,0.45
,,2008 - 2009,0.64
,,2009 - 2010,0.61
,,2010 - 2011,0.57
,,2011 - 2012,0.48
,,2012 - 2013,0.59
,,2013 - 2014,0.59
,,2014 - 2015,0.64
,,2015 - 2016,0.64
,,2016 - 2017,0.65
,,2017 - 2018,0.78
,,2018 - 2019,0.79
,,2019 - 2020,0.81
,,2020 - 2021,0.81
,Barpeta,2000 - 2001,0.8
,,2001 - 2002,0.8
,,2002 - 2003,0.8
,,2003 - 2004,0.8
,,2004 - 2005,0.8
,,2005 - 2006,0.8
,,2006 - 2007,0.8
,,2007 - 2008,0.8
,,2008 - 2009,0.8
,,2009 - 2010,0.8
,,2010 - 2011,0.8
,,2011 - 2012,0.66
,,2012 - 2013,0.91
,,2013 - 2014,1.26
,,2014 - 2015,1.26
,,2015 - 2016,1.26
,,2016 - 2017,1.27
,,2017 - 2018,1.3
,,2018 - 2019,1.3
,,2019 - 2020,1.3
,,2020 - 2021,1.3
,Biswanath,2020 - 2021,0.6
,Bongaigaon,2000 - 2001,0.64
,,2001 - 2002,0.64
,,2002 - 2003,0.65
,,2003 - 2004,0.65
,,2004 - 2005,0.65
,,2005 - 2006,0.64
,,2006 - 2007,0.64
,,2007 - 2008,0.64
,,2008 - 2009,0.64
,,2009 - 2010,0.64
,,2010 - 2011,0.64
,,2011 - 2012,0.66
,,2012 - 2013,0.68
,,2013 - 2014,0.67
,,2014 - 2015,0.68
,,2015 - 2016,0.68
,,2016 - 2017,0.69
,,2017 - 2018,0.73
,,2018 - 2019,0.75
,,2019 - 2020,0.77
,,2020 - 2021,0.77
,Cachar,2000 - 2001,0.61
,,2001 - 2002,0.61
,,2002 - 2003,0.61
,,2003 - 2004,0.61
,,2004 - 2005,0.64
,,2005 - 2006,0.64
,,2006 - 2007,0.63
,,2007 - 2008,0.64
,,2008 - 2009,0.64
,,2009 - 2010,0.63
,,2010 - 2011,0.64
,,2011 - 2012,0.65
,,2012 - 2013,0.67
,,2013 - 2014,0.67
,,2014 - 2015,0.67
,,2015 - 2016,0.67
,,2016 - 2017,0.68
,,2017 - 2018,0.71
,,2018 - 2019,0.72
,,2019 - 2020,0.74
,,2020 - 2021,0.74
,Charaideo,2020 - 2021,1.48
,Chirang,2005 - 2006,0.64
,,2006 - 2007,0.64
,,2007 - 2008,0.64
,,2008 - 2009,0.64
,,2009 - 2010,0.64
,,2010 - 2011,0.64
,,2011 - 2012,0.8
,,2012 - 2013,0.86
,,2013 - 2014,0.87
,,2014 - 2015,0.88
,,2015 - 2016,0.89
,,2016 - 2017,0.89
,,2017 - 2018,0.98
,,2018 - 2019,1.01
,,2019 - 2020,1.02
,,2020 - 2021,1.02
,Darrang,2000 - 2001,0.72
,,2001 - 2002,0.7
,,2002 - 2003,0.7
,,2003 - 2004,0.7
,,2004 - 2005,0.66
,,2005 - 2006,0.74
,,2006 - 2007,0.75
,,2007 - 2008,0.75
,,2008 - 2009,0.74
,,2009 - 2010,0.74
,,2010 - 2011,0.75
,,2011 - 2012,0.77
,,2012 - 2013,0.85
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.88
,,2017 - 2018,0.92
,,2018 - 2019,0.93
,,2019 - 2020,0.94
,,2020 - 2021,0.94
,Dhemaji,2000 - 2001,0.77
,,2001 - 2002,0.77
,,2002 - 2003,0.77
,,2003 - 2004,0.77
,,2004 - 2005,0.76
,,2005 - 2006,0.76
,,2006 - 2007,0.76
,,2007 - 2008,0.76
,,2008 - 2009,0.75
,,2009 - 2010,0.75
,,2010 - 2011,0.75
,,2011 - 2012,0.93
,,2012 - 2013,0.95
,,2013 - 2014,0.95
,,2014 - 2015,0.97
,,2015 - 2016,0.97
,,2016 - 2017,0.98
,,2017 - 2018,0.99
,,2018 - 2019,0.79
,,2019 - 2020,0.81
,,2020 - 2021,0.81
,Dhubri,2000 - 2001,0.72
,,2001 - 2002,0.72
,,2002 - 2003,0.73
,,2003 - 2004,0.73
,,2004 - 2005,0.73
,,2005 - 2006,0.72
,,2006 - 2007,0.72
,,2007 - 2008,0.72
,,2008 - 2009,0.72
,,2009 - 2010,0.72
,,2010 - 2011,0.71
,,2011 - 2012,0.74
,,2012 - 2013,0.93
,,2013 - 2014,1.3
,,2014 - 2015,1.3
,,2015 - 2016,1.3
,,2016 - 2017,1.3
,,2017 - 2018,1.34
,,2018 - 2019,1.35
,,2019 - 2020,1.35
,,2020 - 2021,1.49
,Dibrugarh,2000 - 2001,0.69
,,2001 - 2002,0.69
,,2002 - 2003,0.69
,,2003 - 2004,0.7
,,2004 - 2005,0.7
,,2005 - 2006,0.7
,,2006 - 2007,0.69
,,2007 - 2008,0.69
,,2008 - 2009,0.69
,,2009 - 2010,0.69
,,2010 - 2011,0.7
,,2011 - 2012,0.63
,,2012 - 2013,0.67
,,2013 - 2014,0.67
,,2014 - 2015,0.69
,,2015 - 2016,0.7
,,2016 - 2017,0.7
,,2017 - 2018,0.72
,,2018 - 2019,0.77
,,2019 - 2020,0.81
,,2020 - 2021,0.81
,Dima hasao,2000 - 2001,0.57
,,2001 - 2002,0.57
,,2002 - 2003,0.57
,,2003 - 2004,0.57
,,2004 - 2005,0.57
,,2005 - 2006,0.57
,,2006 - 2007,0.57
,,2007 - 2008,0.57
,,2008 - 2009,0.57
,,2009 - 2010,0.57
,,2010 - 2011,0.57
,,2011 - 2012,0.5
,,2012 - 2013,0.61
,,2013 - 2014,0.61
,,2014 - 2015,0.69
,,2015 - 2016,0.69
,,2016 - 2017,0.7
,,2017 - 2018,0.72
,,2018 - 2019,0.76
,,2019 - 2020,0.78
,,2020 - 2021,0.78
,Goalpara,2000 - 2001,0.7
,,2001 - 2002,0.7
,,2002 - 2003,0.69
,,2003 - 2004,0.7
,,2004 - 2005,0.69
,,2005 - 2006,0.69
,,2006 - 2007,0.69
,,2007 - 2008,0.7
,,2008 - 2009,0.69
,,2009 - 2010,0.69
,,2010 - 2011,0.69
,,2011 - 2012,0.8
,,2012 - 2013,0.89
,,2013 - 2014,0.89
,,2014 - 2015,0.91
,,2015 - 2016,0.92
,,2016 - 2017,0.93
,,2017 - 2018,0.94
,,2018 - 2019,0.96
,,2019 - 2020,0.98
,,2020 - 2021,0.98
,Golaghat,2000 - 2001,0.65
,,2001 - 2002,0.65
,,2002 - 2003,0.65
,,2003 - 2004,0.65
,,2004 - 2005,0.65
,,2005 - 2006,0.65
,,2006 - 2007,0.65
,,2007 - 2008,0.65
,,2008 - 2009,0.65
,,2009 - 2010,0.65
,,2010 - 2011,0.65
,,2011 - 2012,0.84
,,2012 - 2013,0.86
,,2013 - 2014,0.86
,,2014 - 2015,0.87
,,2015 - 2016,0.87
,,2016 - 2017,0.88
,,2017 - 2018,0.89
,,2018 - 2019,1.01
,,2019 - 2020,1.01
,,2020 - 2021,1.01
,Hailakandi,2000 - 2001,0.55
,,2001 - 2002,0.54
,,2002 - 2003,0.54
,,2003 - 2004,0.54
,,2004 - 2005,0.54
,,2005 - 2006,0.54
,,2006 - 2007,0.54
,,2007 - 2008,0.54
,,2008 - 2009,0.54
,,2009 - 2010,0.54
,,2010 - 2011,0.54
,,2011 - 2012,0.56
,,2012 - 2013,0.65
,,2013 - 2014,0.65
,,2014 - 2015,0.66
,,2015 - 2016,0.66
,,2016 - 2017,0.68
,,2017 - 2018,0.72
,,2018 - 2019,0.77
,,2019 - 2020,0.81
,,2020 - 2021,0.81
,Hojai,2020 - 2021,0.78
,Jorhat,2000 - 2001,0.53
,,2001 - 2002,0.55
,,2002 - 2003,0.54
,,2003 - 2004,0.54
,,2004 - 2005,0.54
,,2005 - 2006,0.54
,,2006 - 2007,0.54
,,2007 - 2008,0.55
,,2008 - 2009,0.54
,,2009 - 2010,0.54
,,2010 - 2011,0.53
