state,district,year,dry_chillies_summer_yield_tonne_per_hectare
,Vadodara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,Valsad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
Haryana,Ambala,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2021 - 2022,
,Bhiwani,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2012 - 2013,
,Faridabad,2000 - 2001,
,,2001 - 2002,
,,2006 - 2007,
,Fatehabad,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,Gurgaon,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,Hisar,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2021 - 2022,
,Jind,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2012 - 2013,
,,2021 - 2022,
,Kaithal,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2021 - 2022,
,Karnal,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2021 - 2022,
,Kurukshetra,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2021 - 2022,
,Mahendragarh,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2021 - 2022,
,Mewat,2008 - 2009,
,,2010 - 2011,
,Palwal,2021 - 2022,
,Panchkula,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2021 - 2022,
,Panipat,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2021 - 2022,
,Rewari,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2021 - 2022,
,Rohtak,2000 - 2001,
,,2001 - 2002,
,,2004 - 2005,
,Sirsa,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2021 - 2022,
,Sonipat,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,Yamunanagar,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2021 - 2022,
Himachal Pradesh,Bilaspur,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Chamba,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Hamirpur,2001 - 2002,
,,2002 - 2003,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kangra,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kullu,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Lahul and spiti,2018 - 2019,
,,2019 - 2020,
,Mandi,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,Shimla,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Sirmaur,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Solan,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Una,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
Jammu and Kashmir,Anantnag,2000 - 2001,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Badgam,2000 - 2001,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Baramulla,2007 - 2008,
,,2009 - 2010,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Jammu,2007 - 2008,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kathua,2000 - 2001,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Kulgam,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Kupwara,2020 - 2021,
,Poonch,2000 - 2001,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Pulwama,2000 - 2001,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Rajauri,2000 - 2001,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Reasi,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2016 - 2017,
,Samba,2017 - 2018,
,Srinagar,2000 - 2001,
,,2005 - 2006,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Udhampur,2000 - 2001,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
Karnataka,Bagalkot,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.59
,,2006 - 2007,
,,2007 - 2008,3.39
,,2008 - 2009,3.28
,,2009 - 2010,4.61
,,2010 - 2011,3.04
,,2011 - 2012,3.5
,,2012 - 2013,2.82
,,2013 - 2014,2.65
,,2014 - 2015,1.93
,,2015 - 2016,1.83
,,2016 - 2017,2.26
,,2017 - 2018,2.01
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bangalore rural,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.57
,,2006 - 2007,
,,2007 - 2008,3.4
,,2008 - 2009,3.25
,,2009 - 2010,4.63
,,2010 - 2011,3.03
,,2011 - 2012,3.5
,,2012 - 2013,2.82
,,2013 - 2014,2.5
,,2014 - 2015,1.89
,,2015 - 2016,1.88
,,2016 - 2017,2.29
,,2017 - 2018,
,,2022 - 2023,
,Belgaum,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,1.38
,,2006 - 2007,
,,2007 - 2008,3.34
,,2008 - 2009,0.66
,,2009 - 2010,1.84
,,2010 - 2011,1.14
,,2011 - 2012,2.09
,,2012 - 2013,2.6
,,2013 - 2014,2.97
,,2014 - 2015,2.3
,,2015 - 2016,1.43
,,2016 - 2017,1.88
,,2017 - 2018,1.87
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bellary,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.63
,,2006 - 2007,
,,2007 - 2008,3.38
,,2008 - 2009,3.29
,,2009 - 2010,4.59
,,2010 - 2011,3.04
,,2011 - 2012,3.5
,,2012 - 2013,1.19
,,2013 - 2014,2.66
,,2014 - 2015,1.93
,,2015 - 2016,1.83
,,2016 - 2017,1.95
,,2017 - 2018,1.9
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bengaluru urban,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.65
,,2006 - 2007,
,,2007 - 2008,3.38
,,2008 - 2009,3.26
,,2009 - 2010,4.6
,,2010 - 2011,3.03
,,2011 - 2012,3.52
,,2012 - 2013,2.8
,,2013 - 2014,2.67
,,2014 - 2015,1.9
,,2015 - 2016,2.05
,,2016 - 2017,2.33
,,2017 - 2018,2.09
,,2020 - 2021,
,,2022 - 2023,
,Bidar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.67
,,2006 - 2007,
,,2007 - 2008,3.38
,,2008 - 2009,3.27
,,2009 - 2010,4.6
,,2010 - 2011,3.0
,,2011 - 2012,3.52
,,2012 - 2013,2.8
,,2013 - 2014,2.67
,,2014 - 2015,1.91
,,2015 - 2016,1.85
,,2016 - 2017,2.33
,,2017 - 2018,2.0
,,2018 - 2019,
,,2021 - 2022,
,Bijapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.64
,,2006 - 2007,
,,2007 - 2008,3.39
,,2008 - 2009,3.28
,,2009 - 2010,4.61
,,2010 - 2011,3.04
,,2011 - 2012,3.5
,,2012 - 2013,2.82
,,2013 - 2014,2.66
,,2014 - 2015,1.93
,,2015 - 2016,0.77
,,2016 - 2017,1.91
,,2017 - 2018,1.53
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chamarajanagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.64
,,2006 - 2007,
,,2007 - 2008,2.9
,,2008 - 2009,3.27
,,2009 - 2010,4.61
,,2010 - 2011,3.04
,,2011 - 2012,3.52
,,2012 - 2013,2.85
,,2013 - 2014,2.66
,,2014 - 2015,1.93
,,2015 - 2016,1.83
,,2016 - 2017,2.26
,,2017 - 2018,2.01
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chikballapur,2007 - 2008,3.39
,,2008 - 2009,3.25
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.52
,,2012 - 2013,2.84
,,2013 - 2014,2.67
,,2014 - 2015,1.95
,,2015 - 2016,1.82
,,2016 - 2017,2.25
,,2017 - 2018,2.0
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chikmagalur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.64
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chitradurga,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.64
,,2006 - 2007,
,,2007 - 2008,3.38
,,2008 - 2009,3.29
,,2009 - 2010,4.6
,,2010 - 2011,3.05
,,2011 - 2012,3.6
,,2012 - 2013,2.83
,,2013 - 2014,2.63
,,2014 - 2015,1.94
,,2015 - 2016,1.83
,,2016 - 2017,2.26
,,2017 - 2018,2.01
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Dakshin kannad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.65
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,Davangere,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.64
,,2006 - 2007,
,,2007 - 2008,3.39
,,2008 - 2009,3.28
,,2009 - 2010,4.61
,,2010 - 2011,3.05
,,2011 - 2012,3.5
,,2012 - 2013,2.83
,,2013 - 2014,2.66
,,2014 - 2015,1.92
,,2015 - 2016,1.83
,,2016 - 2017,2.26
,,2017 - 2018,2.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dharwad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,1.79
,,2006 - 2007,
,,2007 - 2008,3.38
,,2008 - 2009,3.29
,,2009 - 2010,4.61
,,2010 - 2011,3.05
,,2011 - 2012,3.51
,,2012 - 2013,2.83
,,2013 - 2014,2.66
,,2014 - 2015,1.92
,,2015 - 2016,1.84
,,2016 - 2017,1.98
,,2017 - 2018,1.91
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gadag,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.63
,,2006 - 2007,
,,2007 - 2008,3.38
,,2008 - 2009,3.27
,,2009 - 2010,4.63
,,2010 - 2011,3.06
,,2011 - 2012,3.5
,,2012 - 2013,2.82
,,2013 - 2014,2.66
,,2014 - 2015,1.95
,,2015 - 2016,1.84
,,2016 - 2017,2.23
,,2017 - 2018,2.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gulbarga,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.64
,,2006 - 2007,
,,2007 - 2008,3.4
,,2008 - 2009,3.29
,,2009 - 2010,4.6
,,2010 - 2011,3.04
,,2011 - 2012,3.5
,,2012 - 2013,2.83
,,2013 - 2014,2.65
,,2014 - 2015,1.92
,,2015 - 2016,1.83
,,2016 - 2017,2.26
,,2017 - 2018,2.01
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Hassan,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,3.14
,,2006 - 2007,
,,2007 - 2008,5.33
,,2008 - 2009,6.16
,,2009 - 2010,6.45
,,2010 - 2011,8.43
,,2011 - 2012,6.4
,,2012 - 2013,5.1
,,2013 - 2014,5.92
,,2014 - 2015,1.77
,,2015 - 2016,5.73
,,2016 - 2017,4.68
,,2017 - 2018,4.06
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Haveri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.06
,,2006 - 2007,
,,2007 - 2008,2.4
,,2008 - 2009,3.62
,,2009 - 2010,5.67
,,2010 - 2011,2.2
,,2011 - 2012,3.46
,,2012 - 2013,2.57
,,2013 - 2014,2.04
,,2014 - 2015,1.76
,,2015 - 2016,0.71
,,2016 - 2017,1.71
,,2017 - 2018,1.4
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Kodagu,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,6.72
,,2006 - 2007,
,,2007 - 2008,3.38
,,2008 - 2009,3.28
,,2009 - 2010,4.97
,,2010 - 2011,3.77
,,2011 - 2012,3.5
,,2012 - 2013,2.83
,,2013 - 2014,2.66
,,2014 - 2015,
,,2015 - 2016,1.84
,,2016 - 2017,2.55
,,2017 - 2018,2.19
,Kolar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,1.39
,,2006 - 2007,
,,2007 - 2008,3.38
,,2008 - 2009,1.5
,,2009 - 2010,2.64
,,2010 - 2011,1.57
,,2011 - 2012,1.43
,,2012 - 2013,1.44
,,2013 - 2014,2.66
,,2014 - 2015,1.93
,,2015 - 2016,1.83
,,2016 - 2017,1.74
,,2017 - 2018,1.83
,,2019 - 2020,
,,2021 - 2022,
,Koppal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.64
,,2006 - 2007,
,,2007 - 2008,3.38
,,2008 - 2009,3.28
,,2009 - 2010,4.61
,,2010 - 2011,3.04
,,2011 - 2012,3.5
,,2012 - 2013,2.83
,,2013 - 2014,2.66
,,2014 - 2015,1.93
,,2015 - 2016,1.83
,,2016 - 2017,2.26
,,2017 - 2018,2.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Mandya,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.63
,,2006 - 2007,
,,2007 - 2008,3.38
,,2008 - 2009,3.28
,,2009 - 2010,4.61
,,2010 - 2011,3.04
,,2011 - 2012,3.5
,,2012 - 2013,2.82
,,2013 - 2014,2.65
,,2014 - 2015,1.93
,,2015 - 2016,1.83
,,2016 - 2017,2.27
,,2017 - 2018,2.0
,,2021 - 2022,
,Mysore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,5.17
,,2006 - 2007,
,,2007 - 2008,3.39
,,2008 - 2009,3.28
,,2009 - 2010,4.6
,,2010 - 2011,3.04
,,2011 - 2012,3.5
,,2012 - 2013,2.83
,,2013 - 2014,2.66
,,2014 - 2015,1.93
,,2015 - 2016,1.83
,,2016 - 2017,2.26
,,2017 - 2018,2.01
,,2020 - 2021,
,,2021 - 2022,
,Raichur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.64
,,2006 - 2007,
,,2007 - 2008,3.4
,,2008 - 2009,3.3
,,2009 - 2010,4.6
,,2010 - 2011,3.05
,,2011 - 2012,
,,2012 - 2013,2.84
,,2013 - 2014,2.64
,,2014 - 2015,
,,2015 - 2016,1.8
,,2016 - 2017,2.29
,,2017 - 2018,2.1
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Ramanagara,2007 - 2008,
,,2008 - 2009,3.29
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,2.5
,,2017 - 2018,2.25
,,2019 - 2020,
,,2021 - 2022,
,Shimoga,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,3.03
,,2006 - 2007,
,,2007 - 2008,3.39
,,2008 - 2009,3.28
,,2009 - 2010,4.61
,,2010 - 2011,3.04
,,2011 - 2012,3.5
,,2012 - 2013,2.83
,,2013 - 2014,2.66
,,2014 - 2015,1.93
,,2015 - 2016,1.83
,,2016 - 2017,2.27
,,2017 - 2018,2.0
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,Tumkur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.66
,,2006 - 2007,
,,2007 - 2008,3.4
,,2008 - 2009,3.29
,,2009 - 2010,4.59
,,2010 - 2011,3.04
,,2011 - 2012,3.57
,,2012 - 2013,3.0
,,2013 - 2014,2.65
,,2014 - 2015,1.91
,,2015 - 2016,1.83
,,2016 - 2017,2.27
,,2017 - 2018,2.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udupi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.64
,,2006 - 2007,
,,2007 - 2008,3.39
,,2008 - 2009,3.27
,,2009 - 2010,4.6
,,2010 - 2011,3.0
,,2011 - 2012,3.5
,,2012 - 2013,2.83
,,2013 - 2014,2.6
,,2014 - 2015,2.0
,,2015 - 2016,1.8
,,2016 - 2017,2.25
,,2017 - 2018,2.0
,,2022 - 2023,
,Uttar kannad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,2.67
,,2014 - 2015,1.89
,,2017 - 2018,
,,2021 - 2022,
,Vijayanagar,2022 - 2023,
,Yadgir,2010 - 2011,3.0
,,2011 - 2012,3.5
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
Madhya Pradesh,Agar malwa,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Alirajpur,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
