state,district,year,groundnut_summer_yield_tonne_per_hectare
,,2015 - 2016,1.83
,,2016 - 2017,2.37
,,2017 - 2018,1.84
,,2018 - 2019,2.15
,,2019 - 2020,2.4
,,2020 - 2021,2.35
,,2021 - 2022,2.17
,,2022 - 2023,2.29
,Bhavnagar,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.48
,,2003 - 2004,0.64
,,2004 - 2005,1.4
,,2005 - 2006,1.56
,,2006 - 2007,1.78
,,2007 - 2008,1.68
,,2008 - 2009,1.4
,,2009 - 2010,1.47
,,2010 - 2011,1.96
,,2011 - 2012,2.02
,,2012 - 2013,1.5
,,2013 - 2014,1.97
,,2014 - 2015,1.72
,,2015 - 2016,0.99
,,2016 - 2017,2.04
,,2017 - 2018,1.92
,,2018 - 2019,2.53
,,2019 - 2020,2.57
,,2020 - 2021,2.13
,,2021 - 2022,2.28
,,2022 - 2023,2.45
,Botad,2014 - 2015,1.84
,,2015 - 2016,1.66
,,2016 - 2017,1.78
,,2017 - 2018,1.84
,,2018 - 2019,2.15
,,2019 - 2020,2.39
,,2020 - 2021,2.35
,,2021 - 2022,2.16
,,2022 - 2023,2.3
,Chhotaudepur,2014 - 2015,1.63
,,2015 - 2016,1.64
,,2016 - 2017,2.05
,,2017 - 2018,1.88
,,2018 - 2019,2.16
,,2019 - 2020,2.39
,,2020 - 2021,2.35
,,2021 - 2022,2.16
,,2022 - 2023,2.3
,Dang,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,1.5
,,2005 - 2006,1.75
,,2006 - 2007,2.0
,,2007 - 2008,1.8
,,2008 - 2009,1.83
,,2009 - 2010,2.0
,,2010 - 2011,1.71
,,2011 - 2012,1.92
,,2012 - 2013,2.5
,,2013 - 2014,1.92
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.1
,,2017 - 2018,1.84
,,2018 - 2019,2.16
,,2019 - 2020,2.39
,,2020 - 2021,2.35
,,2021 - 2022,2.16
,,2022 - 2023,2.29
,Devbhumi dwarka,2014 - 2015,2.02
,,2015 - 2016,
,,2016 - 2017,0.82
,,2017 - 2018,2.24
,,2018 - 2019,2.0
,,2019 - 2020,2.12
,,2020 - 2021,2.35
,,2021 - 2022,2.16
,,2022 - 2023,2.29
,Dohad,2003 - 2004,1.5
,,2004 - 2005,1.75
,,2005 - 2006,1.67
,,2006 - 2007,1.75
,,2007 - 2008,1.71
,,2008 - 2009,2.0
,,2009 - 2010,1.5
,,2010 - 2011,1.8
,,2011 - 2012,1.9
,,2012 - 2013,2.36
,,2013 - 2014,1.92
,,2014 - 2015,1.84
,,2015 - 2016,1.66
,,2016 - 2017,1.78
,,2017 - 2018,1.84
,,2018 - 2019,2.16
,,2019 - 2020,2.39
,,2020 - 2021,1.65
,,2021 - 2022,1.75
,,2022 - 2023,1.84
,Gandhinagar,2000 - 2001,1.75
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.6
,,2004 - 2005,2.0
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,2.0
,,2008 - 2009,1.86
,,2009 - 2010,1.78
,,2010 - 2011,1.0
,,2011 - 2012,2.33
,,2012 - 2013,2.5
,,2013 - 2014,1.92
,,2014 - 2015,1.84
,,2015 - 2016,1.66
,,2016 - 2017,1.78
,,2017 - 2018,1.84
,,2018 - 2019,2.15
,,2019 - 2020,2.39
,,2020 - 2021,2.35
,,2021 - 2022,2.16
,,2022 - 2023,2.0
,Gir somnath,2014 - 2015,2.0
,,2015 - 2016,
,,2016 - 2017,1.77
,,2017 - 2018,1.85
,,2018 - 2019,
,,2019 - 2020,2.39
,,2020 - 2021,2.35
,,2021 - 2022,2.16
,,2022 - 2023,2.29
,Jamnagar,2000 - 2001,1.0
,,2001 - 2002,2.47
,,2002 - 2003,1.5
,,2003 - 2004,2.55
,,2004 - 2005,1.64
,,2005 - 2006,1.65
,,2006 - 2007,1.84
,,2007 - 2008,2.27
,,2008 - 2009,2.44
,,2009 - 2010,1.89
,,2010 - 2011,2.03
,,2011 - 2012,1.99
,,2012 - 2013,1.0
,,2013 - 2014,1.67
,,2014 - 2015,1.88
,,2015 - 2016,2.26
,,2016 - 2017,1.14
,,2017 - 2018,1.69
,,2018 - 2019,2.15
,,2019 - 2020,2.08
,,2020 - 2021,1.78
,,2021 - 2022,1.18
,,2022 - 2023,1.52
,Junagadh,2000 - 2001,1.0
,,2001 - 2002,1.32
,,2002 - 2003,1.38
,,2003 - 2004,1.47
,,2004 - 2005,1.95
,,2005 - 2006,1.8
,,2006 - 2007,1.59
,,2007 - 2008,1.63
,,2008 - 2009,1.74
,,2009 - 2010,1.76
,,2010 - 2011,1.76
,,2011 - 2012,1.94
,,2012 - 2013,2.15
,,2013 - 2014,1.72
,,2014 - 2015,1.76
,,2015 - 2016,2.08
,,2016 - 2017,0.73
,,2017 - 2018,1.84
,,2018 - 2019,2.16
,,2019 - 2020,2.39
,,2020 - 2021,4.54
,,2021 - 2022,1.62
,,2022 - 2023,2.5
,Kachchh,2000 - 2001,2.2
,,2001 - 2002,1.54
,,2002 - 2003,1.89
,,2003 - 2004,1.89
,,2004 - 2005,1.78
,,2005 - 2006,1.93
,,2006 - 2007,1.95
,,2007 - 2008,1.98
,,2008 - 2009,2.2
,,2009 - 2010,2.17
,,2010 - 2011,2.21
,,2011 - 2012,2.14
,,2012 - 2013,2.38
,,2013 - 2014,2.24
,,2014 - 2015,2.09
,,2015 - 2016,2.22
,,2016 - 2017,1.4
,,2017 - 2018,1.79
,,2018 - 2019,1.69
,,2019 - 2020,2.04
,,2020 - 2021,1.74
,,2021 - 2022,1.78
,,2022 - 2023,1.96
,Kheda,2000 - 2001,2.0
,,2001 - 2002,1.75
,,2002 - 2003,2.0
,,2003 - 2004,1.5
,,2004 - 2005,1.67
,,2005 - 2006,1.5
,,2006 - 2007,1.75
,,2007 - 2008,1.6
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2010 - 2011,1.5
,,2011 - 2012,2.0
,,2012 - 2013,2.33
,,2013 - 2014,1.92
,,2014 - 2015,1.84
,,2015 - 2016,1.67
,,2016 - 2017,1.78
,,2017 - 2018,1.84
,,2018 - 2019,2.16
,,2019 - 2020,2.39
,,2020 - 2021,2.35
,,2021 - 2022,2.16
,,2022 - 2023,2.29
,Mahesana,2000 - 2001,2.0
,,2001 - 2002,2.0
,,2002 - 2003,
,,2003 - 2004,2.0
,,2004 - 2005,1.0
,,2005 - 2006,1.33
,,2006 - 2007,1.67
,,2007 - 2008,1.5
,,2008 - 2009,1.5
,,2009 - 2010,1.5
,,2010 - 2011,1.5
,,2011 - 2012,1.9
,,2012 - 2013,2.67
,,2013 - 2014,1.92
,,2014 - 2015,1.84
,,2015 - 2016,1.67
,,2016 - 2017,1.78
,,2017 - 2018,1.97
,,2018 - 2019,2.05
,,2019 - 2020,2.45
,,2020 - 2021,2.04
,,2021 - 2022,2.22
,,2022 - 2023,2.29
,Mahisagar,2014 - 2015,1.6
,,2015 - 2016,1.35
,,2016 - 2017,1.64
,,2017 - 2018,1.51
,,2018 - 2019,1.75
,,2019 - 2020,1.87
,,2020 - 2021,1.88
,,2021 - 2022,1.91
,,2022 - 2023,2.08
,Morbi,2014 - 2015,1.89
,,2015 - 2016,1.65
,,2016 - 2017,2.06
,,2017 - 2018,2.54
,,2018 - 2019,2.54
,,2019 - 2020,2.79
,,2020 - 2021,2.35
,,2021 - 2022,2.16
,,2022 - 2023,3.27
,Narmada,2003 - 2004,1.15
,,2004 - 2005,1.73
,,2005 - 2006,1.33
,,2006 - 2007,1.88
,,2007 - 2008,1.26
,,2008 - 2009,1.88
,,2009 - 2010,1.92
,,2010 - 2011,1.78
,,2011 - 2012,1.92
,,2012 - 2013,2.27
,,2013 - 2014,1.92
,,2014 - 2015,1.68
,,2015 - 2016,1.42
,,2016 - 2017,1.31
,,2017 - 2018,1.84
,,2018 - 2019,2.16
,,2019 - 2020,2.36
,,2020 - 2021,
,,2021 - 2022,2.16
,,2022 - 2023,2.3
,Navsari,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,
,,2007 - 2008,2.0
,,2008 - 2009,1.5
,,2009 - 2010,1.0
,,2010 - 2011,1.8
,,2011 - 2012,1.8
,,2012 - 2013,1.0
,,2013 - 2014,1.92
,,2014 - 2015,1.84
,,2015 - 2016,1.65
,,2016 - 2017,1.76
,,2017 - 2018,1.85
,,2018 - 2019,2.16
,,2019 - 2020,2.4
,,2020 - 2021,2.35
,,2021 - 2022,2.18
,,2022 - 2023,2.33
,Panch mahals,2000 - 2001,1.0
,,2001 - 2002,1.29
,,2002 - 2003,1.5
,,2003 - 2004,1.65
,,2004 - 2005,1.67
,,2005 - 2006,1.21
,,2006 - 2007,1.64
,,2007 - 2008,1.29
,,2008 - 2009,1.79
,,2009 - 2010,1.94
,,2010 - 2011,1.79
,,2011 - 2012,1.9
,,2012 - 2013,2.27
,,2013 - 2014,1.92
,,2014 - 2015,1.82
,,2015 - 2016,1.85
,,2016 - 2017,1.67
,,2017 - 2018,1.84
,,2018 - 2019,2.16
,,2019 - 2020,2.39
,,2020 - 2021,2.35
,,2021 - 2022,2.16
,,2022 - 2023,2.3
,Patan,2008 - 2009,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.78
,,2017 - 2018,1.85
,,2018 - 2019,2.15
,,2019 - 2020,2.4
,,2020 - 2021,2.34
,,2021 - 2022,2.16
,,2022 - 2023,2.29
,Porbandar,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.67
,,2007 - 2008,2.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,2.0
,,2011 - 2012,2.0
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,1.8
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.4
,,2020 - 2021,2.36
,,2021 - 2022,2.16
,,2022 - 2023,2.29
,Rajkot,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.6
,,2004 - 2005,2.0
,,2005 - 2006,1.75
,,2006 - 2007,1.71
,,2007 - 2008,1.73
,,2008 - 2009,1.86
,,2009 - 2010,1.89
,,2010 - 2011,1.78
,,2011 - 2012,1.98
,,2012 - 2013,1.33
,,2013 - 2014,2.62
,,2014 - 2015,2.27
,,2015 - 2016,1.89
,,2016 - 2017,0.91
,,2017 - 2018,0.9
,,2018 - 2019,2.16
,,2019 - 2020,2.39
,,2020 - 2021,2.82
,,2021 - 2022,2.16
,,2022 - 2023,2.64
,Sabar kantha,2000 - 2001,1.22
,,2001 - 2002,1.15
,,2002 - 2003,1.41
,,2003 - 2004,1.3
,,2004 - 2005,1.15
,,2005 - 2006,1.65
,,2006 - 2007,1.25
,,2007 - 2008,1.1
,,2008 - 2009,1.9
,,2009 - 2010,1.52
,,2010 - 2011,1.46
,,2011 - 2012,1.36
,,2012 - 2013,2.55
,,2013 - 2014,1.79
,,2014 - 2015,1.82
,,2015 - 2016,1.76
,,2016 - 2017,1.6
,,2017 - 2018,1.99
,,2018 - 2019,2.57
,,2019 - 2020,2.67
,,2020 - 2021,2.64
,,2021 - 2022,2.16
,,2022 - 2023,2.66
,Surat,2000 - 2001,1.42
,,2001 - 2002,1.51
,,2002 - 2003,1.68
,,2003 - 2004,1.37
,,2004 - 2005,1.8
,,2005 - 2006,1.92
,,2006 - 2007,1.88
,,2007 - 2008,1.86
,,2008 - 2009,1.62
,,2009 - 2010,1.77
,,2010 - 2011,1.56
,,2011 - 2012,1.41
,,2012 - 2013,1.55
,,2013 - 2014,1.33
,,2014 - 2015,1.5
,,2015 - 2016,1.55
,,2016 - 2017,1.72
,,2017 - 2018,1.55
,,2018 - 2019,2.16
,,2019 - 2020,2.39
,,2020 - 2021,2.35
,,2021 - 2022,2.16
,,2022 - 2023,2.29
,Surendranagar,2000 - 2001,1.46
,,2001 - 2002,1.2
,,2002 - 2003,1.83
,,2003 - 2004,2.0
,,2004 - 2005,1.67
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,1.71
,,2008 - 2009,1.75
,,2009 - 2010,2.33
,,2010 - 2011,1.82
,,2011 - 2012,1.94
,,2012 - 2013,2.25
,,2013 - 2014,1.92
,,2014 - 2015,1.84
,,2015 - 2016,2.8
,,2016 - 2017,2.23
,,2017 - 2018,1.84
,,2018 - 2019,2.16
,,2019 - 2020,2.4
,,2020 - 2021,2.35
,,2021 - 2022,2.16
,,2022 - 2023,2.3
,Tapi,2008 - 2009,2.15
,,2009 - 2010,2.33
,,2010 - 2011,1.57
,,2011 - 2012,2.39
,,2012 - 2013,2.14
,,2013 - 2014,1.93
,,2014 - 2015,1.88
,,2015 - 2016,1.68
,,2016 - 2017,1.89
,,2017 - 2018,1.83
,,2018 - 2019,2.04
,,2019 - 2020,2.11
,,2020 - 2021,1.92
,,2021 - 2022,2.18
,,2022 - 2023,2.18
,Vadodara,2000 - 2001,2.1
,,2001 - 2002,1.26
,,2002 - 2003,1.78
,,2003 - 2004,1.6
,,2004 - 2005,1.68
,,2005 - 2006,1.59
,,2006 - 2007,2.0
,,2007 - 2008,1.63
,,2008 - 2009,1.79
,,2009 - 2010,1.86
,,2010 - 2011,1.54
,,2011 - 2012,1.66
,,2012 - 2013,1.4
,,2013 - 2014,1.55
,,2014 - 2015,1.58
,,2015 - 2016,1.68
,,2016 - 2017,1.8
,,2017 - 2018,1.8
,,2018 - 2019,2.14
,,2019 - 2020,2.36
,,2020 - 2021,2.33
,,2021 - 2022,2.11
,,2022 - 2023,
,Valsad,2000 - 2001,1.67
,,2001 - 2002,1.0
,,2002 - 2003,2.0
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,
,,2013 - 2014,1.33
,,2014 - 2015,1.82
,,2015 - 2016,
,,2016 - 2017,1.75
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,2.5
,,2021 - 2022,
,,2022 - 2023,2.33
Haryana,Ambala,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2021 - 2022,
,Bhiwani,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Charki dadri,2019 - 2020,
,,2021 - 2022,
,Faridabad,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2010 - 2011,
,,2018 - 2019,
,Fatehabad,2000 - 2001,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Gurgaon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,Hisar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Jhajjar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Karnal,2000 - 2001,
,,2003 - 2004,
,,2008 - 2009,
,Mahendragarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2018 - 2019,
,,2021 - 2022,
,Mewat,2005 - 2006,
,,2006 - 2007,
,,2012 - 2013,
,,2020 - 2021,
,Panchkula,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Panipat,2019 - 2020,
,Rewari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Sirsa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Sonipat,2001 - 2002,
,Yamunanagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
Himachal Pradesh,Bilaspur,2001 - 2002,
,,2002 - 2003,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Chamba,2007 - 2008,
,Kullu,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,Shimla,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Sirmaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Solan,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2021 - 2022,
,,2022 - 2023,
,Una,2000 - 2001,
,,2002 - 2003,
Jammu and Kashmir,Jammu,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,Kathua,2007 - 2008,
,,2009 - 2010,
,Samba,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
Jharkhand,Bokaro,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chatra,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Deoghar,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dhanbad,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Dumka,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East singhbum,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Garhwa,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Giridih,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Godda,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gumla,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hazaribagh,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jamtara,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khunti,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Koderma,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Latehar,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lohardaga,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pakur,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Palamu,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ramgarh,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ranchi,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sahebganj,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Saraikela kharsawan,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Simdega,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West singhbhum,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Karnataka,Bagalkot,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,1.05
,,2013 - 2014,1.02
,,2014 - 2015,1.03
,,2015 - 2016,0.9
,,2016 - 2017,1.35
,,2017 - 2018,1.52
,,2018 - 2019,0.99
,,2019 - 2020,1.56
,,2020 - 2021,1.4
,,2021 - 2022,1.46
,,2022 - 2023,1.14
,Bangalore rural,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.9
,,2014 - 2015,0.87
,,2015 - 2016,0.67
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.75
,,2019 - 2020,1.0
,,2020 - 2021,1.1
,,2021 - 2022,1.0
,,2022 - 2023,
,Belgaum,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,0.72
,,2013 - 2014,0.93
,,2014 - 2015,0.91
,,2015 - 2016,0.81
,,2016 - 2017,1.2
,,2017 - 2018,1.22
,,2018 - 2019,1.03
,,2019 - 2020,1.12
,,2020 - 2021,1.22
,,2021 - 2022,0.95
,,2022 - 2023,1.07
,Bellary,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,0.74
,,2013 - 2014,1.05
,,2014 - 2015,0.9
,,2015 - 2016,1.02
,,2016 - 2017,0.77
,,2017 - 2018,1.35
,,2018 - 2019,1.06
,,2019 - 2020,1.41
,,2020 - 2021,1.39
,,2021 - 2022,1.24
,,2022 - 2023,0.99
,Bengaluru urban,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.86
,,2014 - 2015,
,,2015 - 2016,0.75
,,2016 - 2017,1.0
,,2017 - 2018,1.25
,,2018 - 2019,1.0
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bidar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
