state,district,year,urad_summer_yield_tonne_per_hectare
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nandurbar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.54
,Nashik,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.54
,Palghar,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Parbhani,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.54
,,2022 - 2023,0.54
,Pune,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.54
,,2022 - 2023,0.54
,Raigad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,Ratnagiri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,0.54
,,2022 - 2023,0.54
,Sangli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Satara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sindhudurg,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Solapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.54
,,2022 - 2023,0.54
,Thane,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wardha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Washim,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.54
,,2022 - 2023,0.54
,Yavatmal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.43
Manipur,Bishnupur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Chandel,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Churachandpur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Imphal east,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Imphal west,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Senapati,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Tamenglong,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Thoubal,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Ukhrul,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
Mizoram,Aizawl,2001 - 2002,
,,2002 - 2003,
,Kolasib,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,Lunglei,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,Mamit,2004 - 2005,
,,2005 - 2006,
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kiphire,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Kohima,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Longleng,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Mokokchung,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mon,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Noklak,2022 - 2023,
,Nuiland,2022 - 2023,
,Peren,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Phek,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Shamator,2022 - 2023,
,Tseminyu,2022 - 2023,
,Tuensang,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Wokha,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Zunheboto,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Odisha,Anugul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.24
,,2005 - 2006,0.13
,,2006 - 2007,0.28
,,2007 - 2008,0.29
,,2008 - 2009,0.2
,,2009 - 2010,0.21
,,2010 - 2011,0.27
,,2011 - 2012,0.27
,,2012 - 2013,0.4
,,2013 - 2014,0.42
,,2014 - 2015,0.41
,,2015 - 2016,0.42
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.49
,,2019 - 2020,0.45
,,2020 - 2021,
,,2021 - 2022,0.52
,,2022 - 2023,0.41
,Balangir,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.12
,,2005 - 2006,0.35
,,2006 - 2007,0.18
,,2007 - 2008,0.22
,,2008 - 2009,0.29
,,2009 - 2010,0.38
,,2010 - 2011,0.43
,,2011 - 2012,0.21
,,2012 - 2013,0.63
,,2013 - 2014,0.75
,,2014 - 2015,0.49
,,2015 - 2016,0.4
,,2016 - 2017,0.46
,,2017 - 2018,0.36
,,2018 - 2019,0.22
,,2019 - 2020,0.38
,,2020 - 2021,0.48
,,2021 - 2022,0.33
,,2022 - 2023,0.44
,Baleshwar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.31
,,2005 - 2006,0.32
,,2006 - 2007,0.35
,,2007 - 2008,0.29
,,2008 - 2009,0.39
,,2009 - 2010,0.33
,,2010 - 2011,0.4
,,2011 - 2012,0.38
,,2012 - 2013,0.37
,,2013 - 2014,0.46
,,2014 - 2015,0.38
,,2015 - 2016,0.51
,,2016 - 2017,0.35
,,2017 - 2018,0.53
,,2018 - 2019,0.38
,,2019 - 2020,0.38
,,2020 - 2021,0.35
,,2021 - 2022,0.34
,,2022 - 2023,0.39
,Bargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.4
,,2006 - 2007,0.25
,,2007 - 2008,0.29
,,2008 - 2009,0.32
,,2009 - 2010,0.33
,,2010 - 2011,0.26
,,2011 - 2012,0.36
,,2012 - 2013,0.36
,,2013 - 2014,0.4
,,2014 - 2015,0.43
,,2015 - 2016,0.42
,,2016 - 2017,0.6
,,2017 - 2018,0.38
,,2018 - 2019,0.36
,,2019 - 2020,0.29
,,2020 - 2021,0.4
,,2021 - 2022,0.29
,,2022 - 2023,0.35
,Bhadrak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.41
,,2005 - 2006,0.48
,,2006 - 2007,0.27
,,2007 - 2008,0.31
,,2008 - 2009,0.33
,,2009 - 2010,0.33
,,2010 - 2011,0.49
,,2011 - 2012,0.28
,,2012 - 2013,0.42
,,2013 - 2014,0.48
,,2014 - 2015,0.54
,,2015 - 2016,0.54
,,2016 - 2017,0.65
,,2017 - 2018,0.51
,,2018 - 2019,0.48
,,2019 - 2020,0.49
,,2020 - 2021,0.28
,,2021 - 2022,0.36
,,2022 - 2023,0.41
,Boudh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.07
,,2005 - 2006,0.16
,,2006 - 2007,0.38
,,2007 - 2008,0.24
,,2008 - 2009,0.3
,,2009 - 2010,0.21
,,2010 - 2011,0.26
,,2011 - 2012,0.1
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.17
,,2015 - 2016,
,,2016 - 2017,0.56
,,2017 - 2018,0.2
,,2018 - 2019,0.33
,,2019 - 2020,0.3
,,2020 - 2021,0.39
,,2021 - 2022,0.28
,,2022 - 2023,0.28
,Cuttack,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.56
,,2005 - 2006,0.46
,,2006 - 2007,0.42
,,2007 - 2008,0.47
,,2008 - 2009,0.45
,,2009 - 2010,0.42
,,2010 - 2011,0.43
,,2011 - 2012,0.41
,,2012 - 2013,0.43
,,2013 - 2014,0.44
,,2014 - 2015,0.5
,,2015 - 2016,0.51
,,2016 - 2017,0.67
,,2017 - 2018,0.58
,,2018 - 2019,0.41
,,2019 - 2020,0.21
,,2020 - 2021,0.15
,,2021 - 2022,0.35
,,2022 - 2023,0.39
,Deogarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.3
,,2005 - 2006,0.41
,,2006 - 2007,0.27
,,2007 - 2008,0.3
,,2008 - 2009,0.5
,,2009 - 2010,0.39
,,2010 - 2011,0.38
,,2011 - 2012,0.38
,,2012 - 2013,0.4
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.3
,,2016 - 2017,0.3
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.43
,,2020 - 2021,
,,2021 - 2022,0.5
,,2022 - 2023,0.3
,Dhenkanal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.1
,,2006 - 2007,
,,2007 - 2008,0.31
,,2008 - 2009,0.35
,,2009 - 2010,0.13
,,2010 - 2011,0.17
,,2011 - 2012,0.4
,,2012 - 2013,
,,2013 - 2014,0.26
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.51
,,2017 - 2018,0.39
,,2018 - 2019,0.51
,,2019 - 2020,0.47
,,2020 - 2021,0.37
,,2021 - 2022,0.43
,,2022 - 2023,0.35
,Gajapati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.0
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.14
,,2011 - 2012,0.18
,,2012 - 2013,0.23
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ganjam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.22
,,2005 - 2006,0.32
,,2006 - 2007,0.34
,,2007 - 2008,0.35
,,2008 - 2009,0.25
,,2009 - 2010,0.25
,,2010 - 2011,0.34
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.26
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.2
,,2021 - 2022,0.2
,,2022 - 2023,0.27
,Jagatsinghapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.31
,,2005 - 2006,0.37
,,2006 - 2007,0.37
,,2007 - 2008,0.28
,,2008 - 2009,0.34
,,2009 - 2010,0.29
,,2010 - 2011,0.33
,,2011 - 2012,0.38
,,2012 - 2013,0.32
,,2013 - 2014,0.39
,,2014 - 2015,0.43
,,2015 - 2016,0.44
,,2016 - 2017,0.4
,,2017 - 2018,0.4
,,2018 - 2019,0.31
,,2019 - 2020,0.17
,,2020 - 2021,0.06
,,2021 - 2022,0.21
,,2022 - 2023,0.31
,Jajapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.3
,,2005 - 2006,0.2
,,2006 - 2007,0.31
,,2007 - 2008,0.31
,,2008 - 2009,0.38
,,2009 - 2010,0.31
,,2010 - 2011,0.18
,,2011 - 2012,0.3
,,2012 - 2013,0.46
,,2013 - 2014,0.36
,,2014 - 2015,0.3
,,2015 - 2016,0.16
,,2016 - 2017,0.41
,,2017 - 2018,0.1
,,2018 - 2019,0.24
,,2019 - 2020,0.19
,,2020 - 2021,0.2
,,2021 - 2022,0.03
,,2022 - 2023,0.1
,Jharsuguda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.45
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.41
,,2018 - 2019,
,,2020 - 2021,0.18
,,2021 - 2022,0.38
,,2022 - 2023,0.3
,Kalahandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.1
,,2008 - 2009,0.15
,,2009 - 2010,0.15
,,2010 - 2011,0.24
,,2011 - 2012,0.1
,,2012 - 2013,
,,2013 - 2014,0.17
,,2014 - 2015,0.33
,,2015 - 2016,0.56
,,2016 - 2017,0.33
,,2017 - 2018,0.38
,,2018 - 2019,0.6
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.34
,,2022 - 2023,0.64
,Kandhamal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kendrapara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.38
,,2005 - 2006,0.39
,,2006 - 2007,0.34
,,2007 - 2008,0.36
,,2008 - 2009,0.38
,,2009 - 2010,0.3
,,2010 - 2011,0.37
,,2011 - 2012,0.35
,,2012 - 2013,0.35
,,2013 - 2014,0.41
,,2014 - 2015,0.42
,,2015 - 2016,0.29
,,2016 - 2017,0.29
,,2017 - 2018,0.46
,,2018 - 2019,0.47
,,2019 - 2020,0.32
,,2020 - 2021,0.15
,,2021 - 2022,0.34
,,2022 - 2023,0.36
,Kendujhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.31
,,2005 - 2006,0.71
,,2006 - 2007,0.39
,,2007 - 2008,0.65
,,2008 - 2009,0.3
,,2009 - 2010,0.11
,,2010 - 2011,0.49
,,2011 - 2012,0.24
,,2012 - 2013,0.32
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.39
,,2016 - 2017,0.45
,,2017 - 2018,0.5
,,2018 - 2019,0.29
,,2019 - 2020,0.55
,,2020 - 2021,0.52
,,2021 - 2022,0.47
,,2022 - 2023,0.55
,Khordha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.35
,,2005 - 2006,0.17
,,2006 - 2007,0.18
,,2007 - 2008,0.22
,,2008 - 2009,0.2
,,2009 - 2010,0.18
,,2010 - 2011,0.16
,,2011 - 2012,0.21
,,2012 - 2013,0.28
,,2013 - 2014,0.31
,,2014 - 2015,0.21
,,2015 - 2016,0.24
,,2016 - 2017,0.49
,,2017 - 2018,0.41
,,2018 - 2019,0.29
,,2019 - 2020,0.41
,,2020 - 2021,0.22
,,2021 - 2022,0.35
,,2022 - 2023,0.45
,Koraput,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.08
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.21
,,2010 - 2011,0.33
,,2011 - 2012,0.13
,,2012 - 2013,0.33
,,2013 - 2014,
,,2014 - 2015,0.63
,,2015 - 2016,
,,2016 - 2017,0.34
,,2017 - 2018,0.43
,,2018 - 2019,0.5
,,2019 - 2020,0.66
,,2020 - 2021,
,,2021 - 2022,0.39
,,2022 - 2023,
,Malkangiri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.12
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.17
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.4
,,2016 - 2017,
,,2017 - 2018,0.25
,,2018 - 2019,
,,2019 - 2020,0.93
,,2020 - 2021,0.65
,,2021 - 2022,0.37
,,2022 - 2023,
,Mayurbhanj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.17
,,2006 - 2007,0.39
,,2007 - 2008,0.3
,,2008 - 2009,0.43
,,2009 - 2010,0.34
,,2010 - 2011,0.41
,,2011 - 2012,0.38
,,2012 - 2013,0.33
,,2013 - 2014,0.44
,,2014 - 2015,0.46
,,2015 - 2016,0.5
,,2016 - 2017,0.63
,,2017 - 2018,0.58
,,2018 - 2019,0.55
,,2019 - 2020,0.48
,,2020 - 2021,0.52
,,2021 - 2022,0.46
,,2022 - 2023,0.44
,Nabarangpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.38
,,2015 - 2016,0.71
,,2016 - 2017,0.83
,,2017 - 2018,0.36
,,2018 - 2019,0.8
,,2019 - 2020,0.27
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nayagarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.24
,,2011 - 2012,0.15
,,2012 - 2013,
,,2013 - 2014,0.3
,,2014 - 2015,
,,2015 - 2016,0.13
,,2016 - 2017,
