state,district,year,rice_summer_yield_tonne_per_hectare
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East godavari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Eluru,2022 - 2023,
,Guntur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kadapa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kakinada,2022 - 2023,
,Konaseema,2022 - 2023,
,Krishna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kurnool,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nandyal,2022 - 2023,
,Ntr,2022 - 2023,
,Palnadu,2022 - 2023,
,Parvathipuram manyam,2022 - 2023,
,Prakasam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Spsr nellore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sri sathya sai,2022 - 2023,
,Srikakulam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirupati,2022 - 2023,
,Visakhapatanam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vizianagaram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West godavari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Arunachal Pradesh,Anjaw,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Changlang,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dibang valley,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East kameng,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East siang,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kamle,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kra daadi,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kurung kumey,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Leparada,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lohit,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Longding,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lower dibang valley,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lower siang,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lower subansiri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Namsai,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pakke kessang,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Papum pare,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shi yomi,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siang,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tawang,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirap,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Upper siang,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Upper subansiri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West kameng,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West siang,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Assam,Baksa,2005 - 2006,1.35
,,2006 - 2007,2.02
,,2007 - 2008,2.01
,,2008 - 2009,1.79
,,2009 - 2010,1.56
,,2010 - 2011,2.19
,,2011 - 2012,2.24
,,2012 - 2013,2.44
,,2013 - 2014,2.14
,,2014 - 2015,2.13
,,2015 - 2016,2.16
,,2016 - 2017,1.96
,,2017 - 2018,2.19
,,2018 - 2019,2.45
,,2019 - 2020,2.24
,,2020 - 2021,2.25
,,2021 - 2022,1.58
,,2022 - 2023,2.66
,Barpeta,2000 - 2001,2.32
,,2001 - 2002,2.13
,,2002 - 2003,2.19
,,2003 - 2004,2.18
,,2004 - 2005,1.71
,,2005 - 2006,1.47
,,2006 - 2007,2.17
,,2007 - 2008,2.23
,,2008 - 2009,1.99
,,2009 - 2010,2.52
,,2010 - 2011,2.55
,,2011 - 2012,3.37
,,2012 - 2013,3.09
,,2013 - 2014,3.3
,,2014 - 2015,2.88
,,2015 - 2016,2.64
,,2016 - 2017,2.8
,,2017 - 2018,3.82
,,2018 - 2019,3.09
,,2019 - 2020,2.98
,,2020 - 2021,2.7
,,2021 - 2022,3.2
,,2022 - 2023,2.69
,Biswanath,2020 - 2021,2.31
,,2021 - 2022,2.1
,,2022 - 2023,2.5
,Bongaigaon,2000 - 2001,1.42
,,2001 - 2002,1.65
,,2002 - 2003,1.56
,,2003 - 2004,1.31
,,2004 - 2005,1.32
,,2005 - 2006,1.91
,,2006 - 2007,1.56
,,2007 - 2008,2.38
,,2008 - 2009,2.1
,,2009 - 2010,2.3
,,2010 - 2011,3.29
,,2011 - 2012,2.96
,,2012 - 2013,2.97
,,2013 - 2014,2.96
,,2014 - 2015,3.33
,,2015 - 2016,2.73
,,2016 - 2017,2.73
,,2017 - 2018,2.57
,,2018 - 2019,2.53
,,2019 - 2020,1.25
,,2020 - 2021,2.02
,,2021 - 2022,2.21
,,2022 - 2023,3.16
,Cachar,2000 - 2001,2.2
,,2001 - 2002,1.34
,,2002 - 2003,1.75
,,2003 - 2004,0.0
,,2004 - 2005,1.48
,,2005 - 2006,1.63
,,2006 - 2007,1.04
,,2007 - 2008,1.91
,,2008 - 2009,2.21
,,2009 - 2010,0.72
,,2010 - 2011,1.94
,,2011 - 2012,1.87
,,2012 - 2013,1.95
,,2013 - 2014,1.68
,,2014 - 2015,1.95
,,2015 - 2016,1.25
,,2016 - 2017,0.51
,,2017 - 2018,2.5
,,2018 - 2019,2.55
,,2019 - 2020,2.59
,,2020 - 2021,3.92
,,2021 - 2022,2.28
,,2022 - 2023,2.65
,Charaideo,2020 - 2021,2.83
,,2021 - 2022,2.28
,,2022 - 2023,2.96
,Chirang,2005 - 2006,1.62
,,2006 - 2007,2.02
,,2007 - 2008,1.61
,,2008 - 2009,1.37
,,2009 - 2010,1.45
,,2010 - 2011,2.48
,,2011 - 2012,2.5
,,2012 - 2013,2.97
,,2013 - 2014,2.21
,,2014 - 2015,2.38
,,2015 - 2016,2.7
,,2016 - 2017,2.12
,,2017 - 2018,2.01
,,2018 - 2019,1.74
,,2019 - 2020,1.6
,,2020 - 2021,1.5
,,2021 - 2022,2.93
,,2022 - 2023,3.01
,Darrang,2000 - 2001,1.47
,,2001 - 2002,2.0
,,2002 - 2003,1.88
,,2003 - 2004,1.66
,,2004 - 2005,1.75
,,2005 - 2006,1.76
,,2006 - 2007,2.06
,,2007 - 2008,2.37
,,2008 - 2009,2.41
,,2009 - 2010,2.42
,,2010 - 2011,2.7
,,2011 - 2012,2.92
,,2012 - 2013,3.57
,,2013 - 2014,3.6
,,2014 - 2015,3.76
,,2015 - 2016,3.03
,,2016 - 2017,3.41
,,2017 - 2018,3.02
,,2018 - 2019,3.5
,,2019 - 2020,3.06
,,2020 - 2021,3.3
,,2021 - 2022,1.79
,,2022 - 2023,3.01
,Dhemaji,2000 - 2001,1.0
,,2001 - 2002,1.15
,,2002 - 2003,0.83
,,2003 - 2004,0.65
,,2004 - 2005,0.76
,,2005 - 2006,0.87
,,2006 - 2007,1.04
,,2007 - 2008,2.27
,,2008 - 2009,1.36
,,2009 - 2010,0.87
,,2010 - 2011,1.41
,,2011 - 2012,1.77
,,2012 - 2013,1.97
,,2013 - 2014,2.01
,,2014 - 2015,1.51
,,2015 - 2016,0.99
,,2016 - 2017,0.91
,,2017 - 2018,1.04
,,2018 - 2019,1.09
,,2019 - 2020,1.47
,,2020 - 2021,2.01
,,2021 - 2022,0.86
,,2022 - 2023,2.02
,Dhubri,2000 - 2001,2.25
,,2001 - 2002,2.51
,,2002 - 2003,2.12
,,2003 - 2004,2.18
,,2004 - 2005,2.14
,,2005 - 2006,2.1
,,2006 - 2007,2.98
,,2007 - 2008,2.87
,,2008 - 2009,2.08
,,2009 - 2010,2.24
,,2010 - 2011,3.19
,,2011 - 2012,3.19
,,2012 - 2013,3.59
,,2013 - 2014,3.54
,,2014 - 2015,3.79
,,2015 - 2016,3.58
,,2016 - 2017,3.9
,,2017 - 2018,3.03
,,2018 - 2019,3.14
,,2019 - 2020,2.99
,,2020 - 2021,3.22
,,2021 - 2022,2.01
,,2022 - 2023,3.42
,Dibrugarh,2000 - 2001,2.07
,,2001 - 2002,2.0
,,2002 - 2003,1.9
,,2003 - 2004,1.79
,,2004 - 2005,1.96
,,2005 - 2006,1.78
,,2006 - 2007,2.02
,,2007 - 2008,2.29
,,2008 - 2009,2.11
,,2009 - 2010,2.19
,,2010 - 2011,2.57
,,2011 - 2012,2.75
,,2012 - 2013,2.96
,,2013 - 2014,2.98
,,2014 - 2015,2.94
,,2015 - 2016,2.82
,,2016 - 2017,2.34
,,2017 - 2018,2.97
,,2018 - 2019,2.86
,,2019 - 2020,2.59
,,2020 - 2021,2.82
,,2021 - 2022,2.28
,,2022 - 2023,2.96
,Dima hasao,2000 - 2001,2.06
,,2001 - 2002,2.8
,,2002 - 2003,1.91
,,2003 - 2004,1.78
,,2004 - 2005,1.95
,,2005 - 2006,1.79
,,2006 - 2007,2.0
,,2007 - 2008,2.27
,,2008 - 2009,2.12
,,2009 - 2010,2.18
,,2010 - 2011,2.57
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,2.96
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Goalpara,2000 - 2001,2.42
,,2001 - 2002,2.11
,,2002 - 2003,2.45
,,2003 - 2004,2.37
,,2004 - 2005,2.32
,,2005 - 2006,2.16
,,2006 - 2007,2.28
,,2007 - 2008,2.87
,,2008 - 2009,2.76
,,2009 - 2010,2.03
,,2010 - 2011,2.79
,,2011 - 2012,3.13
,,2012 - 2013,3.18
,,2013 - 2014,3.25
,,2014 - 2015,3.19
,,2015 - 2016,2.63
,,2016 - 2017,2.86
,,2017 - 2018,3.41
,,2018 - 2019,3.54
,,2019 - 2020,2.19
,,2020 - 2021,2.7
,,2021 - 2022,2.18
,,2022 - 2023,2.83
,Golaghat,2000 - 2001,2.07
,,2001 - 2002,2.0
,,2002 - 2003,2.25
,,2003 - 2004,1.91
,,2004 - 2005,2.04
,,2005 - 2006,2.14
,,2006 - 2007,2.02
,,2007 - 2008,1.95
,,2008 - 2009,1.68
,,2009 - 2010,2.1
,,2010 - 2011,1.97
,,2011 - 2012,2.54
,,2012 - 2013,2.6
,,2013 - 2014,2.42
,,2014 - 2015,2.2
,,2015 - 2016,1.89
,,2016 - 2017,2.07
,,2017 - 2018,2.22
,,2018 - 2019,1.97
,,2019 - 2020,2.59
,,2020 - 2021,2.44
,,2021 - 2022,2.68
,,2022 - 2023,2.95
,Hailakandi,2000 - 2001,1.62
,,2001 - 2002,1.31
,,2002 - 2003,1.79
,,2003 - 2004,0.0
,,2004 - 2005,1.96
,,2005 - 2006,1.78
,,2006 - 2007,2.02
,,2007 - 2008,1.85
,,2008 - 2009,2.04
,,2009 - 2010,2.18
,,2010 - 2011,1.87
,,2011 - 2012,2.52
,,2012 - 2013,
,,2013 - 2014,1.77
,,2014 - 2015,1.77
,,2015 - 2016,1.89
,,2016 - 2017,2.45
,,2017 - 2018,2.01
,,2018 - 2019,2.22
,,2019 - 2020,2.59
,,2020 - 2021,2.19
,,2021 - 2022,2.46
,,2022 - 2023,2.07
,Hojai,2020 - 2021,2.82
,,2021 - 2022,2.86
,,2022 - 2023,3.17
,Jorhat,2000 - 2001,1.49
,,2001 - 2002,1.78
,,2002 - 2003,1.77
,,2003 - 2004,1.79
,,2004 - 2005,1.5
,,2005 - 2006,0.75
,,2006 - 2007,1.66
,,2007 - 2008,1.84
,,2008 - 2009,1.06
,,2009 - 2010,1.09
,,2010 - 2011,0.93
,,2011 - 2012,1.23
,,2012 - 2013,1.55
,,2013 - 2014,1.55
,,2014 - 2015,1.56
,,2015 - 2016,1.65
,,2016 - 2017,1.89
,,2017 - 2018,2.35
,,2018 - 2019,2.38
,,2019 - 2020,3.04
,,2020 - 2021,1.3
,,2021 - 2022,2.72
,,2022 - 2023,3.04
,Kamrup,2000 - 2001,2.0
,,2001 - 2002,2.16
,,2002 - 2003,1.69
,,2003 - 2004,1.99
,,2004 - 2005,2.61
,,2005 - 2006,2.01
,,2006 - 2007,2.22
,,2007 - 2008,2.85
,,2008 - 2009,2.58
,,2009 - 2010,2.54
,,2010 - 2011,2.74
,,2011 - 2012,2.68
,,2012 - 2013,2.32
,,2013 - 2014,2.91
,,2014 - 2015,2.9
,,2015 - 2016,3.61
,,2016 - 2017,2.93
,,2017 - 2018,2.83
,,2018 - 2019,2.86
,,2019 - 2020,2.59
,,2020 - 2021,2.5
,,2021 - 2022,1.65
,,2022 - 2023,3.34
,Kamrup metro,2005 - 2006,2.05
,,2006 - 2007,2.29
,,2007 - 2008,2.23
,,2008 - 2009,1.99
,,2009 - 2010,2.09
,,2010 - 2011,2.47
,,2011 - 2012,2.91
,,2012 - 2013,2.38
,,2013 - 2014,2.96
,,2014 - 2015,2.98
,,2015 - 2016,2.86
,,2016 - 2017,3.15
,,2017 - 2018,3.63
,,2018 - 2019,3.09
,,2019 - 2020,1.7
,,2020 - 2021,2.85
