State,District,Year,Cotton(lint),,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
1. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,"2,682.00","7,614.00",2.84,,,,,,,,,
,2. Anakapalli,2022 - 2023,82,230,2.8,,,,,,,,,
,3. Anantapur,2000 - 2001,"12,025.00","16,128.00",1.34,,,,,,,,,
,,2001 - 2002,"8,552.00","9,055.00",1.06,,,,,,,,,
,,2002 - 2003,"7,638.00","7,144.00",0.94,,,,,,,,,
,,2003 - 2004,"4,212.00","4,262.00",1.01,,,,,,,,,
,,2004 - 2005,"8,933.00","7,041.00",0.79,,,,,,,,,
,,2005 - 2006,"3,295.00","3,450.00",1.05,,,,,,,,,
,,2006 - 2007,"1,506.00","1,940.00",1.29,,,,,,,,,
,,2007 - 2008,"3,000.00","2,000.00",0.67,,,,,,,,,
,,2008 - 2009,"1,611.00","1,241.00",0.77,,,,,,,,,
,,2009 - 2010,"2,063.00","1,226.00",0.59,,,,,,,,,
,,2010 - 2011,"4,338.00","2,977.00",0.69,,,,,,,,,
,,2011 - 2012,"19,299.00","12,069.00",0.63,,,,,,,,,
,,2012 - 2013,"28,000.00","35,000.00",1.25,,,,,,,,,
,,2013 - 2014,"37,661.00","77,316.00",2.05,62,127,2.05,,,,,,
,,2014 - 2015,"73,734.00","1,03,779.00",1.41,884,"1,244.00",1.41,,,,,,
,,2015 - 2016,"60,154.00","1,00,071.00",1.66,633,"1,053.00",1.66,,,,,,
,,2016 - 2017,"31,691.00","25,977.00",0.82,108,88,0.81,,,,,,
,,2017 - 2018,"45,438.00","1,28,798.00",2.83,114,322,2.82,,,,,,
,,2018 - 2019,"47,976.00","66,591.00",1.39,139,192,1.38,,,,,,
,,2019 - 2020,"51,850.00","15,523.00",0.3,113,199,1.76,,,,,,
,,2020 - 2021,"40,424.00","35,183.00",0.87,211,183,0.87,,,,,,
,,2021 - 2022,"42,806.00","33,668.00",0.79,566,445,0.79,,,,,,
,,2022 - 2023,"77,804.00","87,643.00",1.13,"1,256.00","2,298.00",1.83,,,,,,
,4. Annamayya,2022 - 2023,50,92,1.84,124,226,1.82,,,,,,
,5. Bapatla,2022 - 2023,"4,598.00","9,745.00",2.12,182,511,2.81,,,,,,
,6. Chittoor,2000 - 2001,19,25,1.32,,,,,,,,,
,,2001 - 2002,2,2,1,,,,,,,,,
,,2005 - 2006,4,4,1,,,,,,,,,
,,2008 - 2009,24,37,1.54,,,,,,,,,
,,2009 - 2010,66,94,1.42,,,,,,,,,
,,2010 - 2011,235,98,0.42,,,,,,,,,
,,2011 - 2012,400,65,0.16,,,,,,,,,
,,2012 - 2013,"1,000.00","1,000.00",1,,,,,,,,,
,,2013 - 2014,157,391,2.49,194,483,2.49,,,,,,
,,2014 - 2015,308,723,2.35,545,"1,278.00",2.34,,,,,,
,,2015 - 2016,435,761,1.75,707,"1,239.00",1.75,,,,,,
,,2016 - 2017,517,"1,311.00",2.54,259,395,1.53,,,,,,
,,2017 - 2018,328,877,2.67,169,451,2.67,,,,,,
,,2018 - 2019,177,218,1.23,94,117,1.24,,,,,,
,,2019 - 2020,157,82,0.52,79,244,3.09,,,,,,
,,2020 - 2021,28,78,2.79,65,179,2.75,,,,,,
,,2021 - 2022,51,89,1.75,94,165,1.76,,,,,,
,,2022 - 2023,26,47,1.81,5,10,2,,,,,,
,7. East godavari,2000 - 2001,"5,580.00","10,536.00",1.89,,,,,,,,,
,,2001 - 2002,"6,289.00","16,425.00",2.61,,,,,,,,,
,,2002 - 2003,"4,555.00","8,092.00",1.78,,,,,,,,,
,,2003 - 2004,"8,969.00","26,696.00",2.98,,,,,,,,,
,,2004 - 2005,"16,022.00","45,616.00",2.85,,,,,,,,,
,,2005 - 2006,"13,939.00","10,167.00",0.73,,,,,,,,,
,,2006 - 2007,"9,034.00","19,397.00",2.15,,,,,,,,,
,,2007 - 2008,"8,000.00","18,000.00",2.25,,,,,,,,,
,,2008 - 2009,"7,432.00","14,165.00",1.91,,,,,,,,,
,,2009 - 2010,"6,845.00","19,649.00",2.87,,,,,,,,,
