state,district,year,sunflower_summer_yield_tonne_per_hectare
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajnandgaon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sakti,2022 - 2023,
,Sarangarh bilaigarh,2022 - 2023,
,Sukma,2014 - 2015,
,,2019 - 2020,
,Surajpur,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,Surguja,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Haryana,Ambala,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Fatehabad,2010 - 2011,
,Hisar,2002 - 2003,
,Jind,2002 - 2003,
,Kaithal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,Karnal,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2010 - 2011,
,Kurukshetra,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Panchkula,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Panipat,2001 - 2002,
,,2005 - 2006,
,Rewari,2003 - 2004,
,Rohtak,2003 - 2004,
,Sonipat,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,Yamunanagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
Jharkhand,Bokaro,2017 - 2018,
,Chatra,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Deoghar,2017 - 2018,
,,2021 - 2022,
,,2022 - 2023,
,Dumka,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,East singhbum,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Garhwa,2018 - 2019,
,Giridih,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Godda,2017 - 2018,
,,2018 - 2019,
,Gumla,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khunti,2018 - 2019,
,,2021 - 2022,
,Koderma,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,Latehar,2017 - 2018,
,,2021 - 2022,
,Lohardaga,2022 - 2023,
,Pakur,2017 - 2018,
,,2018 - 2019,
,Palamu,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Ranchi,2017 - 2018,
,,2021 - 2022,
,,2022 - 2023,
,Saraikela kharsawan,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Simdega,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,West singhbhum,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Karnataka,Bagalkot,2000 - 2001,0.75
,,2001 - 2002,0.98
,,2002 - 2003,0.88
,,2003 - 2004,0.83
,,2004 - 2005,0.75
,,2005 - 2006,0.93
,,2006 - 2007,1.0
,,2007 - 2008,1.44
,,2008 - 2009,0.93
,,2009 - 2010,0.98
,,2010 - 2011,1.15
,,2011 - 2012,1.06
,,2012 - 2013,0.88
,,2013 - 2014,1.05
,,2014 - 2015,1.01
,,2015 - 2016,0.79
,,2016 - 2017,0.74
,,2017 - 2018,0.85
,,2018 - 2019,0.88
,,2019 - 2020,1.4
,,2020 - 2021,1.1
,,2021 - 2022,1.38
,,2022 - 2023,1.27
,Bangalore rural,2000 - 2001,0.72
,,2001 - 2002,0.8
,,2002 - 2003,0.5
,,2003 - 2004,0.53
,,2004 - 2005,0.65
,,2005 - 2006,0.78
,,2006 - 2007,0.79
,,2007 - 2008,1.02
,,2008 - 2009,0.8
,,2009 - 2010,0.86
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.33
,,2021 - 2022,
,,2022 - 2023,
,Belgaum,2000 - 2001,0.72
,,2001 - 2002,0.82
,,2002 - 2003,0.61
,,2003 - 2004,0.53
,,2004 - 2005,0.65
,,2005 - 2006,0.48
,,2006 - 2007,0.42
,,2007 - 2008,0.96
,,2008 - 2009,0.71
,,2009 - 2010,0.84
,,2010 - 2011,0.57
,,2011 - 2012,1.06
,,2012 - 2013,0.88
,,2013 - 2014,1.06
,,2014 - 2015,0.73
,,2015 - 2016,0.85
,,2016 - 2017,1.66
,,2017 - 2018,1.24
,,2018 - 2019,1.17
,,2019 - 2020,1.27
,,2020 - 2021,1.3
,,2021 - 2022,1.1
,,2022 - 2023,1.16
,Bellary,2000 - 2001,0.69
,,2001 - 2002,0.67
,,2002 - 2003,0.6
,,2003 - 2004,0.52
,,2004 - 2005,0.65
,,2005 - 2006,0.77
,,2006 - 2007,0.88
,,2007 - 2008,1.03
,,2008 - 2009,0.83
,,2009 - 2010,0.81
,,2010 - 2011,0.93
,,2011 - 2012,1.08
,,2012 - 2013,0.76
,,2013 - 2014,1.24
,,2014 - 2015,0.71
,,2015 - 2016,0.69
,,2016 - 2017,0.19
,,2017 - 2018,1.12
,,2018 - 2019,1.0
,,2019 - 2020,1.06
,,2020 - 2021,1.2
,,2021 - 2022,1.21
,,2022 - 2023,1.2
,Bengaluru urban,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,0.63
,,2005 - 2006,1.0
,,2006 - 2007,0.8
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bidar,2000 - 2001,0.72
,,2001 - 2002,0.82
,,2002 - 2003,0.6
,,2003 - 2004,0.54
,,2004 - 2005,0.65
,,2005 - 2006,0.78
,,2006 - 2007,0.79
,,2007 - 2008,1.02
,,2008 - 2009,0.8
,,2009 - 2010,0.86
,,2010 - 2011,1.01
,,2011 - 2012,1.02
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,0.9
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.37
,,2022 - 2023,1.22
,Bijapur,2000 - 2001,0.75
,,2001 - 2002,0.55
,,2002 - 2003,0.61
,,2003 - 2004,0.46
,,2004 - 2005,0.39
,,2005 - 2006,0.48
,,2006 - 2007,0.5
,,2007 - 2008,0.71
,,2008 - 2009,0.57
,,2009 - 2010,0.46
,,2010 - 2011,0.63
,,2011 - 2012,0.45
,,2012 - 2013,0.61
,,2013 - 2014,0.69
,,2014 - 2015,0.58
,,2015 - 2016,0.31
,,2016 - 2017,0.7
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.9
,,2020 - 2021,0.98
,,2021 - 2022,1.47
,,2022 - 2023,0.79
,Chamarajanagar,2000 - 2001,0.71
,,2001 - 2002,0.82
,,2002 - 2003,0.61
,,2003 - 2004,0.53
,,2004 - 2005,0.65
,,2005 - 2006,0.78
,,2006 - 2007,0.79
,,2007 - 2008,1.02
,,2008 - 2009,0.8
,,2009 - 2010,0.87
,,2010 - 2011,1.01
,,2011 - 2012,1.03
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.42
,,2017 - 2018,1.19
,,2018 - 2019,0.88
,,2019 - 2020,1.1
,,2020 - 2021,1.27
,,2021 - 2022,1.37
,,2022 - 2023,1.22
,Chikballapur,2007 - 2008,1.14
,,2008 - 2009,1.06
,,2009 - 2010,1.11
,,2010 - 2011,1.02
,,2011 - 2012,1.35
,,2012 - 2013,1.87
,,2013 - 2014,1.34
,,2014 - 2015,1.51
,,2015 - 2016,1.57
,,2016 - 2017,
,,2017 - 2018,0.9
,,2019 - 2020,
,,2020 - 2021,1.14
,,2021 - 2022,1.91
,,2022 - 2023,1.68
,Chikmagalur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,0.6
,,2004 - 2005,0.65
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chitradurga,2000 - 2001,0.57
,,2001 - 2002,0.82
,,2002 - 2003,0.61
,,2003 - 2004,0.76
,,2004 - 2005,1.01
,,2005 - 2006,0.93
,,2006 - 2007,1.03
,,2007 - 2008,1.2
,,2008 - 2009,0.86
,,2009 - 2010,1.04
,,2010 - 2011,1.14
,,2011 - 2012,0.86
,,2012 - 2013,0.98
,,2013 - 2014,1.07
,,2014 - 2015,0.93
,,2015 - 2016,1.03
,,2016 - 2017,
,,2017 - 2018,1.23
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.58
,,2021 - 2022,1.33
,,2022 - 2023,1.25
,Davangere,2000 - 2001,1.15
,,2001 - 2002,0.98
,,2002 - 2003,0.6
,,2003 - 2004,0.53
,,2004 - 2005,0.75
,,2005 - 2006,0.78
,,2006 - 2007,0.97
,,2007 - 2008,0.74
,,2008 - 2009,0.96
,,2009 - 2010,1.64
,,2010 - 2011,1.21
,,2011 - 2012,1.42
,,2012 - 2013,1.47
,,2013 - 2014,1.2
,,2014 - 2015,1.14
,,2015 - 2016,1.1
,,2016 - 2017,0.43
,,2017 - 2018,1.42
,,2018 - 2019,1.3
,,2019 - 2020,1.78
,,2020 - 2021,2.28
,,2021 - 2022,1.38
,,2022 - 2023,1.06
,Dharwad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.6
,,2003 - 2004,0.53
,,2004 - 2005,0.65
,,2005 - 2006,0.77
,,2006 - 2007,0.79
,,2007 - 2008,1.03
,,2008 - 2009,0.79
,,2009 - 2010,0.86
,,2010 - 2011,1.01
,,2011 - 2012,1.04
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.5
,,2021 - 2022,
,,2022 - 2023,
,Gadag,2000 - 2001,0.57
,,2001 - 2002,0.55
,,2002 - 2003,0.46
,,2003 - 2004,0.76
,,2004 - 2005,1.01
,,2005 - 2006,0.95
,,2006 - 2007,0.61
,,2007 - 2008,0.92
,,2008 - 2009,0.71
,,2009 - 2010,0.69
,,2010 - 2011,0.97
,,2011 - 2012,0.89
,,2012 - 2013,0.7
,,2013 - 2014,0.94
,,2014 - 2015,1.01
,,2015 - 2016,0.97
,,2016 - 2017,0.06
,,2017 - 2018,0.6
,,2018 - 2019,0.4
,,2019 - 2020,0.84
,,2020 - 2021,0.57
,,2021 - 2022,1.01
,,2022 - 2023,0.89
,Gulbarga,2000 - 2001,0.57
,,2001 - 2002,0.82
,,2002 - 2003,0.47
,,2003 - 2004,0.46
,,2004 - 2005,0.44
,,2005 - 2006,0.86
,,2006 - 2007,0.45
,,2007 - 2008,0.69
,,2008 - 2009,0.52
,,2009 - 2010,0.56
,,2010 - 2011,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.55
,,2013 - 2014,0.85
,,2014 - 2015,0.75
,,2015 - 2016,0.63
,,2016 - 2017,0.85
,,2017 - 2018,1.21
,,2018 - 2019,0.89
,,2019 - 2020,
,,2020 - 2021,1.25
,,2021 - 2022,1.33
,,2022 - 2023,1.2
,Hassan,2000 - 2001,0.71
,,2001 - 2002,0.83
,,2002 - 2003,0.62
,,2003 - 2004,
,,2004 - 2005,0.6
,,2005 - 2006,0.8
,,2006 - 2007,0.75
,,2007 - 2008,1.02
,,2008 - 2009,0.78
,,2009 - 2010,0.87
,,2010 - 2011,1.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Haveri,2000 - 2001,0.84
,,2001 - 2002,0.98
,,2002 - 2003,0.61
,,2003 - 2004,0.53
,,2004 - 2005,0.64
,,2005 - 2006,0.38
,,2006 - 2007,0.88
,,2007 - 2008,1.07
,,2008 - 2009,0.92
,,2009 - 2010,1.09
,,2010 - 2011,0.98
,,2011 - 2012,0.89
,,2012 - 2013,0.71
,,2013 - 2014,0.74
,,2014 - 2015,0.87
,,2015 - 2016,1.23
,,2016 - 2017,1.18
,,2017 - 2018,1.52
,,2018 - 2019,1.21
,,2019 - 2020,1.17
,,2020 - 2021,1.62
,,2021 - 2022,1.34
,,2022 - 2023,0.88
,Kodagu,2012 - 2013,
,Kolar,2000 - 2001,0.72
,,2001 - 2002,0.82
,,2002 - 2003,0.61
,,2003 - 2004,0.53
,,2004 - 2005,0.65
,,2005 - 2006,0.78
,,2006 - 2007,1.97
,,2007 - 2008,1.01
,,2008 - 2009,0.8
,,2009 - 2010,0.8
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.5
,,2021 - 2022,1.33
,,2022 - 2023,1.0
,Koppal,2000 - 2001,0.62
,,2001 - 2002,0.84
,,2002 - 2003,0.58
,,2003 - 2004,0.4
,,2004 - 2005,0.64
,,2005 - 2006,0.71
,,2006 - 2007,0.54
,,2007 - 2008,0.84
,,2008 - 2009,0.67
,,2009 - 2010,0.83
,,2010 - 2011,1.13
,,2011 - 2012,1.0
,,2012 - 2013,0.97
,,2013 - 2014,0.92
,,2014 - 2015,0.95
,,2015 - 2016,0.83
,,2016 - 2017,0.03
,,2017 - 2018,1.33
,,2018 - 2019,0.49
,,2019 - 2020,0.8
,,2020 - 2021,0.88
,,2021 - 2022,0.77
,,2022 - 2023,0.83
,Mandya,2000 - 2001,0.8
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,0.5
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2010 - 2011,1.0
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.08
,,2020 - 2021,1.22
,,2021 - 2022,1.29
,,2022 - 2023,1.33
,Mysore,2000 - 2001,0.71
,,2001 - 2002,
,,2002 - 2003,0.61
,,2003 - 2004,
,,2004 - 2005,0.65
,,2005 - 2006,0.78
,,2006 - 2007,0.8
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,
,,2022 - 2023,
,Raichur,2000 - 2001,0.73
,,2001 - 2002,0.86
,,2002 - 2003,0.63
,,2003 - 2004,0.31
,,2004 - 2005,0.44
,,2005 - 2006,0.61
,,2006 - 2007,0.68
,,2007 - 2008,0.89
,,2008 - 2009,0.57
,,2009 - 2010,0.56
,,2010 - 2011,0.92
,,2011 - 2012,0.56
,,2012 - 2013,0.96
,,2013 - 2014,1.08
,,2014 - 2015,0.76
,,2015 - 2016,0.68
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.88
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,1.36
,,2022 - 2023,1.0
,Ramanagara,2007 - 2008,1.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shimoga,2000 - 2001,0.71
,,2001 - 2002,0.81
,,2002 - 2003,0.61
,,2003 - 2004,0.53
,,2004 - 2005,0.65
,,2005 - 2006,1.67
,,2006 - 2007,1.9
,,2007 - 2008,2.3
,,2008 - 2009,1.91
,,2009 - 2010,2.09
,,2010 - 2011,2.62
,,2011 - 2012,2.84
,,2012 - 2013,1.99
,,2013 - 2014,2.03
,,2014 - 2015,
,,2015 - 2016,1.6
,,2016 - 2017,1.58
,,2017 - 2018,3.2
,,2018 - 2019,2.85
,,2019 - 2020,2.55
,,2020 - 2021,2.5
,,2021 - 2022,1.0
,,2022 - 2023,1.22
,Tumkur,2000 - 2001,0.71
,,2001 - 2002,0.82
,,2002 - 2003,0.61
,,2003 - 2004,0.91
,,2004 - 2005,1.44
,,2005 - 2006,1.39
,,2006 - 2007,0.97
,,2007 - 2008,1.15
,,2008 - 2009,1.02
,,2009 - 2010,1.33
,,2010 - 2011,1.38
,,2011 - 2012,1.28
,,2012 - 2013,1.4
,,2013 - 2014,1.0
,,2014 - 2015,0.86
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,1.25
,Udupi,2005 - 2006,
,,2006 - 2007,
,Uttar kannad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.0
,,2007 - 2008,
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.33
,,2021 - 2022,
,Vijayanagar,2022 - 2023,1.19
,Yadgir,2010 - 2011,0.49
,,2011 - 2012,0.39
,,2012 - 2013,0.5
,,2013 - 2014,0.7
,,2014 - 2015,0.36
,,2015 - 2016,0.27
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.28
,,2021 - 2022,1.35
,,2022 - 2023,1.17
Kerala,Alappuzha,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Malappuram,2022 - 2023,
,Palakkad,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Thrissur,2021 - 2022,
,Wayanad,2022 - 2023,
Madhya Pradesh,Anuppur,2006 - 2007,
,Ashoknagar,2013 - 2014,
,,2016 - 2017,
,Balaghat,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Barwani,2000 - 2001,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2012 - 2013,
,Betul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,Burhanpur,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2013 - 2014,
,,2017 - 2018,
,Chhindwara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,Damoh,2000 - 2001,
,,2002 - 2003,
,,2004 - 2005,
,,2006 - 2007,
,,2016 - 2017,
,Datia,2004 - 2005,
,,2007 - 2008,
,Dewas,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Dhar,2004 - 2005,
,,2007 - 2008,
,Guna,2003 - 2004,
,,2012 - 2013,
,Harda,2002 - 2003,
,,2003 - 2004,
,,2016 - 2017,
,Hoshangabad,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2015 - 2016,
,,2016 - 2017,
,Indore,2000 - 2001,
,,2001 - 2002,
,Jabalpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Jhabua,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2007 - 2008,
,Katni,2010 - 2011,
,,2016 - 2017,
,Khandwa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Khargone,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,
,,2009 - 2010,
,Mandla,2016 - 2017,
,Mandsaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,Narsinghpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,Neemuch,2000 - 2001,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,Raisen,2002 - 2003,
,Rajgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,Ratlam,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,Rewa,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2017 - 2018,
,Sagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2016 - 2017,
,,2017 - 2018,
,Satna,2009 - 2010,
,Seoni,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2013 - 2014,
,,2016 - 2017,
,Shahdol,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,Shajapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,Shivpuri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2016 - 2017,
,Sidhi,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2016 - 2017,
,Tikamgarh,2016 - 2017,
,Ujjain,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,Umaria,2005 - 2006,
,,2008 - 2009,
,,2010 - 2011,
,Vidisha,2000 - 2001,
,,2002 - 2003,
Maharashtra,Ahilyanagar,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2002 - 2003,
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.5
,,2008 - 2009,3.0
,,2009 - 2010,0.5
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.29
,,2021 - 2022,0.79
,,2022 - 2023,0.85
,Akola,2000 - 2001,1.25
,,2001 - 2002,1.75
,,2002 - 2003,1.0
,,2003 - 2004,0.8
,,2004 - 2005,0.75
,,2005 - 2006,1.1
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,Amravati,2000 - 2001,1.0
,,2001 - 2002,2.0
,,2002 - 2003,1.0
