state,district,year,onion_whole_year_yield_tonne_per_hectare
,,2001 - 2002,2.0
,,2002 - 2003,2.0
,,2003 - 2004,2.0
,,2004 - 2005,2.0
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,,2011 - 2012,2.17
,,2012 - 2013,2.37
,,2013 - 2014,2.38
,,2014 - 2015,2.39
,,2015 - 2016,2.39
,,2016 - 2017,2.71
,,2017 - 2018,2.73
,,2018 - 2019,2.9
,,2019 - 2020,3.35
,,2020 - 2021,3.34
,,2021 - 2022,4.17
,,2022 - 2023,4.2
,Cachar,2000 - 2001,3.24
,,2001 - 2002,3.24
,,2002 - 2003,3.24
,,2003 - 2004,3.25
,,2004 - 2005,3.25
,,2005 - 2006,3.25
,,2006 - 2007,3.25
,,2007 - 2008,3.25
,,2008 - 2009,3.25
,,2009 - 2010,3.26
,,2010 - 2011,3.25
,,2011 - 2012,3.35
,,2012 - 2013,3.63
,,2013 - 2014,3.45
,,2014 - 2015,3.46
,,2015 - 2016,13.23
,,2016 - 2017,13.31
,,2017 - 2018,13.4
,,2018 - 2019,13.36
,,2019 - 2020,13.52
,,2020 - 2021,13.52
,,2021 - 2022,13.51
,,2022 - 2023,13.52
,Charaideo,2020 - 2021,4.03
,,2021 - 2022,4.03
,,2022 - 2023,4.34
,Chirang,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,2.0
,,2008 - 2009,2.01
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,,2011 - 2012,3.02
,,2012 - 2013,3.15
,,2013 - 2014,3.15
,,2014 - 2015,3.16
,,2015 - 2016,3.18
,,2016 - 2017,3.56
,,2017 - 2018,3.56
,,2018 - 2019,3.72
,,2019 - 2020,3.82
,,2020 - 2021,6.84
,,2021 - 2022,6.84
,,2022 - 2023,6.86
,Darrang,2000 - 2001,2.5
,,2001 - 2002,2.5
,,2002 - 2003,2.5
,,2003 - 2004,2.5
,,2004 - 2005,2.5
,,2005 - 2006,2.5
,,2006 - 2007,2.5
,,2007 - 2008,2.5
,,2008 - 2009,2.5
,,2009 - 2010,2.5
,,2010 - 2011,2.5
,,2011 - 2012,4.63
,,2012 - 2013,4.73
,,2013 - 2014,6.42
,,2014 - 2015,6.42
,,2015 - 2016,18.96
,,2016 - 2017,18.96
,,2017 - 2018,18.98
,,2018 - 2019,18.95
,,2019 - 2020,18.97
,,2020 - 2021,18.97
,,2021 - 2022,17.97
,,2022 - 2023,18.97
,Dhemaji,2000 - 2001,2.68
,,2001 - 2002,2.67
,,2002 - 2003,2.67
,,2003 - 2004,2.68
,,2004 - 2005,2.54
,,2005 - 2006,2.65
,,2006 - 2007,2.63
,,2007 - 2008,2.8
,,2008 - 2009,2.8
,,2009 - 2010,2.75
,,2010 - 2011,2.75
,,2011 - 2012,1.5
,,2012 - 2013,1.73
,,2013 - 2014,1.73
,,2014 - 2015,1.73
,,2015 - 2016,1.75
,,2016 - 2017,2.42
,,2017 - 2018,2.43
,,2018 - 2019,2.6
,,2019 - 2020,3.12
,,2020 - 2021,3.12
,,2021 - 2022,3.12
,,2022 - 2023,3.19
,Dhubri,2000 - 2001,2.6
,,2001 - 2002,2.6
,,2002 - 2003,2.6
,,2003 - 2004,2.6
,,2004 - 2005,2.6
,,2005 - 2006,2.6
,,2006 - 2007,2.6
,,2007 - 2008,2.6
,,2008 - 2009,2.6
,,2009 - 2010,2.6
,,2010 - 2011,2.6
,,2011 - 2012,3.07
,,2012 - 2013,3.28
,,2013 - 2014,3.28
,,2014 - 2015,3.28
,,2015 - 2016,17.56
,,2016 - 2017,17.57
,,2017 - 2018,17.57
,,2018 - 2019,18.66
,,2019 - 2020,19.76
,,2020 - 2021,18.1
,,2021 - 2022,18.1
,,2022 - 2023,18.1
,Dibrugarh,2000 - 2001,1.55
,,2001 - 2002,1.85
,,2002 - 2003,1.64
,,2003 - 2004,1.69
,,2004 - 2005,1.73
,,2005 - 2006,1.69
,,2006 - 2007,1.7
,,2007 - 2008,1.7
,,2008 - 2009,1.69
,,2009 - 2010,1.7
,,2010 - 2011,1.71
,,2011 - 2012,2.96
,,2012 - 2013,2.97
,,2013 - 2014,2.97
,,2014 - 2015,2.99
,,2015 - 2016,3.0
,,2016 - 2017,3.84
,,2017 - 2018,3.86
,,2018 - 2019,3.23
,,2019 - 2020,4.46
,,2020 - 2021,4.46
,,2021 - 2022,4.46
,,2022 - 2023,4.58
,Dima hasao,2000 - 2001,1.39
,,2001 - 2002,1.42
,,2002 - 2003,1.4
,,2003 - 2004,1.38
,,2004 - 2005,2.05
,,2005 - 2006,1.62
,,2006 - 2007,1.7
,,2007 - 2008,1.64
,,2008 - 2009,1.63
,,2009 - 2010,1.67
,,2010 - 2011,1.66
,,2011 - 2012,3.19
,,2012 - 2013,3.42
,,2013 - 2014,3.41
,,2014 - 2015,3.43
,,2015 - 2016,3.49
,,2016 - 2017,4.26
,,2017 - 2018,4.27
,,2018 - 2019,4.5
,,2019 - 2020,5.53
,,2020 - 2021,5.53
,,2021 - 2022,5.53
,,2022 - 2023,5.69
,Goalpara,2000 - 2001,1.98
,,2001 - 2002,1.98
,,2002 - 2003,1.99
,,2003 - 2004,1.98
,,2004 - 2005,1.98
,,2005 - 2006,1.98
,,2006 - 2007,1.98
,,2007 - 2008,1.98
,,2008 - 2009,2.04
,,2009 - 2010,2.0
,,2010 - 2011,2.01
,,2011 - 2012,2.16
,,2012 - 2013,3.27
,,2013 - 2014,3.27
,,2014 - 2015,3.61
,,2015 - 2016,11.68
,,2016 - 2017,11.73
,,2017 - 2018,11.74
,,2018 - 2019,11.73
,,2019 - 2020,10.72
,,2020 - 2021,10.71
,,2021 - 2022,10.71
,,2022 - 2023,10.73
,Golaghat,2000 - 2001,3.18
,,2001 - 2002,3.22
,,2002 - 2003,3.23
,,2003 - 2004,3.22
,,2004 - 2005,3.23
,,2005 - 2006,3.23
,,2006 - 2007,3.23
,,2007 - 2008,3.22
,,2008 - 2009,3.22
,,2009 - 2010,3.24
,,2010 - 2011,3.23
,,2011 - 2012,3.34
,,2012 - 2013,3.46
,,2013 - 2014,3.46
,,2014 - 2015,3.47
,,2015 - 2016,3.47
,,2016 - 2017,4.12
,,2017 - 2018,4.12
,,2018 - 2019,4.37
,,2019 - 2020,5.23
,,2020 - 2021,5.23
,,2021 - 2022,5.23
,,2022 - 2023,5.22
,Hailakandi,2000 - 2001,1.77
,,2001 - 2002,1.7
,,2002 - 2003,1.7
,,2003 - 2004,1.72
,,2004 - 2005,1.71
,,2005 - 2006,1.72
,,2006 - 2007,1.72
,,2007 - 2008,1.71
,,2008 - 2009,1.7
,,2009 - 2010,1.72
,,2010 - 2011,1.73
,,2011 - 2012,1.5
,,2012 - 2013,1.71
,,2013 - 2014,1.75
,,2014 - 2015,1.75
,,2015 - 2016,12.11
,,2016 - 2017,12.2
,,2017 - 2018,12.33
,,2018 - 2019,12.22
,,2019 - 2020,12.38
,,2020 - 2021,12.43
,,2021 - 2022,12.33
,,2022 - 2023,14.2
,Hojai,2020 - 2021,14.55
,,2021 - 2022,14.55
,,2022 - 2023,14.53
,Jorhat,2000 - 2001,2.2
,,2001 - 2002,2.2
,,2002 - 2003,2.2
,,2003 - 2004,2.2
,,2004 - 2005,2.2
,,2005 - 2006,2.2
,,2006 - 2007,2.2
,,2007 - 2008,2.2
,,2008 - 2009,2.19
,,2009 - 2010,2.2
,,2010 - 2011,2.2
,,2011 - 2012,2.27
,,2012 - 2013,2.29
,,2013 - 2014,2.29
,,2014 - 2015,2.29
,,2015 - 2016,2.35
,,2016 - 2017,2.79
,,2017 - 2018,2.8
,,2018 - 2019,2.99
,,2019 - 2020,3.59
,,2020 - 2021,3.58
,,2021 - 2022,3.58
,,2022 - 2023,3.82
,Kamrup,2000 - 2001,2.76
,,2001 - 2002,2.75
,,2002 - 2003,2.77
,,2003 - 2004,2.78
,,2004 - 2005,2.95
,,2005 - 2006,2.9
,,2006 - 2007,2.91
,,2007 - 2008,2.94
,,2008 - 2009,2.93
,,2009 - 2010,2.92
,,2010 - 2011,2.92
,,2011 - 2012,3.38
,,2012 - 2013,3.48
,,2013 - 2014,3.49
,,2014 - 2015,3.49
,,2015 - 2016,10.43
,,2016 - 2017,10.46
,,2017 - 2018,10.47
,,2018 - 2019,12.4
,,2019 - 2020,14.4
,,2020 - 2021,13.41
,,2021 - 2022,13.41
,,2022 - 2023,13.41
,Kamrup metro,2005 - 2006,3.0
,,2006 - 2007,3.0
,,2007 - 2008,2.94
,,2008 - 2009,2.97
,,2009 - 2010,2.97
,,2010 - 2011,2.96
,,2011 - 2012,3.84
,,2012 - 2013,2.45
,,2013 - 2014,2.45
,,2014 - 2015,2.46
,,2015 - 2016,2.46
,,2016 - 2017,3.26
,,2017 - 2018,3.28
,,2018 - 2019,3.58
,,2019 - 2020,4.61
,,2020 - 2021,4.61
,,2021 - 2022,4.6
,,2022 - 2023,4.75
,Karbi anglong,2000 - 2001,2.02
,,2001 - 2002,2.04
,,2002 - 2003,2.04
,,2003 - 2004,2.04
,,2004 - 2005,2.37
,,2005 - 2006,2.07
,,2006 - 2007,2.27
,,2007 - 2008,2.3
,,2008 - 2009,2.21
,,2009 - 2010,2.24
,,2010 - 2011,1.91
,,2011 - 2012,2.0
,,2012 - 2013,2.13
,,2013 - 2014,2.13
,,2014 - 2015,2.53
,,2015 - 2016,2.55
,,2016 - 2017,2.86
,,2017 - 2018,2.87
,,2018 - 2019,3.01
,,2019 - 2020,3.45
,,2020 - 2021,3.45
,,2021 - 2022,3.45
,,2022 - 2023,3.58
,Karimganj,2000 - 2001,3.08
,,2001 - 2002,3.07
,,2002 - 2003,3.07
,,2003 - 2004,3.07
,,2004 - 2005,3.08
,,2005 - 2006,3.09
,,2006 - 2007,3.08
,,2007 - 2008,3.04
,,2008 - 2009,3.06
,,2009 - 2010,3.07
,,2010 - 2011,3.07
,,2011 - 2012,3.17
,,2012 - 2013,3.4
,,2013 - 2014,3.39
,,2014 - 2015,3.4
,,2015 - 2016,8.84
,,2016 - 2017,8.95
,,2017 - 2018,8.95
,,2018 - 2019,8.95
,,2019 - 2020,9.18
,,2020 - 2021,9.21
,,2021 - 2022,9.2
,,2022 - 2023,9.5
,Kokrajhar,2000 - 2001,2.8
,,2001 - 2002,2.8
,,2002 - 2003,2.8
,,2003 - 2004,2.8
,,2004 - 2005,2.8
,,2005 - 2006,2.8
,,2006 - 2007,2.8
,,2007 - 2008,2.8
,,2008 - 2009,2.8
,,2009 - 2010,2.8
,,2010 - 2011,2.8
,,2011 - 2012,2.84
,,2012 - 2013,2.94
,,2013 - 2014,2.94
,,2014 - 2015,2.96
,,2015 - 2016,2.97
,,2016 - 2017,3.2
,,2017 - 2018,3.23
,,2018 - 2019,3.34
,,2019 - 2020,3.67
,,2020 - 2021,3.67
,,2021 - 2022,3.67
,,2022 - 2023,3.7
,Lakhimpur,2000 - 2001,2.67
,,2001 - 2002,2.67
,,2002 - 2003,2.67
,,2003 - 2004,2.67
,,2004 - 2005,2.67
,,2005 - 2006,2.67
,,2006 - 2007,2.68
,,2007 - 2008,2.68
,,2008 - 2009,2.66
,,2009 - 2010,2.66
,,2010 - 2011,2.66
,,2011 - 2012,2.83
,,2012 - 2013,2.94
,,2013 - 2014,2.94
,,2014 - 2015,2.97
,,2015 - 2016,2.98
,,2016 - 2017,3.33
,,2017 - 2018,3.34
,,2018 - 2019,3.48
,,2019 - 2020,3.94
,,2020 - 2021,4.33
,,2021 - 2022,4.32
,,2022 - 2023,4.38
,Majuli,2020 - 2021,3.59
,,2021 - 2022,3.59
,,2022 - 2023,3.63
,Marigaon,2000 - 2001,2.65
,,2001 - 2002,2.65
,,2002 - 2003,2.65
,,2003 - 2004,2.65
,,2004 - 2005,2.65
,,2005 - 2006,2.65
,,2006 - 2007,2.65
,,2007 - 2008,2.65
,,2008 - 2009,2.65
,,2009 - 2010,2.65
,,2010 - 2011,2.65
,,2011 - 2012,2.14
,,2012 - 2013,2.41
,,2013 - 2014,2.41
,,2014 - 2015,2.42
,,2015 - 2016,2.43
,,2016 - 2017,2.7
,,2017 - 2018,2.71
,,2018 - 2019,2.82
,,2019 - 2020,3.15
,,2020 - 2021,3.55
,,2021 - 2022,3.55
,,2022 - 2023,3.61
,Nagaon,2000 - 2001,2.1
,,2001 - 2002,2.1
,,2002 - 2003,2.1
,,2003 - 2004,2.1
,,2004 - 2005,2.1
,,2005 - 2006,2.1
,,2006 - 2007,2.1
,,2007 - 2008,2.1
,,2008 - 2009,2.22
,,2009 - 2010,2.14
,,2010 - 2011,2.16
,,2011 - 2012,2.28
,,2012 - 2013,3.29
,,2013 - 2014,3.29
,,2014 - 2015,3.3
,,2015 - 2016,16.51
,,2016 - 2017,16.52
,,2017 - 2018,13.09
,,2018 - 2019,12.78
,,2019 - 2020,14.55
,,2020 - 2021,14.55
,,2021 - 2022,14.55
,,2022 - 2023,14.55
,Nalbari,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,4.52
,,2012 - 2013,4.64
,,2013 - 2014,4.64
,,2014 - 2015,4.65
,,2015 - 2016,4.65
,,2016 - 2017,3.58
,,2017 - 2018,3.58
,,2018 - 2019,5.13
,,2019 - 2020,5.63
,,2020 - 2021,5.63
,,2021 - 2022,5.63
,,2022 - 2023,5.69
,Sivasagar,2000 - 2001,2.43
,,2001 - 2002,2.49
,,2002 - 2003,2.46
,,2003 - 2004,2.43
,,2004 - 2005,2.46
,,2005 - 2006,2.52
,,2006 - 2007,2.53
,,2007 - 2008,2.53
,,2008 - 2009,2.56
,,2009 - 2010,2.44
,,2010 - 2011,2.33
,,2011 - 2012,2.68
,,2012 - 2013,2.78
,,2013 - 2014,2.79
,,2014 - 2015,2.79
,,2015 - 2016,2.79
,,2016 - 2017,3.64
,,2017 - 2018,8.59
,,2018 - 2019,3.97
,,2019 - 2020,4.05
,,2020 - 2021,4.04
,,2021 - 2022,4.03
,,2022 - 2023,4.22
,Sonitpur,2000 - 2001,3.52
,,2001 - 2002,3.5
,,2002 - 2003,3.5
,,2003 - 2004,3.55
,,2004 - 2005,3.64
,,2005 - 2006,4.71
,,2006 - 2007,4.73
,,2007 - 2008,4.35
,,2008 - 2009,4.61
,,2009 - 2010,4.57
,,2010 - 2011,3.23
,,2011 - 2012,4.64
,,2012 - 2013,4.75
,,2013 - 2014,4.75
,,2014 - 2015,4.76
,,2015 - 2016,10.46
,,2016 - 2017,10.51
,,2017 - 2018,10.05
,,2018 - 2019,11.38
,,2019 - 2020,12.38
,,2020 - 2021,12.38
,,2021 - 2022,12.38
,,2022 - 2023,12.38
,South salmara mancachar,2020 - 2021,18.1
,,2021 - 2022,18.1
,,2022 - 2023,18.08
,Tinsukia,2000 - 2001,2.0
,,2001 - 2002,2.13
,,2002 - 2003,2.04
,,2003 - 2004,2.05
,,2004 - 2005,2.12
,,2005 - 2006,2.13
,,2006 - 2007,2.13
,,2007 - 2008,2.07
,,2008 - 2009,2.0
,,2009 - 2010,2.03
,,2010 - 2011,2.0
,,2011 - 2012,5.41
,,2012 - 2013,5.46
,,2013 - 2014,5.46
,,2014 - 2015,5.46
,,2015 - 2016,5.48
,,2016 - 2017,3.68
,,2017 - 2018,6.4
,,2018 - 2019,5.58
,,2019 - 2020,6.56
,,2020 - 2021,6.52
,,2021 - 2022,5.6
,,2022 - 2023,6.65
,Udalguri,2005 - 2006,2.5
,,2006 - 2007,2.5
,,2007 - 2008,2.5
,,2008 - 2009,2.5
,,2009 - 2010,2.5
,,2010 - 2011,2.5
,,2011 - 2012,2.77
,,2012 - 2013,2.87
,,2013 - 2014,2.87
,,2014 - 2015,2.88
,,2015 - 2016,2.88
,,2016 - 2017,3.21
,,2017 - 2018,3.22
,,2018 - 2019,3.35
,,2019 - 2020,3.8
,,2020 - 2021,3.8
,,2021 - 2022,3.81
,,2022 - 2023,3.83
,West karbi anglong,2020 - 2021,3.43
,,2021 - 2022,3.44
,,2022 - 2023,3.75
Bihar,Araria,2000 - 2001,7.93
,,2001 - 2002,8.28
,,2002 - 2003,8.48
,,2003 - 2004,7.5
,,2004 - 2005,7.96
,,2005 - 2006,8.92
,,2007 - 2008,10.11
,,2008 - 2009,10.25
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Arwal,2003 - 2004,7.64
,,2004 - 2005,7.24
,,2005 - 2006,7.35
,,2007 - 2008,8.69
,,2008 - 2009,6.88
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aurangabad,2000 - 2001,8.6
,,2001 - 2002,11.22
,,2002 - 2003,4.68
,,2003 - 2004,8.53
,,2004 - 2005,8.31
,,2005 - 2006,7.86
,,2007 - 2008,12.05
,,2008 - 2009,7.34
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Banka,2000 - 2001,10.21
,,2001 - 2002,9.55
,,2002 - 2003,8.62
,,2003 - 2004,9.48
,,2004 - 2005,7.53
,,2005 - 2006,8.72
,,2007 - 2008,9.0
,,2008 - 2009,9.29
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Begusarai,2000 - 2001,11.24
,,2001 - 2002,11.15
,,2002 - 2003,8.59
,,2003 - 2004,9.49
,,2004 - 2005,5.83
,,2005 - 2006,8.73
,,2007 - 2008,8.55
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Bhagalpur,2000 - 2001,10.21
,,2001 - 2002,9.55
,,2002 - 2003,8.59
,,2003 - 2004,9.49
,,2004 - 2005,7.55
,,2005 - 2006,8.73
,,2007 - 2008,8.99
,,2008 - 2009,9.31
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhojpur,2000 - 2001,10.65
,,2001 - 2002,8.4
,,2002 - 2003,8.04
,,2003 - 2004,8.09
,,2004 - 2005,7.3
,,2005 - 2006,8.54
,,2007 - 2008,7.09
,,2008 - 2009,8.0
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Buxar,2000 - 2001,12.08
,,2001 - 2002,10.58
,,2002 - 2003,9.64
,,2003 - 2004,12.79
,,2004 - 2005,9.45
,,2005 - 2006,8.54
,,2007 - 2008,9.97
,,2008 - 2009,8.55
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Darbhanga,2000 - 2001,17.16
,,2001 - 2002,6.03
,,2002 - 2003,10.09
,,2003 - 2004,9.32
,,2004 - 2005,7.88
,,2005 - 2006,7.17
,,2007 - 2008,7.77
,,2008 - 2009,8.55
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gaya,2000 - 2001,5.87
,,2001 - 2002,11.22
,,2002 - 2003,4.68
,,2003 - 2004,7.17
,,2004 - 2005,5.8
,,2005 - 2006,6.1
,,2007 - 2008,4.79
,,2008 - 2009,6.49
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gopalganj,2000 - 2001,7.26
,,2001 - 2002,7.48
,,2002 - 2003,8.06
,,2003 - 2004,8.45
,,2004 - 2005,8.97
,,2005 - 2006,8.62
,,2007 - 2008,9.47
,,2008 - 2009,9.29
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jamui,2000 - 2001,7.88
,,2001 - 2002,14.57
,,2002 - 2003,8.59
,,2003 - 2004,9.49
,,2004 - 2005,5.83
,,2005 - 2006,8.73
,,2008 - 2009,8.8
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jehanabad,2000 - 2001,8.6
,,2001 - 2002,11.22
,,2002 - 2003,4.68
,,2003 - 2004,7.64
,,2004 - 2005,7.24
,,2005 - 2006,7.35
,,2007 - 2008,8.69
,,2008 - 2009,6.88
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kaimur (bhabua),2000 - 2001,12.54
,,2001 - 2002,10.58
,,2002 - 2003,9.64
,,2003 - 2004,12.79
,,2004 - 2005,9.45
,,2005 - 2006,8.54
