state,district,year,urad_winter_yield_tonne_per_hectare
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
Mizoram,Aizawl,2001 - 2002,
,,2002 - 2003,
,Kolasib,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,Lunglei,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,Mamit,2004 - 2005,
,,2005 - 2006,
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kiphire,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Kohima,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Longleng,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Mokokchung,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mon,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Noklak,2022 - 2023,
,Nuiland,2022 - 2023,
,Peren,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Phek,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Shamator,2022 - 2023,
,Tseminyu,2022 - 2023,
,Tuensang,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Wokha,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Zunheboto,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Odisha,Anugul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.19
,,2005 - 2006,0.22
,,2006 - 2007,0.2
,,2007 - 2008,0.2
,,2008 - 2009,0.23
,,2009 - 2010,0.25
,,2010 - 2011,0.22
,,2011 - 2012,0.21
,,2012 - 2013,0.27
,,2013 - 2014,0.28
,,2014 - 2015,0.33
,,2015 - 2016,0.31
,,2016 - 2017,0.41
,,2017 - 2018,0.4
,,2018 - 2019,0.4
,,2019 - 2020,0.39
,,2020 - 2021,0.42
,,2021 - 2022,0.4
,,2022 - 2023,0.41
,Balangir,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.14
,,2005 - 2006,0.14
,,2006 - 2007,0.16
,,2007 - 2008,0.2
,,2008 - 2009,0.16
,,2009 - 2010,0.19
,,2010 - 2011,0.24
,,2011 - 2012,0.12
,,2012 - 2013,0.42
,,2013 - 2014,0.54
,,2014 - 2015,0.4
,,2015 - 2016,0.31
,,2016 - 2017,0.41
,,2017 - 2018,0.36
,,2018 - 2019,0.28
,,2019 - 2020,0.26
,,2020 - 2021,0.45
,,2021 - 2022,0.36
,,2022 - 2023,0.34
,Baleshwar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.38
,,2005 - 2006,0.31
,,2006 - 2007,0.44
,,2007 - 2008,0.41
,,2008 - 2009,0.43
,,2009 - 2010,0.47
,,2010 - 2011,0.54
,,2011 - 2012,0.48
,,2012 - 2013,0.53
,,2013 - 2014,0.48
,,2014 - 2015,0.42
,,2015 - 2016,0.39
,,2016 - 2017,0.19
,,2017 - 2018,
,,2018 - 2019,0.43
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.4
,,2006 - 2007,0.4
,,2007 - 2008,0.36
,,2008 - 2009,0.1
,,2009 - 2010,0.2
,,2010 - 2011,0.23
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.36
,,2014 - 2015,0.27
,,2015 - 2016,0.4
,,2016 - 2017,
,,2017 - 2018,0.34
,,2018 - 2019,
,,2019 - 2020,0.25
,,2020 - 2021,0.41
,,2021 - 2022,0.42
,,2022 - 2023,0.53
,Bhadrak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.27
,,2005 - 2006,0.21
,,2006 - 2007,0.25
,,2007 - 2008,0.29
,,2008 - 2009,0.33
,,2009 - 2010,0.29
,,2010 - 2011,0.38
,,2011 - 2012,0.28
,,2012 - 2013,0.38
,,2013 - 2014,0.53
,,2014 - 2015,0.67
,,2015 - 2016,0.58
,,2016 - 2017,0.53
,,2017 - 2018,0.54
,,2018 - 2019,0.54
,,2019 - 2020,0.6
,,2020 - 2021,0.49
,,2021 - 2022,0.36
,,2022 - 2023,0.49
,Boudh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.21
,,2005 - 2006,0.19
,,2006 - 2007,0.23
,,2007 - 2008,0.2
,,2008 - 2009,0.17
,,2009 - 2010,0.19
,,2010 - 2011,0.16
,,2011 - 2012,0.13
,,2012 - 2013,0.27
,,2013 - 2014,0.21
,,2014 - 2015,0.2
,,2015 - 2016,0.18
,,2016 - 2017,0.29
,,2017 - 2018,0.28
,,2018 - 2019,0.19
,,2019 - 2020,0.2
,,2020 - 2021,0.22
,,2021 - 2022,0.22
,,2022 - 2023,0.22
,Cuttack,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.38
,,2005 - 2006,0.31
,,2006 - 2007,0.45
,,2007 - 2008,0.44
,,2008 - 2009,0.39
,,2009 - 2010,0.38
,,2010 - 2011,0.36
,,2011 - 2012,0.38
,,2012 - 2013,0.4
,,2013 - 2014,0.38
,,2014 - 2015,0.49
,,2015 - 2016,0.37
,,2016 - 2017,0.36
,,2017 - 2018,0.38
,,2018 - 2019,0.46
,,2019 - 2020,0.56
,,2020 - 2021,0.52
,,2021 - 2022,0.44
,,2022 - 2023,0.43
,Deogarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.16
,,2005 - 2006,0.34
,,2006 - 2007,0.41
,,2007 - 2008,0.29
,,2008 - 2009,0.37
,,2009 - 2010,0.35
,,2010 - 2011,0.4
,,2011 - 2012,0.3
,,2012 - 2013,0.46
,,2013 - 2014,0.3
,,2014 - 2015,0.3
,,2015 - 2016,
,,2016 - 2017,0.55
,,2017 - 2018,0.43
,,2018 - 2019,0.32
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.35
,,2022 - 2023,
,Dhenkanal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.27
,,2005 - 2006,0.27
,,2006 - 2007,0.29
,,2007 - 2008,0.33
,,2008 - 2009,0.35
,,2009 - 2010,0.39
,,2010 - 2011,0.38
,,2011 - 2012,0.31
,,2012 - 2013,0.45
,,2013 - 2014,0.43
,,2014 - 2015,0.47
,,2015 - 2016,0.44
,,2016 - 2017,0.46
,,2017 - 2018,0.39
,,2018 - 2019,0.45
,,2019 - 2020,0.43
,,2020 - 2021,0.44
,,2021 - 2022,0.44
,,2022 - 2023,0.44
,Gajapati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.2
,,2005 - 2006,0.16
,,2006 - 2007,0.21
,,2007 - 2008,0.2
,,2008 - 2009,0.15
,,2009 - 2010,0.18
,,2010 - 2011,0.17
,,2011 - 2012,0.11
,,2012 - 2013,0.2
,,2013 - 2014,0.19
,,2014 - 2015,0.19
,,2015 - 2016,0.15
,,2016 - 2017,0.27
,,2017 - 2018,0.28
,,2018 - 2019,0.22
,,2019 - 2020,0.27
,,2020 - 2021,0.29
,,2021 - 2022,0.27
,,2022 - 2023,0.27
,Ganjam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.21
,,2005 - 2006,0.17
,,2006 - 2007,0.19
,,2007 - 2008,0.2
,,2008 - 2009,0.23
,,2009 - 2010,0.21
,,2010 - 2011,0.18
,,2011 - 2012,0.23
,,2012 - 2013,0.21
,,2013 - 2014,0.22
,,2014 - 2015,0.22
,,2015 - 2016,0.22
,,2016 - 2017,0.29
,,2017 - 2018,0.23
,,2018 - 2019,0.22
,,2019 - 2020,0.24
,,2020 - 2021,0.25
,,2021 - 2022,0.23
,,2022 - 2023,0.23
,Jagatsinghapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.34
,,2005 - 2006,0.24
,,2006 - 2007,0.42
,,2007 - 2008,0.4
,,2008 - 2009,0.46
,,2009 - 2010,0.41
,,2010 - 2011,0.32
,,2011 - 2012,0.43
,,2012 - 2013,0.43
,,2013 - 2014,0.29
,,2014 - 2015,0.44
,,2015 - 2016,0.43
,,2016 - 2017,0.5
,,2017 - 2018,0.38
,,2018 - 2019,0.39
,,2019 - 2020,0.33
,,2020 - 2021,0.37
,,2021 - 2022,0.3
,,2022 - 2023,0.38
,Jajapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.27
,,2005 - 2006,0.3
,,2006 - 2007,0.35
,,2007 - 2008,0.42
,,2008 - 2009,0.34
,,2009 - 2010,0.35
,,2010 - 2011,0.3
,,2011 - 2012,0.25
,,2012 - 2013,0.35
,,2013 - 2014,0.15
,,2014 - 2015,0.33
,,2015 - 2016,0.32
,,2016 - 2017,0.52
,,2017 - 2018,0.35
,,2018 - 2019,0.25
,,2019 - 2020,0.28
,,2020 - 2021,0.25
,,2021 - 2022,0.19
,,2022 - 2023,0.21
,Jharsuguda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.29
,,2005 - 2006,0.37
,,2006 - 2007,0.38
,,2007 - 2008,0.26
,,2008 - 2009,0.32
,,2009 - 2010,0.43
,,2010 - 2011,0.25
,,2011 - 2012,0.35
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.4
,,2017 - 2018,0.4
,,2018 - 2019,0.3
,,2020 - 2021,
,,2021 - 2022,0.27
,,2022 - 2023,0.81
,Kalahandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.17
,,2005 - 2006,0.17
,,2006 - 2007,0.16
,,2007 - 2008,0.18
,,2008 - 2009,0.16
,,2009 - 2010,0.25
,,2010 - 2011,0.26
,,2011 - 2012,0.16
,,2012 - 2013,0.26
,,2013 - 2014,0.36
,,2014 - 2015,0.33
,,2015 - 2016,0.17
,,2016 - 2017,0.46
,,2017 - 2018,0.39
,,2018 - 2019,0.36
,,2019 - 2020,0.42
,,2020 - 2021,0.43
,,2021 - 2022,0.39
,,2022 - 2023,0.56
,Kandhamal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.19
,,2005 - 2006,0.15
,,2006 - 2007,0.2
,,2007 - 2008,0.23
,,2008 - 2009,0.22
,,2009 - 2010,0.23
,,2010 - 2011,0.16
,,2011 - 2012,0.15
,,2012 - 2013,0.21
,,2013 - 2014,0.21
,,2014 - 2015,0.18
,,2015 - 2016,0.1
,,2016 - 2017,0.26
,,2017 - 2018,0.26
,,2018 - 2019,0.27
,,2019 - 2020,0.39
,,2020 - 2021,0.54
,,2021 - 2022,0.38
,,2022 - 2023,0.5
,Kendrapara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.29
,,2005 - 2006,0.28
,,2006 - 2007,0.35
,,2007 - 2008,0.37
,,2008 - 2009,0.37
,,2009 - 2010,0.4
,,2010 - 2011,0.38
,,2011 - 2012,0.42
,,2012 - 2013,0.43
,,2013 - 2014,0.26
,,2014 - 2015,0.45
,,2015 - 2016,0.52
,,2016 - 2017,0.59
,,2017 - 2018,0.32
,,2018 - 2019,0.58
,,2019 - 2020,0.47
,,2020 - 2021,0.46
,,2021 - 2022,0.38
,,2022 - 2023,0.36
,Kendujhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.21
,,2005 - 2006,0.19
,,2006 - 2007,0.28
,,2007 - 2008,0.2
,,2008 - 2009,0.19
,,2009 - 2010,0.23
,,2010 - 2011,0.22
,,2011 - 2012,0.22
,,2012 - 2013,0.25
,,2013 - 2014,0.24
,,2014 - 2015,0.3
,,2015 - 2016,0.27
,,2016 - 2017,0.58
,,2017 - 2018,0.39
,,2018 - 2019,0.31
,,2019 - 2020,0.32
,,2020 - 2021,0.36
,,2021 - 2022,0.31
,,2022 - 2023,0.38
,Khordha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.27
,,2005 - 2006,0.22
,,2006 - 2007,0.25
,,2007 - 2008,0.19
,,2008 - 2009,0.19
,,2009 - 2010,0.21
,,2010 - 2011,0.21
,,2011 - 2012,0.22
,,2012 - 2013,0.31
,,2013 - 2014,0.21
,,2014 - 2015,0.27
,,2015 - 2016,0.3
,,2016 - 2017,0.37
,,2017 - 2018,0.28
,,2018 - 2019,0.23
,,2019 - 2020,0.23
,,2020 - 2021,0.26
,,2021 - 2022,0.28
,,2022 - 2023,0.28
,Koraput,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.22
,,2005 - 2006,0.24
,,2006 - 2007,0.25
,,2007 - 2008,0.26
,,2008 - 2009,0.24
,,2009 - 2010,0.21
,,2010 - 2011,0.27
,,2011 - 2012,0.19
,,2012 - 2013,0.34
,,2013 - 2014,0.35
,,2014 - 2015,0.28
,,2015 - 2016,0.27
,,2016 - 2017,0.33
,,2017 - 2018,0.4
,,2018 - 2019,0.32
,,2019 - 2020,0.33
,,2020 - 2021,0.31
,,2021 - 2022,0.36
,,2022 - 2023,0.31
,Malkangiri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.17
,,2005 - 2006,0.28
,,2006 - 2007,0.21
,,2007 - 2008,0.24
,,2008 - 2009,0.22
,,2009 - 2010,0.24
,,2010 - 2011,0.3
,,2011 - 2012,0.12
,,2012 - 2013,0.19
,,2013 - 2014,0.24
,,2014 - 2015,0.25
,,2015 - 2016,0.19
,,2016 - 2017,0.27
,,2017 - 2018,0.3
,,2018 - 2019,0.25
,,2019 - 2020,0.3
,,2020 - 2021,0.34
,,2021 - 2022,0.3
,,2022 - 2023,0.57
,Mayurbhanj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.24
,,2005 - 2006,0.26
,,2006 - 2007,0.32
,,2007 - 2008,0.37
,,2008 - 2009,0.29
,,2009 - 2010,0.37
,,2010 - 2011,0.3
,,2011 - 2012,0.42
,,2012 - 2013,0.58
,,2013 - 2014,0.25
,,2014 - 2015,0.62
,,2015 - 2016,0.39
,,2016 - 2017,0.54
,,2017 - 2018,0.71
,,2018 - 2019,0.32
,,2019 - 2020,0.52
,,2020 - 2021,0.55
,,2021 - 2022,0.42
,,2022 - 2023,0.37
,Nabarangpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.34
,,2005 - 2006,0.38
,,2006 - 2007,0.43
,,2007 - 2008,0.5
,,2008 - 2009,0.33
,,2009 - 2010,0.46
,,2010 - 2011,0.49
,,2011 - 2012,0.21
,,2012 - 2013,0.47
,,2013 - 2014,0.47
,,2014 - 2015,0.47
,,2015 - 2016,0.39
,,2016 - 2017,0.68
,,2017 - 2018,0.53
,,2018 - 2019,0.49
,,2019 - 2020,0.56
,,2020 - 2021,0.69
,,2021 - 2022,0.71
,,2022 - 2023,0.75
,Nayagarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.19
,,2005 - 2006,0.21
,,2006 - 2007,0.25
,,2007 - 2008,0.22
,,2008 - 2009,0.25
,,2009 - 2010,0.22
,,2010 - 2011,0.21
,,2011 - 2012,0.16
,,2012 - 2013,0.31
,,2013 - 2014,0.29
,,2014 - 2015,0.35
,,2015 - 2016,0.23
,,2016 - 2017,0.33
,,2017 - 2018,0.43
,,2018 - 2019,0.26
,,2019 - 2020,0.33
,,2020 - 2021,0.34
,,2021 - 2022,0.26
,,2022 - 2023,0.34
,Nuapada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.08
,,2005 - 2006,0.09
,,2006 - 2007,0.11
,,2007 - 2008,0.55
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.24
,,2011 - 2012,0.14
,,2012 - 2013,0.21
,,2013 - 2014,0.28
,,2014 - 2015,0.23
,,2015 - 2016,
,,2016 - 2017,0.32
,,2017 - 2018,0.34
,,2018 - 2019,0.44
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.23
,,2022 - 2023,0.16
,Puri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.25
,,2005 - 2006,0.26
,,2006 - 2007,0.26
,,2007 - 2008,0.28
,,2008 - 2009,0.29
,,2009 - 2010,0.33
,,2010 - 2011,0.32
,,2011 - 2012,0.27
,,2012 - 2013,0.33
,,2013 - 2014,0.37
,,2014 - 2015,0.36
,,2015 - 2016,0.43
,,2016 - 2017,0.38
,,2017 - 2018,0.19
,,2018 - 2019,0.41
,,2019 - 2020,0.38
,,2020 - 2021,0.36
,,2021 - 2022,0.35
,,2022 - 2023,0.52
,Rayagada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.25
,,2005 - 2006,0.27
,,2006 - 2007,0.25
,,2007 - 2008,0.26
,,2008 - 2009,0.2
,,2009 - 2010,0.26
,,2010 - 2011,0.28
,,2011 - 2012,0.23
,,2012 - 2013,0.28
,,2013 - 2014,0.32
,,2014 - 2015,0.34
,,2015 - 2016,0.18
,,2016 - 2017,0.39
,,2017 - 2018,0.4
,,2018 - 2019,0.29
,,2019 - 2020,0.3
,,2020 - 2021,0.27
,,2021 - 2022,0.32
,,2022 - 2023,0.28
,Sambalpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.17
,,2005 - 2006,0.31
,,2006 - 2007,0.28
,,2007 - 2008,0.28
,,2008 - 2009,0.28
,,2009 - 2010,0.37
,,2010 - 2011,0.19
,,2011 - 2012,0.28
,,2012 - 2013,0.33
,,2013 - 2014,0.49
,,2014 - 2015,0.48
,,2015 - 2016,0.3
,,2016 - 2017,0.57
,,2017 - 2018,0.66
,,2018 - 2019,0.77
,,2019 - 2020,0.6
,,2020 - 2021,0.65
,,2021 - 2022,0.55
,,2022 - 2023,0.61
,Sonepur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.15
,,2005 - 2006,0.25
,,2006 - 2007,0.33
,,2007 - 2008,0.28
,,2008 - 2009,0.19
,,2009 - 2010,0.36
,,2010 - 2011,0.22
,,2011 - 2012,0.29
,,2012 - 2013,0.19
,,2013 - 2014,0.2
,,2014 - 2015,0.15
,,2015 - 2016,0.25
,,2016 - 2017,0.29
,,2017 - 2018,0.23
,,2018 - 2019,0.28
,,2019 - 2020,0.34
,,2020 - 2021,0.29
,,2021 - 2022,0.35
,,2022 - 2023,0.33
,Sundargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.18
,,2005 - 2006,0.39
,,2006 - 2007,0.26
,,2007 - 2008,0.31
,,2008 - 2009,0.28
,,2009 - 2010,0.26
,,2010 - 2011,0.23
,,2011 - 2012,0.28
,,2012 - 2013,0.37
,,2013 - 2014,0.46
,,2014 - 2015,0.39
,,2015 - 2016,0.32
,,2016 - 2017,0.41
,,2017 - 2018,0.5
,,2018 - 2019,0.2
,,2019 - 2020,0.4
,,2020 - 2021,0.45
,,2021 - 2022,0.33
,,2022 - 2023,0.3
Puducherry,Karaikal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Mahe,2000 - 2001,
,,2021 - 2022,
,Pondicherry,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Yanam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Punjab,Amritsar,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Gurdaspur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hoshiarpur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jalandhar,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2014 - 2015,
,Nawanshahr,2003 - 2004,
,Pathankot,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Patiala,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,
,,2017 - 2018,
,Rupnagar,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2022 - 2023,
,S.a.s nagar,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Tarn taran,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
Rajasthan,Ajmer,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Alwar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2017 - 2018,
,,2018 - 2019,
,Banswara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
