state,district,year,jowar_whole_year_yield_tonne_per_hectare
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nandyal,2022 - 2023,
,Ntr,2022 - 2023,
,Palnadu,2022 - 2023,
,Parvathipuram manyam,2022 - 2023,
,Prakasam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Spsr nellore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sri sathya sai,2022 - 2023,
,Srikakulam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirupati,2022 - 2023,
,Visakhapatanam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Vizianagaram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West godavari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
Bihar,Araria,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,Begusarai,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,,2022 - 2023,
,Bhagalpur,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhojpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Buxar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Darbhanga,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,Gaya,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,Gopalganj,2001 - 2002,
,,2004 - 2005,
,,2006 - 2007,
,Jamui,2000 - 2001,
,Jehanabad,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2007 - 2008,
,Kaimur (bhabua),2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,Khagaria,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2019 - 2020,
,,2021 - 2022,
,Madhepura,2002 - 2003,
,Madhubani,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,Muzaffarpur,2002 - 2003,
,,2005 - 2006,
,Nawada,2007 - 2008,
,,2010 - 2011,
,,2013 - 2014,
,Pashchim champaran,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2013 - 2014,
,Patna,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Purbi champaran,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,Purnia,2004 - 2005,
,Rohtas,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,Saharsa,2008 - 2009,
,,2011 - 2012,
,Samastipur,2001 - 2002,
,,2008 - 2009,
,,2015 - 2016,
,Saran,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2012 - 2013,
,Sheikhpura,2009 - 2010,
,Sitamarhi,2000 - 2001,
,,2007 - 2008,
,,2008 - 2009,
,Siwan,2004 - 2005,
,,2010 - 2011,
,Supaul,2013 - 2014,
,,2016 - 2017,
,Vaishali,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
Chhattisgarh,Balod,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.5
,,2014 - 2015,0.64
,,2016 - 2017,0.78
,,2018 - 2019,1.0
,,2019 - 2020,0.0
,,2020 - 2021,1.0
,Baloda bazar,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.67
,,2014 - 2015,1.0
,,2015 - 2016,0.67
,,2016 - 2017,0.5
,,2020 - 2021,1.0
,,2021 - 2022,0.67
,,2022 - 2023,1.23
,Balrampur,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.58
,,2014 - 2015,0.71
,,2015 - 2016,0.66
,,2016 - 2017,1.32
,,2017 - 2018,1.27
,,2018 - 2019,0.92
,,2019 - 2020,1.3
,,2020 - 2021,1.29
,,2021 - 2022,0.7
,,2022 - 2023,1.22
,Bastar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.8
,,2014 - 2015,0.89
,,2015 - 2016,1.16
,,2016 - 2017,1.91
,,2017 - 2018,2.12
,,2018 - 2019,1.26
,,2019 - 2020,1.65
,,2020 - 2021,1.7
,,2021 - 2022,0.78
,,2022 - 2023,1.45
,Bemetara,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,1.0
,,2017 - 2018,1.33
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.0
,,2022 - 2023,1.18
,Bijapur,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.73
,,2014 - 2015,0.94
,,2015 - 2016,0.79
,,2016 - 2017,1.29
,,2017 - 2018,0.25
,,2018 - 2019,0.16
,,2019 - 2020,0.27
,,2020 - 2021,0.27
,,2021 - 2022,0.1
,,2022 - 2023,0.29
,Bilaspur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.63
,,2014 - 2015,0.78
,,2015 - 2016,1.0
,,2016 - 2017,1.54
,,2017 - 2018,1.45
,,2018 - 2019,0.78
,,2019 - 2020,1.5
,,2020 - 2021,1.6
,,2021 - 2022,1.0
,,2022 - 2023,0.33
,Dantewada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.74
,,2014 - 2015,0.93
,,2015 - 2016,0.86
,,2016 - 2017,1.85
,,2017 - 2018,0.97
,,2018 - 2019,1.21
,,2019 - 2020,1.59
,,2020 - 2021,1.64
,,2021 - 2022,0.92
,,2022 - 2023,1.57
,Dhamtari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.67
,,2014 - 2015,0.91
,,2015 - 2016,1.4
,,2019 - 2020,1.29
,,2020 - 2021,2.17
,Durg,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2015 - 2016,0.6
,,2016 - 2017,2.3
,,2017 - 2018,1.22
,,2018 - 2019,0.38
,,2019 - 2020,0.43
,,2020 - 2021,2.07
,,2021 - 2022,1.15
,,2022 - 2023,2.0
,Gariyaband,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.59
,,2014 - 2015,0.8
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.43
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,,2022 - 2023,0.0
,Gaurella-pendra-marwahi,2019 - 2020,1.45
,,2020 - 2021,1.57
,,2021 - 2022,0.75
,,2022 - 2023,1.33
,Janjgir-champa,2001 - 2002,
,,2004 - 2005,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,Jashpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.7
,,2014 - 2015,0.86
,,2015 - 2016,1.16
,,2016 - 2017,1.35
,,2017 - 2018,1.59
,,2018 - 2019,1.13
,,2019 - 2020,1.66
,,2020 - 2021,1.55
,,2021 - 2022,0.8
,,2022 - 2023,1.44
,Kabirdham,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.65
,,2014 - 2015,0.81
,,2015 - 2016,1.06
,,2016 - 2017,1.2
,,2017 - 2018,1.1
,,2018 - 2019,1.03
,,2019 - 2020,1.07
,,2020 - 2021,3.13
,,2021 - 2022,1.81
,,2022 - 2023,3.33
,Kanker,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.55
,,2014 - 2015,0.83
,,2015 - 2016,0.93
,,2016 - 2017,1.85
,,2017 - 2018,1.31
,,2018 - 2019,1.18
,,2019 - 2020,1.53
,,2020 - 2021,1.5
,,2021 - 2022,0.91
,,2022 - 2023,1.67
,Khairgarh chhuikhadan gandai,2022 - 2023,0.0
,Kondagaon,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.65
,,2014 - 2015,0.89
,,2015 - 2016,0.94
,,2016 - 2017,1.48
,,2017 - 2018,1.38
,,2018 - 2019,1.05
,,2019 - 2020,1.67
,,2020 - 2021,1.45
,,2021 - 2022,1.06
,,2022 - 2023,2.0
,Korba,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.52
,,2014 - 2015,0.78
,,2015 - 2016,0.79
,,2016 - 2017,1.36
,,2017 - 2018,1.33
,,2018 - 2019,0.86
,,2019 - 2020,1.27
,,2020 - 2021,1.28
,,2021 - 2022,0.76
,,2022 - 2023,1.44
,Korea,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.56
,,2014 - 2015,0.74
,,2015 - 2016,0.68
,,2016 - 2017,1.17
,,2017 - 2018,1.21
,,2018 - 2019,0.84
,,2019 - 2020,1.26
,,2020 - 2021,0.96
,,2021 - 2022,0.51
,,2022 - 2023,0.87
,Mahasamund,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,0.61
,,2014 - 2015,0.79
,,2015 - 2016,0.83
,,2016 - 2017,1.33
,,2017 - 2018,1.0
,,2018 - 2019,0.5
,,2020 - 2021,1.0
,,2021 - 2022,0.83
,,2022 - 2023,1.25
,Manendragarh chirimiri bharatpur,2022 - 2023,0.94
,Mohla manpur ambagarh chouki,2022 - 2023,2.0
,Mungeli,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.97
,Narayanpur,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.6
,,2014 - 2015,0.75
,,2015 - 2016,0.88
,,2016 - 2017,1.75
,,2017 - 2018,1.0
,,2018 - 2019,1.23
,Raigarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.5
,,2014 - 2015,0.67
,,2015 - 2016,1.33
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2019 - 2020,1.33
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,2.0
,Raipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2018 - 2019,0.0
,,2020 - 2021,1.0
,,2021 - 2022,0.6
,,2022 - 2023,1.0
,Rajnandgaon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.62
,,2014 - 2015,0.77
,,2015 - 2016,1.01
,,2016 - 2017,1.42
,,2017 - 2018,1.47
,,2018 - 2019,0.85
,,2019 - 2020,1.5
,,2020 - 2021,0.0
,,2021 - 2022,0.44
,,2022 - 2023,0.42
,Sukma,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.73
,,2014 - 2015,1.0
,,2015 - 2016,0.86
,,2016 - 2017,1.23
,,2017 - 2018,1.3
,,2018 - 2019,1.03
,,2019 - 2020,1.5
,,2020 - 2021,1.31
,,2021 - 2022,0.67
,,2022 - 2023,1.24
,Surajpur,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.58
,,2014 - 2015,0.8
,,2015 - 2016,0.77
,,2016 - 2017,1.1
,,2017 - 2018,1.29
,,2018 - 2019,0.99
,,2019 - 2020,1.38
,,2020 - 2021,1.47
,,2021 - 2022,0.8
,,2022 - 2023,1.46
,Surguja,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.58
,,2014 - 2015,0.79
,,2015 - 2016,0.93
,,2016 - 2017,1.62
,,2017 - 2018,1.2
,,2018 - 2019,0.94
,,2019 - 2020,0.98
,,2020 - 2021,1.48
,,2021 - 2022,0.79
,,2022 - 2023,1.42
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
Delhi,Delhi_total,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
Gujarat,Ahmadabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2017 - 2018,
,,2022 - 2023,
,Amreli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2009 - 2010,
,,2010 - 2011,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2022 - 2023,
,Anand,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,Aravalli,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2022 - 2023,
,Banas kantha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bharuch,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhavnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Botad,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,Chhotaudepur,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dang,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Devbhumi dwarka,2017 - 2018,
,Dohad,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,Gandhinagar,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2021 - 2022,
,Gir somnath,2021 - 2022,
,,2022 - 2023,
,Jamnagar,2000 - 2001,
