feature,GMM_Cluster,State,District
A & N Islands_Nicobars,10,A & N Islands,Nicobars
A & N Islands_North And Middle Andaman,10,A & N Islands,North And Middle Andaman
A & N Islands_South Andamans,10,A & N Islands,South Andamans
Andhra Pradesh_Alluri Sitharama Raju,0,Andhra Pradesh,Alluri Sitharama Raju
Andhra Pradesh_Anakapalli,2,Andhra Pradesh,Anakapalli
Andhra Pradesh_Anantapur,2,Andhra Pradesh,Anantapur
Andhra Pradesh_Annamayya,11,Andhra Pradesh,Annamayya
Andhra Pradesh_Bapatla,2,Andhra Pradesh,Bapatla
Andhra Pradesh_Chittoor,11,Andhra Pradesh,Chittoor
Andhra Pradesh_East Godavari,12,Andhra Pradesh,East Godavari
Andhra Pradesh_Eluru,12,Andhra Pradesh,Eluru
Andhra Pradesh_Guntur,2,Andhra Pradesh,Guntur
Andhra Pradesh_Kakinada,2,Andhra Pradesh,Kakinada
Andhra Pradesh_Konaseema,2,Andhra Pradesh,Konaseema
Andhra Pradesh_Krishna,2,Andhra Pradesh,Krishna
Andhra Pradesh_Kurnool,12,Andhra Pradesh,Kurnool
Andhra Pradesh_Nandyal,2,Andhra Pradesh,Nandyal
Andhra Pradesh_Ntr,12,Andhra Pradesh,Ntr
Andhra Pradesh_Palnadu,2,Andhra Pradesh,Palnadu
Andhra Pradesh_Parvathipuram Manyam,0,Andhra Pradesh,Parvathipuram Manyam
Andhra Pradesh_Prakasam,2,Andhra Pradesh,Prakasam
Andhra Pradesh_Spsr Nellore,11,Andhra Pradesh,Spsr Nellore
Andhra Pradesh_Sri Sathya Sai,2,Andhra Pradesh,Sri Sathya Sai
Andhra Pradesh_Srikakulam,2,Andhra Pradesh,Srikakulam
Andhra Pradesh_Tirupati,11,Andhra Pradesh,Tirupati
Andhra Pradesh_Visakhapatanam,2,Andhra Pradesh,Visakhapatanam
Andhra Pradesh_Vizianagaram,12,Andhra Pradesh,Vizianagaram
Andhra Pradesh_West Godavari,2,Andhra Pradesh,West Godavari
Andhra Pradesh_Y.s.r.,2,Andhra Pradesh,Y.s.r.
Arunachal Pradesh_Anjaw,13,Arunachal Pradesh,Anjaw
Arunachal Pradesh_Changlang,5,Arunachal Pradesh,Changlang
Arunachal Pradesh_Dibang Valley,13,Arunachal Pradesh,Dibang Valley
Arunachal Pradesh_East Kameng,13,Arunachal Pradesh,East Kameng
Arunachal Pradesh_East Siang,5,Arunachal Pradesh,East Siang
Arunachal Pradesh_Itanagar Capital Complex,5,Arunachal Pradesh,Itanagar Capital Complex
Arunachal Pradesh_Kamle,5,Arunachal Pradesh,Kamle
Arunachal Pradesh_Kra Daadi,13,Arunachal Pradesh,Kra Daadi
Arunachal Pradesh_Kurung Kumey,13,Arunachal Pradesh,Kurung Kumey
Arunachal Pradesh_Leparada,5,Arunachal Pradesh,Leparada
Arunachal Pradesh_Lohit,5,Arunachal Pradesh,Lohit
Arunachal Pradesh_Longding,4,Arunachal Pradesh,Longding
Arunachal Pradesh_Lower Dibang Valley,5,Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh_Lower Siang,4,Arunachal Pradesh,Lower Siang
Arunachal Pradesh_Lower Subansiri,5,Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh_Namsai,4,Arunachal Pradesh,Namsai
Arunachal Pradesh_Pakke Kessang,5,Arunachal Pradesh,Pakke Kessang
Arunachal Pradesh_Papum Pare,5,Arunachal Pradesh,Papum Pare
Arunachal Pradesh_Shi Yomi,13,Arunachal Pradesh,Shi Yomi
Arunachal Pradesh_Siang,5,Arunachal Pradesh,Siang
Arunachal Pradesh_Tawang,1,Arunachal Pradesh,Tawang
Arunachal Pradesh_Tirap,4,Arunachal Pradesh,Tirap
Arunachal Pradesh_Upper Siang,13,Arunachal Pradesh,Upper Siang
Arunachal Pradesh_Upper Subansiri,13,Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh_West Kameng,13,Arunachal Pradesh,West Kameng
Arunachal Pradesh_West Siang,5,Arunachal Pradesh,West Siang
Assam_Bajali,8,Assam,Bajali
Assam_Baksa,8,Assam,Baksa
Assam_Barpeta,8,Assam,Barpeta
Assam_Biswanath,4,Assam,Biswanath
Assam_Bongaigaon,8,Assam,Bongaigaon
Assam_Cachar,4,Assam,Cachar
Assam_Charaideo,4,Assam,Charaideo
Assam_Chirang,8,Assam,Chirang
Assam_Darrang,4,Assam,Darrang
Assam_Dhemaji,4,Assam,Dhemaji
Assam_Dhubri,8,Assam,Dhubri
Assam_Dibrugarh,4,Assam,Dibrugarh
Assam_Dima Hasao,4,Assam,Dima Hasao
Assam_Goalpara,8,Assam,Goalpara
Assam_Golaghat,4,Assam,Golaghat
Assam_Hailakandi,8,Assam,Hailakandi
Assam_Hojai,4,Assam,Hojai
Assam_Jorhat,4,Assam,Jorhat
Assam_Kamrup,4,Assam,Kamrup
Assam_Kamrup Metro,4,Assam,Kamrup Metro
Assam_Karbi Anglong,4,Assam,Karbi Anglong
Assam_Karimganj,8,Assam,Karimganj
Assam_Kokrajhar,8,Assam,Kokrajhar
Assam_Lakhimpur,4,Assam,Lakhimpur
Assam_Majuli,4,Assam,Majuli
Assam_Marigaon,4,Assam,Marigaon
Assam_Nagaon,4,Assam,Nagaon
Assam_Nalbari,8,Assam,Nalbari
Assam_Sivasagar,4,Assam,Sivasagar
Assam_Sonitpur,8,Assam,Sonitpur
Assam_South Salmara Mancachar,8,Assam,South Salmara Mancachar
Assam_Tamulpur,8,Assam,Tamulpur
Assam_Tinsukia,4,Assam,Tinsukia
Assam_Udalguri,4,Assam,Udalguri
Assam_West Karbi Anglong,4,Assam,West Karbi Anglong
Bihar_Araria,7,Bihar,Araria
Bihar_Arwal,7,Bihar,Arwal
Bihar_Aurangabad,7,Bihar,Aurangabad
Bihar_Banka,7,Bihar,Banka
Bihar_Begusarai,7,Bihar,Begusarai
Bihar_Bhagalpur,7,Bihar,Bhagalpur
Bihar_Bhojpur,7,Bihar,Bhojpur
Bihar_Buxar,7,Bihar,Buxar
Bihar_Darbhanga,7,Bihar,Darbhanga
Bihar_Gaya,7,Bihar,Gaya
Bihar_Gopalganj,7,Bihar,Gopalganj
Bihar_Jamui,7,Bihar,Jamui
Bihar_Jehanabad,7,Bihar,Jehanabad
Bihar_Kaimur (Bhabua),7,Bihar,Kaimur (Bhabua)
Bihar_Katihar,7,Bihar,Katihar
Bihar_Khagaria,7,Bihar,Khagaria
