feature,KMeans_Cluster,State,District
Assam_Udalguri,3,Assam,Udalguri
Assam_West Karbi Anglong,3,Assam,West Karbi Anglong
Bihar_Araria,9,Bihar,Araria
Bihar_Arwal,5,Bihar,Arwal
Bihar_Aurangabad,5,Bihar,Aurangabad
Bihar_Banka,5,Bihar,Banka
Bihar_Begusarai,5,Bihar,Begusarai
Bihar_Bhagalpur,5,Bihar,Bhagalpur
Bihar_Bhojpur,5,Bihar,Bhojpur
Bihar_Buxar,5,Bihar,Buxar
Bihar_Darbhanga,5,Bihar,Darbhanga
Bihar_Gaya,5,Bihar,Gaya
Bihar_Gopalganj,5,Bihar,Gopalganj
Bihar_Jamui,5,Bihar,Jamui
Bihar_Jehanabad,5,Bihar,Jehanabad
Bihar_Kaimur (Bhabua),5,Bihar,Kaimur (Bhabua)
Bihar_Katihar,5,Bihar,Katihar
Bihar_Khagaria,5,Bihar,Khagaria
Bihar_Kishanganj,3,Bihar,Kishanganj
Bihar_Lakhisarai,5,Bihar,Lakhisarai
Bihar_Madhepura,5,Bihar,Madhepura
Bihar_Madhubani,5,Bihar,Madhubani
Bihar_Munger,5,Bihar,Munger
Bihar_Muzaffarpur,5,Bihar,Muzaffarpur
Bihar_Nalanda,5,Bihar,Nalanda
Bihar_Nawada,5,Bihar,Nawada
Bihar_Pashchim Champaran,5,Bihar,Pashchim Champaran
Bihar_Patna,5,Bihar,Patna
Bihar_Purbi Champaran,5,Bihar,Purbi Champaran
Bihar_Purnia,5,Bihar,Purnia
Bihar_Rohtas,5,Bihar,Rohtas
Bihar_Saharsa,5,Bihar,Saharsa
Bihar_Samastipur,5,Bihar,Samastipur
Bihar_Saran,5,Bihar,Saran
Bihar_Sheikhpura,5,Bihar,Sheikhpura
Bihar_Sheohar,5,Bihar,Sheohar
Bihar_Sitamarhi,5,Bihar,Sitamarhi
Bihar_Siwan,5,Bihar,Siwan
Bihar_Supaul,5,Bihar,Supaul
Bihar_Vaishali,5,Bihar,Vaishali
Chandigarh_Chandigarh,13,Chandigarh,Chandigarh
Chhattisgarh_Balod,9,Chhattisgarh,Balod
Chhattisgarh_Baloda Bazar,9,Chhattisgarh,Baloda Bazar
Chhattisgarh_Balrampur,5,Chhattisgarh,Balrampur
Chhattisgarh_Bastar,9,Chhattisgarh,Bastar
Chhattisgarh_Bemetara,9,Chhattisgarh,Bemetara
Chhattisgarh_Bijapur,9,Chhattisgarh,Bijapur
Chhattisgarh_Bilaspur,9,Chhattisgarh,Bilaspur
Chhattisgarh_Dantewada,9,Chhattisgarh,Dantewada
Chhattisgarh_Dhamtari,9,Chhattisgarh,Dhamtari
Chhattisgarh_Durg,9,Chhattisgarh,Durg
Chhattisgarh_Gariyaband,9,Chhattisgarh,Gariyaband
Chhattisgarh_Gaurella Pendra Marwahi,9,Chhattisgarh,Gaurella Pendra Marwahi
Chhattisgarh_Janjgir-Champa,9,Chhattisgarh,Janjgir-Champa
Chhattisgarh_Jashpur,9,Chhattisgarh,Jashpur
Chhattisgarh_Kabirdham,9,Chhattisgarh,Kabirdham
Chhattisgarh_Kanker,9,Chhattisgarh,Kanker
Chhattisgarh_Khairgarh Chhuikhadan Gandai,9,Chhattisgarh,Khairgarh Chhuikhadan Gandai
Chhattisgarh_Kondagaon,9,Chhattisgarh,Kondagaon
Chhattisgarh_Korba,9,Chhattisgarh,Korba
Chhattisgarh_Korea,5,Chhattisgarh,Korea
Chhattisgarh_Mahasamund,9,Chhattisgarh,Mahasamund
Chhattisgarh_Manendragarh Chirimiri Bharatpur,5,Chhattisgarh,Manendragarh Chirimiri Bharatpur
Chhattisgarh_Mohla Manpur Ambagarh Chouki,9,Chhattisgarh,Mohla Manpur Ambagarh Chouki
Chhattisgarh_Mungeli,9,Chhattisgarh,Mungeli
Chhattisgarh_Narayanpur,9,Chhattisgarh,Narayanpur
Chhattisgarh_Raigarh,9,Chhattisgarh,Raigarh
Chhattisgarh_Raipur,9,Chhattisgarh,Raipur
Chhattisgarh_Rajnandgaon,9,Chhattisgarh,Rajnandgaon
Chhattisgarh_Sakti,9,Chhattisgarh,Sakti
Chhattisgarh_Sarangarh Bilaigarh,9,Chhattisgarh,Sarangarh Bilaigarh
Chhattisgarh_Sukma,9,Chhattisgarh,Sukma
Chhattisgarh_Surajpur,5,Chhattisgarh,Surajpur
Chhattisgarh_Surguja,9,Chhattisgarh,Surguja
DNHDD_Dadra And Nagar Haveli,9,DNHDD,Dadra And Nagar Haveli
DNHDD_Daman,9,DNHDD,Daman
Delhi_Central,13,Delhi,Central
Delhi_New Delhi,13,Delhi,New Delhi
Delhi_North,13,Delhi,North
Delhi_North West,13,Delhi,North West
Delhi_South,13,Delhi,South
Delhi_South East,13,Delhi,South East
Delhi_South West,13,Delhi,South West
Delhi_West,13,Delhi,West
Goa_North Goa,14,Goa,North Goa
Goa_South Goa,14,Goa,South Goa
Gujarat_Ahmadabad,2,Gujarat,Ahmadabad
Gujarat_Amreli,2,Gujarat,Amreli
Gujarat_Anand,2,Gujarat,Anand
Gujarat_Arvalli,2,Gujarat,Arvalli
Gujarat_Banas Kantha,2,Gujarat,Banas Kantha
Gujarat_Bharuch,2,Gujarat,Bharuch
Gujarat_Bhavnagar,2,Gujarat,Bhavnagar
Gujarat_Botad,2,Gujarat,Botad
Gujarat_Chhotaudepur,2,Gujarat,Chhotaudepur
Gujarat_Dang,9,Gujarat,Dang
Gujarat_Devbhumi Dwarka,2,Gujarat,Devbhumi Dwarka
Gujarat_Dohad,2,Gujarat,Dohad
Gujarat_Gandhinagar,2,Gujarat,Gandhinagar
Gujarat_Gir Somnath,2,Gujarat,Gir Somnath
Gujarat_Jamnagar,2,Gujarat,Jamnagar
Gujarat_Junagadh,2,Gujarat,Junagadh
Gujarat_Kachchh,2,Gujarat,Kachchh
Gujarat_Kheda,2,Gujarat,Kheda
Gujarat_Mahesana,2,Gujarat,Mahesana
Gujarat_Mahisagar,2,Gujarat,Mahisagar
Gujarat_Morbi,2,Gujarat,Morbi
Gujarat_Narmada,2,Gujarat,Narmada
Gujarat_Navsari,9,Gujarat,Navsari
Gujarat_Panch Mahals,2,Gujarat,Panch Mahals
Gujarat_Patan,2,Gujarat,Patan
Gujarat_Porbandar,2,Gujarat,Porbandar
Gujarat_Rajkot,2,Gujarat,Rajkot
Gujarat_Sabar Kantha,2,Gujarat,Sabar Kantha
Gujarat_Surat,2,Gujarat,Surat
Gujarat_Surendranagar,2,Gujarat,Surendranagar
Gujarat_Tapi,2,Gujarat,Tapi
Gujarat_Vadodara,2,Gujarat,Vadodara
Gujarat_Valsad,9,Gujarat,Valsad
Haryana_Ambala,13,Haryana,Ambala
Haryana_Bhiwani,13,Haryana,Bhiwani
Haryana_Charki Dadri,13,Haryana,Charki Dadri
Haryana_Faridabad,13,Haryana,Faridabad
Haryana_Fatehabad,13,Haryana,Fatehabad
Haryana_Gurugram,13,Haryana,Gurugram
Haryana_Hisar,13,Haryana,Hisar
Haryana_Jhajjar,13,Haryana,Jhajjar
Haryana_Jind,13,Haryana,Jind
Haryana_Kaithal,13,Haryana,Kaithal
Haryana_Karnal,13,Haryana,Karnal
Haryana_Kurukshetra,13,Haryana,Kurukshetra
Haryana_Mahendragarh,13,Haryana,Mahendragarh
Haryana_Nuh,13,Haryana,Nuh
Haryana_Palwal,13,Haryana,Palwal
Haryana_Panchkula,13,Haryana,Panchkula
Haryana_Panipat,13,Haryana,Panipat
Haryana_Rewari,13,Haryana,Rewari
Haryana_Rohtak,13,Haryana,Rohtak
Haryana_Sirsa,13,Haryana,Sirsa
Haryana_Sonipat,13,Haryana,Sonipat
Haryana_Yamunanagar,13,Haryana,Yamunanagar
Himachal Pradesh_Bilaspur,10,Himachal Pradesh,Bilaspur
Himachal Pradesh_Chamba,1,Himachal Pradesh,Chamba
Himachal Pradesh_Hamirpur,10,Himachal Pradesh,Hamirpur
Himachal Pradesh_Kangra,10,Himachal Pradesh,Kangra
Himachal Pradesh_Kinnaur,12,Himachal Pradesh,Kinnaur
Himachal Pradesh_Kullu,1,Himachal Pradesh,Kullu
Himachal Pradesh_Lahul And Spiti,12,Himachal Pradesh,Lahul And Spiti
Himachal Pradesh_Mandi,10,Himachal Pradesh,Mandi
Himachal Pradesh_Shimla,1,Himachal Pradesh,Shimla
Himachal Pradesh_Sirmaur,10,Himachal Pradesh,Sirmaur
Himachal Pradesh_Solan,10,Himachal Pradesh,Solan
Himachal Pradesh_Una,10,Himachal Pradesh,Una
Jammu & Kashmir_Anantnag,1,Jammu & Kashmir,Anantnag
Jammu & Kashmir_Bandipora,1,Jammu & Kashmir,Bandipora
Jammu & Kashmir_Baramulla,1,Jammu & Kashmir,Baramulla
Jammu & Kashmir_Budgam,1,Jammu & Kashmir,Budgam
Jammu & Kashmir_Doda,1,Jammu & Kashmir,Doda
Jammu & Kashmir_Ganderbal,1,Jammu & Kashmir,Ganderbal
Jammu & Kashmir_Jammu,10,Jammu & Kashmir,Jammu
Jammu & Kashmir_Kathua,10,Jammu & Kashmir,Kathua
Jammu & Kashmir_Kishtwar,12,Jammu & Kashmir,Kishtwar
Jammu & Kashmir_Kulgam,1,Jammu & Kashmir,Kulgam
Jammu & Kashmir_Kupwara,1,Jammu & Kashmir,Kupwara
Jammu & Kashmir_Mirpur,10,Jammu & Kashmir,Mirpur
Jammu & Kashmir_Muzaffarabad,1,Jammu & Kashmir,Muzaffarabad
Jammu & Kashmir_Poonch,10,Jammu & Kashmir,Poonch
Jammu & Kashmir_Pulwama,1,Jammu & Kashmir,Pulwama
Jammu & Kashmir_Rajouri,10,Jammu & Kashmir,Rajouri
Jammu & Kashmir_Ramban,1,Jammu & Kashmir,Ramban
Jammu & Kashmir_Reasi,10,Jammu & Kashmir,Reasi
Jammu & Kashmir_Samba,10,Jammu & Kashmir,Samba
Jammu & Kashmir_Shopian,4,Jammu & Kashmir,Shopian
Jammu & Kashmir_Srinagar,1,Jammu & Kashmir,Srinagar
Jammu & Kashmir_Udhampur,10,Jammu & Kashmir,Udhampur
Jharkhand_Bokaro,5,Jharkhand,Bokaro
Jharkhand_Chatra,5,Jharkhand,Chatra
Jharkhand_Deoghar,5,Jharkhand,Deoghar
Jharkhand_Dhanbad,5,Jharkhand,Dhanbad
Jharkhand_Dumka,5,Jharkhand,Dumka
Jharkhand_East Singhbum,5,Jharkhand,East Singhbum
Jharkhand_Garhwa,5,Jharkhand,Garhwa
Jharkhand_Giridih,5,Jharkhand,Giridih
Jharkhand_Godda,5,Jharkhand,Godda
Jharkhand_Gumla,5,Jharkhand,Gumla
Jharkhand_Hazaribagh,5,Jharkhand,Hazaribagh
Jharkhand_Jamtara,5,Jharkhand,Jamtara
Jharkhand_Khunti,5,Jharkhand,Khunti
Jharkhand_Koderma,5,Jharkhand,Koderma
Jharkhand_Latehar,5,Jharkhand,Latehar
Jharkhand_Lohardaga,5,Jharkhand,Lohardaga
Jharkhand_Pakur,5,Jharkhand,Pakur
Jharkhand_Palamu,5,Jharkhand,Palamu
Jharkhand_Ramgarh,5,Jharkhand,Ramgarh
Jharkhand_Ranchi,5,Jharkhand,Ranchi
Jharkhand_Sahebganj,5,Jharkhand,Sahebganj
Jharkhand_Saraikela Kharsawan,5,Jharkhand,Saraikela Kharsawan
Jharkhand_Simdega,9,Jharkhand,Simdega
Jharkhand_West Singhbhum,9,Jharkhand,West Singhbhum
Karnataka_Bagalkote,0,Karnataka,Bagalkote
Karnataka_Ballari,0,Karnataka,Ballari
Karnataka_Belagavi,0,Karnataka,Belagavi
Karnataka_Bengaluru Rural,0,Karnataka,Bengaluru Rural
Karnataka_Bengaluru Urban,0,Karnataka,Bengaluru Urban
Karnataka_Bidar,0,Karnataka,Bidar
Karnataka_Chamarajanagara,0,Karnataka,Chamarajanagara
Karnataka_Chikkaballapura,0,Karnataka,Chikkaballapura
Karnataka_Chikkamagaluru,6,Karnataka,Chikkamagaluru
Karnataka_Chitradurga,0,Karnataka,Chitradurga
Karnataka_Dakshina Kannada,14,Karnataka,Dakshina Kannada
Karnataka_Davangere,0,Karnataka,Davangere
Karnataka_Dharwad,0,Karnataka,Dharwad
Karnataka_Gadag,0,Karnataka,Gadag
Karnataka_Hassan,6,Karnataka,Hassan
Karnataka_Haveri,0,Karnataka,Haveri
Karnataka_Kalaburagi,0,Karnataka,Kalaburagi
Karnataka_Kodagu,14,Karnataka,Kodagu
Karnataka_Kolar,0,Karnataka,Kolar
Karnataka_Koppal,0,Karnataka,Koppal
Karnataka_Mandya,0,Karnataka,Mandya
Karnataka_Mysuru,0,Karnataka,Mysuru
Karnataka_Raichur,0,Karnataka,Raichur
Karnataka_Ramanagara,0,Karnataka,Ramanagara
Karnataka_Shivamogga,9,Karnataka,Shivamogga
Karnataka_Tumakuru,0,Karnataka,Tumakuru
Karnataka_Udupi,14,Karnataka,Udupi
Karnataka_Uttara Kannada,14,Karnataka,Uttara Kannada
Karnataka_Vijayanagar,0,Karnataka,Vijayanagar
Karnataka_Vijayapura,0,Karnataka,Vijayapura
Karnataka_Yadgir,0,Karnataka,Yadgir
Kerala_Alappuzha,14,Kerala,Alappuzha
Kerala_Ernakulam,14,Kerala,Ernakulam
Kerala_Idukki,14,Kerala,Idukki
Kerala_Kannur,14,Kerala,Kannur
Kerala_Kasaragod,14,Kerala,Kasaragod
Kerala_Kollam,7,Kerala,Kollam
Kerala_Kottayam,14,Kerala,Kottayam
Kerala_Kozhikode,14,Kerala,Kozhikode
Kerala_Malappuram,14,Kerala,Malappuram
Kerala_Palakkad,14,Kerala,Palakkad
Kerala_Pathanamthitta,14,Kerala,Pathanamthitta
Kerala_Thiruvananthapuram,7,Kerala,Thiruvananthapuram
Kerala_Thrissur,14,Kerala,Thrissur
Kerala_Wayanad,14,Kerala,Wayanad
Ladakh_Kargil,12,Ladakh,Kargil
Ladakh_Leh Ladakh,12,Ladakh,Leh Ladakh
Madhya Pradesh_Agar Malwa,2,Madhya Pradesh,Agar Malwa
Madhya Pradesh_Alirajpur,2,Madhya Pradesh,Alirajpur
Madhya Pradesh_Anuppur,5,Madhya Pradesh,Anuppur
Madhya Pradesh_Ashoknagar,2,Madhya Pradesh,Ashoknagar
Madhya Pradesh_Balaghat,9,Madhya Pradesh,Balaghat
Madhya Pradesh_Barwani,2,Madhya Pradesh,Barwani
Madhya Pradesh_Betul,9,Madhya Pradesh,Betul
Madhya Pradesh_Bhind,13,Madhya Pradesh,Bhind
Madhya Pradesh_Bhopal,2,Madhya Pradesh,Bhopal
Madhya Pradesh_Burhanpur,2,Madhya Pradesh,Burhanpur
Madhya Pradesh_Chhatarpur,5,Madhya Pradesh,Chhatarpur
Madhya Pradesh_Chhindwara,9,Madhya Pradesh,Chhindwara
Madhya Pradesh_Damoh,2,Madhya Pradesh,Damoh
Madhya Pradesh_Datia,13,Madhya Pradesh,Datia
Madhya Pradesh_Dewas,2,Madhya Pradesh,Dewas
Madhya Pradesh_Dhar,2,Madhya Pradesh,Dhar
Madhya Pradesh_Dindori,9,Madhya Pradesh,Dindori
Madhya Pradesh_East Nimar,2,Madhya Pradesh,East Nimar
Madhya Pradesh_Guna,2,Madhya Pradesh,Guna
Madhya Pradesh_Gwalior,13,Madhya Pradesh,Gwalior
Madhya Pradesh_Harda,2,Madhya Pradesh,Harda
Madhya Pradesh_Indore,2,Madhya Pradesh,Indore
Madhya Pradesh_Jabalpur,2,Madhya Pradesh,Jabalpur
Madhya Pradesh_Jhabua,2,Madhya Pradesh,Jhabua
Madhya Pradesh_Katni,5,Madhya Pradesh,Katni
Madhya Pradesh_Khargone,2,Madhya Pradesh,Khargone
Madhya Pradesh_Mandla,9,Madhya Pradesh,Mandla
Madhya Pradesh_Mandsaur,2,Madhya Pradesh,Mandsaur
Madhya Pradesh_Morena,13,Madhya Pradesh,Morena
Madhya Pradesh_Narmadapuram,2,Madhya Pradesh,Narmadapuram
Madhya Pradesh_Narsinghpur,2,Madhya Pradesh,Narsinghpur
Madhya Pradesh_Neemuch,2,Madhya Pradesh,Neemuch
Madhya Pradesh_Niwari,13,Madhya Pradesh,Niwari
Madhya Pradesh_Panna,5,Madhya Pradesh,Panna
Madhya Pradesh_Raisen,2,Madhya Pradesh,Raisen
Madhya Pradesh_Rajgarh,2,Madhya Pradesh,Rajgarh
Madhya Pradesh_Ratlam,2,Madhya Pradesh,Ratlam
Madhya Pradesh_Rewa,5,Madhya Pradesh,Rewa
Madhya Pradesh_Sagar,2,Madhya Pradesh,Sagar
Madhya Pradesh_Satna,5,Madhya Pradesh,Satna
Madhya Pradesh_Sehore,2,Madhya Pradesh,Sehore
Madhya Pradesh_Seoni,9,Madhya Pradesh,Seoni
Madhya Pradesh_Shahdol,5,Madhya Pradesh,Shahdol
Madhya Pradesh_Shajapur,2,Madhya Pradesh,Shajapur
Madhya Pradesh_Sheopur,13,Madhya Pradesh,Sheopur
Madhya Pradesh_Shivpuri,13,Madhya Pradesh,Shivpuri
Madhya Pradesh_Sidhi,5,Madhya Pradesh,Sidhi
Madhya Pradesh_Singrauli,5,Madhya Pradesh,Singrauli
Madhya Pradesh_Tikamgarh,5,Madhya Pradesh,Tikamgarh
Madhya Pradesh_Ujjain,2,Madhya Pradesh,Ujjain
Madhya Pradesh_Umaria,5,Madhya Pradesh,Umaria
Madhya Pradesh_Vidisha,2,Madhya Pradesh,Vidisha
Maharashtra_Ahmednagar,0,Maharashtra,Ahmednagar
Maharashtra_Akola,2,Maharashtra,Akola
Maharashtra_Amravati,2,Maharashtra,Amravati
Maharashtra_Aurangabad,2,Maharashtra,Aurangabad
Maharashtra_Beed,0,Maharashtra,Beed
Maharashtra_Bhandara,9,Maharashtra,Bhandara
Maharashtra_Buldhana,2,Maharashtra,Buldhana
Maharashtra_Chandrapur,9,Maharashtra,Chandrapur
Maharashtra_Dhule,2,Maharashtra,Dhule
Maharashtra_Gadchiroli,9,Maharashtra,Gadchiroli
Maharashtra_Gondia,9,Maharashtra,Gondia
Maharashtra_Hingoli,2,Maharashtra,Hingoli
Maharashtra_Jalgaon,2,Maharashtra,Jalgaon
Maharashtra_Jalna,2,Maharashtra,Jalna
Maharashtra_Kolhapur,9,Maharashtra,Kolhapur
Maharashtra_Latur,0,Maharashtra,Latur
Maharashtra_Mumbai Suburban,9,Maharashtra,Mumbai Suburban
Maharashtra_Nagpur,2,Maharashtra,Nagpur
Maharashtra_Nanded,2,Maharashtra,Nanded
Maharashtra_Nandurbar,2,Maharashtra,Nandurbar
Maharashtra_Nashik,2,Maharashtra,Nashik
Maharashtra_Osmanabad,0,Maharashtra,Osmanabad
Maharashtra_Palghar,9,Maharashtra,Palghar
Maharashtra_Parbhani,2,Maharashtra,Parbhani
Maharashtra_Pune,9,Maharashtra,Pune
Maharashtra_Raigad,9,Maharashtra,Raigad
Maharashtra_Ratnagiri,14,Maharashtra,Ratnagiri
Maharashtra_Sangli,0,Maharashtra,Sangli
Maharashtra_Satara,9,Maharashtra,Satara
Maharashtra_Sindhudurg,14,Maharashtra,Sindhudurg
Maharashtra_Solapur,0,Maharashtra,Solapur
Maharashtra_Thane,9,Maharashtra,Thane
Maharashtra_Wardha,2,Maharashtra,Wardha
Maharashtra_Washim,2,Maharashtra,Washim
Maharashtra_Yavatmal,2,Maharashtra,Yavatmal
Manipur_Bishnupur,6,Manipur,Bishnupur
Manipur_Chandel,6,Manipur,Chandel
Manipur_Churachandpur,6,Manipur,Churachandpur
Manipur_Imphal East,6,Manipur,Imphal East
Manipur_Imphal West,6,Manipur,Imphal West
Manipur_Kakching,6,Manipur,Kakching
Manipur_Kamjong,6,Manipur,Kamjong
Manipur_Kangpokpi,6,Manipur,Kangpokpi
Manipur_Noney,6,Manipur,Noney
Manipur_Pherzawl,6,Manipur,Pherzawl
Manipur_Senapati,8,Manipur,Senapati
Manipur_Tamenglong,6,Manipur,Tamenglong
Manipur_Tengnoupal,6,Manipur,Tengnoupal
Manipur_Thoubal,6,Manipur,Thoubal
Manipur_Ukhrul,6,Manipur,Ukhrul
Meghalaya_East Garo Hills,3,Meghalaya,East Garo Hills
Meghalaya_East Jaintia Hills,8,Meghalaya,East Jaintia Hills
Meghalaya_East Khasi Hills,8,Meghalaya,East Khasi Hills
Meghalaya_Eastern West Khasi Hills,8,Meghalaya,Eastern West Khasi Hills
Meghalaya_North Garo Hills,3,Meghalaya,North Garo Hills
Meghalaya_Ri Bhoi,8,Meghalaya,Ri Bhoi
Meghalaya_South Garo Hills,3,Meghalaya,South Garo Hills
Meghalaya_South West Garo Hills,3,Meghalaya,South West Garo Hills
Meghalaya_South West Khasi Hills,8,Meghalaya,South West Khasi Hills
Meghalaya_West Garo Hills,3,Meghalaya,West Garo Hills
Meghalaya_West Jaintia Hills,8,Meghalaya,West Jaintia Hills
Meghalaya_West Khasi Hills,8,Meghalaya,West Khasi Hills
Mizoram_Aizawl,6,Mizoram,Aizawl
Mizoram_Champhai,6,Mizoram,Champhai
Mizoram_Hnahthial,6,Mizoram,Hnahthial
Mizoram_Khawzawl,6,Mizoram,Khawzawl
Mizoram_Kolasib,6,Mizoram,Kolasib
Mizoram_Lawngtlai,6,Mizoram,Lawngtlai
Mizoram_Lunglei,6,Mizoram,Lunglei
Mizoram_Mamit,6,Mizoram,Mamit
Mizoram_Saiha,6,Mizoram,Saiha
Mizoram_Saitual,6,Mizoram,Saitual
Mizoram_Serchhip,6,Mizoram,Serchhip
Nagaland_Chumoukedima,6,Nagaland,Chumoukedima
Nagaland_Kiphire,6,Nagaland,Kiphire
Nagaland_Kohima,8,Nagaland,Kohima
Nagaland_Longleng,8,Nagaland,Longleng
Nagaland_Mokokchung,8,Nagaland,Mokokchung
Nagaland_Mon,8,Nagaland,Mon
Nagaland_Noklak,8,Nagaland,Noklak
Nagaland_Peren,6,Nagaland,Peren
Nagaland_Phek,6,Nagaland,Phek
Nagaland_Shamator,8,Nagaland,Shamator
Nagaland_Tseminyu,6,Nagaland,Tseminyu
Nagaland_Tuensang,8,Nagaland,Tuensang
Nagaland_Wokha,6,Nagaland,Wokha
Nagaland_Zunheboto,6,Nagaland,Zunheboto
Odisha_Anugul,9,Odisha,Anugul
Odisha_Balangir,9,Odisha,Balangir
Odisha_Baleshwar,9,Odisha,Baleshwar
Odisha_Bargarh,9,Odisha,Bargarh
