State,District,KMeans_Cluster
A & N Islands,Nicobars,7
A & N Islands,North And Middle Andaman,14
A & N Islands,South Andamans,7
Andhra Pradesh,Alluri Sitharama Raju,9
Andhra Pradesh,Anakapalli,0
Andhra Pradesh,Anantapur,0
Andhra Pradesh,Annamayya,0
Andhra Pradesh,Bapatla,0
Andhra Pradesh,Chittoor,0
Andhra Pradesh,East Godavari,0
Andhra Pradesh,Eluru,0
Andhra Pradesh,Guntur,0
Andhra Pradesh,Kakinada,0
Andhra Pradesh,Konaseema,0
Andhra Pradesh,Krishna,0
Andhra Pradesh,Kurnool,0
Andhra Pradesh,Nandyal,0
Andhra Pradesh,Ntr,0
Andhra Pradesh,Palnadu,0
Andhra Pradesh,Parvathipuram Manyam,9
Andhra Pradesh,Prakasam,0
Andhra Pradesh,Spsr Nellore,7
Andhra Pradesh,Sri Sathya Sai,0
Andhra Pradesh,Srikakulam,9
Andhra Pradesh,Tirupati,7
Andhra Pradesh,Visakhapatanam,0
Andhra Pradesh,Vizianagaram,0
Andhra Pradesh,West Godavari,0
Andhra Pradesh,Y.s.r.,0
Arunachal Pradesh,Anjaw,1
Arunachal Pradesh,Changlang,8
Arunachal Pradesh,Dibang Valley,4
Arunachal Pradesh,East Kameng,4
Arunachal Pradesh,East Siang,8
Arunachal Pradesh,Itanagar Capital Complex,8
Arunachal Pradesh,Kamle,11
Arunachal Pradesh,Kra Daadi,11
Arunachal Pradesh,Kurung Kumey,4
Arunachal Pradesh,Leparada,8
Arunachal Pradesh,Lohit,8
Arunachal Pradesh,Longding,8
Arunachal Pradesh,Lower Dibang Valley,11
Arunachal Pradesh,Lower Siang,8
Arunachal Pradesh,Lower Subansiri,11
Arunachal Pradesh,Namsai,3
Arunachal Pradesh,Pakke Kessang,8
Arunachal Pradesh,Papum Pare,11
Arunachal Pradesh,Shi Yomi,11
Arunachal Pradesh,Siang,11
Arunachal Pradesh,Tawang,1
Arunachal Pradesh,Tirap,8
Arunachal Pradesh,Upper Siang,4
Arunachal Pradesh,Upper Subansiri,11
Arunachal Pradesh,West Kameng,11
Arunachal Pradesh,West Siang,11
Assam,Bajali,3
Assam,Baksa,3
Assam,Barpeta,3
Assam,Biswanath,3
Assam,Bongaigaon,3
Assam,Cachar,3
Assam,Charaideo,3
Assam,Chirang,3
Assam,Darrang,3
Assam,Dhemaji,3
Assam,Dhubri,3
Assam,Dibrugarh,3
Assam,Dima Hasao,6
Assam,Goalpara,3
Assam,Golaghat,3
Assam,Hailakandi,3
Assam,Hojai,3
Assam,Jorhat,3
Assam,Kamrup,3
Assam,Kamrup Metro,3
Assam,Karbi Anglong,3
Assam,Karimganj,3
Assam,Kokrajhar,3
Assam,Lakhimpur,3
Assam,Majuli,3
Assam,Marigaon,3
Assam,Nagaon,3
Assam,Nalbari,3
Assam,Sivasagar,3
Assam,Sonitpur,3
Assam,South Salmara Mancachar,3
Assam,Tamulpur,3
Assam,Tinsukia,3
Assam,Udalguri,3
Assam,West Karbi Anglong,3
Bihar,Araria,9
Bihar,Arwal,5
Bihar,Aurangabad,5
Bihar,Banka,5
Bihar,Begusarai,5
Bihar,Bhagalpur,5
Bihar,Bhojpur,5
Bihar,Buxar,5
Bihar,Darbhanga,5
Bihar,Gaya,5
Bihar,Gopalganj,5
Bihar,Jamui,5
Bihar,Jehanabad,5
Bihar,Kaimur (Bhabua),5
Bihar,Katihar,5
Bihar,Khagaria,5
Bihar,Kishanganj,3
Bihar,Lakhisarai,5
Bihar,Madhepura,5
Bihar,Madhubani,5
Bihar,Munger,5
Bihar,Muzaffarpur,5
Bihar,Nalanda,5
Bihar,Nawada,5
Bihar,Pashchim Champaran,5
Bihar,Patna,5
Bihar,Purbi Champaran,5
Bihar,Purnia,5
Bihar,Rohtas,5
Bihar,Saharsa,5
Bihar,Samastipur,5
Bihar,Saran,5
