feature,GMM_Cluster,State,District
Assam_Udalguri,4,Assam,Udalguri
Assam_West Karbi Anglong,4,Assam,West Karbi Anglong
Bihar_Araria,8,Bihar,Araria
Bihar_Arwal,8,Bihar,Arwal
Bihar_Aurangabad,8,Bihar,Aurangabad
Bihar_Banka,8,Bihar,Banka
Bihar_Begusarai,8,Bihar,Begusarai
Bihar_Bhagalpur,8,Bihar,Bhagalpur
Bihar_Bhojpur,8,Bihar,Bhojpur
Bihar_Buxar,8,Bihar,Buxar
Bihar_Darbhanga,8,Bihar,Darbhanga
Bihar_Gaya,8,Bihar,Gaya
Bihar_Gopalganj,8,Bihar,Gopalganj
Bihar_Jamui,8,Bihar,Jamui
Bihar_Jehanabad,8,Bihar,Jehanabad
Bihar_Kaimur (Bhabua),8,Bihar,Kaimur (Bhabua)
Bihar_Katihar,8,Bihar,Katihar
Bihar_Khagaria,8,Bihar,Khagaria
Bihar_Kishanganj,3,Bihar,Kishanganj
Bihar_Lakhisarai,8,Bihar,Lakhisarai
Bihar_Madhepura,8,Bihar,Madhepura
Bihar_Madhubani,8,Bihar,Madhubani
Bihar_Munger,8,Bihar,Munger
Bihar_Muzaffarpur,8,Bihar,Muzaffarpur
Bihar_Nalanda,8,Bihar,Nalanda
Bihar_Nawada,8,Bihar,Nawada
Bihar_Pashchim Champaran,8,Bihar,Pashchim Champaran
Bihar_Patna,8,Bihar,Patna
Bihar_Purbi Champaran,8,Bihar,Purbi Champaran
Bihar_Purnia,8,Bihar,Purnia
Bihar_Rohtas,8,Bihar,Rohtas
Bihar_Saharsa,8,Bihar,Saharsa
Bihar_Samastipur,8,Bihar,Samastipur
Bihar_Saran,8,Bihar,Saran
Bihar_Sheikhpura,8,Bihar,Sheikhpura
Bihar_Sheohar,8,Bihar,Sheohar
Bihar_Sitamarhi,8,Bihar,Sitamarhi
Bihar_Siwan,8,Bihar,Siwan
Bihar_Supaul,8,Bihar,Supaul
Bihar_Vaishali,8,Bihar,Vaishali
Chandigarh_Chandigarh,5,Chandigarh,Chandigarh
Chhattisgarh_Balod,13,Chhattisgarh,Balod
Chhattisgarh_Baloda Bazar,13,Chhattisgarh,Baloda Bazar
Chhattisgarh_Balrampur,13,Chhattisgarh,Balrampur
Chhattisgarh_Bastar,13,Chhattisgarh,Bastar
Chhattisgarh_Bemetara,13,Chhattisgarh,Bemetara
Chhattisgarh_Bijapur,13,Chhattisgarh,Bijapur
Chhattisgarh_Bilaspur,13,Chhattisgarh,Bilaspur
Chhattisgarh_Dantewada,13,Chhattisgarh,Dantewada
Chhattisgarh_Dhamtari,13,Chhattisgarh,Dhamtari
Chhattisgarh_Durg,13,Chhattisgarh,Durg
Chhattisgarh_Gariyaband,13,Chhattisgarh,Gariyaband
Chhattisgarh_Gaurella Pendra Marwahi,13,Chhattisgarh,Gaurella Pendra Marwahi
Chhattisgarh_Janjgir-Champa,13,Chhattisgarh,Janjgir-Champa
Chhattisgarh_Jashpur,13,Chhattisgarh,Jashpur
Chhattisgarh_Kabirdham,13,Chhattisgarh,Kabirdham
Chhattisgarh_Kanker,13,Chhattisgarh,Kanker
Chhattisgarh_Khairgarh Chhuikhadan Gandai,13,Chhattisgarh,Khairgarh Chhuikhadan Gandai
Chhattisgarh_Kondagaon,13,Chhattisgarh,Kondagaon
Chhattisgarh_Korba,13,Chhattisgarh,Korba
Chhattisgarh_Korea,13,Chhattisgarh,Korea
Chhattisgarh_Mahasamund,13,Chhattisgarh,Mahasamund
Chhattisgarh_Manendragarh Chirimiri Bharatpur,13,Chhattisgarh,Manendragarh Chirimiri Bharatpur
Chhattisgarh_Mohla Manpur Ambagarh Chouki,13,Chhattisgarh,Mohla Manpur Ambagarh Chouki
Chhattisgarh_Mungeli,13,Chhattisgarh,Mungeli
Chhattisgarh_Narayanpur,13,Chhattisgarh,Narayanpur
Chhattisgarh_Raigarh,13,Chhattisgarh,Raigarh
Chhattisgarh_Raipur,13,Chhattisgarh,Raipur
Chhattisgarh_Rajnandgaon,13,Chhattisgarh,Rajnandgaon
Chhattisgarh_Sakti,13,Chhattisgarh,Sakti
Chhattisgarh_Sarangarh Bilaigarh,13,Chhattisgarh,Sarangarh Bilaigarh
Chhattisgarh_Sukma,13,Chhattisgarh,Sukma
Chhattisgarh_Surajpur,13,Chhattisgarh,Surajpur
Chhattisgarh_Surguja,13,Chhattisgarh,Surguja
DNHDD_Dadra And Nagar Haveli,0,DNHDD,Dadra And Nagar Haveli
DNHDD_Daman,3,DNHDD,Daman
Delhi_Central,5,Delhi,Central
Delhi_New Delhi,5,Delhi,New Delhi
Delhi_North,5,Delhi,North
Delhi_North West,5,Delhi,North West
Delhi_South,5,Delhi,South
Delhi_South East,5,Delhi,South East
Delhi_South West,5,Delhi,South West
Delhi_West,5,Delhi,West
Goa_North Goa,3,Goa,North Goa
Goa_South Goa,3,Goa,South Goa
Gujarat_Ahmadabad,10,Gujarat,Ahmadabad
Gujarat_Amreli,0,Gujarat,Amreli
Gujarat_Anand,8,Gujarat,Anand
Gujarat_Arvalli,0,Gujarat,Arvalli
Gujarat_Banas Kantha,10,Gujarat,Banas Kantha
Gujarat_Bharuch,13,Gujarat,Bharuch
Gujarat_Bhavnagar,10,Gujarat,Bhavnagar
Gujarat_Botad,0,Gujarat,Botad
Gujarat_Chhotaudepur,0,Gujarat,Chhotaudepur
Gujarat_Dang,0,Gujarat,Dang
Gujarat_Devbhumi Dwarka,10,Gujarat,Devbhumi Dwarka
Gujarat_Dohad,0,Gujarat,Dohad
Gujarat_Gandhinagar,10,Gujarat,Gandhinagar
Gujarat_Gir Somnath,10,Gujarat,Gir Somnath
Gujarat_Jamnagar,0,Gujarat,Jamnagar
Gujarat_Junagadh,13,Gujarat,Junagadh
Gujarat_Kachchh,12,Gujarat,Kachchh
Gujarat_Kheda,10,Gujarat,Kheda
Gujarat_Mahesana,10,Gujarat,Mahesana
Gujarat_Mahisagar,0,Gujarat,Mahisagar
Gujarat_Morbi,10,Gujarat,Morbi
Gujarat_Narmada,13,Gujarat,Narmada
Gujarat_Navsari,13,Gujarat,Navsari
Gujarat_Panch Mahals,0,Gujarat,Panch Mahals
Gujarat_Patan,10,Gujarat,Patan
Gujarat_Porbandar,13,Gujarat,Porbandar
Gujarat_Rajkot,0,Gujarat,Rajkot
Gujarat_Sabar Kantha,10,Gujarat,Sabar Kantha
Gujarat_Surat,13,Gujarat,Surat
Gujarat_Surendranagar,10,Gujarat,Surendranagar
Gujarat_Tapi,0,Gujarat,Tapi
Gujarat_Vadodara,0,Gujarat,Vadodara
Gujarat_Valsad,0,Gujarat,Valsad
Haryana_Ambala,5,Haryana,Ambala
Haryana_Bhiwani,12,Haryana,Bhiwani
Haryana_Charki Dadri,10,Haryana,Charki Dadri
Haryana_Faridabad,5,Haryana,Faridabad
Haryana_Fatehabad,10,Haryana,Fatehabad
Haryana_Gurugram,10,Haryana,Gurugram
Haryana_Hisar,10,Haryana,Hisar
Haryana_Jhajjar,10,Haryana,Jhajjar
Haryana_Jind,5,Haryana,Jind
Haryana_Kaithal,5,Haryana,Kaithal
Haryana_Karnal,5,Haryana,Karnal
Haryana_Kurukshetra,5,Haryana,Kurukshetra
Haryana_Mahendragarh,10,Haryana,Mahendragarh
Haryana_Nuh,5,Haryana,Nuh
Haryana_Palwal,5,Haryana,Palwal
Haryana_Panchkula,5,Haryana,Panchkula
Haryana_Panipat,5,Haryana,Panipat
Haryana_Rewari,10,Haryana,Rewari
Haryana_Rohtak,5,Haryana,Rohtak
Haryana_Sirsa,10,Haryana,Sirsa
Haryana_Sonipat,5,Haryana,Sonipat
Haryana_Yamunanagar,5,Haryana,Yamunanagar
Himachal Pradesh_Bilaspur,5,Himachal Pradesh,Bilaspur
Himachal Pradesh_Chamba,1,Himachal Pradesh,Chamba
Himachal Pradesh_Hamirpur,5,Himachal Pradesh,Hamirpur
Himachal Pradesh_Kangra,14,Himachal Pradesh,Kangra
Himachal Pradesh_Kinnaur,1,Himachal Pradesh,Kinnaur
Himachal Pradesh_Kullu,1,Himachal Pradesh,Kullu
Himachal Pradesh_Lahul And Spiti,1,Himachal Pradesh,Lahul And Spiti
Himachal Pradesh_Mandi,14,Himachal Pradesh,Mandi
Himachal Pradesh_Shimla,9,Himachal Pradesh,Shimla
Himachal Pradesh_Sirmaur,14,Himachal Pradesh,Sirmaur
Himachal Pradesh_Solan,5,Himachal Pradesh,Solan
Himachal Pradesh_Una,5,Himachal Pradesh,Una
Jammu & Kashmir_Anantnag,1,Jammu & Kashmir,Anantnag
Jammu & Kashmir_Bandipora,1,Jammu & Kashmir,Bandipora
Jammu & Kashmir_Baramulla,9,Jammu & Kashmir,Baramulla
Jammu & Kashmir_Budgam,9,Jammu & Kashmir,Budgam
Jammu & Kashmir_Doda,9,Jammu & Kashmir,Doda
Jammu & Kashmir_Ganderbal,1,Jammu & Kashmir,Ganderbal
Jammu & Kashmir_Jammu,5,Jammu & Kashmir,Jammu
Jammu & Kashmir_Kathua,14,Jammu & Kashmir,Kathua
Jammu & Kashmir_Kishtwar,1,Jammu & Kashmir,Kishtwar
Jammu & Kashmir_Kulgam,9,Jammu & Kashmir,Kulgam
Jammu & Kashmir_Kupwara,9,Jammu & Kashmir,Kupwara
Jammu & Kashmir_Mirpur,5,Jammu & Kashmir,Mirpur
Jammu & Kashmir_Muzaffarabad,9,Jammu & Kashmir,Muzaffarabad
Jammu & Kashmir_Poonch,9,Jammu & Kashmir,Poonch
Jammu & Kashmir_Pulwama,9,Jammu & Kashmir,Pulwama
Jammu & Kashmir_Rajouri,14,Jammu & Kashmir,Rajouri
Jammu & Kashmir_Ramban,9,Jammu & Kashmir,Ramban
Jammu & Kashmir_Reasi,9,Jammu & Kashmir,Reasi
Jammu & Kashmir_Samba,5,Jammu & Kashmir,Samba
Jammu & Kashmir_Shopian,9,Jammu & Kashmir,Shopian
Jammu & Kashmir_Srinagar,9,Jammu & Kashmir,Srinagar
Jammu & Kashmir_Udhampur,14,Jammu & Kashmir,Udhampur
Jharkhand_Bokaro,8,Jharkhand,Bokaro
Jharkhand_Chatra,8,Jharkhand,Chatra
Jharkhand_Deoghar,8,Jharkhand,Deoghar
Jharkhand_Dhanbad,8,Jharkhand,Dhanbad
Jharkhand_Dumka,8,Jharkhand,Dumka
Jharkhand_East Singhbum,3,Jharkhand,East Singhbum
Jharkhand_Garhwa,8,Jharkhand,Garhwa
Jharkhand_Giridih,8,Jharkhand,Giridih
Jharkhand_Godda,8,Jharkhand,Godda
Jharkhand_Gumla,13,Jharkhand,Gumla
Jharkhand_Hazaribagh,8,Jharkhand,Hazaribagh
Jharkhand_Jamtara,8,Jharkhand,Jamtara
Jharkhand_Khunti,13,Jharkhand,Khunti
Jharkhand_Koderma,8,Jharkhand,Koderma
Jharkhand_Latehar,13,Jharkhand,Latehar
Jharkhand_Lohardaga,13,Jharkhand,Lohardaga
Jharkhand_Pakur,3,Jharkhand,Pakur
Jharkhand_Palamu,8,Jharkhand,Palamu
Jharkhand_Ramgarh,13,Jharkhand,Ramgarh
Jharkhand_Ranchi,13,Jharkhand,Ranchi
Jharkhand_Sahebganj,3,Jharkhand,Sahebganj
Jharkhand_Saraikela Kharsawan,13,Jharkhand,Saraikela Kharsawan
Jharkhand_Simdega,13,Jharkhand,Simdega
Jharkhand_West Singhbhum,13,Jharkhand,West Singhbhum
Karnataka_Bagalkote,0,Karnataka,Bagalkote
Karnataka_Ballari,0,Karnataka,Ballari
Karnataka_Belagavi,0,Karnataka,Belagavi
Karnataka_Bengaluru Rural,0,Karnataka,Bengaluru Rural
Karnataka_Bengaluru Urban,0,Karnataka,Bengaluru Urban
Karnataka_Bidar,0,Karnataka,Bidar
Karnataka_Chamarajanagara,13,Karnataka,Chamarajanagara
Karnataka_Chikkaballapura,13,Karnataka,Chikkaballapura
Karnataka_Chikkamagaluru,7,Karnataka,Chikkamagaluru
Karnataka_Chitradurga,0,Karnataka,Chitradurga
Karnataka_Dakshina Kannada,7,Karnataka,Dakshina Kannada
Karnataka_Davangere,13,Karnataka,Davangere
Karnataka_Dharwad,0,Karnataka,Dharwad
Karnataka_Gadag,13,Karnataka,Gadag
Karnataka_Hassan,7,Karnataka,Hassan
Karnataka_Haveri,13,Karnataka,Haveri
Karnataka_Kalaburagi,0,Karnataka,Kalaburagi
Karnataka_Kodagu,7,Karnataka,Kodagu
Karnataka_Kolar,2,Karnataka,Kolar
Karnataka_Koppal,13,Karnataka,Koppal
Karnataka_Mandya,13,Karnataka,Mandya
Karnataka_Mysuru,13,Karnataka,Mysuru
Karnataka_Raichur,0,Karnataka,Raichur
Karnataka_Ramanagara,13,Karnataka,Ramanagara
Karnataka_Shivamogga,7,Karnataka,Shivamogga
Karnataka_Tumakuru,13,Karnataka,Tumakuru
Karnataka_Udupi,7,Karnataka,Udupi
Karnataka_Uttara Kannada,7,Karnataka,Uttara Kannada
Karnataka_Vijayanagar,13,Karnataka,Vijayanagar
Karnataka_Vijayapura,0,Karnataka,Vijayapura
Karnataka_Yadgir,0,Karnataka,Yadgir
Kerala_Alappuzha,7,Kerala,Alappuzha
Kerala_Ernakulam,7,Kerala,Ernakulam
Kerala_Idukki,7,Kerala,Idukki
Kerala_Kannur,7,Kerala,Kannur
Kerala_Kasaragod,7,Kerala,Kasaragod
Kerala_Kollam,7,Kerala,Kollam
Kerala_Kottayam,7,Kerala,Kottayam
Kerala_Kozhikode,7,Kerala,Kozhikode
Kerala_Malappuram,7,Kerala,Malappuram
Kerala_Palakkad,7,Kerala,Palakkad
Kerala_Pathanamthitta,7,Kerala,Pathanamthitta
Kerala_Thiruvananthapuram,7,Kerala,Thiruvananthapuram
Kerala_Thrissur,7,Kerala,Thrissur
Kerala_Wayanad,7,Kerala,Wayanad
Ladakh_Kargil,1,Ladakh,Kargil
Ladakh_Leh Ladakh,1,Ladakh,Leh Ladakh
Madhya Pradesh_Agar Malwa,0,Madhya Pradesh,Agar Malwa
Madhya Pradesh_Alirajpur,0,Madhya Pradesh,Alirajpur
Madhya Pradesh_Anuppur,13,Madhya Pradesh,Anuppur
Madhya Pradesh_Ashoknagar,0,Madhya Pradesh,Ashoknagar
Madhya Pradesh_Balaghat,0,Madhya Pradesh,Balaghat
Madhya Pradesh_Barwani,13,Madhya Pradesh,Barwani
Madhya Pradesh_Betul,13,Madhya Pradesh,Betul
Madhya Pradesh_Bhind,5,Madhya Pradesh,Bhind
Madhya Pradesh_Bhopal,0,Madhya Pradesh,Bhopal
Madhya Pradesh_Burhanpur,13,Madhya Pradesh,Burhanpur
Madhya Pradesh_Chhatarpur,8,Madhya Pradesh,Chhatarpur
Madhya Pradesh_Chhindwara,0,Madhya Pradesh,Chhindwara
Madhya Pradesh_Damoh,0,Madhya Pradesh,Damoh
Madhya Pradesh_Datia,10,Madhya Pradesh,Datia
Madhya Pradesh_Dewas,0,Madhya Pradesh,Dewas
Madhya Pradesh_Dhar,0,Madhya Pradesh,Dhar
Madhya Pradesh_Dindori,13,Madhya Pradesh,Dindori
Madhya Pradesh_East Nimar,0,Madhya Pradesh,East Nimar
Madhya Pradesh_Guna,0,Madhya Pradesh,Guna
Madhya Pradesh_Gwalior,10,Madhya Pradesh,Gwalior
Madhya Pradesh_Harda,0,Madhya Pradesh,Harda
Madhya Pradesh_Indore,0,Madhya Pradesh,Indore
Madhya Pradesh_Jabalpur,0,Madhya Pradesh,Jabalpur
Madhya Pradesh_Jhabua,0,Madhya Pradesh,Jhabua
Madhya Pradesh_Katni,0,Madhya Pradesh,Katni
Madhya Pradesh_Khargone,0,Madhya Pradesh,Khargone
Madhya Pradesh_Mandla,0,Madhya Pradesh,Mandla
Madhya Pradesh_Mandsaur,0,Madhya Pradesh,Mandsaur
Madhya Pradesh_Morena,10,Madhya Pradesh,Morena
Madhya Pradesh_Narmadapuram,0,Madhya Pradesh,Narmadapuram
Madhya Pradesh_Narsinghpur,0,Madhya Pradesh,Narsinghpur
Madhya Pradesh_Neemuch,10,Madhya Pradesh,Neemuch
Madhya Pradesh_Niwari,10,Madhya Pradesh,Niwari
Madhya Pradesh_Panna,8,Madhya Pradesh,Panna
Madhya Pradesh_Raisen,0,Madhya Pradesh,Raisen
Madhya Pradesh_Rajgarh,0,Madhya Pradesh,Rajgarh
Madhya Pradesh_Ratlam,0,Madhya Pradesh,Ratlam
Madhya Pradesh_Rewa,8,Madhya Pradesh,Rewa
Madhya Pradesh_Sagar,0,Madhya Pradesh,Sagar
Madhya Pradesh_Satna,8,Madhya Pradesh,Satna
Madhya Pradesh_Sehore,0,Madhya Pradesh,Sehore
Madhya Pradesh_Seoni,0,Madhya Pradesh,Seoni
Madhya Pradesh_Shahdol,0,Madhya Pradesh,Shahdol
Madhya Pradesh_Shajapur,0,Madhya Pradesh,Shajapur
Madhya Pradesh_Sheopur,10,Madhya Pradesh,Sheopur
Madhya Pradesh_Shivpuri,10,Madhya Pradesh,Shivpuri
Madhya Pradesh_Sidhi,0,Madhya Pradesh,Sidhi
Madhya Pradesh_Singrauli,8,Madhya Pradesh,Singrauli
Madhya Pradesh_Tikamgarh,10,Madhya Pradesh,Tikamgarh
Madhya Pradesh_Ujjain,0,Madhya Pradesh,Ujjain
Madhya Pradesh_Umaria,0,Madhya Pradesh,Umaria
Madhya Pradesh_Vidisha,0,Madhya Pradesh,Vidisha
Maharashtra_Ahmednagar,0,Maharashtra,Ahmednagar
Maharashtra_Akola,0,Maharashtra,Akola
Maharashtra_Amravati,0,Maharashtra,Amravati
Maharashtra_Aurangabad,0,Maharashtra,Aurangabad
Maharashtra_Beed,0,Maharashtra,Beed
Maharashtra_Bhandara,0,Maharashtra,Bhandara
Maharashtra_Buldhana,0,Maharashtra,Buldhana
Maharashtra_Chandrapur,0,Maharashtra,Chandrapur
Maharashtra_Dhule,0,Maharashtra,Dhule
Maharashtra_Gadchiroli,13,Maharashtra,Gadchiroli
Maharashtra_Gondia,0,Maharashtra,Gondia
Maharashtra_Hingoli,0,Maharashtra,Hingoli
Maharashtra_Jalgaon,0,Maharashtra,Jalgaon
Maharashtra_Jalna,0,Maharashtra,Jalna
Maharashtra_Kolhapur,7,Maharashtra,Kolhapur
Maharashtra_Latur,0,Maharashtra,Latur
Maharashtra_Mumbai Suburban,3,Maharashtra,Mumbai Suburban
Maharashtra_Nagpur,0,Maharashtra,Nagpur
Maharashtra_Nanded,0,Maharashtra,Nanded
Maharashtra_Nandurbar,0,Maharashtra,Nandurbar
Maharashtra_Nashik,0,Maharashtra,Nashik
Maharashtra_Osmanabad,0,Maharashtra,Osmanabad
Maharashtra_Palghar,13,Maharashtra,Palghar
Maharashtra_Parbhani,0,Maharashtra,Parbhani
Maharashtra_Pune,13,Maharashtra,Pune
Maharashtra_Raigad,3,Maharashtra,Raigad
Maharashtra_Ratnagiri,7,Maharashtra,Ratnagiri
Maharashtra_Sangli,0,Maharashtra,Sangli
Maharashtra_Satara,0,Maharashtra,Satara
Maharashtra_Sindhudurg,7,Maharashtra,Sindhudurg
Maharashtra_Solapur,0,Maharashtra,Solapur
Maharashtra_Thane,13,Maharashtra,Thane
Maharashtra_Wardha,0,Maharashtra,Wardha
Maharashtra_Washim,0,Maharashtra,Washim
Maharashtra_Yavatmal,0,Maharashtra,Yavatmal
Manipur_Bishnupur,14,Manipur,Bishnupur
Manipur_Chandel,14,Manipur,Chandel
Manipur_Churachandpur,14,Manipur,Churachandpur
Manipur_Imphal East,14,Manipur,Imphal East
Manipur_Imphal West,14,Manipur,Imphal West
Manipur_Kakching,14,Manipur,Kakching
Manipur_Kamjong,14,Manipur,Kamjong
Manipur_Kangpokpi,14,Manipur,Kangpokpi
Manipur_Noney,14,Manipur,Noney
Manipur_Pherzawl,7,Manipur,Pherzawl
Manipur_Senapati,14,Manipur,Senapati
Manipur_Tamenglong,14,Manipur,Tamenglong
Manipur_Tengnoupal,14,Manipur,Tengnoupal
Manipur_Thoubal,14,Manipur,Thoubal
Manipur_Ukhrul,14,Manipur,Ukhrul
Meghalaya_East Garo Hills,4,Meghalaya,East Garo Hills
Meghalaya_East Jaintia Hills,4,Meghalaya,East Jaintia Hills
Meghalaya_East Khasi Hills,4,Meghalaya,East Khasi Hills
Meghalaya_Eastern West Khasi Hills,4,Meghalaya,Eastern West Khasi Hills
Meghalaya_North Garo Hills,4,Meghalaya,North Garo Hills
Meghalaya_Ri Bhoi,4,Meghalaya,Ri Bhoi
Meghalaya_South Garo Hills,4,Meghalaya,South Garo Hills
Meghalaya_South West Garo Hills,7,Meghalaya,South West Garo Hills
Meghalaya_South West Khasi Hills,4,Meghalaya,South West Khasi Hills
Meghalaya_West Garo Hills,4,Meghalaya,West Garo Hills
Meghalaya_West Jaintia Hills,4,Meghalaya,West Jaintia Hills
Meghalaya_West Khasi Hills,4,Meghalaya,West Khasi Hills
Mizoram_Aizawl,7,Mizoram,Aizawl
Mizoram_Champhai,14,Mizoram,Champhai
Mizoram_Hnahthial,14,Mizoram,Hnahthial
Mizoram_Khawzawl,14,Mizoram,Khawzawl
Mizoram_Kolasib,7,Mizoram,Kolasib
Mizoram_Lawngtlai,7,Mizoram,Lawngtlai
Mizoram_Lunglei,7,Mizoram,Lunglei
Mizoram_Mamit,7,Mizoram,Mamit
Mizoram_Saiha,7,Mizoram,Saiha
Mizoram_Saitual,14,Mizoram,Saitual
Mizoram_Serchhip,14,Mizoram,Serchhip
Nagaland_Chumoukedima,4,Nagaland,Chumoukedima
Nagaland_Kiphire,14,Nagaland,Kiphire
Nagaland_Kohima,4,Nagaland,Kohima
Nagaland_Longleng,4,Nagaland,Longleng
Nagaland_Mokokchung,4,Nagaland,Mokokchung
Nagaland_Mon,4,Nagaland,Mon
Nagaland_Noklak,14,Nagaland,Noklak
Nagaland_Peren,4,Nagaland,Peren
Nagaland_Phek,14,Nagaland,Phek
Nagaland_Shamator,14,Nagaland,Shamator
Nagaland_Tseminyu,4,Nagaland,Tseminyu
Nagaland_Tuensang,14,Nagaland,Tuensang
Nagaland_Wokha,4,Nagaland,Wokha
Nagaland_Zunheboto,14,Nagaland,Zunheboto
Odisha_Anugul,3,Odisha,Anugul
Odisha_Balangir,13,Odisha,Balangir
Odisha_Baleshwar,3,Odisha,Baleshwar
Odisha_Bargarh,13,Odisha,Bargarh
