feature,H_Cluster,State,District
A & N Islands_Nicobars,3,A & N Islands,Nicobars
A & N Islands_North And Middle Andaman,3,A & N Islands,North And Middle Andaman
A & N Islands_South Andamans,3,A & N Islands,South Andamans
Andhra Pradesh_Alluri Sitharama Raju,1,Andhra Pradesh,Alluri Sitharama Raju
Andhra Pradesh_Anakapalli,1,Andhra Pradesh,Anakapalli
Andhra Pradesh_Anantapur,2,Andhra Pradesh,Anantapur
Andhra Pradesh_Annamayya,11,Andhra Pradesh,Annamayya
Andhra Pradesh_Bapatla,1,Andhra Pradesh,Bapatla
Andhra Pradesh_Chittoor,11,Andhra Pradesh,Chittoor
Andhra Pradesh_East Godavari,1,Andhra Pradesh,East Godavari
Andhra Pradesh_Eluru,1,Andhra Pradesh,Eluru
Andhra Pradesh_Guntur,1,Andhra Pradesh,Guntur
Andhra Pradesh_Kakinada,1,Andhra Pradesh,Kakinada
Andhra Pradesh_Konaseema,1,Andhra Pradesh,Konaseema
Andhra Pradesh_Krishna,1,Andhra Pradesh,Krishna
Andhra Pradesh_Kurnool,2,Andhra Pradesh,Kurnool
Andhra Pradesh_Nandyal,2,Andhra Pradesh,Nandyal
Andhra Pradesh_Ntr,1,Andhra Pradesh,Ntr
Andhra Pradesh_Palnadu,2,Andhra Pradesh,Palnadu
Andhra Pradesh_Parvathipuram Manyam,1,Andhra Pradesh,Parvathipuram Manyam
Andhra Pradesh_Prakasam,2,Andhra Pradesh,Prakasam
Andhra Pradesh_Spsr Nellore,11,Andhra Pradesh,Spsr Nellore
Andhra Pradesh_Sri Sathya Sai,2,Andhra Pradesh,Sri Sathya Sai
Andhra Pradesh_Srikakulam,1,Andhra Pradesh,Srikakulam
Andhra Pradesh_Tirupati,11,Andhra Pradesh,Tirupati
Andhra Pradesh_Visakhapatanam,1,Andhra Pradesh,Visakhapatanam
Andhra Pradesh_Vizianagaram,1,Andhra Pradesh,Vizianagaram
Andhra Pradesh_West Godavari,1,Andhra Pradesh,West Godavari
Andhra Pradesh_Y.s.r.,2,Andhra Pradesh,Y.s.r.
Arunachal Pradesh_Anjaw,4,Arunachal Pradesh,Anjaw
Arunachal Pradesh_Changlang,10,Arunachal Pradesh,Changlang
Arunachal Pradesh_Dibang Valley,4,Arunachal Pradesh,Dibang Valley
Arunachal Pradesh_East Kameng,4,Arunachal Pradesh,East Kameng
Arunachal Pradesh_East Siang,10,Arunachal Pradesh,East Siang
Arunachal Pradesh_Itanagar Capital Complex,10,Arunachal Pradesh,Itanagar Capital Complex
Arunachal Pradesh_Kamle,4,Arunachal Pradesh,Kamle
Arunachal Pradesh_Kra Daadi,4,Arunachal Pradesh,Kra Daadi
Arunachal Pradesh_Kurung Kumey,4,Arunachal Pradesh,Kurung Kumey
Arunachal Pradesh_Leparada,10,Arunachal Pradesh,Leparada
Arunachal Pradesh_Lohit,10,Arunachal Pradesh,Lohit
Arunachal Pradesh_Longding,10,Arunachal Pradesh,Longding
Arunachal Pradesh_Lower Dibang Valley,4,Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh_Lower Siang,10,Arunachal Pradesh,Lower Siang
Arunachal Pradesh_Lower Subansiri,4,Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh_Namsai,0,Arunachal Pradesh,Namsai
Arunachal Pradesh_Pakke Kessang,10,Arunachal Pradesh,Pakke Kessang
Arunachal Pradesh_Papum Pare,4,Arunachal Pradesh,Papum Pare
Arunachal Pradesh_Shi Yomi,4,Arunachal Pradesh,Shi Yomi
Arunachal Pradesh_Siang,4,Arunachal Pradesh,Siang
Arunachal Pradesh_Tawang,6,Arunachal Pradesh,Tawang
Arunachal Pradesh_Tirap,10,Arunachal Pradesh,Tirap
Arunachal Pradesh_Upper Siang,4,Arunachal Pradesh,Upper Siang
Arunachal Pradesh_Upper Subansiri,4,Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh_West Kameng,4,Arunachal Pradesh,West Kameng
Arunachal Pradesh_West Siang,4,Arunachal Pradesh,West Siang
Assam_Bajali,0,Assam,Bajali
Assam_Baksa,0,Assam,Baksa
Assam_Barpeta,0,Assam,Barpeta
Assam_Biswanath,0,Assam,Biswanath
Assam_Bongaigaon,0,Assam,Bongaigaon
Assam_Cachar,0,Assam,Cachar
Assam_Charaideo,0,Assam,Charaideo
Assam_Chirang,0,Assam,Chirang
Assam_Darrang,0,Assam,Darrang
Assam_Dhemaji,0,Assam,Dhemaji
Assam_Dhubri,0,Assam,Dhubri
Assam_Dibrugarh,0,Assam,Dibrugarh
Assam_Dima Hasao,10,Assam,Dima Hasao
Assam_Goalpara,0,Assam,Goalpara
Assam_Golaghat,0,Assam,Golaghat
Assam_Hailakandi,0,Assam,Hailakandi
Assam_Hojai,0,Assam,Hojai
Assam_Jorhat,0,Assam,Jorhat
Assam_Kamrup,0,Assam,Kamrup
Assam_Kamrup Metro,0,Assam,Kamrup Metro
Assam_Karbi Anglong,0,Assam,Karbi Anglong
Assam_Karimganj,0,Assam,Karimganj
Assam_Kokrajhar,0,Assam,Kokrajhar
Assam_Lakhimpur,0,Assam,Lakhimpur
Assam_Majuli,0,Assam,Majuli
Assam_Marigaon,0,Assam,Marigaon
Assam_Nagaon,0,Assam,Nagaon
Assam_Nalbari,0,Assam,Nalbari
Assam_Sivasagar,0,Assam,Sivasagar
Assam_Sonitpur,0,Assam,Sonitpur
Assam_South Salmara Mancachar,0,Assam,South Salmara Mancachar
Assam_Tamulpur,0,Assam,Tamulpur
Assam_Tinsukia,0,Assam,Tinsukia
Assam_Udalguri,0,Assam,Udalguri
Assam_West Karbi Anglong,10,Assam,West Karbi Anglong
Bihar_Araria,1,Bihar,Araria
Bihar_Arwal,14,Bihar,Arwal
Bihar_Aurangabad,14,Bihar,Aurangabad
Bihar_Banka,1,Bihar,Banka
Bihar_Begusarai,14,Bihar,Begusarai
Bihar_Bhagalpur,1,Bihar,Bhagalpur
Bihar_Bhojpur,14,Bihar,Bhojpur
Bihar_Buxar,14,Bihar,Buxar
Bihar_Darbhanga,14,Bihar,Darbhanga
Bihar_Gaya,14,Bihar,Gaya
Bihar_Gopalganj,14,Bihar,Gopalganj
Bihar_Jamui,1,Bihar,Jamui
Bihar_Jehanabad,14,Bihar,Jehanabad
Bihar_Kaimur (Bhabua),14,Bihar,Kaimur (Bhabua)
Bihar_Katihar,1,Bihar,Katihar
Bihar_Khagaria,14,Bihar,Khagaria
Bihar_Kishanganj,1,Bihar,Kishanganj
Bihar_Lakhisarai,1,Bihar,Lakhisarai
Bihar_Madhepura,1,Bihar,Madhepura
Bihar_Madhubani,14,Bihar,Madhubani
Bihar_Munger,1,Bihar,Munger
Bihar_Muzaffarpur,14,Bihar,Muzaffarpur
Bihar_Nalanda,14,Bihar,Nalanda
Bihar_Nawada,14,Bihar,Nawada
Bihar_Pashchim Champaran,14,Bihar,Pashchim Champaran
Bihar_Patna,14,Bihar,Patna
Bihar_Purbi Champaran,14,Bihar,Purbi Champaran
Bihar_Purnia,1,Bihar,Purnia
Bihar_Rohtas,14,Bihar,Rohtas
Bihar_Saharsa,14,Bihar,Saharsa
Bihar_Samastipur,14,Bihar,Samastipur
Bihar_Saran,14,Bihar,Saran
Bihar_Sheikhpura,1,Bihar,Sheikhpura
Bihar_Sheohar,14,Bihar,Sheohar
Bihar_Sitamarhi,14,Bihar,Sitamarhi
Bihar_Siwan,14,Bihar,Siwan
Bihar_Supaul,1,Bihar,Supaul
Bihar_Vaishali,14,Bihar,Vaishali
Chandigarh_Chandigarh,5,Chandigarh,Chandigarh
Chhattisgarh_Balod,1,Chhattisgarh,Balod
Chhattisgarh_Baloda Bazar,1,Chhattisgarh,Baloda Bazar
Chhattisgarh_Balrampur,1,Chhattisgarh,Balrampur
Chhattisgarh_Bastar,1,Chhattisgarh,Bastar
Chhattisgarh_Bemetara,1,Chhattisgarh,Bemetara
Chhattisgarh_Bijapur,1,Chhattisgarh,Bijapur
Chhattisgarh_Bilaspur,1,Chhattisgarh,Bilaspur
Chhattisgarh_Dantewada,1,Chhattisgarh,Dantewada
Chhattisgarh_Dhamtari,1,Chhattisgarh,Dhamtari
Chhattisgarh_Durg,1,Chhattisgarh,Durg
Chhattisgarh_Gariyaband,1,Chhattisgarh,Gariyaband
Chhattisgarh_Gaurella Pendra Marwahi,1,Chhattisgarh,Gaurella Pendra Marwahi
Chhattisgarh_Janjgir-Champa,1,Chhattisgarh,Janjgir-Champa
Chhattisgarh_Jashpur,1,Chhattisgarh,Jashpur
Chhattisgarh_Kabirdham,1,Chhattisgarh,Kabirdham
Chhattisgarh_Kanker,1,Chhattisgarh,Kanker
Chhattisgarh_Khairgarh Chhuikhadan Gandai,1,Chhattisgarh,Khairgarh Chhuikhadan Gandai
Chhattisgarh_Kondagaon,1,Chhattisgarh,Kondagaon
Chhattisgarh_Korba,1,Chhattisgarh,Korba
Chhattisgarh_Korea,1,Chhattisgarh,Korea
Chhattisgarh_Mahasamund,1,Chhattisgarh,Mahasamund
Chhattisgarh_Manendragarh Chirimiri Bharatpur,1,Chhattisgarh,Manendragarh Chirimiri Bharatpur
Chhattisgarh_Mohla Manpur Ambagarh Chouki,1,Chhattisgarh,Mohla Manpur Ambagarh Chouki
Chhattisgarh_Mungeli,1,Chhattisgarh,Mungeli
Chhattisgarh_Narayanpur,1,Chhattisgarh,Narayanpur
Chhattisgarh_Raigarh,1,Chhattisgarh,Raigarh
Chhattisgarh_Raipur,1,Chhattisgarh,Raipur
Chhattisgarh_Rajnandgaon,1,Chhattisgarh,Rajnandgaon
Chhattisgarh_Sakti,1,Chhattisgarh,Sakti
Chhattisgarh_Sarangarh Bilaigarh,1,Chhattisgarh,Sarangarh Bilaigarh
Chhattisgarh_Sukma,1,Chhattisgarh,Sukma
Chhattisgarh_Surajpur,1,Chhattisgarh,Surajpur
Chhattisgarh_Surguja,1,Chhattisgarh,Surguja
DNHDD_Dadra And Nagar Haveli,1,DNHDD,Dadra And Nagar Haveli
DNHDD_Daman,1,DNHDD,Daman
Delhi_Central,5,Delhi,Central
Delhi_New Delhi,5,Delhi,New Delhi
Delhi_North,5,Delhi,North
Delhi_North West,5,Delhi,North West
Delhi_South,5,Delhi,South
Delhi_South East,5,Delhi,South East
