state,district,year,khesari_rabi_area_hectare,khesari_rabi_production_tonne,khesari_rabi_yield_tonne_per_hectare,khesari_whole_year_area_hectare,khesari_whole_year_production_tonne,khesari_whole_year_yield_tonne_per_hectare,khesari_kharif_area_hectare,khesari_kharif_production_tonne,khesari_kharif_yield_tonne_per_hectare
Bihar,Araria,2000 - 2001,,,0.46,,,,,,
,,2001 - 2002,,,0.47,,,,,,
,,2002 - 2003,,,0.46,,,,,,
,,2003 - 2004,,,0.5,,,,,,
,,2004 - 2005,,,0.31,,,,,,
,,2005 - 2006,,,0.62,,,,,,
,,2006 - 2007,,,0.56,,,,,,
,,2007 - 2008,,,0.67,,,,,,
,,2008 - 2009,,,0.72,,,,,,
,,2009 - 2010,,,1.04,,,,,,
,,2010 - 2011,,,0.98,,,,,,
,,2011 - 2012,,,1.26,,,,,,
,,2012 - 2013,,,1.18,,,,,,
,,2013 - 2014,,931.0,0.88,,,,,,
,,2016 - 2017,354.0,375.0,1.06,,,,,,
,Arwal,2003 - 2004,,,1.47,,,,,,
,,2004 - 2005,,,0.61,,,,,,
,,2005 - 2006,,,0.6,,,,,,
,,2007 - 2008,,,0.76,,,,,,
,,2008 - 2009,,,0.66,,,,,,
,,2009 - 2010,,,0.72,,,,,,
,,2010 - 2011,,953.0,0.84,,,,,,
,,2011 - 2012,,,1.41,,,,,,
,,2012 - 2013,,,1.14,,,,,,
,,2013 - 2014,,,1.11,,,,,,
,,2014 - 2015,273.0,351.0,1.29,,,,,,
,,2015 - 2016,257.0,206.0,0.8,,,,,,
,,2016 - 2017,250.0,202.0,0.81,,,,,,
,,2017 - 2018,247.0,219.0,0.89,,,,,,
,,2018 - 2019,892.0,671.0,0.75,,,,,,
,,2019 - 2020,157.0,106.0,0.68,,,,,,
,,2020 - 2021,166.0,156.0,0.94,,,,,,
,,2021 - 2022,173.0,229.0,1.32,,,,,,
,,2022 - 2023,164.0,138.0,0.84,,,,,,
,Aurangabad,2000 - 2001,,,0.83,,,,,,
,,2001 - 2002,,,0.8,,,,,,
,,2002 - 2003,,,0.69,,,,,,
,,2003 - 2004,,,0.87,,,,,,
,,2004 - 2005,,,0.63,,,,,,
,,2005 - 2006,,,0.58,,,,,,
,,2006 - 2007,,,0.84,,,,,,
,,2007 - 2008,,,0.78,,,,,,
,,2008 - 2009,,,0.52,,,,,,
,,2009 - 2010,,,0.66,,,,,,
,,2010 - 2011,,,0.79,,,,,,
,,2011 - 2012,,,1.09,,,,,,
,,2012 - 2013,,,1.05,,,,,,
,,2013 - 2014,,,0.62,,,,,,
,,2014 - 2015,,,0.76,,,,,,
,,2015 - 2016,,,0.71,,,,,,
,,2016 - 2017,,,0.67,,,,,,
,,2017 - 2018,,,1.07,,,,,,
,,2018 - 2019,,,0.51,,,,,,
,,2019 - 2020,,,0.74,,,,,,
,,2020 - 2021,,,0.72,,,,,,
,,2021 - 2022,,,0.77,,,,,,
,,2022 - 2023,,,0.94,,,,,,
,Banka,2000 - 2001,420.0,384.0,0.91,,,,,,
,,2001 - 2002,383.0,313.0,0.82,,,,,,
,,2002 - 2003,578.0,468.0,0.81,,,,,,
,,2003 - 2004,632.0,582.0,0.92,,,,,,
,,2004 - 2005,421.0,229.0,0.54,,,,,,
,,2005 - 2006,513.0,320.0,0.62,,,,,,
,,2006 - 2007,695.0,412.0,0.59,,,,,,
,,2007 - 2008,,,0.84,,,,,,
,,2008 - 2009,,884.0,0.71,,,,,,
,,2009 - 2010,262.0,334.0,1.27,,,,,,
,,2010 - 2011,300.0,123.0,0.41,,,,,,
,,2011 - 2012,217.0,141.0,0.65,,,,,,
,,2012 - 2013,241.0,123.0,0.51,,,,,,
,,2013 - 2014,303.0,221.0,0.73,,,,,,
,,2014 - 2015,317.0,122.0,0.38,,,,,,
,,2015 - 2016,287.0,182.0,0.63,,,,,,
,,2016 - 2017,176.0,90.0,0.51,,,,,,
,,2017 - 2018,168.0,98.0,0.58,,,,,,
,,2018 - 2019,112.0,55.0,0.49,,,,,,
,,2019 - 2020,112.0,68.0,0.61,,,,,,
,,2020 - 2021,114.0,66.0,0.58,,,,,,
,,2021 - 2022,105.0,75.0,0.71,,,,,,
,,2022 - 2023,95.0,72.0,0.76,,,,,,
,Begusarai,2000 - 2001,42.0,40.0,0.95,,,,,,
,,2001 - 2002,48.0,36.0,0.75,,,,,,
,,2002 - 2003,40.0,35.0,0.88,,,,,,
,,2003 - 2004,53.0,53.0,1.0,,,,,,
,,2004 - 2005,53.0,27.0,0.51,,,,,,
,,2005 - 2006,58.0,70.0,1.21,,,,,,
,,2006 - 2007,167.0,206.0,1.23,,,,,,
,,2007 - 2008,162.0,156.0,0.96,,,,,,
,,2008 - 2009,146.0,141.0,0.97,,,,,,
,,2009 - 2010,52.0,52.0,1.0,,,,,,
,,2010 - 2011,64.0,50.0,0.78,,,,,,
,,2011 - 2012,46.0,42.0,0.91,,,,,,
,,2012 - 2013,146.0,206.0,1.41,,,,,,
,,2013 - 2014,51.0,76.0,1.49,,,,,,
,,2014 - 2015,50.0,34.0,0.68,,,,,,
,,2015 - 2016,53.0,59.0,1.11,,,,,,
,,2016 - 2017,23.0,26.0,1.13,,,,,,
,,2017 - 2018,17.0,19.0,1.12,,,,,,
,,2018 - 2019,12.0,13.0,1.08,,,,,,
,,2019 - 2020,15.0,11.0,0.73,,,,,,
,,2021 - 2022,53.0,46.0,0.87,,,,,,
,,2022 - 2023,40.0,50.0,1.25,,,,,,
,Bhagalpur,2000 - 2001,,,0.92,,,,,,
,,2001 - 2002,,,0.82,,,,,,
,,2002 - 2003,,,0.81,,,,,,
,,2003 - 2004,,,0.92,,,,,,
,,2004 - 2005,,,0.55,,,,,,
,,2005 - 2006,,,0.62,,,,,,
,,2006 - 2007,,,0.59,,,,,,
,,2007 - 2008,,,0.84,,,,,,
,,2008 - 2009,,,0.71,,,,,,
,,2009 - 2010,,,1.27,,,,,,
,,2010 - 2011,,928.0,0.41,,,,,,
,,2011 - 2012,988.0,641.0,0.65,,,,,,
,,2012 - 2013,,839.0,0.51,,,,,,
,,2013 - 2014,,,0.73,,,,,,
,,2014 - 2015,,708.0,0.39,,,,,,
,,2015 - 2016,,,0.63,,,,,,
,,2016 - 2017,,832.0,0.51,,,,,,
,,2017 - 2018,,861.0,0.58,,,,,,
,,2018 - 2019,,665.0,0.49,,,,,,
,,2019 - 2020,,826.0,0.6,,,,,,
,,2020 - 2021,,753.0,0.58,,,,,,
,,2021 - 2022,,859.0,0.72,,,,,,
,,2022 - 2023,,910.0,0.75,,,,,,
,Bhojpur,2000 - 2001,,,1.24,,,,,,
,,2001 - 2002,,,1.01,,,,,,
,,2002 - 2003,,,0.96,,,,,,
,,2003 - 2004,,,0.95,,,,,,
,,2004 - 2005,,,0.8,,,,,,
,,2005 - 2006,,,0.78,,,,,,
,,2006 - 2007,,,0.85,,,,,,
,,2007 - 2008,,,0.78,,,,,,
,,2008 - 2009,,,0.95,,,,,,
,,2009 - 2010,,,1.69,,,,,,
,,2010 - 2011,,,1.33,,,,,,
,,2011 - 2012,,,1.72,,,,,,
,,2012 - 2013,,,1.48,,,,,,
,,2013 - 2014,,,0.91,,,,,,
,,2014 - 2015,,,1.01,,,,,,
,,2015 - 2016,,,0.92,,,,,,
,,2016 - 2017,,,1.13,,,,,,
,,2017 - 2018,,,1.15,,,,,,
,,2018 - 2019,,,1.1,,,,,,
,,2019 - 2020,,,0.9,,,,,,
,,2020 - 2021,,,1.41,,,,,,
,,2021 - 2022,,,1.13,,,,,,
,,2022 - 2023,,,1.43,,,,,,
,Buxar,2000 - 2001,,,0.72,,,,,,
,,2001 - 2002,,,1.5,,,,,,
,,2002 - 2003,,,0.75,,,,,,
,,2003 - 2004,,,1.05,,,,,,
,,2004 - 2005,,,0.68,,,,,,
,,2005 - 2006,,,1.18,,,,,,
,,2006 - 2007,,,0.74,,,,,,
,,2007 - 2008,,,0.84,,,,,,
,,2008 - 2009,,,1.02,,,,,,
,,2009 - 2010,,,1.73,,,,,,
,,2010 - 2011,,,1.05,,,,,,
,,2011 - 2012,,,1.22,,,,,,
,,2012 - 2013,,,1.13,,,,,,
,,2013 - 2014,,,1.33,,,,,,
,,2014 - 2015,,,0.42,,,,,,
,,2015 - 2016,,,0.81,,,,,,
,,2016 - 2017,,,1.19,,,,,,
,,2017 - 2018,,,1.52,,,,,,
,,2018 - 2019,624.0,907.0,1.45,,,,,,
,,2019 - 2020,889.0,588.0,0.66,,,,,,
,,2020 - 2021,859.0,,1.4,,,,,,
,,2021 - 2022,981.0,,1.36,,,,,,
,,2022 - 2023,,,1.39,,,,,,
,Darbhanga,2000 - 2001,,,0.75,,,,,,
,,2001 - 2002,,,0.52,,,,,,
,,2002 - 2003,,,0.58,,,,,,
,,2003 - 2004,,617.0,0.48,,,,,,
,,2004 - 2005,,755.0,0.65,,,,,,
,,2005 - 2006,961.0,564.0,0.59,,,,,,
,,2006 - 2007,944.0,551.0,0.58,,,,,,
,,2007 - 2008,773.0,447.0,0.58,,,,,,
,,2008 - 2009,650.0,534.0,0.82,,,,,,
,,2009 - 2010,546.0,566.0,1.04,,,,,,
,,2010 - 2011,281.0,277.0,0.99,,,,,,
,,2011 - 2012,303.0,383.0,1.26,,,,,,
,,2012 - 2013,295.0,347.0,1.18,,,,,,
,,2013 - 2014,300.0,335.0,1.12,,,,,,
,,2014 - 2015,301.0,298.0,0.99,,,,,,
,,2015 - 2016,280.0,262.0,0.94,,,,,,
,,2016 - 2017,278.0,294.0,1.06,,,,,,
,,2017 - 2018,226.0,255.0,1.13,,,,,,
,,2018 - 2019,221.0,196.0,0.89,,,,,,
,,2019 - 2020,214.0,163.0,0.76,,,,,,
,,2020 - 2021,220.0,238.0,1.08,,,,,,
,,2021 - 2022,207.0,215.0,1.04,,,,,,
,,2022 - 2023,199.0,217.0,1.09,,,,,,
,Gaya,2000 - 2001,,,1.24,,,,,,
,,2001 - 2002,,,0.77,,,,,,
,,2002 - 2003,,,0.72,,,,,,
,,2003 - 2004,,,0.93,,,,,,
,,2004 - 2005,,,0.48,,,,,,
,,2005 - 2006,,,0.65,,,,,,
,,2006 - 2007,,,0.49,,,,,,
,,2007 - 2008,,,0.65,,,,,,
,,2008 - 2009,,,0.92,,,,,,
,,2009 - 2010,862.0,995.0,1.15,,,,,,
,,2010 - 2011,581.0,492.0,0.85,,,,,,
,,2011 - 2012,689.0,732.0,1.06,,,,,,
,,2012 - 2013,689.0,784.0,1.14,,,,,,
,,2013 - 2014,480.0,379.0,0.79,,,,,,
,,2014 - 2015,422.0,396.0,0.94,,,,,,
,,2015 - 2016,374.0,292.0,0.78,,,,,,
,,2016 - 2017,370.0,299.0,0.81,,,,,,
,,2017 - 2018,382.0,440.0,1.15,,,,,,
,,2018 - 2019,189.0,142.0,0.75,,,,,,
,,2019 - 2020,172.0,116.0,0.67,,,,,,
,,2020 - 2021,167.0,194.0,1.16,,,,,,
,,2021 - 2022,169.0,165.0,0.98,,,,,,
,,2022 - 2023,169.0,177.0,1.05,,,,,,
,Gopalganj,2000 - 2001,52.0,48.0,0.92,,,,,,
,,2001 - 2002,78.0,64.0,0.82,,,,,,
,,2002 - 2003,59.0,48.0,0.81,,,,,,
,,2003 - 2004,82.0,76.0,0.93,,,,,,
,,2004 - 2005,129.0,87.0,0.67,,,,,,
,,2005 - 2006,64.0,51.0,0.8,,,,,,
