state,district,year,ragi_kharif_area_hectare,ragi_kharif_production_tonne,ragi_kharif_yield_tonne_per_hectare,ragi_rabi_area_hectare,ragi_rabi_production_tonne,ragi_rabi_yield_tonne_per_hectare,ragi_autumn_area_hectare,ragi_autumn_production_tonne,ragi_autumn_yield_tonne_per_hectare,ragi_summer_area_hectare,ragi_summer_production_tonne,ragi_summer_yield_tonne_per_hectare,ragi_whole_year_area_hectare,ragi_whole_year_production_tonne,ragi_whole_year_yield_tonne_per_hectare,ragi_winter_area_hectare,ragi_winter_production_tonne,ragi_winter_yield_tonne_per_hectare
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,,,1.03,,,,,,,,,,,,,,,
,Anakapalli,2022 - 2023,3.0,3.0,1.0,18.0,26.0,1.44,,,,,,,,,,,,
,Anantapur,2000 - 2001,,,2.56,909.0,,1.44,,,,,,,,,,,,
,,2001 - 2002,,,2.42,544.0,725.0,1.33,,,,,,,,,,,,
,,2002 - 2003,,,2.35,417.0,517.0,1.24,,,,,,,,,,,,
,,2003 - 2004,,,1.06,614.0,986.0,1.61,,,,,,,,,,,,
,,2004 - 2005,,,1.85,397.0,897.0,2.26,,,,,,,,,,,,
,,2005 - 2006,,,1.91,472.0,752.0,1.59,,,,,,,,,,,,
,,2006 - 2007,,,1.82,386.0,532.0,1.38,,,,,,,,,,,,
,,2007 - 2008,,,2.0,,,,,,,,,,,,,,,
,,2008 - 2009,,,2.52,336.0,630.0,1.88,,,,,,,,,,,,
,,2009 - 2010,,,1.56,,,2.19,,,,,,,,,,,,
,,2010 - 2011,,,1.78,556.0,831.0,1.49,,,,,,,,,,,,
,,2011 - 2012,,,1.7,,,2.02,,,,,,,,,,,,
,,2012 - 2013,,,1.5,,,1.0,,,,,,,,,,,,
,,2013 - 2014,,,1.54,822.0,,1.78,,,,,,,,,,,,
,,2014 - 2015,,,1.51,734.0,,1.53,,,,,,,,,,,,
,,2015 - 2016,,,2.18,623.0,,1.83,,,,,,,,,,,,
,,2016 - 2017,,,2.12,,,2.09,,,,,,,,,,,,
,,2017 - 2018,,,2.34,818.0,,2.59,,,,,,,,,,,,
,,2018 - 2019,,,1.99,,,2.48,,,,,,,,,,,,
,,2019 - 2020,,,1.86,,,2.46,,,,,,,,,,,,
,,2020 - 2021,,,1.69,,,2.2,,,,,,,,,,,,
,,2021 - 2022,,,0.62,690.0,,2.8,,,,,,,,,,,,
,,2022 - 2023,40.0,45.0,1.13,18.0,55.0,3.06,,,,,,,,,,,,
,Annamayya,2022 - 2023,291.0,448.0,1.54,34.0,104.0,3.06,,,,,,,,,,,,
,Bapatla,2022 - 2023,,,,168.0,154.0,0.92,,,,,,,,,,,,
,Chittoor,2000 - 2001,,,1.07,,,1.44,,,,,,,,,,,,
,,2001 - 2002,,,0.74,,,1.33,,,,,,,,,,,,
,,2002 - 2003,,,0.96,,,1.24,,,,,,,,,,,,
,,2003 - 2004,,,0.84,925.0,,1.61,,,,,,,,,,,,
,,2004 - 2005,,,1.28,868.0,,2.26,,,,,,,,,,,,
,,2005 - 2006,,,1.23,,,1.59,,,,,,,,,,,,
,,2006 - 2007,,,0.86,917.0,,1.38,,,,,,,,,,,,
,,2007 - 2008,,,0.75,,,1.0,,,,,,,,,,,,
,,2008 - 2009,,,0.58,812.0,,1.87,,,,,,,,,,,,
,,2009 - 2010,,,1.25,873.0,,2.19,,,,,,,,,,,,
,,2010 - 2011,,,1.44,847.0,,1.49,,,,,,,,,,,,
,,2011 - 2012,,,1.09,693.0,,2.02,,,,,,,,,,,,
,,2012 - 2013,,,1.0,,,1.0,,,,,,,,,,,,
,,2013 - 2014,,,1.31,641.0,,1.78,,,,,,,,,,,,
,,2014 - 2015,,,0.81,552.0,844.0,1.53,,,,,,,,,,,,
,,2015 - 2016,,,1.07,803.0,,1.65,,,,,,,,,,,,
,,2016 - 2017,,,0.4,725.0,,1.59,,,,,,,,,,,,
,,2017 - 2018,,,1.26,823.0,,1.32,,,,,,,,,,,,
,,2018 - 2019,,,1.62,768.0,,1.32,,,,,,,,,,,,
