state,district,year,ginger_whole_year_area_hectare,ginger_whole_year_production_tonne,ginger_whole_year_yield_tonne_per_hectare,ginger_rabi_area_hectare,ginger_rabi_production_tonne,ginger_rabi_yield_tonne_per_hectare,ginger_kharif_area_hectare,ginger_kharif_production_tonne,ginger_kharif_yield_tonne_per_hectare,ginger_summer_area_hectare,ginger_summer_production_tonne,ginger_summer_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2000 - 2001,36.0,100.0,2.78,,,,,,,,,
,,2001 - 2002,46.0,100.0,2.17,,,,,,,,,
,,2002 - 2003,47.3,133.0,2.81,,,,,,,,,
,,2003 - 2004,102.0,326.4,3.2,,,,,,,,,
,,2004 - 2005,118.0,366.0,3.1,,,,,,,,,
,,2006 - 2007,6.0,21.0,3.5,,,,,,,,,
,,2010 - 2011,,,,7.0,9.64,1.38,,,,,,
,,2011 - 2012,,,,7.0,10.9,1.56,,,,,,
,,2012 - 2013,,,,7.5,44.4,5.92,,,,,,
,,2013 - 2014,,,,5.4,16.3,3.02,,,,,,
,,2014 - 2015,,,,3.5,10.8,3.09,,,,,,
,,2015 - 2016,,,,6.2,2.2,0.35,,,,,,
,,2016 - 2017,,,,0.21,1.21,5.76,,,,,,
,,2017 - 2018,,,,0.61,0.01,0.02,,,,,,
,,2018 - 2019,,,,0.62,1.05,1.69,,,,,,
,,2019 - 2020,,,,0.62,4.9,7.9,,,,,,
,,2020 - 2021,,,,0.6,0.8,1.33,,,,,,
,North and middle andaman,2000 - 2001,352.0,,3.18,,,,,,,,,
,,2001 - 2002,344.0,,3.27,,,,,,,,,
,,2006 - 2007,98.66,929.0,9.42,,,,,,,,,
,,2010 - 2011,,,,110.0,,9.2,,,,,,
,,2011 - 2012,,,,110.5,,9.45,,,,,,
,,2012 - 2013,,,,114.5,,9.05,,,,,,
,,2013 - 2014,,,,101.0,916.0,9.07,,,,,,
,,2014 - 2015,,,,101.3,,9.87,,,,,,
,,2015 - 2016,,,,100.8,,13.72,,,,,,
,,2016 - 2017,,,,106.5,,13.15,,,,,,
,,2017 - 2018,,,,95.83,,14.33,,,,,,
,,2018 - 2019,,,,92.29,245.14,2.66,,,,,,
,,2019 - 2020,,,,90.58,275.67,3.04,,,,,,
,,2020 - 2021,,,,89.78,367.71,4.1,,,,,,
,South andamans,2002 - 2003,352.0,,3.25,,,,,,,,,
,,2003 - 2004,406.0,,3.2,,,,,,,,,
,,2004 - 2005,410.0,,3.57,,,,,,,,,
,,2005 - 2006,200.0,,9.0,,,,,,,,,
,,2006 - 2007,100.9,900.0,8.92,,,,,,,,,
,,2010 - 2011,,,,94.0,828.52,8.81,,,,,,
,,2011 - 2012,,,,92.5,799.6,8.64,,,,,,
,,2012 - 2013,,,,93.0,829.0,8.91,,,,,,
,,2013 - 2014,,,,80.6,485.3,6.02,,,,,,
,,2014 - 2015,,,,45.7,409.7,8.96,,,,,,
,,2015 - 2016,,,,51.5,437.7,8.5,,,,,,
,,2016 - 2017,,,,63.07,462.1,7.33,,,,,,
,,2017 - 2018,,,,57.3,447.9,7.82,,,,,,
,,2018 - 2019,,,,33.0,391.0,11.85,,,,,,
,,2019 - 2020,,,,30.4,326.64,10.74,,,,,,
,,2020 - 2021,,,,22.47,122.59,5.46,,,,,,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,,,,,,,749.0,,2.95,,,
,Anantapur,2021 - 2022,,,,,,,3.0,8.0,2.67,,,
,,2022 - 2023,,,,,,,1.0,3.0,3.0,,,
,Bapatla,2022 - 2023,,,,,,,1.0,3.0,3.0,,,
,Chittoor,2020 - 2021,,,,,,,3.0,6.0,2.0,,,
,,2021 - 2022,,,,,,,3.0,8.0,2.67,,,
,,2022 - 2023,,,,,,,2.0,6.0,3.0,,,
,East godavari,2005 - 2006,7.0,19.0,2.71,,,,,,,,,
,,2006 - 2007,7.0,20.0,2.86,,,,,,,,,
,,2008 - 2009,8.0,25.0,3.13,,,,,,,,,
,,2016 - 2017,,,,4.0,11.0,2.75,16.0,42.0,2.63,,,
,,2020 - 2021,,,,,,,3.0,6.0,2.0,,,
,Guntur,2020 - 2021,,,,,,,11.0,21.0,1.91,,,
,Kadapa,2004 - 2005,1.0,3.0,3.0,,,,,,,,,
,,2012 - 2013,,,,1.0,8.0,8.0,,,,,,
,,2016 - 2017,,,,,,,2.0,5.0,2.5,,,
,,2019 - 2020,,,,,,,1.0,2.0,2.0,,,
,,2020 - 2021,,,,,,,4.0,7.0,1.75,,,
,,2021 - 2022,,,,,,,2.0,5.0,2.5,,,
,Krishna,2000 - 2001,15.0,28.0,1.87,,,,,,,,,
,,2001 - 2002,14.0,37.0,2.64,,,,,,,,,
,,2002 - 2003,12.0,20.0,1.67,,,,,,,,,
,,2003 - 2004,13.0,37.0,2.85,,,,,,,,,
,,2004 - 2005,8.0,22.0,2.75,,,,,,,,,
