state,district,year,cowpea_rabi_area_hectare,cowpea_rabi_production_tonne,cowpea_rabi_yield_tonne_per_hectare,cowpea_kharif_area_hectare,cowpea_kharif_production_tonne,cowpea_kharif_yield_tonne_per_hectare,cowpea_summer_area_hectare,cowpea_summer_production_tonne,cowpea_summer_yield_tonne_per_hectare,cowpea_whole_year_area_hectare,cowpea_whole_year_production_tonne,cowpea_whole_year_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2011 - 2012,33.5,94.5,2.82,,,,,,,,,
,,2012 - 2013,24.5,74.5,3.04,,,,,,,,,
,,2013 - 2014,18.5,71.5,3.86,,,,,,,,,
,,2014 - 2015,14.1,40.4,2.87,,,,,,,,,
,,2015 - 2016,20.0,18.0,0.9,,,,,,,,,
,North and middle andaman,2011 - 2012,258.0,,4.68,,,,,,,,,
,,2012 - 2013,294.0,,4.64,,,,,,,,,
,,2013 - 2014,430.0,,5.63,,,,,,,,,
,,2014 - 2015,426.0,,3.94,,,,,,,,,
,,2015 - 2016,420.0,,6.62,,,,,,,,,
,South andamans,2011 - 2012,83.5,626.3,7.5,,,,,,,,,
,,2012 - 2013,71.5,661.0,9.24,,,,,,,,,
,,2013 - 2014,138.5,637.1,4.6,,,,,,,,,
,,2014 - 2015,148.8,720.8,4.84,,,,,,,,,
,,2015 - 2016,131.0,565.5,4.32,,,,,,,,,
,,2016 - 2017,2.0,,0.0,,,,,,,,,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,,,,17.0,10.0,0.59,,,,,,
,Anakapalli,2022 - 2023,174.0,76.0,0.44,61.0,37.0,0.61,,,,,,
,Anantapur,2011 - 2012,15.0,12.0,0.8,846.0,150.0,0.18,,,,,,
,,2012 - 2013,,,,,,0.0,,,,,,
,,2013 - 2014,32.0,26.0,0.81,527.0,253.0,0.48,,,,,,
,,2014 - 2015,234.0,263.0,1.12,982.0,410.0,0.42,,,,,,
,,2015 - 2016,91.0,4.0,0.04,,,0.88,,,,,,
,,2016 - 2017,16.0,11.0,0.69,500.0,12.0,0.02,,,,,,
,,2017 - 2018,,,,798.0,740.0,0.93,,,,,,
,,2018 - 2019,,618.0,0.51,,472.0,0.04,,,,,,
,,2019 - 2020,58.0,30.0,0.52,,,0.47,,,,,,
,,2020 - 2021,175.0,173.0,0.99,245.0,101.0,0.41,,,,,,
,,2021 - 2022,102.0,105.0,1.03,265.0,49.0,0.18,,,,,,
,,2022 - 2023,64.0,64.0,1.0,117.0,71.0,0.61,,,,,,
,Annamayya,2022 - 2023,519.0,132.0,0.25,726.0,281.0,0.39,,,,,,
,Bapatla,2022 - 2023,75.0,75.0,1.0,3.0,2.0,0.67,,,,,,
,Chittoor,2011 - 2012,9.0,7.0,0.78,,347.0,0.32,,,,,,
,,2012 - 2013,,,,,,1.0,,,,,,
,,2013 - 2014,10.0,8.0,0.8,,317.0,0.28,,,,,,
,,2014 - 2015,10.0,11.0,1.1,948.0,289.0,0.3,,,,,,
,,2015 - 2016,22.0,7.0,0.32,,540.0,0.42,,,,,,
,,2016 - 2017,39.0,26.0,0.67,,799.0,0.41,,,,,,
,,2017 - 2018,42.0,31.0,0.74,,,0.95,,,,,,
,,2018 - 2019,147.0,75.0,0.51,,761.0,0.47,,,,,,
,,2019 - 2020,160.0,240.0,1.5,,413.0,0.39,,,,,,
,,2020 - 2021,122.0,136.0,1.11,,,1.02,,,,,,
,,2021 - 2022,129.0,151.0,1.17,965.0,764.0,0.79,,,,,,
,,2022 - 2023,92.0,92.0,1.0,753.0,619.0,0.82,,,,,,
,East godavari,2011 - 2012,98.0,78.0,0.8,,,,,,,,,
,,2013 - 2014,249.0,204.0,0.82,7.0,3.0,0.43,,,,,,
,,2014 - 2015,161.0,181.0,1.12,5.0,2.0,0.4,,,,,,
,,2015 - 2016,193.0,167.0,0.87,6.0,5.0,0.83,,,,,,
,,2016 - 2017,143.0,79.0,0.55,2.0,1.0,0.5,,,,,,
,,2017 - 2018,117.0,57.0,0.49,5.0,4.0,0.8,,,,,,
,,2018 - 2019,11.0,6.0,0.55,8.0,1.0,0.13,,,,,,
,,2019 - 2020,19.0,10.0,0.53,10.0,4.0,0.4,,,,,,
,,2020 - 2021,33.0,33.0,1.0,31.0,26.0,0.84,,,,,,
,,2021 - 2022,15.0,14.0,0.93,46.0,25.0,0.54,,,,,,
,,2022 - 2023,6.0,6.0,1.0,,,,,,,,,
,Eluru,2022 - 2023,2.0,2.0,1.0,75.0,46.0,0.61,,,,,,
,Guntur,2013 - 2014,,,,126.0,61.0,0.48,,,,,,
