state,district,year,safflower_rabi_area_hectare,safflower_rabi_production_tonne,safflower_rabi_yield_tonne_per_hectare,safflower_kharif_area_hectare,safflower_kharif_production_tonne,safflower_kharif_yield_tonne_per_hectare,safflower_whole_year_area_hectare,safflower_whole_year_production_tonne,safflower_whole_year_yield_tonne_per_hectare
Andhra Pradesh,Anantapur,2000 - 2001,703.0,129.0,0.18,,,,,,
,,2001 - 2002,,528.0,0.14,,,,,,
,,2002 - 2003,,340.0,0.13,,,,,,
,,2003 - 2004,307.0,11.0,0.04,,,,,,
,,2004 - 2005,186.0,10.0,0.05,,,,,,
,,2005 - 2006,162.0,33.0,0.2,,,,,,
,,2006 - 2007,72.0,28.0,0.39,,,,,,
,,2008 - 2009,113.0,44.0,0.39,,,,,,
,,2009 - 2010,46.0,20.0,0.43,,,,,,
,,2010 - 2011,45.0,31.0,0.69,,,,,,
,,2011 - 2012,84.0,63.0,0.75,,,,,,
,,2012 - 2013,20.0,33.0,1.65,,,,,,
,,2013 - 2014,58.0,41.0,0.71,,,,,,
,,2014 - 2015,310.0,87.0,0.28,,,,,,
,,2015 - 2016,162.0,124.0,0.77,,,,,,
,,2016 - 2017,32.0,8.0,0.25,,,,,,
,,2018 - 2019,51.0,8.0,0.16,40.0,6.0,0.15,,,
,,2019 - 2020,499.0,245.0,0.49,,,,,,
,,2020 - 2021,691.0,355.0,0.51,60.0,31.0,0.52,,,
,,2021 - 2022,180.0,198.0,1.1,20.0,22.0,1.1,,,
,,2022 - 2023,,617.0,0.57,15.0,9.0,0.6,,,
,Annamayya,2022 - 2023,5.0,3.0,0.6,,,,,,
,Guntur,2003 - 2004,6.0,2.0,0.33,,,,,,
,Kadapa,2000 - 2001,4.0,1.0,0.25,,,,,,
,,2002 - 2003,1.0,,0.0,,,,,,
,,2004 - 2005,4.0,1.0,0.25,,,,,,
,,2005 - 2006,28.0,9.0,0.32,,,,,,
,,2010 - 2011,121.0,82.0,0.68,,,,,,
,,2012 - 2013,5.0,8.0,1.6,,,,,,
,,2014 - 2015,300.0,93.0,0.31,,,,,,
,,2015 - 2016,28.0,22.0,0.79,,,,,,
,,2016 - 2017,10.0,10.0,1.0,,,,,,
,,2018 - 2019,230.0,37.0,0.16,,,,,,
,,2019 - 2020,117.0,57.0,0.49,,,,,,
,,2020 - 2021,212.0,111.0,0.52,8.0,4.0,0.5,,,
,,2021 - 2022,827.0,505.0,0.61,10.0,6.0,0.6,,,
,,2022 - 2023,,,0.59,8.0,5.0,0.63,,,
,Kurnool,2000 - 2001,,,0.34,,,,,,
,,2001 - 2002,,759.0,0.37,,,,,,
,,2002 - 2003,,603.0,0.37,,,,,,
,,2003 - 2004,,813.0,0.34,,,,,,
,,2004 - 2005,,260.0,0.24,,,,,,
,,2005 - 2006,,487.0,0.35,,,,,,
,,2006 - 2007,708.0,280.0,0.4,,,,,,
,,2008 - 2009,380.0,147.0,0.39,,,,,,
,,2009 - 2010,713.0,194.0,0.27,,,,,,
,,2010 - 2011,827.0,789.0,0.95,,,,,,
,,2011 - 2012,143.0,104.0,0.73,,,,,,
,,2012 - 2013,251.0,131.0,0.52,,,,,,
,,2013 - 2014,144.0,70.0,0.49,,,,,,
,,2014 - 2015,68.0,30.0,0.44,85.0,37.0,0.44,,,
,,2015 - 2016,114.0,66.0,0.58,,,,,,
