state,district,year,coriander_whole_year_area_hectare,coriander_whole_year_production_tonne,coriander_whole_year_yield_tonne_per_hectare,coriander_kharif_area_hectare,coriander_kharif_production_tonne,coriander_kharif_yield_tonne_per_hectare,coriander_rabi_area_hectare,coriander_rabi_production_tonne,coriander_rabi_yield_tonne_per_hectare
Andhra Pradesh,Anantapur,2000 - 2001,,,0.25,,,,,,
,,2001 - 2002,,,0.24,,,,,,
,,2002 - 2003,,481.0,0.12,,,,,,
,,2003 - 2004,,610.0,0.11,,,,,,
,,2004 - 2005,,290.0,0.12,,,,,,
,,2005 - 2006,,900.0,0.3,,,,,,
,,2006 - 2007,,385.0,0.28,,,,,,
,,2008 - 2009,,,0.34,,,,,,
,,2009 - 2010,,,0.4,,,,,,
,,2010 - 2011,,,0.68,,,,,,
,,2011 - 2012,,,0.55,,,,,,
,,2012 - 2013,,,,2.0,1.0,0.5,,,0.63
,,2013 - 2014,,,,,,,,,0.63
,,2014 - 2015,,,,162.0,84.0,0.52,,,0.52
,,2015 - 2016,,,,28.0,10.0,0.36,,,0.35
,,2016 - 2017,,,,8.0,1.0,0.13,192.0,15.0,0.08
,,2017 - 2018,,,,,,,,709.0,0.63
,,2018 - 2019,,,,,,,710.0,98.0,0.14
,,2019 - 2020,,,,,,,469.0,242.0,0.52
,,2020 - 2021,,,,,,,424.0,144.0,0.34
,,2021 - 2022,,,,51.0,33.0,0.65,532.0,346.0,0.65
,,2022 - 2023,,,,,,,,761.0,0.54
,Annamayya,2022 - 2023,,,,,,,3.0,2.0,0.67
,Bapatla,2022 - 2023,,,,,,,92.0,61.0,0.66
,Chittoor,2000 - 2001,60.0,19.0,0.32,,,,,,
,,2001 - 2002,51.0,18.0,0.35,,,,,,
,,2002 - 2003,86.0,24.0,0.28,,,,,,
,,2003 - 2004,119.0,31.0,0.26,,,,,,
,,2004 - 2005,125.0,30.0,0.24,,,,,,
,,2005 - 2006,110.0,49.0,0.45,,,,,,
,,2006 - 2007,155.0,52.0,0.34,,,,,,
,,2008 - 2009,102.0,42.0,0.41,,,,,,
,,2009 - 2010,125.0,64.0,0.51,,,,,,
,,2010 - 2011,113.0,77.0,0.68,,,,,,
,,2011 - 2012,74.0,43.0,0.58,,,,,,
,,2012 - 2013,,,,,,,49.0,29.0,0.59
,,2013 - 2014,,,,27.0,16.0,0.59,65.0,39.0,0.6
,,2014 - 2015,,,,2.0,1.0,0.5,111.0,57.0,0.51
,,2015 - 2016,,,,2.0,1.0,0.5,44.0,18.0,0.41
,,2016 - 2017,,,,,,,67.0,37.0,0.55
,,2017 - 2018,,,,,,,36.0,23.0,0.64
,,2018 - 2019,,,,,,,63.0,14.0,0.22
,,2019 - 2020,,,,,,,41.0,20.0,0.49
,,2020 - 2021,,,,,,,22.0,15.0,0.68
,,2021 - 2022,,,,3.0,2.0,0.67,19.0,16.0,0.84
,,2022 - 2023,,,,,,,6.0,4.0,0.67
,East godavari,2000 - 2001,121.0,90.0,0.74,,,,,,
,,2001 - 2002,32.0,25.0,0.78,,,,,,
,,2002 - 2003,30.0,17.0,0.57,,,,,,
,,2003 - 2004,51.0,39.0,0.76,,,,,,
,,2004 - 2005,22.0,14.0,0.64,,,,,,
,,2005 - 2006,15.0,11.0,0.73,,,,,,
,,2006 - 2007,38.0,21.0,0.55,,,,,,
,,2009 - 2010,8.0,8.0,1.0,,,,,,
,,2015 - 2016,,,,,,,8.0,3.0,0.38
,,2016 - 2017,,,,,,,93.0,51.0,0.55
,,2017 - 2018,,,,,,,50.0,32.0,0.64
,,2018 - 2019,,,,,,,54.0,12.0,0.22
,,2019 - 2020,,,,,,,29.0,14.0,0.48
,,2020 - 2021,,,,,,,60.0,373.0,6.22
,,2021 - 2022,,,,,,,69.0,106.0,1.54
,,2022 - 2023,,,,,,,85.0,57.0,0.67
,Guntur,2000 - 2001,35.0,26.0,0.74,,,,,,
,,2001 - 2002,115.0,89.0,0.77,,,,,,
,,2002 - 2003,64.0,35.0,0.55,,,,,,
,,2003 - 2004,195.0,148.0,0.76,,,,,,
,,2004 - 2005,16.0,10.0,0.63,,,,,,
,,2009 - 2010,22.0,23.0,1.05,,,,,,
,,2010 - 2011,25.0,17.0,0.68,,,,,,
,,2012 - 2013,,,,,,,1.0,1.0,1.0
,,2019 - 2020,,,,,,,6.0,3.0,0.5
,,2020 - 2021,,,,,,,7.0,7.0,1.0
,,2022 - 2023,,,,,,,2.0,1.0,0.5
,Kadapa,2000 - 2001,,,0.36,,,,,,
,,2001 - 2002,,,0.28,,,,,,
,,2002 - 2003,,,0.2,,,,,,
,,2003 - 2004,,,0.25,,,,,,
,,2004 - 2005,,547.0,0.24,,,,,,
,,2005 - 2006,,,0.5,,,,,,
,,2006 - 2007,,,0.36,,,,,,
,,2008 - 2009,,,0.31,,,,,,
,,2009 - 2010,,,0.43,,,,,,
,,2010 - 2011,,,0.7,,,,,,
,,2011 - 2012,,,0.58,,,,,,
,,2012 - 2013,,,,,,,,,0.54
,,2013 - 2014,,,,,,,,,0.54
,,2014 - 2015,,,,,,,,,0.61
,,2015 - 2016,,,,,,,,,0.5
,,2016 - 2017,,,,,,,,760.0,0.47
,,2017 - 2018,,,,,,,322.0,204.0,0.63
,,2018 - 2019,,,,,,,58.0,9.0,0.16
,,2019 - 2020,,,,,,,148.0,48.0,0.32
,,2020 - 2021,,,,,,,112.0,98.0,0.88
,,2021 - 2022,,,,,,,804.0,561.0,0.7
,,2022 - 2023,,,,,,,,,0.7
,Krishna,2001 - 2002,25.0,19.0,0.76,,,,,,
,,2002 - 2003,14.0,8.0,0.57,,,,,,
,,2003 - 2004,11.0,8.0,0.73,,,,,,
,,2004 - 2005,14.0,9.0,0.64,,,,,,
,,2005 - 2006,3.0,2.0,0.67,,,,,,
,,2006 - 2007,40.0,22.0,0.55,,,,,,
,Kurnool,2000 - 2001,,,0.34,,,,,,
,,2001 - 2002,,,0.41,,,,,,
,,2002 - 2003,,,0.31,,,,,,
,,2003 - 2004,,,0.32,,,,,,
,,2004 - 2005,,,0.27,,,,,,
,,2005 - 2006,,,0.42,,,,,,
,,2006 - 2007,,,0.31,,,,,,
,,2008 - 2009,,,0.69,,,,,,
,,2009 - 2010,,,0.72,,,,,,
,,2010 - 2011,,,0.68,,,,,,
,,2011 - 2012,,,0.54,,,,,,
,,2012 - 2013,,,,,716.0,0.65,,,0.65
,,2013 - 2014,,,,490.0,317.0,0.65,,,0.65
,,2014 - 2015,,,,,,,,,0.35
,,2015 - 2016,,,,,,,,,0.29
,,2016 - 2017,,,,,,,,,0.61
,,2017 - 2018,,,,,,,890.0,553.0,0.62
,,2018 - 2019,,,,,,,414.0,48.0,0.12
,,2019 - 2020,,,,,,,388.0,195.0,0.5
,,2020 - 2021,,,,,,,88.0,37.0,0.42
,,2021 - 2022,,,,2.0,1.0,0.5,249.0,97.0,0.39
,,2022 - 2023,,,,,,,616.0,410.0,0.67
,Nandyal,2022 - 2023,,,,,,,335.0,223.0,0.67
,Palnadu,2022 - 2023,,,,,,,2.0,1.0,0.5
,Prakasam,2000 - 2001,,,0.74,,,,,,
,,2001 - 2002,,,0.77,,,,,,
,,2002 - 2003,,,0.55,,,,,,
,,2003 - 2004,,,0.76,,,,,,
,,2004 - 2005,,957.0,0.61,,,,,,
,,2005 - 2006,,,0.71,,,,,,
,,2006 - 2007,,677.0,0.54,,,,,,
,,2008 - 2009,,,0.96,,,,,,
,,2009 - 2010,,,1.03,,,,,,
,,2010 - 2011,843.0,571.0,0.68,,,,,,
,,2011 - 2012,529.0,501.0,0.95,,,,,,
,,2012 - 2013,,,,,,,56.0,52.0,0.93
,,2013 - 2014,,,,,,,105.0,97.0,0.92
,,2014 - 2015,,,,,,,,807.0,0.52
,,2015 - 2016,,,,,,,,,0.8
,,2016 - 2017,,,,,,,288.0,266.0,0.92
,,2017 - 2018,,,,,,,131.0,94.0,0.72
,,2018 - 2019,,,,,,,117.0,148.0,1.26
,,2019 - 2020,,,,,,,30.0,29.0,0.97
,,2020 - 2021,,,,,,,32.0,32.0,1.0
,,2021 - 2022,,,,2.0,2.0,1.0,227.0,207.0,0.91
,,2022 - 2023,,,,,,,614.0,470.0,0.77
,Spsr nellore,2000 - 2001,125.0,93.0,0.74,,,,,,
,,2001 - 2002,20.0,15.0,0.75,,,,,,
,,2002 - 2003,33.0,18.0,0.55,,,,,,
,,2003 - 2004,145.0,110.0,0.76,,,,,,
,,2004 - 2005,24.0,15.0,0.63,,,,,,
,,2005 - 2006,20.0,14.0,0.7,,,,,,
,,2015 - 2016,,,,,,,171.0,70.0,0.41
,,2016 - 2017,,,,,,,203.0,112.0,0.55
,,2017 - 2018,,,,,,,30.0,19.0,0.63
,,2018 - 2019,,,,,,,153.0,31.0,0.2
,,2019 - 2020,,,,,,,8.0,2.0,0.25
,,2020 - 2021,,,,,,,2.0,1.0,0.5
,,2022 - 2023,,,,,,,63.0,42.0,0.67
,Sri sathya sai,2022 - 2023,,,,,,,25.0,17.0,0.68
,Srikakulam,2008 - 2009,11.0,11.0,1.0,,,,,,
,Visakhapatanam,2008 - 2009,30.0,29.0,0.97,,,,,,
,,2014 - 2015,,,,,,,5.0,3.0,0.6
,,2015 - 2016,,,,,,,5.0,2.0,0.4
,,2016 - 2017,,,,,,,5.0,3.0,0.6
,,2017 - 2018,,,,,,,5.0,3.0,0.6
,West godavari,2005 - 2006,54.0,38.0,0.7,,,,,,
,,2015 - 2016,,,,6.0,2.0,0.33,,,
,,2016 - 2017,,,,,,,4.0,2.0,0.5
,,2021 - 2022,,,,,,,1.0,1.0,1.0
Bihar,Araria,2000 - 2001,123.0,58.0,0.47,,,,,,
,,2001 - 2002,106.0,59.0,0.56,,,,,,
,,2002 - 2003,80.0,49.0,0.61,,,,,,
,,2003 - 2004,103.0,71.0,0.69,,,,,,
,,2004 - 2005,96.0,63.0,0.66,,,,,,
,,2005 - 2006,192.0,151.0,0.79,,,,,,
,,2007 - 2008,192.0,139.0,0.72,,,,,,
,,2016 - 2017,51.0,45.0,0.88,,,,,,
,,2017 - 2018,25.0,23.0,0.92,,,,,,
,,2018 - 2019,24.0,21.0,0.88,,,,,,
,,2021 - 2022,6.0,5.0,0.83,,,,,,
,,2022 - 2023,4.0,4.0,1.0,,,,,,
,Arwal,2003 - 2004,3.0,2.0,0.67,,,,,,
,,2004 - 2005,10.0,7.0,0.7,,,,,,
,,2005 - 2006,8.0,7.0,0.88,,,,,,
,,2007 - 2008,12.0,9.0,0.75,,,,,,
,,2016 - 2017,39.0,34.0,0.87,,,,,,
,,2017 - 2018,38.0,35.0,0.92,,,,,,
,,2018 - 2019,2.0,2.0,1.0,,,,,,
,Aurangabad,2000 - 2001,14.0,9.0,0.64,,,,,,
,,2001 - 2002,12.0,7.0,0.58,,,,,,
,,2002 - 2003,6.0,4.0,0.67,,,,,,
,,2003 - 2004,6.0,4.0,0.67,,,,,,
,,2004 - 2005,2.0,1.0,0.5,,,,,,
,,2005 - 2006,4.0,3.0,0.75,,,,,,
,,2007 - 2008,7.0,5.0,0.71,,,,,,
,,2016 - 2017,11.0,10.0,0.91,,,,,,
,,2017 - 2018,11.0,10.0,0.91,,,,,,
,,2018 - 2019,11.0,10.0,0.91,,,,,,
,Banka,2000 - 2001,2.0,1.0,0.5,,,,,,
,,2001 - 2002,2.0,1.0,0.5,,,,,,
,,2016 - 2017,6.0,5.0,0.83,,,,,,
,,2017 - 2018,5.0,4.0,0.8,,,,,,
,Begusarai,2000 - 2001,26.0,12.0,0.46,,,,,,
,,2001 - 2002,42.0,24.0,0.57,,,,,,
,,2002 - 2003,14.0,9.0,0.64,,,,,,
,,2003 - 2004,15.0,10.0,0.67,,,,,,
,,2004 - 2005,38.0,25.0,0.66,,,,,,
,,2005 - 2006,54.0,35.0,0.65,,,,,,
,,2007 - 2008,45.0,33.0,0.73,,,,,,
,,2016 - 2017,8.0,7.0,0.88,,,,,,
,,2017 - 2018,13.0,12.0,0.92,,,,,,
,,2018 - 2019,15.0,14.0,0.93,,,,,,
,,2019 - 2020,18.0,16.0,0.89,,,,,,
,,2020 - 2021,22.0,20.0,0.91,,,,,,
,,2021 - 2022,35.0,32.0,0.91,,,,,,
,,2022 - 2023,35.0,32.0,0.91,,,,,,
,Bhagalpur,2000 - 2001,67.0,32.0,0.48,,,,,,
,,2001 - 2002,131.0,76.0,0.58,,,,,,
,,2002 - 2003,24.0,16.0,0.67,,,,,,
,,2003 - 2004,48.0,33.0,0.69,,,,,,
,,2004 - 2005,46.0,30.0,0.65,,,,,,
,,2005 - 2006,109.0,86.0,0.79,,,,,,
,,2007 - 2008,42.0,31.0,0.74,,,,,,
,,2016 - 2017,98.0,86.0,0.88,,,,,,
,,2017 - 2018,92.0,83.0,0.9,,,,,,
,,2018 - 2019,92.0,82.0,0.89,,,,,,
,,2019 - 2020,93.0,83.0,0.89,,,,,,
,,2020 - 2021,92.0,82.0,0.89,,,,,,
,,2021 - 2022,88.0,79.0,0.9,,,,,,
,,2022 - 2023,89.0,79.0,0.89,,,,,,
,Bhojpur,2001 - 2002,2.0,1.0,0.5,,,,,,
,,2002 - 2003,2.0,2.0,1.0,,,,,,
,,2003 - 2004,4.0,3.0,0.75,,,,,,
,,2004 - 2005,4.0,3.0,0.75,,,,,,
,,2005 - 2006,20.0,16.0,0.8,,,,,,
,,2007 - 2008,15.0,11.0,0.73,,,,,,
,,2016 - 2017,34.0,28.0,0.82,,,,,,
,,2017 - 2018,13.0,11.0,0.85,,,,,,
,,2018 - 2019,2.0,2.0,1.0,,,,,,
,Buxar,2000 - 2001,7.0,4.0,0.57,,,,,,
,,2001 - 2002,9.0,5.0,0.56,,,,,,
,,2002 - 2003,6.0,4.0,0.67,,,,,,
,,2003 - 2004,6.0,4.0,0.67,,,,,,
,,2005 - 2006,6.0,5.0,0.83,,,,,,
,,2007 - 2008,7.0,5.0,0.71,,,,,,
,Darbhanga,2000 - 2001,58.0,22.0,0.38,,,,,,
,,2001 - 2002,63.0,38.0,0.6,,,,,,
,,2002 - 2003,125.0,83.0,0.66,,,,,,
,,2003 - 2004,79.0,55.0,0.7,,,,,,
,,2004 - 2005,122.0,80.0,0.66,,,,,,
,,2005 - 2006,57.0,45.0,0.79,,,,,,
,,2007 - 2008,68.0,49.0,0.72,,,,,,
,,2016 - 2017,13.0,11.0,0.85,,,,,,
,,2017 - 2018,12.0,10.0,0.83,,,,,,
,,2018 - 2019,12.0,10.0,0.83,,,,,,
,,2019 - 2020,13.0,11.0,0.85,,,,,,
,,2020 - 2021,16.0,14.0,0.88,,,,,,
,,2021 - 2022,13.0,11.0,0.85,,,,,,
,Gaya,2000 - 2001,17.0,10.0,0.59,,,,,,
,,2001 - 2002,9.0,5.0,0.56,,,,,,
,,2002 - 2003,30.0,20.0,0.67,,,,,,
,,2003 - 2004,31.0,21.0,0.68,,,,,,
,,2004 - 2005,37.0,24.0,0.65,,,,,,
,,2005 - 2006,19.0,16.0,0.84,,,,,,
,,2007 - 2008,24.0,17.0,0.71,,,,,,
,Gopalganj,2000 - 2001,43.0,20.0,0.47,,,,,,
,,2001 - 2002,21.0,12.0,0.57,,,,,,
,,2002 - 2003,3.0,2.0,0.67,,,,,,
,,2003 - 2004,2.0,1.0,0.5,,,,,,
,,2004 - 2005,2.0,1.0,0.5,,,,,,
,,2005 - 2006,1.0,1.0,1.0,,,,,,
,,2007 - 2008,4.0,3.0,0.75,,,,,,
,,2022 - 2023,20.0,18.0,0.9,,,,,,
,Jehanabad,2000 - 2001,20.0,12.0,0.6,,,,,,
,,2001 - 2002,26.0,15.0,0.58,,,,,,
,,2002 - 2003,33.0,21.0,0.64,,,,,,
,,2003 - 2004,23.0,16.0,0.7,,,,,,
,,2004 - 2005,28.0,18.0,0.64,,,,,,
,,2005 - 2006,23.0,19.0,0.83,,,,,,
,,2007 - 2008,19.0,14.0,0.74,,,,,,
,,2016 - 2017,23.0,22.0,0.96,,,,,,
,,2017 - 2018,21.0,19.0,0.9,,,,,,
,,2018 - 2019,21.0,20.0,0.95,,,,,,
,,2019 - 2020,22.0,21.0,0.95,,,,,,
,,2020 - 2021,22.0,21.0,0.95,,,,,,
,,2021 - 2022,22.0,21.0,0.95,,,,,,
,,2022 - 2023,18.0,17.0,0.94,,,,,,
,Kaimur (bhabua),2000 - 2001,91.0,53.0,0.58,,,,,,
