state,district,year,black_pepper_whole_year_area_hectare,black_pepper_whole_year_production_tonne,black_pepper_whole_year_yield_tonne_per_hectare,black_pepper_rabi_area_hectare,black_pepper_rabi_production_tonne,black_pepper_rabi_yield_tonne_per_hectare,black_pepper_kharif_area_hectare,black_pepper_kharif_production_tonne,black_pepper_kharif_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2002 - 2003,63.0,13.5,0.21,,,,,,
,,2003 - 2004,75.5,15.86,0.21,,,,,,
,,2004 - 2005,85.0,15.86,0.19,,,,,,
,,2005 - 2006,41.0,0.1,0.0,,,,,,
,,2006 - 2007,22.16,0.68,0.03,,,,,,
,,2010 - 2011,,,,23.0,8.5,0.37,,,
,,2011 - 2012,,,,23.0,1.0,0.04,,,
,,2012 - 2013,,,,23.0,4.9,0.21,,,
,,2013 - 2014,,,,7.6,1.5,0.2,,,
,,2014 - 2015,,,,6.0,1.4,0.23,,,
,,2015 - 2016,,,,12.5,0.9,0.07,,,
,,2016 - 2017,,,,12.0,0.9,0.08,,,
,,2017 - 2018,,,,12.4,0.42,0.03,,,
,,2018 - 2019,,,,10.41,0.02,0.0,,,
,,2019 - 2020,,,,12.4,0.71,0.06,,,
,,2020 - 2021,,,,10.4,0.09,0.01,,,
,,2021 - 2022,,,,2.4,0.06,0.02,,,
,,2022 - 2023,,,,1.63,0.05,0.03,,,
,North and middle andaman,2006 - 2007,175.0,191.14,1.09,,,,,,
,,2010 - 2011,,,,168.0,13.5,0.08,,,
,,2011 - 2012,,,,169.9,2.7,0.02,,,
,,2012 - 2013,,,,169.9,36.3,0.21,,,
,,2013 - 2014,,,,160.2,13.8,0.09,,,
,,2014 - 2015,,,,134.5,20.8,0.15,,,
,,2015 - 2016,,,,68.0,13.6,0.2,,,
,,2016 - 2017,,,,60.3,4.8,0.08,,,
,,2017 - 2018,,,,8.76,2.13,0.24,,,
,,2018 - 2019,,,,10.03,3.0,0.3,,,
,,2019 - 2020,,,,9.92,2.25,0.23,,,
,,2020 - 2021,,,,9.26,2.8,0.3,,,
,,2021 - 2022,,,,9.36,2.89,0.31,,,
,,2022 - 2023,,,,41.98,3.15,0.08,,,
,South andamans,2002 - 2003,487.0,102.5,0.21,,,,,,
,,2003 - 2004,497.0,104.37,0.21,,,,,,
,,2004 - 2005,570.0,104.36,0.18,,,,,,
