state,district,year,maize_rabi_area_hectare,maize_rabi_production_tonne,maize_rabi_yield_tonne_per_hectare,maize_kharif_area_hectare,maize_kharif_production_tonne,maize_kharif_yield_tonne_per_hectare,maize_summer_area_hectare,maize_summer_production_tonne,maize_summer_yield_tonne_per_hectare,maize_autumn_area_hectare,maize_autumn_production_tonne,maize_autumn_yield_tonne_per_hectare,maize_winter_area_hectare,maize_winter_production_tonne,maize_winter_yield_tonne_per_hectare,maize_whole_year_area_hectare,maize_whole_year_production_tonne,maize_whole_year_yield_tonne_per_hectare
,,2009 - 2010,,,,300.0,300.0,1.0,,,,,,,,,,,,
,,2010 - 2011,,,,100.0,200.0,2.0,,,,,,,,,,,,
,,2016 - 2017,,,,30.0,50.0,1.67,80.0,169.0,2.11,,,,,,,,,
,,2017 - 2018,,,2.28,,,,45.0,95.0,2.11,,,,,,,,,
,,2019 - 2020,,,,5.0,7.0,1.4,,,,,,,,,,,,
,Amreli,2000 - 2001,,,,,,0.76,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.97,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.67,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.68,,,,,,,,,,,,
,,2004 - 2005,,,,800.0,800.0,1.0,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.55,,,,,,,,,,,,
,,2006 - 2007,,,,,600.0,0.32,,,,,,,,,,,,
,,2007 - 2008,,,,900.0,,1.33,,,,,,,,,,,,
,,2008 - 2009,,,,600.0,900.0,1.5,,,,,,,,,,,,
,,2009 - 2010,,,,,,1.0,,,,,,,,,,,,
,,2010 - 2011,800.0,,1.88,,,1.63,,,,,,,,,,,,
,,2012 - 2013,,,,300.0,600.0,2.0,,,,,,,,,,,,
,,2014 - 2015,,,,,,,150.0,204.0,1.36,,,,,,,,,
,,2016 - 2017,,,,,,,258.0,524.0,2.03,,,,,,,,,
,,2018 - 2019,,,,106.0,188.0,1.77,15.0,,0.0,,,,,,,,,
,,2019 - 2020,,,,75.0,112.0,1.49,20.0,46.0,2.3,,,,,,,,,
,,2021 - 2022,,,,123.0,240.0,1.95,12.0,24.0,2.0,,,,,,,,,
,,2022 - 2023,195.0,536.0,2.75,,,,22.0,33.0,1.5,,,,,,,,,
,Anand,2007 - 2008,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2008 - 2009,,,,800.0,,1.5,,,,,,,,,,,,
,,2009 - 2010,,,,500.0,400.0,0.8,,,,,,,,,,,,
,,2010 - 2011,,,1.97,100.0,100.0,1.0,,,,,,,,,,,,
,,2011 - 2012,,,2.64,200.0,300.0,1.5,700.0,,2.0,,,,,,,,,
,,2012 - 2013,,,,600.0,900.0,1.5,100.0,100.0,1.0,,,,,,,,,
,,2013 - 2014,96.0,207.0,2.16,410.0,519.0,1.27,5.0,10.0,2.0,,,,,,,,,
,,2014 - 2015,,,,177.0,221.0,1.25,116.0,232.0,2.0,,,,,,,,,
,,2015 - 2016,,,,297.0,392.0,1.32,,,,,,,,,,,,
,,2016 - 2017,,,,169.0,284.0,1.68,,,,,,,,,,,,
,,2017 - 2018,,,,123.0,191.0,1.55,,,,,,,,,,,,
,,2018 - 2019,,,,66.0,117.0,1.77,,,,,,,,,,,,
,,2019 - 2020,20.0,50.0,2.5,76.0,114.0,1.5,,,,,,,,,,,,
,,2020 - 2021,25.0,57.0,2.28,105.0,160.0,1.52,20.0,40.0,2.0,,,,,,,,,
,,2021 - 2022,58.0,147.0,2.53,52.0,101.0,1.94,,,,,,,,,,,,
,,2022 - 2023,12.0,33.0,2.75,15.0,29.0,1.93,,,,,,,,,,,,
,Aravalli,2014 - 2015,,,1.89,,,1.33,795.0,,1.97,,,,,,,,,
,,2015 - 2016,,,2.13,,,2.33,885.0,,2.38,,,,,,,,,
,,2016 - 2017,,,2.8,,,1.85,445.0,,2.32,,,,,,,,,
,,2017 - 2018,,,3.2,,,1.34,,,2.35,,,,,,,,,
,,2018 - 2019,,,5.8,,,2.45,574.0,,2.21,,,,,,,,,
,,2019 - 2020,,,5.0,,,1.84,835.0,,2.8,,,,,,,,,
,,2020 - 2021,,,3.26,,,1.96,484.0,,2.8,,,,,,,,,
,,2021 - 2022,,,3.73,,,2.95,263.0,697.0,2.65,,,,,,,,,
,,2022 - 2023,,,3.82,,,2.61,518.0,,2.75,,,,,,,,,
,Banas kantha,2000 - 2001,,,,,,1.52,,,,,,,,,,,,
,,2001 - 2002,,,,,,3.12,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.83,,,,,,,,,,,,
,,2003 - 2004,,,,,,2.73,,,,,,,,,,,,
,,2004 - 2005,,,,,,2.0,,,,,,,,,,,,
,,2005 - 2006,,,,,,2.36,,,,,,,,,,,,
,,2006 - 2007,,,,,,1.55,,,,,,,,,,,,
,,2007 - 2008,,,,,,2.7,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.77,,,,,,,,,,,,
,,2009 - 2010,,,,,,1.59,,,,,,,,,,,,
,,2010 - 2011,500.0,900.0,1.8,,,2.2,,,,,,,,,,,,
,,2011 - 2012,300.0,700.0,2.33,,,2.15,,,,,,,,,,,,
,,2012 - 2013,100.0,200.0,2.0,,,1.72,,,,,,,,,,,,
,,2013 - 2014,14.0,29.0,2.07,,,1.84,,,,,,,,,,,,
,,2014 - 2015,345.0,847.0,2.46,,,1.7,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.66,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.52,145.0,244.0,1.68,,,,,,,,,
,,2017 - 2018,,,,,,1.93,,,,,,,,,,,,
,,2018 - 2019,62.0,168.0,2.71,,,2.71,123.0,333.0,2.71,,,,,,,,,
,,2019 - 2020,274.0,743.0,2.71,,,1.9,201.0,402.0,2.0,,,,,,,,,
,,2020 - 2021,69.0,157.0,2.28,,,1.97,104.0,224.0,2.15,,,,,,,,,
,,2021 - 2022,246.0,622.0,2.53,,,2.32,,,,,,,,,,,,
,,2022 - 2023,51.0,140.0,2.75,,,2.15,324.0,726.0,2.24,,,,,,,,,
,Bharuch,2000 - 2001,,,,,,0.76,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.99,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.66,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.76,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.91,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.59,,,,,,,,,,,,
,,2006 - 2007,,,,,900.0,0.3,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.39,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.43,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.96,,,,,,,,,,,,
,,2010 - 2011,,,1.85,,,1.65,300.0,600.0,2.0,,,,,,,,,
,,2011 - 2012,,,2.4,,,1.39,500.0,,2.0,,,,,,,,,
,,2012 - 2013,,,,,,1.69,200.0,400.0,2.0,,,,,,,,,
,,2013 - 2014,775.0,,2.11,,,1.27,,,,,,,,,,,,
,,2014 - 2015,,,,195.0,243.0,1.25,,,,,,,,,,,,
,,2015 - 2016,,,,250.0,330.0,1.32,,,,,,,,,,,,
,,2016 - 2017,,,,229.0,384.0,1.68,,,,,,,,,,,,
,,2017 - 2018,,,,550.0,853.0,1.55,,,,,,,,,,,,
,,2018 - 2019,,,,160.0,283.0,1.77,,,,,,,,,,,,
,,2019 - 2020,,,,118.0,177.0,1.5,15.0,34.0,2.27,,,,,,,,,
,,2020 - 2021,,,,46.0,70.0,1.52,,,,,,,,,,,,
,,2021 - 2022,,,,43.0,84.0,1.95,,,,,,,,,,,,
,Bhavnagar,2000 - 2001,,,,,,0.75,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.97,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.73,,,,,,,,,,,,
,,2003 - 2004,,,,400.0,800.0,2.0,,,,,,,,,,,,
,,2004 - 2005,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2005 - 2006,,,,900.0,,1.56,,,,,,,,,,,,
,,2006 - 2007,,,,700.0,200.0,0.29,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.39,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.46,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.95,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.63,,,,,,,,,,,,
,,2011 - 2012,,,,,,1.36,,,,,,,,,,,,
,,2012 - 2013,,,,600.0,,1.67,,,,,,,,,,,,
,,2013 - 2014,,,,215.0,272.0,1.27,8.0,15.0,1.88,,,,,,,,,
,,2014 - 2015,202.0,369.0,1.83,,,1.25,,,,,,,,,,,,
,,2015 - 2016,,,,682.0,900.0,1.32,,,,,,,,,,,,
,,2016 - 2017,,,,75.0,126.0,1.68,,,,,,,,,,,,
,,2017 - 2018,14.0,26.0,1.86,,,,,,,,,,,,,,,
,,2018 - 2019,4.0,12.0,3.0,,,,,,,,,,,,,,,
,,2019 - 2020,929.0,,2.51,,,,685.0,,2.2,,,,,,,,,
,,2020 - 2021,,,,84.0,128.0,1.52,573.0,,2.2,,,,,,,,,
,,2021 - 2022,535.0,,2.53,318.0,620.0,1.95,662.0,,2.42,,,,,,,,,
,,2022 - 2023,306.0,841.0,2.75,503.0,959.0,1.91,34.0,75.0,2.21,,,,,,,,,
,Botad,2014 - 2015,,,,68.0,85.0,1.25,,,,,,,,,,,,
,,2015 - 2016,,,,72.0,95.0,1.32,,,,,,,,,,,,
,,2016 - 2017,,,,105.0,177.0,1.69,,,,,,,,,,,,
,,2018 - 2019,,,,8.0,14.0,1.75,,,,,,,,,,,,
,,2019 - 2020,,,,81.0,121.0,1.49,,,,,,,,,,,,
,,2020 - 2021,,,,5.0,7.0,1.4,,,,,,,,,,,,
,Chhotaudepur,2014 - 2015,,,2.32,,,2.14,,,2.2,,,,,,,,,
,,2015 - 2016,,,2.58,,,2.14,,,2.14,,,,,,,,,
,,2016 - 2017,,,2.58,,,2.43,,,2.15,,,,,,,,,
,,2017 - 2018,,,2.95,,,2.23,45.0,97.0,2.16,,,,,,,,,
,,2018 - 2019,,,2.58,,,0.56,139.0,300.0,2.16,,,,,,,,,
,,2019 - 2020,,,2.61,,,1.74,399.0,859.0,2.15,,,,,,,,,
,,2020 - 2021,,,1.7,,,1.5,341.0,733.0,2.15,,,,,,,,,
,,2021 - 2022,,,2.68,,,1.7,534.0,,2.25,,,,,,,,,
,,2022 - 2023,,,2.71,,,1.6,,,1.35,,,,,,,,,
,Dang,2000 - 2001,,,,400.0,300.0,0.75,,,,,,,,,,,,
,,2001 - 2002,,,,400.0,800.0,2.0,,,,,,,,,,,,
,,2002 - 2003,,,,400.0,700.0,1.75,,,,,,,,,,,,
,,2004 - 2005,,,,300.0,300.0,1.0,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.6,,,,,,,,,,,,
,,2006 - 2007,,,,,800.0,0.32,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.36,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.42,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.97,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.63,,,,,,,,,,,,
,,2011 - 2012,,,,,,1.37,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.64,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.27,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.32,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.68,,,,,,,,,,,,
,,2019 - 2020,130.0,327.0,2.52,,,,,,,,,,,,,,,
,,2020 - 2021,315.0,716.0,2.27,360.0,548.0,1.52,,,,,,,,,,,,
,,2021 - 2022,248.0,627.0,2.53,402.0,784.0,1.95,,,,,,,,,,,,
,,2022 - 2023,87.0,239.0,2.75,408.0,778.0,1.91,,,,,,,,,,,,
,Devbhumi dwarka,2017 - 2018,644.0,,2.0,120.0,186.0,1.55,,,,,,,,,,,,
,Dohad,2003 - 2004,,,,,,1.81,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.64,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.43,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.14,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.08,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.38,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.87,,,,,,,,,,,,
,,2010 - 2011,,,1.88,,,1.7,,,,,,,,,,,,
,,2011 - 2012,,,1.82,,,1.21,,,,,,,,,,,,
,,2012 - 2013,,,1.9,,,1.68,,,,,,,,,,,,
,,2013 - 2014,,,1.86,,,0.81,,,,,,,,,,,,
,,2014 - 2015,,,1.86,,,0.86,35.0,68.0,1.94,,,,,,,,,
,,2015 - 2016,,,2.16,,,1.19,147.0,286.0,1.95,,,,,,,,,
,,2016 - 2017,,,1.92,,,1.44,,,,,,,,,,,,
,,2017 - 2018,,,1.93,,,1.49,58.0,113.0,1.95,,,,,,,,,
,,2018 - 2019,,,1.93,,,2.0,75.0,146.0,1.95,,,,,,,,,
,,2019 - 2020,,,1.93,,,1.36,,,,,,,,,,,,
,,2020 - 2021,,,2.35,,,1.44,5.0,10.0,2.0,,,,,,,,,
,,2021 - 2022,,,2.37,,,1.77,,,,,,,,,,,,
,,2022 - 2023,,,2.89,,,1.86,,,,,,,,,,,,
,Gandhinagar,2000 - 2001,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2001 - 2002,,,,100.0,200.0,2.0,,,,,,,,,,,,
,,2002 - 2003,,,,200.0,400.0,2.0,,,,,,,,,,,,
,,2003 - 2004,,,,700.0,,1.71,,,,,,,,,,,,
,,2006 - 2007,,,,,300.0,0.3,,,,,,,,,,,,
,,2007 - 2008,,,,400.0,500.0,1.25,,,,,,,,,,,,
,,2008 - 2009,,,,600.0,900.0,1.5,,,,,,,,,,,,
,,2009 - 2010,,,,400.0,400.0,1.0,,,,,,,,,,,,
,,2010 - 2011,500.0,800.0,1.6,300.0,600.0,2.0,,,,,,,,,,,,
,,2011 - 2012,,,,500.0,600.0,1.2,,,,,,,,,,,,
,,2012 - 2013,,,,300.0,500.0,1.67,,,,,,,,,,,,
,,2013 - 2014,14.0,22.0,1.57,27.0,34.0,1.26,,,,,,,,,,,,
,,2014 - 2015,12.0,19.0,1.58,,,,,,,,,,,,,,,
,,2015 - 2016,18.0,29.0,1.61,,,,9.0,19.0,2.11,,,,,,,,,
,,2017 - 2018,,,,145.0,225.0,1.55,25.0,53.0,2.12,,,,,,,,,
,,2018 - 2019,,,,20.0,35.0,1.75,,,,,,,,,,,,
,,2019 - 2020,,,,5.0,7.0,1.4,33.0,71.0,2.15,,,,,,,,,
,,2021 - 2022,237.0,600.0,2.53,12.0,23.0,1.92,,,,,,,,,,,,
,,2022 - 2023,2.0,5.0,2.5,14.0,27.0,1.93,,,,,,,,,,,,
,Gir somnath,2018 - 2019,12.0,31.0,2.58,,,,,,,,,,,,,,,
,,2019 - 2020,2.0,5.0,2.5,,,,,,,,,,,,,,,
,,2021 - 2022,55.0,139.0,2.53,,,,,,,,,,,,,,,
,,2022 - 2023,160.0,440.0,2.75,,,,,,,,,,,,,,,
,Jamnagar,2000 - 2001,,,,800.0,600.0,0.75,,,,,,,,,,,,
,,2001 - 2002,,,,600.0,,2.0,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.7,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.73,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.9,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.63,,,,,,,,,,,,
,,2006 - 2007,,,,,800.0,0.31,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.39,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.42,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.91,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.63,,,,,,,,,,,,
,,2017 - 2018,115.0,262.0,2.28,,,,,,,,,,,,,,,
,,2018 - 2019,,,,23.0,41.0,1.78,,,,,,,,,,,,
,Junagadh,2000 - 2001,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2002 - 2003,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2010 - 2011,,,1.93,,,,,,,,,,,,,,,
,,2014 - 2015,,,,,,,425.0,797.0,1.88,,,,,,,,,
,,2015 - 2016,,,,20.0,26.0,1.3,,,,,,,,,,,,
,,2018 - 2019,530.0,,2.55,,,,5.0,,0.0,,,,,,,,,
,,2019 - 2020,45.0,113.0,2.51,5.0,7.0,1.4,,,,,,,,,,,,
,,2020 - 2021,20.0,45.0,2.25,,,,,,,,,,,,,,,
,Kachchh,2012 - 2013,,,,,,1.71,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.27,,,,,,,,,,,,
,,2014 - 2015,,,,40.0,50.0,1.25,83.0,160.0,1.93,,,,,,,,,
,,2015 - 2016,,,2.29,130.0,172.0,1.32,380.0,812.0,2.14,,,,,,,,,
,,2016 - 2017,,,2.28,32.0,54.0,1.69,447.0,938.0,2.1,,,,,,,,,
,,2017 - 2018,,,,62.0,96.0,1.55,56.0,118.0,2.11,,,,,,,,,
,,2019 - 2020,,,,,,,14.0,32.0,2.29,,,,,,,,,
,,2021 - 2022,,,,,,,80.0,188.0,2.35,,,,,,,,,
,Kheda,2000 - 2001,,,,,,1.55,,,,,,,,,,,,
,,2001 - 2002,,,,,,2.0,,,,,,,,,,,,
,,2002 - 2003,,,,,,2.79,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.72,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.37,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.58,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.67,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.12,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.49,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.89,,,,,,,,,,,,
,,2010 - 2011,,,1.86,,,1.8,,,2.08,,,,,,,,,
,,2011 - 2012,200.0,400.0,2.0,,,1.72,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.82,100.0,100.0,1.0,,,,,,,,,
,,2013 - 2014,256.0,478.0,1.87,,,1.51,80.0,125.0,1.56,,,,,,,,,
,,2014 - 2015,,,,233.0,378.0,1.62,,,,,,,,,,,,
,,2015 - 2016,15.0,28.0,1.87,381.0,684.0,1.8,,,,,,,,,,,,
,,2016 - 2017,17.0,34.0,2.0,592.0,,2.32,101.0,211.0,2.09,,,,,,,,,
,,2017 - 2018,67.0,130.0,1.94,184.0,285.0,1.55,37.0,76.0,2.05,,,,,,,,,
,,2018 - 2019,46.0,136.0,2.96,318.0,563.0,1.77,20.0,41.0,2.05,,,,,,,,,
,,2019 - 2020,161.0,483.0,3.0,343.0,514.0,1.5,45.0,108.0,2.4,,,,,,,,,
,,2020 - 2021,336.0,764.0,2.27,326.0,496.0,1.52,101.0,222.0,2.2,,,,,,,,,
,,2021 - 2022,422.0,,2.53,391.0,762.0,1.95,169.0,387.0,2.29,,,,,,,,,
,,2022 - 2023,313.0,860.0,2.75,298.0,568.0,1.91,73.0,163.0,2.23,,,,,,,,,
,Mahesana,2000 - 2001,,,,300.0,200.0,0.67,,,,,,,,,,,,
,,2001 - 2002,,,,400.0,900.0,2.25,,,,,,,,,,,,
,,2002 - 2003,,,,600.0,,1.67,,,,,,,,,,,,
,,2003 - 2004,,,,400.0,700.0,1.75,,,,,,,,,,,,
,,2004 - 2005,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.5,,,,,,,,,,,,
,,2006 - 2007,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2007 - 2008,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.45,,,,,,,,,,,,
,,2009 - 2010,,,,600.0,600.0,1.0,,,,,,,,,,,,
,,2010 - 2011,,,2.0,600.0,,1.67,,,,,,,,,,,,
,,2011 - 2012,,,,500.0,600.0,1.2,,,,,,,,,,,,
,,2012 - 2013,,,,400.0,600.0,1.5,,,,,,,,,,,,
,,2013 - 2014,,,,440.0,557.0,1.27,,,,,,,,,,,,
,,2014 - 2015,,,,360.0,449.0,1.25,,,,,,,,,,,,
,,2015 - 2016,,,,210.0,277.0,1.32,,,,,,,,,,,,
,,2016 - 2017,,,,250.0,420.0,1.68,,,,,,,,,,,,
,,2017 - 2018,5.0,11.0,2.2,302.0,468.0,1.55,7.0,15.0,2.14,,,,,,,,,
,,2018 - 2019,,,,28.0,50.0,1.79,,,,,,,,,,,,
,,2019 - 2020,80.0,182.0,2.28,197.0,295.0,1.5,35.0,73.0,2.09,,,,,,,,,
,,2020 - 2021,65.0,148.0,2.28,363.0,552.0,1.52,,,,,,,,,,,,
,,2021 - 2022,205.0,519.0,2.53,310.0,604.0,1.95,,,,,,,,,,,,
,,2022 - 2023,210.0,577.0,2.75,330.0,629.0,1.91,,,,,,,,,,,,
,Mahisagar,2014 - 2015,,,1.88,,,1.37,810.0,,1.83,,,,,,,,,
,,2015 - 2016,,,1.85,,,0.9,68.0,133.0,1.96,,,,,,,,,
,,2016 - 2017,,,2.5,,,1.23,377.0,943.0,2.5,,,,,,,,,
,,2017 - 2018,,,2.51,,,1.18,500.0,,2.5,,,,,,,,,
,,2018 - 2019,,,2.32,,,1.43,13.0,33.0,2.54,,,,,,,,,
,,2019 - 2020,,,2.17,,,1.22,57.0,113.0,1.98,,,,,,,,,
,,2020 - 2021,,,2.18,,,1.04,472.0,953.0,2.02,,,,,,,,,
,,2021 - 2022,,,2.45,,,2.1,380.0,838.0,2.21,,,,,,,,,
,,2022 - 2023,,,2.86,,,1.84,457.0,920.0,2.01,,,,,,,,,
,Morbi,2017 - 2018,285.0,445.0,1.56,,,,145.0,181.0,1.25,,,,,,,,,
,,2018 - 2019,190.0,485.0,2.55,130.0,230.0,1.77,1.0,1.0,1.0,,,,,,,,,
,,2019 - 2020,100.0,255.0,2.55,5.0,7.0,1.4,2.0,5.0,2.5,,,,,,,,,
,,2020 - 2021,25.0,57.0,2.28,,,,,,,,,,,,,,,
,Narmada,2003 - 2004,,,,,,2.34,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.91,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.58,,,,,,,,,,,,
,,2006 - 2007,,,,,,1.0,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.49,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.45,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.96,,,,,,,,,,,,
,,2010 - 2011,,,1.88,,,1.64,,,2.06,,,,,,,,,
,,2011 - 2012,,,2.25,,,1.38,,,1.94,,,,,,,,,
,,2012 - 2013,,,,,,1.69,400.0,900.0,2.25,,,,,,,,,
,,2013 - 2014,,,2.05,,,1.27,760.0,,2.02,,,,,,,,,
,,2014 - 2015,,,2.16,,,1.39,438.0,873.0,1.99,,,,,,,,,
,,2015 - 2016,,,2.11,,,1.33,58.0,135.0,2.33,,,,,,,,,
,,2016 - 2017,,,2.21,,,1.43,237.0,516.0,2.18,,,,,,,,,
,,2017 - 2018,,,2.24,,,1.49,98.0,215.0,2.19,,,,,,,,,
,,2018 - 2019,883.0,,2.14,,,1.77,321.0,703.0,2.19,,,,,,,,,
,,2019 - 2020,,,2.18,,,1.81,172.0,376.0,2.19,,,,,,,,,
,,2020 - 2021,,,2.27,,,1.81,532.0,,2.1,,,,,,,,,
,,2021 - 2022,,,2.53,,,1.82,540.0,,2.3,,,,,,,,,
,,2022 - 2023,,,2.75,,,1.82,373.0,817.0,2.19,,,,,,,,,
,Navsari,2013 - 2014,17.0,36.0,2.12,,,,,,,,,,,,,,,
,,2014 - 2015,128.0,272.0,2.13,,,,,,,,,,,,,,,
,,2015 - 2016,126.0,268.0,2.13,,,,,,,,,,,,,,,
,,2016 - 2017,243.0,527.0,2.17,8.0,13.0,1.63,,,,,,,,,,,,
,,2017 - 2018,351.0,764.0,2.18,24.0,37.0,1.54,,,,,,,,,,,,
,,2018 - 2019,118.0,112.0,0.95,,,,,,,,,,,,,,,
,,2019 - 2020,123.0,117.0,0.95,,,,50.0,115.0,2.3,,,,,,,,,
,,2020 - 2021,344.0,782.0,2.27,8.0,12.0,1.5,35.0,32.0,0.91,,,,,,,,,
,,2021 - 2022,347.0,878.0,2.53,16.0,31.0,1.94,5.0,7.0,1.4,,,,,,,,,
,,2022 - 2023,233.0,640.0,2.75,9.0,17.0,1.89,38.0,40.0,1.05,,,,,,,,,
,Panch mahals,2000 - 2001,,,,,,0.56,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.86,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.93,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.35,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.67,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.31,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.18,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.3,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.18,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.76,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.4,,,2.0,,,,,,,,,
,,2011 - 2012,,,1.61,,,1.21,,,2.2,,,,,,,,,
,,2012 - 2013,,,1.41,,,1.65,,,2.58,,,,,,,,,
,,2013 - 2014,,,2.28,,,1.61,,,2.26,,,,,,,,,
,,2014 - 2015,80.0,146.0,1.83,,,1.29,166.0,381.0,2.3,,,,,,,,,
,,2015 - 2016,,,1.91,,,0.78,470.0,,2.58,,,,,,,,,
,,2016 - 2017,,,2.5,,,1.94,400.0,,2.5,,,,,,,,,
,,2017 - 2018,,,2.5,,,1.51,341.0,853.0,2.5,,,,,,,,,
,,2018 - 2019,,,2.26,,,1.62,216.0,540.0,2.5,,,,,,,,,
,,2019 - 2020,,,2.35,,,1.48,241.0,566.0,2.35,,,,,,,,,
,,2020 - 2021,,,2.18,,,1.28,500.0,,2.45,,,,,,,,,
,,2021 - 2022,,,2.02,,,1.44,395.0,980.0,2.48,,,,,,,,,
,,2022 - 2023,,,2.25,,,1.58,352.0,862.0,2.45,,,,,,,,,
,Patan,2010 - 2011,,,1.96,,,,,,,,,,,,,,,
,,2017 - 2018,14.0,32.0,2.29,40.0,62.0,1.55,80.0,166.0,2.08,,,,,,,,,
,,2020 - 2021,,,,5.0,8.0,1.6,,,,,,,,,,,,
,,2021 - 2022,,,,100.0,195.0,1.95,,,,,,,,,,,,
,Porbandar,2009 - 2010,,,,300.0,300.0,1.0,,,,,,,,,,,,
,,2010 - 2011,500.0,900.0,1.8,,,,,,,,,,,,,,,
,,2014 - 2015,,,,30.0,37.0,1.23,,,,,,,,,,,,
,,2022 - 2023,,,,,,,120.0,198.0,1.65,,,,,,,,,
,Rajkot,2000 - 2001,,,,300.0,200.0,0.67,,,,,,,,,,,,
,,2001 - 2002,,,,300.0,700.0,2.33,,,,,,,,,,,,
,,2002 - 2003,,,,,,1.64,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.72,,,,,,,,,,,,
,,2004 - 2005,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2005 - 2006,,,,400.0,700.0,1.75,,,,,,,,,,,,
,,2006 - 2007,,,,800.0,200.0,0.25,,,,,,,,,,,,
,,2007 - 2008,,,,700.0,,1.43,,,,,,,,,,,,
,,2008 - 2009,,,,800.0,,1.38,,,,,,,,,,,,
,,2009 - 2010,,,,900.0,900.0,1.0,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.62,,,,,,,,,,,,
,,2012 - 2013,,,,400.0,600.0,1.5,,,,,,,,,,,,
,,2013 - 2014,,,,629.0,797.0,1.27,400.0,763.0,1.91,,,,,,,,,
