state,district,year,banana_whole_year_area_hectare,banana_whole_year_production_tonne,banana_whole_year_yield_tonne_per_hectare,banana_kharif_area_hectare,banana_kharif_production_tonne,banana_kharif_yield_tonne_per_hectare,banana_rabi_area_hectare,banana_rabi_production_tonne,banana_rabi_yield_tonne_per_hectare,banana_summer_area_hectare,banana_summer_production_tonne,banana_summer_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2000 - 2001,176.0,641.0,3.64,,,,,,,,,
,,2002 - 2003,213.0,,6.0,,,,,,,,,
,,2003 - 2004,266.0,,6.63,,,,,,,,,
,,2004 - 2005,66.42,404.12,6.08,,,,,,,,,
,,2005 - 2006,22.0,582.0,26.45,,,,,,,,,
,,2006 - 2007,198.0,976.0,4.93,,,,,,,,,
,,2010 - 2011,593.0,,5.78,,,,,,,,,
,,2011 - 2012,620.5,,6.0,,,,,,,,,
,,2012 - 2013,241.0,,8.44,,,,,,,,,
,,2013 - 2014,170.0,,7.65,,,,,,,,,
,,2014 - 2015,170.5,,9.21,,,,,,,,,
,,2015 - 2016,517.0,,3.71,,,,,,,,,
,,2016 - 2017,679.5,,2.2,,,,,,,,,
,,2017 - 2018,790.0,46.0,0.06,,,,,,,,,
,,2018 - 2019,803.57,82.78,0.1,,,,,,,,,
,,2019 - 2020,932.38,609.06,0.65,,,,,,,,,
,,2020 - 2021,409.83,752.97,1.84,,,,,,,,,
,,2021 - 2022,416.5,,2.8,,,,,,,,,
,,2022 - 2023,400.0,932.0,2.33,,,,,,,,,
,North and middle andaman,2000 - 2001,,,7.89,,,,,,,,,
,,2006 - 2007,957.57,,8.96,,,,,,,,,
,,2010 - 2011,657.0,,12.13,,,,,,,,,
,,2011 - 2012,682.0,,13.32,,,,,,,,,
,,2012 - 2013,,,10.03,,,,,,,,,
,,2013 - 2014,,,6.9,,,,,,,,,
,,2014 - 2015,,,7.98,,,,,,,,,
,,2015 - 2016,,,9.49,,,,,,,,,
,,2016 - 2017,,,5.16,,,,,,,,,
,,2017 - 2018,584.85,,8.45,,,,,,,,,
,,2018 - 2019,650.54,,10.76,,,,,,,,,
,,2019 - 2020,665.12,,8.88,,,,,,,,,
,,2020 - 2021,935.98,,7.81,,,,,,,,,
,,2021 - 2022,924.58,,6.29,,,,,,,,,
,,2022 - 2023,880.0,,6.44,,,,,,,,,
,South andamans,2002 - 2003,,,7.14,,,,,,,,,
,,2003 - 2004,,,7.55,,,,,,,,,
,,2004 - 2005,,,9.09,,,,,,,,,
,,2005 - 2006,,,6.19,,,,,,,,,
,,2006 - 2007,483.0,,8.59,,,,,,,,,
,,2010 - 2011,360.0,,15.33,,,,,,,,,
,,2011 - 2012,378.5,,15.14,,,,,,,,,
,,2012 - 2013,378.5,,15.13,,,,,,,,,
,,2013 - 2014,304.0,,11.44,,,,,,,,,
,,2014 - 2015,318.5,,11.31,,,,,,,,,
,,2015 - 2016,320.0,,14.22,,,,,,,,,
,,2016 - 2017,444.6,,14.9,,,,,,,,,
,,2017 - 2018,440.0,,19.6,,,,,,,,,
,,2018 - 2019,448.0,,21.45,,,,,,,,,
,,2019 - 2020,438.7,,21.89,,,,,,,,,
,,2020 - 2021,410.24,,20.14,,,,,,,,,
,,2021 - 2022,420.6,,25.87,,,,,,,,,
,,2022 - 2023,435.5,,24.81,,,,,,,,,
Andhra Pradesh,Anantapur,2000 - 2001,769.0,,15.21,,,,,,,,,
,,2001 - 2002,,462.0,0.29,,,,,,,,,
,,2002 - 2003,19.0,,52.95,,,,,,,,,
,,2003 - 2004,36.0,,36.17,,,,,,,,,
,,2004 - 2005,324.0,,52.15,,,,,,,,,
,,2005 - 2006,303.0,,53.57,,,,,,,,,
,,2006 - 2007,289.0,,48.93,,,,,,,,,
,,2008 - 2009,,,44.67,,,,,,,,,
,,2009 - 2010,,,53.09,,,,,,,,,
,,2010 - 2011,,,50.69,,,,,,,,,
,,2011 - 2012,,,63.15,,,,,,,,,
,,2013 - 2014,,,55.87,,,,,,,,,
,,2014 - 2015,,,55.53,,,,,,,,,
,,2015 - 2016,,,62.15,,,,,,,,,
,,2016 - 2017,,,68.0,,,,,,,,,
,,2017 - 2018,,,125.79,,,,,,,,,
,,2018 - 2019,,,106.39,,,,,,,,,
,,2019 - 2020,,,60.0,,,,,,,,,
,Chittoor,2000 - 2001,953.0,,19.97,,,,,,,,,
,,2001 - 2002,,,7.12,,,,,,,,,
,,2002 - 2003,960.0,,52.96,,,,,,,,,
,,2003 - 2004,587.0,,36.15,,,,,,,,,
,,2004 - 2005,586.0,,52.15,,,,,,,,,
,,2005 - 2006,468.0,,53.57,,,,,,,,,
,,2006 - 2007,556.0,,48.93,,,,,,,,,
,,2008 - 2009,708.0,,31.62,,,,,,,,,
,,2009 - 2010,769.0,,53.09,,,,,,,,,
,,2010 - 2011,923.0,,50.68,,,,,,,,,
,,2011 - 2012,886.0,,63.15,,,,,,,,,
,,2013 - 2014,910.0,,55.17,,,,,,,,,
,,2014 - 2015,911.0,,53.98,,,,,,,,,
,,2015 - 2016,839.0,,64.72,,,,,,,,,
,,2016 - 2017,720.0,,69.64,,,,,,,,,
,,2017 - 2018,684.0,,199.39,,,,,,,,,
,,2018 - 2019,568.0,,251.83,,,,,,,,,
,,2019 - 2020,,,60.0,,,,,,,,,
,East godavari,2000 - 2001,,,11.26,,,,,,,,,
,,2001 - 2002,,,11.97,,,,,,,,,
,,2002 - 2003,,,14.63,,,,,,,,,
,,2003 - 2004,,,7.07,,,,,,,,,
,,2004 - 2005,,,9.36,,,,,,,,,
,,2005 - 2006,,,14.0,,,,,,,,,
,,2006 - 2007,,,17.63,,,,,,,,,
,,2008 - 2009,,,18.99,,,,,,,,,
,,2009 - 2010,,,21.91,,,,,,,,,
,,2010 - 2011,,,27.32,,,,,,,,,
,,2011 - 2012,,,22.21,,,,,,,,,
,,2013 - 2014,,,12.38,,,,,,,,,
,,2014 - 2015,,,17.53,,,,,,,,,
,,2015 - 2016,,,23.04,,,,,,,,,
,,2016 - 2017,,,20.67,,,,,,,,,
,,2017 - 2018,,,76.95,,,,,,,,,
,,2018 - 2019,,,80.92,,,,,,,,,
,,2019 - 2020,,,60.0,,,,,,,,,
,Guntur,2000 - 2001,,,18.53,,,,,,,,,
,,2001 - 2002,,,25.72,,,,,,,,,
,,2002 - 2003,,,22.57,,,,,,,,,
,,2003 - 2004,,,7.43,,,,,,,,,
,,2004 - 2005,,,28.52,,,,,,,,,
,,2005 - 2006,,,26.33,,,,,,,,,
,,2006 - 2007,,,30.69,,,,,,,,,
,,2008 - 2009,,,31.7,,,,,,,,,
,,2009 - 2010,,,23.65,,,,,,,,,
,,2010 - 2011,,,30.05,,,,,,,,,
,,2011 - 2012,,,38.66,,,,,,,,,
,,2013 - 2014,,,37.99,,,,,,,,,
,,2014 - 2015,,,41.33,,,,,,,,,
,,2015 - 2016,,,28.33,,,,,,,,,
,,2016 - 2017,,,37.14,,,,,,,,,
,,2017 - 2018,,,90.8,,,,,,,,,
,,2018 - 2019,,,88.81,,,,,,,,,
,,2019 - 2020,,,60.0,,,,,,,,,
,Kadapa,2000 - 2001,,,44.7,,,,,,,,,
,,2001 - 2002,,,32.58,,,,,,,,,
,,2002 - 2003,,,65.49,,,,,,,,,
,,2003 - 2004,,,42.12,,,,,,,,,
,,2004 - 2005,,,58.15,,,,,,,,,
,,2005 - 2006,,,66.05,,,,,,,,,
,,2006 - 2007,,,62.08,,,,,,,,,
,,2008 - 2009,,,54.63,,,,,,,,,
,,2009 - 2010,,,63.73,,,,,,,,,
