state,district,year,moth_kharif_area_hectare,moth_kharif_production_tonne,moth_kharif_yield_tonne_per_hectare,moth_rabi_area_hectare,moth_rabi_production_tonne,moth_rabi_yield_tonne_per_hectare
Gujarat,Ahmadabad,2000 - 2001,900.0,100.0,0.11,,,
,,2001 - 2002,800.0,300.0,0.38,,,
,,2002 - 2003,700.0,500.0,0.71,,,
,,2003 - 2004,800.0,400.0,0.5,,,
,,2005 - 2006,500.0,300.0,0.6,,,
,,2006 - 2007,500.0,100.0,0.2,,,
,,2007 - 2008,,800.0,0.57,,,
,,2008 - 2009,,500.0,0.24,,,
,,2009 - 2010,,700.0,0.3,,,
,,2010 - 2011,,,0.61,,,
,,2011 - 2012,,,0.63,,,
,,2012 - 2013,,800.0,0.53,,,
,,2013 - 2014,,,0.67,,,
,,2014 - 2015,970.0,713.0,0.74,,,
,,2015 - 2016,,,0.94,,,
,,2016 - 2017,,,0.41,,,
,,2017 - 2018,,,0.73,,,
,,2018 - 2019,,590.0,0.18,,,
,,2019 - 2020,,482.0,0.44,,,
,,2020 - 2021,,,0.6,,,
,,2021 - 2022,,,0.44,,,
,,2022 - 2023,,,0.48,,,
,Amreli,2000 - 2001,500.0,,0.0,,,
,,2001 - 2002,600.0,200.0,0.33,,,
,,2002 - 2003,300.0,200.0,0.67,,,
,,2003 - 2004,800.0,400.0,0.5,,,
,,2004 - 2005,,400.0,0.4,,,
,,2005 - 2006,,700.0,0.54,,,
,,2006 - 2007,600.0,200.0,0.33,,,
,,2007 - 2008,300.0,200.0,0.67,,,
,,2008 - 2009,100.0,100.0,1.0,,,
,,2013 - 2014,226.0,109.0,0.48,,,
,,2014 - 2015,140.0,60.0,0.43,,,
,,2015 - 2016,130.0,62.0,0.48,,,
,,2016 - 2017,493.0,231.0,0.47,,,
,,2017 - 2018,100.0,65.0,0.65,,,
,,2018 - 2019,75.0,6.0,0.08,,,
,,2019 - 2020,26.0,12.0,0.46,,,
,,2020 - 2021,16.0,8.0,0.5,,,
,,2021 - 2022,82.0,36.0,0.44,,,
,,2022 - 2023,257.0,129.0,0.5,,,
,Anand,2003 - 2004,100.0,,0.0,,,
,,2007 - 2008,100.0,100.0,1.0,,,
,,2009 - 2010,100.0,100.0,1.0,,,
,,2012 - 2013,100.0,100.0,1.0,,,
,,2014 - 2015,6.0,3.0,0.5,,,
,,2017 - 2018,1.0,1.0,1.0,,,
,Aravalli,2016 - 2017,7.0,3.0,0.43,,,
,,2018 - 2019,14.0,1.0,0.07,,,
,,2019 - 2020,1.0,0.46,0.46,,,
,Banas kantha,2000 - 2001,,,0.14,,,
,,2001 - 2002,,,0.47,,,
,,2002 - 2003,,,0.18,,,
,,2003 - 2004,,,0.63,,,
,,2004 - 2005,,,0.37,,,
,,2005 - 2006,,,0.53,,,
,,2006 - 2007,,,0.18,,,
,,2007 - 2008,,,0.73,,,
,,2008 - 2009,,,0.17,,,
,,2009 - 2010,,900.0,0.15,,,
,,2010 - 2011,,,0.63,,,
,,2011 - 2012,,,0.62,,,
,,2012 - 2013,,400.0,0.36,,,
,,2013 - 2014,,,0.77,,,
,,2014 - 2015,620.0,508.0,0.82,,,
,,2016 - 2017,50.0,23.0,0.46,,,
,,2017 - 2018,292.0,190.0,0.65,,,
,,2018 - 2019,163.0,13.0,0.08,,,
,,2019 - 2020,304.0,140.0,0.46,,,
,,2020 - 2021,93.0,48.0,0.52,,,
,Bharuch,2000 - 2001,400.0,,0.0,,,
,,2001 - 2002,400.0,100.0,0.25,,,
,,2002 - 2003,300.0,200.0,0.67,,,
,,2003 - 2004,600.0,400.0,0.67,,,
,,2004 - 2005,500.0,200.0,0.4,,,
,,2005 - 2006,,500.0,0.45,,,
,,2006 - 2007,500.0,100.0,0.2,,,
,,2007 - 2008,900.0,500.0,0.56,,,
,,2008 - 2009,700.0,100.0,0.14,,,
,,2009 - 2010,400.0,100.0,0.25,,,
,,2010 - 2011,500.0,300.0,0.6,,,
,,2011 - 2012,200.0,100.0,0.5,,,
,,2012 - 2013,,500.0,0.33,,,
,,2013 - 2014,785.0,380.0,0.48,,,
,,2014 - 2015,250.0,108.0,0.43,,,
,,2015 - 2016,650.0,310.0,0.48,,,
,,2016 - 2017,,469.0,0.47,,,
,,2017 - 2018,730.0,476.0,0.65,,,
,,2018 - 2019,325.0,27.0,0.08,,,
,,2020 - 2021,57.0,30.0,0.53,,,
,Bhavnagar,2000 - 2001,,200.0,0.1,,,
,,2001 - 2002,,500.0,0.36,,,
,,2002 - 2003,,900.0,0.5,,,
,,2003 - 2004,600.0,300.0,0.5,,,
,,2004 - 2005,500.0,200.0,0.4,,,
,,2005 - 2006,300.0,200.0,0.67,,,
,,2006 - 2007,400.0,100.0,0.25,,,
,,2007 - 2008,600.0,300.0,0.5,,,
,,2008 - 2009,,300.0,0.25,,,
,,2009 - 2010,800.0,300.0,0.38,,,
,,2010 - 2011,500.0,300.0,0.6,,,
,,2011 - 2012,,600.0,0.6,,,
,,2012 - 2013,400.0,100.0,0.25,,,
,,2013 - 2014,327.0,158.0,0.48,,,
,,2014 - 2015,996.0,430.0,0.43,,,
,,2015 - 2016,351.0,167.0,0.48,,,
,,2016 - 2017,,558.0,0.47,,,
,,2017 - 2018,,704.0,0.65,,,
,,2018 - 2019,889.0,73.0,0.08,,,
,,2019 - 2020,644.0,297.0,0.46,,,
,,2020 - 2021,269.0,140.0,0.52,,,
,,2021 - 2022,231.0,102.0,0.44,,,
,,2022 - 2023,138.0,69.0,0.5,,,
,Botad,2014 - 2015,426.0,184.0,0.43,,,
,,2015 - 2016,200.0,95.0,0.48,,,
,,2016 - 2017,700.0,328.0,0.47,,,
,,2018 - 2019,162.0,13.0,0.08,,,
,,2019 - 2020,79.0,36.0,0.46,,,
,,2020 - 2021,11.0,6.0,0.55,,,
,,2021 - 2022,3.0,1.0,0.33,,,
,,2022 - 2023,9.0,5.0,0.56,,,
,Devbhumi dwarka,2014 - 2015,5.0,2.0,0.4,,,
,,2016 - 2017,2.0,1.0,0.5,,,
,,2017 - 2018,115.0,75.0,0.65,,,
,,2018 - 2019,55.0,5.0,0.09,,,
,Gandhinagar,2003 - 2004,200.0,100.0,0.5,,,
,,2005 - 2006,100.0,,0.0,,,
,,2006 - 2007,200.0,100.0,0.5,,,
,,2007 - 2008,400.0,200.0,0.5,,,
,,2008 - 2009,200.0,100.0,0.5,,,
,,2009 - 2010,400.0,100.0,0.25,,,
,,2010 - 2011,500.0,300.0,0.6,,,
,,2011 - 2012,300.0,200.0,0.67,,,
,,2013 - 2014,25.0,12.0,0.48,,,
,,2015 - 2016,27.0,13.0,0.48,,,
,,2016 - 2017,253.0,119.0,0.47,,,
,,2017 - 2018,88.0,57.0,0.65,,,
,,2018 - 2019,156.0,13.0,0.08,,,
,,2019 - 2020,70.0,32.0,0.46,,,
,,2020 - 2021,177.0,92.0,0.52,,,
,,2021 - 2022,552.0,243.0,0.44,,,
,,2022 - 2023,202.0,101.0,0.5,,,
,Gir somnath,2014 - 2015,35.0,15.0,0.43,,,
,,2015 - 2016,40.0,19.0,0.48,,,
,,2016 - 2017,40.0,19.0,0.48,,,
,,2017 - 2018,40.0,26.0,0.65,,,
,,2018 - 2019,36.0,3.0,0.08,,,
,,2019 - 2020,20.0,9.0,0.45,,,
,,2020 - 2021,7.0,4.0,0.57,,,
,Jamnagar,2000 - 2001,500.0,,0.0,,,
,,2001 - 2002,200.0,100.0,0.5,,,
,,2002 - 2003,200.0,200.0,1.0,,,
,,2003 - 2004,200.0,100.0,0.5,,,
,,2004 - 2005,200.0,100.0,0.5,,,
,,2005 - 2006,600.0,300.0,0.5,,,
,,2006 - 2007,100.0,100.0,1.0,,,
,,2010 - 2011,100.0,100.0,1.0,,,
,,2013 - 2014,106.0,51.0,0.48,,,
,,2014 - 2015,60.0,26.0,0.43,,,
,,2015 - 2016,60.0,29.0,0.48,,,
,,2016 - 2017,30.0,14.0,0.47,,,
,,2019 - 2020,15.0,7.0,0.47,,,
,,2020 - 2021,17.0,9.0,0.53,,,
,,2021 - 2022,12.0,5.0,0.42,,,
