state,district,year,ragi_summer_yield_tonne_per_hectare
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Panch mahals,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2019 - 2020,
,,2020 - 2021,
,Surat,2000 - 2001,
,,2001 - 2002,
,Vadodara,2011 - 2012,
,,2012 - 2013,
,Valsad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Himachal Pradesh,Bilaspur,2007 - 2008,
,,2018 - 2019,
,,2019 - 2020,
,Chamba,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Hamirpur,2005 - 2006,
,,2006 - 2007,
,Kangra,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kinnaur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Kullu,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mandi,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Shimla,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sirmaur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Solan,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Jammu and Kashmir,Bandipora,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Kargil,2017 - 2018,
,,2018 - 2019,
,Kishtwar,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Leh ladakh,2017 - 2018,
,,2018 - 2019,
,Udhampur,2017 - 2018,
Jharkhand,Bokaro,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chatra,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Deoghar,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2014 - 2015,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dhanbad,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dumka,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East singhbum,2006 - 2007,
,,2008 - 2009,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Garhwa,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2021 - 2022,
,Giridih,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Godda,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gumla,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hazaribagh,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jamtara,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2021 - 2022,
,,2022 - 2023,
,Khunti,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Koderma,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Latehar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lohardaga,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pakur,2006 - 2007,
,,2012 - 2013,
,Palamu,2002 - 2003,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Ramgarh,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ranchi,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sahebganj,2006 - 2007,
,,2007 - 2008,
,,2011 - 2012,
,,2021 - 2022,
,Saraikela kharsawan,2006 - 2007,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Simdega,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West singhbhum,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Karnataka,Bagalkot,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bangalore rural,2000 - 2001,1.94
,,2001 - 2002,1.76
,,2002 - 2003,1.15
,,2003 - 2004,1.19
,,2004 - 2005,1.59
,,2005 - 2006,2.18
,,2006 - 2007,2.13
,,2007 - 2008,2.08
,,2008 - 2009,1.99
,,2009 - 2010,1.87
,,2010 - 2011,1.96
,,2011 - 2012,1.92
,,2012 - 2013,1.49
,,2013 - 2014,1.97
,,2014 - 2015,1.79
,,2015 - 2016,1.71
,,2016 - 2017,1.81
,,2017 - 2018,1.74
,,2018 - 2019,1.8
,,2019 - 2020,1.78
,,2020 - 2021,1.86
,,2021 - 2022,1.76
,,2022 - 2023,1.72
,Belgaum,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.86
,,2021 - 2022,1.81
,,2022 - 2023,1.67
,Bellary,2000 - 2001,2.0
,,2001 - 2002,
,,2002 - 2003,1.14
,,2003 - 2004,1.2
,,2004 - 2005,1.59
,,2005 - 2006,2.18
,,2006 - 2007,2.13
,,2007 - 2008,2.08
,,2008 - 2009,1.99
,,2009 - 2010,1.88
,,2010 - 2011,1.95
,,2011 - 2012,1.93
,,2012 - 2013,1.5
,,2013 - 2014,1.96
,,2014 - 2015,1.78
,,2015 - 2016,1.71
,,2016 - 2017,1.81
,,2017 - 2018,1.74
,,2018 - 2019,1.8
,,2019 - 2020,1.31
,,2020 - 2021,1.66
,,2021 - 2022,1.53
,,2022 - 2023,1.72
,Bengaluru urban,2000 - 2001,1.98
,,2001 - 2002,1.53
,,2002 - 2003,1.15
,,2003 - 2004,1.19
,,2004 - 2005,1.59
,,2005 - 2006,2.19
,,2006 - 2007,2.13
,,2007 - 2008,2.08
,,2008 - 2009,1.99
,,2009 - 2010,1.88
,,2010 - 2011,1.96
,,2011 - 2012,1.93
,,2012 - 2013,1.49
,,2013 - 2014,1.96
,,2014 - 2015,1.79
,,2015 - 2016,1.72
,,2016 - 2017,1.81
,,2017 - 2018,1.73
,,2018 - 2019,1.8
,,2019 - 2020,1.75
,,2020 - 2021,2.0
,,2021 - 2022,1.8
,,2022 - 2023,
,Bidar,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.75
,,2022 - 2023,
,Bijapur,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chamarajanagar,2000 - 2001,1.94
,,2001 - 2002,1.76
,,2002 - 2003,1.15
,,2003 - 2004,1.19
,,2004 - 2005,1.59
,,2005 - 2006,1.69
,,2006 - 2007,1.41
,,2007 - 2008,1.72
,,2008 - 2009,2.28
,,2009 - 2010,1.03
,,2010 - 2011,1.58
,,2011 - 2012,2.92
,,2012 - 2013,2.58
,,2013 - 2014,2.47
,,2014 - 2015,1.38
,,2015 - 2016,2.27
,,2016 - 2017,2.68
,,2017 - 2018,2.5
,,2018 - 2019,2.29
,,2019 - 2020,2.41
,,2020 - 2021,2.12
,,2021 - 2022,1.96
,,2022 - 2023,1.96
,Chikballapur,2007 - 2008,2.08
,,2008 - 2009,1.99
,,2009 - 2010,1.88
,,2010 - 2011,1.96
,,2011 - 2012,1.93
,,2012 - 2013,1.5
,,2013 - 2014,2.0
,,2014 - 2015,1.78
,,2015 - 2016,1.71
,,2016 - 2017,1.81
,,2017 - 2018,1.74
,,2018 - 2019,1.8
,,2019 - 2020,1.78
,,2020 - 2021,1.86
,,2021 - 2022,1.8
,,2022 - 2023,1.72
,Chikmagalur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.67
,,2020 - 2021,
,,2021 - 2022,1.81
,,2022 - 2023,1.72
,Chitradurga,2000 - 2001,1.98
,,2001 - 2002,1.5
,,2002 - 2003,1.15
,,2003 - 2004,1.19
,,2004 - 2005,0.89
,,2005 - 2006,1.95
,,2006 - 2007,2.13
,,2007 - 2008,1.88
,,2008 - 2009,1.44
,,2009 - 2010,1.56
,,2010 - 2011,1.61
,,2011 - 2012,1.24
,,2012 - 2013,1.42
,,2013 - 2014,1.56
,,2014 - 2015,1.41
,,2015 - 2016,1.56
,,2016 - 2017,1.59
,,2017 - 2018,1.72
,,2018 - 2019,1.28
,,2019 - 2020,1.6
,,2020 - 2021,1.75
,,2021 - 2022,2.03
,,2022 - 2023,1.73
,Davangere,2000 - 2001,1.98
,,2001 - 2002,1.53
,,2002 - 2003,1.15
,,2003 - 2004,1.19
,,2004 - 2005,1.59
,,2005 - 2006,2.17
,,2006 - 2007,2.15
,,2007 - 2008,2.09
,,2008 - 2009,2.0
,,2009 - 2010,1.88
,,2010 - 2011,1.96
,,2011 - 2012,1.93
,,2012 - 2013,1.5
,,2013 - 2014,1.96
,,2014 - 2015,1.78
,,2015 - 2016,1.61
,,2016 - 2017,2.05
,,2017 - 2018,1.58
,,2018 - 2019,1.79
,,2019 - 2020,1.78
,,2020 - 2021,1.86
,,2021 - 2022,1.8
,,2022 - 2023,1.72
,Dharwad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gadag,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,2.0
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gulbarga,2000 - 2001,
,,2005 - 2006,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.87
,,2021 - 2022,1.77
,,2022 - 2023,2.0
,Hassan,2000 - 2001,1.98
,,2001 - 2002,1.53
,,2002 - 2003,1.15
,,2003 - 2004,1.19
,,2004 - 2005,1.59
,,2005 - 2006,2.18
,,2006 - 2007,2.12
,,2007 - 2008,2.08
,,2008 - 2009,1.99
,,2009 - 2010,1.88
,,2010 - 2011,1.96
,,2011 - 2012,1.92
,,2012 - 2013,1.5
,,2013 - 2014,1.96
,,2014 - 2015,1.78
,,2015 - 2016,1.7
,,2016 - 2017,1.81
,,2017 - 2018,1.74
,,2018 - 2019,1.8
,,2019 - 2020,1.78
,,2020 - 2021,1.86
,,2021 - 2022,1.81
,,2022 - 2023,1.72
,Haveri,2000 - 2001,2.0
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,2.0
,,2017 - 2018,
,,2018 - 2019,2.0
,,2019 - 2020,1.76
,,2020 - 2021,1.86
,,2021 - 2022,1.81
,,2022 - 2023,1.72
,Kodagu,2000 - 2001,2.0
,,2001 - 2002,1.53
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.56
,,2005 - 2006,2.19
,,2006 - 2007,1.14
,,2007 - 2008,2.03
,,2008 - 2009,1.55
,,2009 - 2010,1.55
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kolar,2000 - 2001,1.98
,,2001 - 2002,1.53
,,2002 - 2003,1.15
,,2003 - 2004,1.19
,,2004 - 2005,1.59
,,2005 - 2006,2.19
,,2006 - 2007,2.12
,,2007 - 2008,2.08
,,2008 - 2009,1.99
,,2009 - 2010,1.88
,,2010 - 2011,1.96
,,2011 - 2012,1.92
,,2012 - 2013,1.5
,,2013 - 2014,1.97
,,2014 - 2015,1.76
,,2015 - 2016,
,,2016 - 2017,1.8
,,2017 - 2018,1.74
,,2018 - 2019,1.81
,,2019 - 2020,1.79
,,2020 - 2021,1.86
,,2021 - 2022,1.8
,,2022 - 2023,1.72
,Koppal,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.83
,,2021 - 2022,1.75
,,2022 - 2023,
,Mandya,2000 - 2001,2.03
,,2001 - 2002,1.09
,,2002 - 2003,1.15
,,2003 - 2004,1.19
,,2004 - 2005,1.74
,,2005 - 2006,2.56
,,2006 - 2007,2.33
,,2007 - 2008,2.24
,,2008 - 2009,2.23
,,2009 - 2010,2.28
,,2010 - 2011,2.36
,,2011 - 2012,2.25
,,2012 - 2013,1.6
,,2013 - 2014,2.05
,,2014 - 2015,2.05
,,2015 - 2016,1.9
,,2016 - 2017,1.48
,,2017 - 2018,1.77
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,1.95
,,2021 - 2022,1.82
,,2022 - 2023,1.98
,Mysore,2000 - 2001,1.98
,,2001 - 2002,1.53
,,2002 - 2003,1.15
,,2003 - 2004,1.19
,,2004 - 2005,1.59
,,2005 - 2006,2.18
,,2006 - 2007,1.9
,,2007 - 2008,1.87
,,2008 - 2009,1.48
,,2009 - 2010,1.45
,,2010 - 2011,1.32
,,2011 - 2012,1.25
,,2012 - 2013,0.89
,,2013 - 2014,1.91
,,2014 - 2015,1.9
,,2015 - 2016,1.59
,,2016 - 2017,2.35
,,2017 - 2018,1.87
,,2018 - 2019,2.0
,,2019 - 2020,2.13
,,2020 - 2021,2.16
,,2021 - 2022,1.96
,,2022 - 2023,1.74
,Raichur,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,2.0
,,2022 - 2023,
,Ramanagara,2007 - 2008,2.08
,,2008 - 2009,1.99
,,2009 - 2010,1.88
,,2010 - 2011,1.96
,,2011 - 2012,1.93
,,2012 - 2013,1.5
,,2013 - 2014,1.96
,,2014 - 2015,1.78
,,2015 - 2016,1.71
,,2016 - 2017,1.81
,,2017 - 2018,1.74
,,2018 - 2019,1.79
,,2019 - 2020,1.78
,,2020 - 2021,1.86
,,2021 - 2022,1.81
,,2022 - 2023,1.73
,Shimoga,2000 - 2001,1.99
,,2001 - 2002,1.53
,,2002 - 2003,1.15
,,2003 - 2004,1.19
,,2004 - 2005,1.59
,,2005 - 2006,2.18
,,2006 - 2007,2.13
,,2007 - 2008,2.04
,,2008 - 2009,1.99
,,2009 - 2010,1.89
,,2010 - 2011,1.95
,,2011 - 2012,1.93
,,2012 - 2013,1.49
,,2013 - 2014,2.0
,,2014 - 2015,
,,2015 - 2016,1.71
,,2016 - 2017,1.81
,,2017 - 2018,1.73
,,2018 - 2019,1.78
,,2019 - 2020,1.75
,,2020 - 2021,1.87
,,2021 - 2022,1.8
,,2022 - 2023,1.71
,Tumkur,2000 - 2001,1.98
,,2001 - 2002,1.73
,,2002 - 2003,1.15
,,2003 - 2004,1.19
,,2004 - 2005,1.74
,,2005 - 2006,2.18
,,2006 - 2007,2.13
,,2007 - 2008,2.08
,,2008 - 2009,1.99
,,2009 - 2010,1.88
,,2010 - 2011,1.96
,,2011 - 2012,2.05
,,2012 - 2013,1.39
,,2013 - 2014,1.96
,,2014 - 2015,1.78
,,2015 - 2016,
,,2016 - 2017,1.81
,,2017 - 2018,1.74
,,2018 - 2019,1.79
,,2019 - 2020,1.78
,,2020 - 2021,1.86
,,2021 - 2022,1.8
,,2022 - 2023,1.72
,Udupi,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Uttar kannad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vijayanagar,2022 - 2023,1.16
,Yadgir,2018 - 2019,
,,2019 - 2020,1.67
,,2020 - 2021,2.0
,,2021 - 2022,2.0
,,2022 - 2023,
Kerala,Alappuzha,2007 - 2008,
,,2020 - 2021,
,Ernakulam,2004 - 2005,
,,2006 - 2007,
,Idukki,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kannur,2022 - 2023,
,Kasaragod,2008 - 2009,
,,2009 - 2010,
,,2020 - 2021,
,Kollam,2008 - 2009,
,Malappuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2007 - 2008,
,,2012 - 2013,
,Palakkad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvananthapuram,2007 - 2008,
,,2022 - 2023,
,Wayanad,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2021 - 2022,
Madhya Pradesh,Balaghat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Betul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,Chhatarpur,2001 - 2002,
,,2002 - 2003,
,Chhindwara,2000 - 2001,
,,2003 - 2004,
,,2005 - 2006,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,Dhar,2002 - 2003,
,,2004 - 2005,
,,2008 - 2009,
,Dindori,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,Hoshangabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2012 - 2013,
,Jabalpur,2004 - 2005,
,Jhabua,2008 - 2009,
,Katni,2012 - 2013,
,,2013 - 2014,
,Khandwa,2000 - 2001,
,,2002 - 2003,
,Mandla,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,Narsinghpur,2007 - 2008,
,Panna,2002 - 2003,
,Sagar,2002 - 2003,
