state,district,year,banana_summer_yield_tonne_per_hectare
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Theni,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thenkasi,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvallur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvarur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thoothukudi,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruchirappalli,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirunelveli,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirupathur,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruvannamalai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vellore,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Villupuram,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Virudhunagar,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Telangana,Adilabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhadradri,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jagitial,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jangoan,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jayashankar,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jogulamba,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,,2022 - 2023,
,Kamareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karimnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khammam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Komaram bheem asifabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahabubabad,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahbubnagar,2000 - 2001,
,,2001 - 2002,
,,2015 - 2016,
,,2017 - 2018,
,Medak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medchal,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mulugu,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nagarkurnool,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalgonda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2021 - 2022,
,,2022 - 2023,
,Narayanapet,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nirmal,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nizamabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Peddapalli,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajanna,2021 - 2022,
,,2022 - 2023,
,Rangareddi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sangareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siddipet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Suryapet,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vikarabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wanaparthy,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal urban,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Yadadri,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Uttar Pradesh,Agra,2017 - 2018,44.5
,,2018 - 2019,45.25
,,2019 - 2020,46.75
,Aligarh,2005 - 2006,
,,2008 - 2009,38.5
,,2009 - 2010,41.0
,,2012 - 2013,45.0
,,2013 - 2014,44.0
,,2014 - 2015,45.0
,,2015 - 2016,45.0
,,2016 - 2017,55.0
,,2017 - 2018,49.86
,,2018 - 2019,50.59
,,2019 - 2020,50.57
,,2020 - 2021,55.0
,,2021 - 2022,54.0
,,2022 - 2023,54.0
,Allahabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.11
,,2009 - 2010,41.14
,,2011 - 2012,43.5
,,2013 - 2014,43.5
,,2014 - 2015,45.2
,,2015 - 2016,44.5
,,2016 - 2017,55.2
,,2017 - 2018,47.77
,,2018 - 2019,47.72
,,2019 - 2020,47.81
,,2020 - 2021,54.67
,,2021 - 2022,54.2
,,2022 - 2023,54.4
,Ambedkar nagar,2009 - 2010,41.0
,,2014 - 2015,45.12
,,2015 - 2016,44.42
,,2016 - 2017,55.17
,,2017 - 2018,43.47
,,2018 - 2019,43.33
,,2019 - 2020,43.63
,,2020 - 2021,54.78
,,2021 - 2022,54.25
,,2022 - 2023,54.25
,Amethi,2011 - 2012,43.0
,,2021 - 2022,54.0
,Amroha,2017 - 2018,45.67
,,2018 - 2019,46.29
,,2019 - 2020,47.86
,Auraiya,2005 - 2006,
,,2008 - 2009,38.0
,,2009 - 2010,41.08
,,2012 - 2013,44.67
,,2013 - 2014,43.5
,,2014 - 2015,45.17
,,2015 - 2016,44.5
,,2016 - 2017,55.33
,,2017 - 2018,21.73
,,2018 - 2019,33.67
,,2019 - 2020,34.83
,,2020 - 2021,54.67
,,2021 - 2022,54.25
,,2022 - 2023,54.25
,Azamgarh,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,38.0
,,2009 - 2010,41.0
,,2017 - 2018,44.5
,,2018 - 2019,45.09
,,2019 - 2020,46.64
,Baghpat,2012 - 2013,45.0
,,2015 - 2016,45.0
,,2017 - 2018,47.59
,,2018 - 2019,48.33
,,2019 - 2020,48.18
,Bahraich,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.11
,,2009 - 2010,41.13
,,2011 - 2012,43.69
,,2012 - 2013,44.65
,,2013 - 2014,43.54
,,2014 - 2015,45.11
,,2015 - 2016,44.39
,,2016 - 2017,55.22
,,2017 - 2018,44.98
,,2018 - 2019,44.99
,,2019 - 2020,45.16
,,2020 - 2021,54.73
,,2021 - 2022,54.22
,,2022 - 2023,54.28
,Ballia,2009 - 2010,41.25
,,2011 - 2012,43.67
,,2012 - 2013,44.67
,,2013 - 2014,43.6
,,2014 - 2015,45.14
,,2015 - 2016,44.41
,,2017 - 2018,45.51
,,2018 - 2019,45.51
,,2019 - 2020,45.69
,,2020 - 2021,54.78
,,2021 - 2022,54.23
,,2022 - 2023,54.25
,Balrampur,2006 - 2007,
,,2015 - 2016,44.33
,,2016 - 2017,55.0
,,2017 - 2018,44.92
,,2018 - 2019,44.93
,,2019 - 2020,45.12
,,2020 - 2021,55.0
,Banda,2017 - 2018,47.6
,,2018 - 2019,48.32
,,2019 - 2020,48.04
,Barabanki,2004 - 2005,
,,2006 - 2007,
,,2011 - 2012,43.7
,,2012 - 2013,44.66
,,2013 - 2014,43.54
,,2014 - 2015,45.11
,,2015 - 2016,44.39
,,2016 - 2017,55.22
,,2017 - 2018,44.6
,,2018 - 2019,44.59
,,2019 - 2020,44.74
,,2020 - 2021,54.73
,,2021 - 2022,54.23
,,2022 - 2023,54.28
,Bareilly,2011 - 2012,44.0
,,2017 - 2018,40.48
,,2018 - 2019,41.08
,,2019 - 2020,40.85
,,2021 - 2022,54.0
,Basti,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.14
,,2009 - 2010,41.14
,,2011 - 2012,43.67
,,2015 - 2016,44.33
,,2016 - 2017,55.0
,,2017 - 2018,47.26
,,2018 - 2019,47.39
,,2019 - 2020,47.53
,,2020 - 2021,54.67
,,2021 - 2022,54.17
,,2022 - 2023,54.2
,Budaun,2004 - 2005,
,,2006 - 2007,
,,2011 - 2012,43.67
,,2012 - 2013,44.6
,,2014 - 2015,45.17
,,2015 - 2016,44.5
,,2016 - 2017,55.25
,,2017 - 2018,42.18
,,2018 - 2019,42.29
,,2019 - 2020,42.66
,,2020 - 2021,54.75
,,2021 - 2022,54.25
,,2022 - 2023,54.25
,Bulandshahr,2013 - 2014,43.5
,,2014 - 2015,45.17
,,2015 - 2016,44.33
,,2016 - 2017,55.33
,,2017 - 2018,47.18
,,2018 - 2019,47.91
,,2019 - 2020,49.55
,,2020 - 2021,54.67
,,2021 - 2022,54.33
,,2022 - 2023,54.5
,Chitrakoot,2017 - 2018,44.25
,,2018 - 2019,45.0
,,2019 - 2020,46.6
,Deoria,2009 - 2010,41.2
,,2017 - 2018,42.24
,,2018 - 2019,41.62
,,2019 - 2020,41.8
,Etah,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.1
,,2009 - 2010,41.11
,,2011 - 2012,43.5
,,2012 - 2013,44.5
,,2013 - 2014,43.43
,,2014 - 2015,45.14
,,2015 - 2016,44.4
,,2016 - 2017,55.17
,,2017 - 2018,51.36
,,2018 - 2019,52.13
,,2019 - 2020,53.93
,,2020 - 2021,54.75
,,2021 - 2022,54.25
,,2022 - 2023,54.25
,Etawah,2017 - 2018,43.0
,,2018 - 2019,31.73
,,2019 - 2020,32.82
,Faizabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.0
,,2009 - 2010,41.13
,,2013 - 2014,43.54
,,2014 - 2015,45.13
,,2015 - 2016,44.39
,,2016 - 2017,55.22
,,2017 - 2018,44.2
,,2018 - 2019,44.18
,,2019 - 2020,44.38
,,2020 - 2021,54.71
,,2021 - 2022,54.21
,,2022 - 2023,54.31
,Farrukhabad,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,41.14
,,2012 - 2013,44.63
,,2013 - 2014,43.55
,,2014 - 2015,45.09
,,2015 - 2016,44.39
,,2016 - 2017,55.19
,,2017 - 2018,46.91
,,2018 - 2019,46.91
,,2019 - 2020,47.1
,,2020 - 2021,54.71
,,2021 - 2022,54.21
,,2022 - 2023,54.29
,Fatehpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.11
,,2009 - 2010,41.12
,,2012 - 2013,44.65
,,2013 - 2014,43.54
,,2014 - 2015,45.11
,,2015 - 2016,44.39
,,2016 - 2017,55.22
,,2017 - 2018,47.24
,,2018 - 2019,47.25
,,2019 - 2020,47.43
,,2020 - 2021,54.73
,,2021 - 2022,54.22
,,2022 - 2023,54.28
,Firozabad,2017 - 2018,48.0
,,2018 - 2019,48.8
,,2019 - 2020,50.5
,Ghaziabad,2009 - 2010,41.13
,,2017 - 2018,48.29
,,2018 - 2019,49.0
,,2019 - 2020,48.93
,Ghazipur,2017 - 2018,45.43
,,2018 - 2019,46.0
,,2019 - 2020,47.58
,,2022 - 2023,54.3
,Gonda,2009 - 2010,41.13
,,2011 - 2012,43.7
,,2012 - 2013,44.67
,,2013 - 2014,43.54
,,2014 - 2015,45.1
,,2015 - 2016,44.38
,,2016 - 2017,55.22
,,2017 - 2018,47.63
,,2018 - 2019,47.03
,,2019 - 2020,47.33
,,2020 - 2021,54.73
,,2021 - 2022,54.22
,,2022 - 2023,54.28
,Gorakhpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.1
,,2009 - 2010,41.12
,,2011 - 2012,43.69
,,2012 - 2013,44.65
,,2013 - 2014,43.54
,,2014 - 2015,45.11
,,2015 - 2016,44.39
,,2016 - 2017,55.22
,,2017 - 2018,45.14
,,2018 - 2019,45.14
,,2019 - 2020,45.32
,,2020 - 2021,54.73
,,2021 - 2022,54.22
,,2022 - 2023,54.28
,Hamirpur,2017 - 2018,46.0
,,2018 - 2019,46.75
,,2019 - 2020,48.25
,Hardoi,2011 - 2012,43.67
,,2012 - 2013,44.5
,,2015 - 2016,44.33
,,2016 - 2017,55.33
,,2017 - 2018,46.45
,,2018 - 2019,45.86
,,2019 - 2020,46.16
,,2020 - 2021,54.5
,,2021 - 2022,54.5
,,2022 - 2023,54.0
,Hathras,2011 - 2012,44.0
,,2012 - 2013,45.0
,,2017 - 2018,49.85
,,2018 - 2019,50.59
,,2019 - 2020,50.43
,Jalaun,2009 - 2010,41.0
,Jaunpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.0
,,2009 - 2010,41.0
,,2011 - 2012,44.0
,,2012 - 2013,44.75
,,2015 - 2016,44.0
,,2017 - 2018,48.51
,,2018 - 2019,48.03
,,2019 - 2020,48.44
,Kannauj,2009 - 2010,41.5
,,2017 - 2018,43.29
,,2018 - 2019,30.38
,,2019 - 2020,31.38
,Kanpur dehat,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,38.0
,,2009 - 2010,41.0
,,2012 - 2013,44.67
,,2015 - 2016,44.0
,,2016 - 2017,55.0
,,2017 - 2018,48.07
,,2018 - 2019,48.16
,,2019 - 2020,48.53
,,2020 - 2021,55.0
,,2021 - 2022,54.0
,,2022 - 2023,54.0
,Kasganj,2017 - 2018,46.89
,,2018 - 2019,46.93
,,2019 - 2020,47.22
,Kaushambi,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.11
,,2009 - 2010,41.12
,,2011 - 2012,43.69
,,2012 - 2013,44.65
,,2013 - 2014,43.55
,,2014 - 2015,45.11
,,2015 - 2016,44.39
,,2016 - 2017,55.22
,,2017 - 2018,47.48
,,2018 - 2019,47.48
,,2019 - 2020,47.66
,,2020 - 2021,54.73
,,2021 - 2022,54.22
,,2022 - 2023,54.28
,Kheri,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.1
,,2009 - 2010,41.11
,,2011 - 2012,43.69
,,2012 - 2013,44.65
,,2013 - 2014,43.54
,,2014 - 2015,45.12
,,2015 - 2016,44.39
,,2016 - 2017,55.22
,,2017 - 2018,46.13
,,2018 - 2019,46.13
,,2019 - 2020,46.3
,,2020 - 2021,54.73
,,2021 - 2022,54.23
,,2022 - 2023,54.28
,Kushi nagar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.11
,,2009 - 2010,41.12
,,2011 - 2012,43.69
,,2012 - 2013,44.65
,,2013 - 2014,43.54
,,2014 - 2015,45.11
,,2015 - 2016,44.39
,,2016 - 2017,55.22
,,2017 - 2018,45.27
,,2018 - 2019,45.27
,,2019 - 2020,45.45
,,2020 - 2021,54.73
,,2021 - 2022,54.22
,,2022 - 2023,54.28
,Lucknow,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.09
,,2009 - 2010,41.13
,,2012 - 2013,44.67
,,2013 - 2014,43.55
,,2014 - 2015,45.11
,,2015 - 2016,44.39
,,2016 - 2017,55.22
,,2017 - 2018,45.91
,,2018 - 2019,45.91
,,2019 - 2020,46.09
,,2020 - 2021,54.73
,,2021 - 2022,54.22
,,2022 - 2023,54.28
,Maharajganj,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.1
,,2009 - 2010,41.12
,,2011 - 2012,43.69
,,2012 - 2013,44.65
,,2013 - 2014,43.54
,,2014 - 2015,45.11
,,2015 - 2016,44.39
,,2016 - 2017,55.22
,,2017 - 2018,44.54
,,2018 - 2019,44.54
,,2019 - 2020,44.71
,,2020 - 2021,54.73
,,2021 - 2022,54.22
,,2022 - 2023,54.28
,Mainpuri,2005 - 2006,
,,2008 - 2009,38.0
,,2012 - 2013,44.64
,,2013 - 2014,43.54
,,2014 - 2015,45.11
,,2015 - 2016,44.38
,,2016 - 2017,55.19
,,2017 - 2018,46.66
,,2018 - 2019,46.68
,,2019 - 2020,46.87
,,2020 - 2021,54.69
,,2021 - 2022,54.24
,,2022 - 2023,54.29
,Mathura,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.0
,,2009 - 2010,41.0
,,2017 - 2018,48.57
,,2018 - 2019,49.27
,,2019 - 2020,50.91
,Mau,2005 - 2006,
,,2008 - 2009,38.0
,,2009 - 2010,41.0
,,2017 - 2018,44.0
,,2018 - 2019,44.69
,,2019 - 2020,46.23
,Meerut,2017 - 2018,47.49
,,2018 - 2019,47.56
,,2019 - 2020,47.9
,Mirzapur,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,38.0
,,2009 - 2010,41.0
,,2013 - 2014,44.0
,,2015 - 2016,44.0
,,2017 - 2018,45.85
,,2018 - 2019,44.81
,,2019 - 2020,44.68
,Moradabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.14
,,2009 - 2010,41.0
,,2011 - 2012,43.5
,,2012 - 2013,44.67
,,2015 - 2016,44.5
,,2016 - 2017,55.0
,,2017 - 2018,46.63
,,2018 - 2019,46.59
,,2019 - 2020,46.69
,,2020 - 2021,55.0
,,2021 - 2022,54.0
,,2022 - 2023,54.0
,Muzaffarnagar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.0
,,2009 - 2010,41.11
,,2011 - 2012,43.6
,,2012 - 2013,44.67
,,2013 - 2014,43.56
,,2014 - 2015,45.11
,,2015 - 2016,44.38
,,2016 - 2017,55.29
,,2017 - 2018,48.37
,,2018 - 2019,49.11
,,2019 - 2020,48.25
,,2020 - 2021,54.75
,,2021 - 2022,54.33
,,2022 - 2023,54.29
,Pilibhit,2009 - 2010,41.17
,,2011 - 2012,43.69
,,2012 - 2013,44.67
,,2013 - 2014,44.0
,,2014 - 2015,45.09
,,2015 - 2016,44.4
,,2016 - 2017,55.23
,,2017 - 2018,46.23
,,2018 - 2019,46.22
,,2019 - 2020,46.41
,,2020 - 2021,54.71
,,2021 - 2022,54.23
,,2022 - 2023,54.27
,Pratapgarh,2005 - 2006,
,,2008 - 2009,38.0
,,2009 - 2010,41.0
,,2012 - 2013,45.0
,,2017 - 2018,49.33
,,2018 - 2019,50.11
,,2019 - 2020,49.96
,Rae bareli,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,38.0
,,2009 - 2010,41.11
,,2011 - 2012,43.7
,,2012 - 2013,44.67
,,2015 - 2016,44.41
,,2016 - 2017,55.23
,,2017 - 2018,44.26
,,2018 - 2019,44.27
,,2019 - 2020,44.42
,,2020 - 2021,54.73
,,2021 - 2022,54.23
,,2022 - 2023,54.25
,Rampur,2004 - 2005,
,,2017 - 2018,44.4
,,2018 - 2019,45.0
,,2019 - 2020,46.5
,Sambhal,2014 - 2015,45.0
,,2016 - 2017,55.0
,,2020 - 2021,55.0
,,2021 - 2022,54.0
,,2022 - 2023,54.0
,Sant kabeer nagar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.1
,,2009 - 2010,41.11
,,2011 - 2012,43.69
,,2012 - 2013,44.66
,,2013 - 2014,43.55
,,2014 - 2015,45.1
,,2015 - 2016,44.39
,,2016 - 2017,55.21
,,2017 - 2018,47.17
,,2018 - 2019,47.15
,,2019 - 2020,47.35
,,2020 - 2021,54.72
,,2021 - 2022,54.23
,,2022 - 2023,54.28
,Shahjahanpur,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,41.11
,,2012 - 2013,44.67
,,2014 - 2015,45.0
,,2015 - 2016,44.0
,,2016 - 2017,55.0
,,2017 - 2018,62.33
,,2018 - 2019,63.33
,,2019 - 2020,65.5
,,2020 - 2021,54.67
,,2021 - 2022,54.33
,,2022 - 2023,54.33
,Shamli,2017 - 2018,45.87
