state,district,year,rice_kharif_yield_tonne_per_hectare
,,2013 - 2014,2.1
,,2014 - 2015,2.06
,,2015 - 2016,2.42
,,2016 - 2017,2.7
,,2017 - 2018,2.56
,,2018 - 2019,2.48
,,2019 - 2020,2.32
,,2020 - 2021,2.48
,,2021 - 2022,2.57
,,2022 - 2023,2.58
Haryana,Ambala,2000 - 2001,3.02
,,2001 - 2002,3.11
,,2002 - 2003,2.98
,,2003 - 2004,3.1
,,2004 - 2005,3.17
,,2005 - 2006,3.32
,,2006 - 2007,3.45
,,2007 - 2008,3.69
,,2008 - 2009,3.3
,,2009 - 2010,3.72
,,2010 - 2011,3.44
,,2011 - 2012,3.9
,,2012 - 2013,4.15
,,2013 - 2014,3.9
,,2014 - 2015,3.63
,,2015 - 2016,3.81
,,2016 - 2017,3.84
,,2017 - 2018,3.89
,,2018 - 2019,3.26
,,2019 - 2020,3.96
,,2020 - 2021,4.15
,,2021 - 2022,4.11
,,2022 - 2023,3.72
,Bhiwani,2000 - 2001,2.45
,,2001 - 2002,2.83
,,2002 - 2003,2.93
,,2003 - 2004,2.33
,,2004 - 2005,1.23
,,2005 - 2006,2.0
,,2006 - 2007,1.9
,,2007 - 2008,2.7
,,2008 - 2009,2.12
,,2009 - 2010,2.31
,,2010 - 2011,2.06
,,2011 - 2012,2.63
,,2012 - 2013,2.67
,,2013 - 2014,2.19
,,2014 - 2015,1.43
,,2015 - 2016,2.12
,,2016 - 2017,2.29
,,2017 - 2018,2.52
,,2018 - 2019,1.77
,,2019 - 2020,2.03
,,2020 - 2021,2.28
,,2021 - 2022,2.1
,,2022 - 2023,2.78
,Charki dadri,2017 - 2018,1.84
,,2018 - 2019,2.4
,,2019 - 2020,2.13
,,2020 - 2021,2.47
,,2021 - 2022,1.85
,,2022 - 2023,2.45
,Faridabad,2000 - 2001,2.76
,,2001 - 2002,2.81
,,2002 - 2003,2.65
,,2003 - 2004,2.75
,,2004 - 2005,2.41
,,2005 - 2006,2.65
,,2006 - 2007,3.07
,,2007 - 2008,3.22
,,2008 - 2009,2.6
,,2009 - 2010,2.51
,,2010 - 2011,1.88
,,2011 - 2012,2.42
,,2012 - 2013,2.33
,,2013 - 2014,2.64
,,2014 - 2015,2.73
,,2015 - 2016,2.75
,,2016 - 2017,2.75
,,2017 - 2018,2.7
,,2018 - 2019,2.77
,,2019 - 2020,2.51
,,2020 - 2021,2.61
,,2021 - 2022,2.22
,,2022 - 2023,2.66
,Fatehabad,2000 - 2001,3.25
,,2001 - 2002,3.0
,,2002 - 2003,3.02
,,2003 - 2004,3.35
,,2004 - 2005,4.28
,,2005 - 2006,3.72
,,2006 - 2007,4.45
,,2007 - 2008,4.35
,,2008 - 2009,4.36
,,2009 - 2010,3.58
,,2010 - 2011,3.97
,,2011 - 2012,3.73
,,2012 - 2013,4.13
,,2013 - 2014,3.87
,,2014 - 2015,3.7
,,2015 - 2016,4.06
,,2016 - 2017,4.19
,,2017 - 2018,4.36
,,2018 - 2019,3.99
,,2019 - 2020,3.9
,,2020 - 2021,4.22
,,2021 - 2022,4.06
,,2022 - 2023,4.19
,Gurgaon,2000 - 2001,2.54
,,2001 - 2002,2.8
,,2002 - 2003,3.03
,,2003 - 2004,2.54
,,2004 - 2005,2.88
,,2005 - 2006,2.73
,,2006 - 2007,2.58
,,2007 - 2008,3.82
,,2008 - 2009,2.31
,,2009 - 2010,3.16
,,2010 - 2011,2.72
,,2011 - 2012,3.12
,,2012 - 2013,2.92
,,2013 - 2014,3.2
,,2014 - 2015,3.2
,,2015 - 2016,3.0
,,2016 - 2017,2.36
,,2017 - 2018,2.58
,,2018 - 2019,2.8
,,2019 - 2020,2.91
,,2020 - 2021,2.87
,,2021 - 2022,2.78
,,2022 - 2023,2.87
,Hisar,2000 - 2001,1.89
,,2001 - 2002,1.82
,,2002 - 2003,1.92
,,2003 - 2004,2.43
,,2004 - 2005,2.23
,,2005 - 2006,2.45
,,2006 - 2007,2.66
,,2007 - 2008,2.63
,,2008 - 2009,2.72
,,2009 - 2010,2.17
,,2010 - 2011,2.53
,,2011 - 2012,2.59
,,2012 - 2013,2.42
,,2013 - 2014,2.71
,,2014 - 2015,2.83
,,2015 - 2016,2.32
,,2016 - 2017,2.74
,,2017 - 2018,2.69
,,2018 - 2019,2.47
,,2019 - 2020,2.55
,,2020 - 2021,2.93
,,2021 - 2022,2.88
,,2022 - 2023,3.1
,Jhajjar,2000 - 2001,1.52
,,2001 - 2002,1.39
,,2002 - 2003,2.93
,,2003 - 2004,1.54
,,2004 - 2005,1.2
,,2005 - 2006,1.7
,,2006 - 2007,1.8
,,2007 - 2008,2.29
,,2008 - 2009,0.97
,,2009 - 2010,1.81
,,2010 - 2011,2.0
,,2011 - 2012,2.17
,,2012 - 2013,2.29
,,2013 - 2014,2.39
,,2014 - 2015,2.37
,,2015 - 2016,2.62
,,2016 - 2017,2.16
,,2017 - 2018,2.44
,,2018 - 2019,2.6
,,2019 - 2020,2.56
,,2020 - 2021,2.7
,,2021 - 2022,2.68
,,2022 - 2023,2.79
,Jind,2000 - 2001,1.99
,,2001 - 2002,2.13
,,2002 - 2003,1.88
,,2003 - 2004,2.39
,,2004 - 2005,2.21
,,2005 - 2006,2.67
,,2006 - 2007,2.65
,,2007 - 2008,2.61
,,2008 - 2009,2.34
,,2009 - 2010,2.73
,,2010 - 2011,2.49
,,2011 - 2012,2.59
,,2012 - 2013,2.79
,,2013 - 2014,2.7
,,2014 - 2015,2.68
,,2015 - 2016,2.43
,,2016 - 2017,2.59
,,2017 - 2018,2.76
,,2018 - 2019,2.71
,,2019 - 2020,2.96
,,2020 - 2021,3.19
,,2021 - 2022,3.33
,,2022 - 2023,3.29
,Kaithal,2000 - 2001,2.38
,,2001 - 2002,2.5
,,2002 - 2003,2.61
,,2003 - 2004,2.47
,,2004 - 2005,2.61
,,2005 - 2006,3.17
,,2006 - 2007,3.14
,,2007 - 2008,3.37
,,2008 - 2009,2.5
,,2009 - 2010,2.92
,,2010 - 2011,2.75
,,2011 - 2012,2.9
,,2012 - 2013,3.15
,,2013 - 2014,3.29
,,2014 - 2015,3.23
,,2015 - 2016,3.02
,,2016 - 2017,3.41
,,2017 - 2018,3.86
,,2018 - 2019,3.12
,,2019 - 2020,3.57
,,2020 - 2021,4.01
,,2021 - 2022,4.03
,,2022 - 2023,4.35
,Karnal,2000 - 2001,2.81
,,2001 - 2002,2.98
,,2002 - 2003,2.68
,,2003 - 2004,2.98
,,2004 - 2005,3.39
,,2005 - 2006,3.08
,,2006 - 2007,3.33
,,2007 - 2008,3.65
,,2008 - 2009,2.75
,,2009 - 2010,3.04
,,2010 - 2011,2.67
,,2011 - 2012,3.04
,,2012 - 2013,3.36
,,2013 - 2014,3.52
,,2014 - 2015,3.23
,,2015 - 2016,3.07
,,2016 - 2017,3.17
,,2017 - 2018,3.8
,,2018 - 2019,3.35
,,2019 - 2020,3.76
,,2020 - 2021,4.45
,,2021 - 2022,3.87
,,2022 - 2023,3.97
,Kurukshetra,2000 - 2001,3.19
,,2001 - 2002,3.29
,,2002 - 2003,3.47
,,2003 - 2004,3.11
,,2004 - 2005,3.84
,,2005 - 2006,3.75
,,2006 - 2007,4.04
,,2007 - 2008,4.02
,,2008 - 2009,3.36
,,2009 - 2010,3.84
,,2010 - 2011,3.2
,,2011 - 2012,3.79
,,2012 - 2013,4.31
,,2013 - 2014,4.14
,,2014 - 2015,3.52
,,2015 - 2016,3.68
,,2016 - 2017,4.3
,,2017 - 2018,4.18
,,2018 - 2019,3.5
,,2019 - 2020,4.48
,,2020 - 2021,4.58
,,2021 - 2022,4.77
,,2022 - 2023,4.52
,Mahendragarh,2000 - 2001,0.0
,,2006 - 2007,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,Mewat,2005 - 2006,3.13
,,2006 - 2007,1.85
,,2007 - 2008,2.58
,,2008 - 2009,2.25
,,2009 - 2010,2.98
,,2010 - 2011,2.75
,,2011 - 2012,2.97
,,2012 - 2013,3.21
,,2013 - 2014,3.2
,,2014 - 2015,3.14
,,2015 - 2016,3.0
,,2016 - 2017,2.32
,,2017 - 2018,2.89
,,2018 - 2019,2.73
,,2019 - 2020,2.51
,,2020 - 2021,2.16
,,2021 - 2022,2.54
,,2022 - 2023,2.15
,Palwal,2008 - 2009,2.72
,,2009 - 2010,2.77
,,2010 - 2011,2.75
,,2011 - 2012,2.72
,,2012 - 2013,2.76
,,2013 - 2014,2.59
,,2014 - 2015,2.68
,,2015 - 2016,2.26
,,2016 - 2017,2.71
,,2017 - 2018,2.7
,,2018 - 2019,2.75
,,2019 - 2020,2.92
,,2020 - 2021,2.98
,,2021 - 2022,2.83
,,2022 - 2023,2.65
,Panchkula,2000 - 2001,2.91
,,2001 - 2002,2.88
,,2002 - 2003,2.81
,,2003 - 2004,3.03
,,2004 - 2005,2.66
,,2005 - 2006,2.79
,,2006 - 2007,3.81
,,2007 - 2008,2.82
,,2008 - 2009,2.73
,,2009 - 2010,2.73
,,2010 - 2011,3.31
,,2011 - 2012,2.73
,,2012 - 2013,2.64
,,2013 - 2014,3.8
,,2014 - 2015,2.9
,,2015 - 2016,3.78
,,2016 - 2017,3.52
,,2017 - 2018,3.73
,,2018 - 2019,3.91
,,2019 - 2020,3.57
,,2020 - 2021,3.58
,,2021 - 2022,4.01
,,2022 - 2023,2.59
,Panipat,2000 - 2001,2.41
,,2001 - 2002,2.32
,,2002 - 2003,2.52
,,2003 - 2004,2.27
,,2004 - 2005,2.27
,,2005 - 2006,2.56
,,2006 - 2007,2.74
,,2007 - 2008,2.55
,,2008 - 2009,2.17
,,2009 - 2010,2.66
,,2010 - 2011,2.26
,,2011 - 2012,2.64
,,2012 - 2013,2.77
,,2013 - 2014,2.56
,,2014 - 2015,2.44
,,2015 - 2016,2.7
,,2016 - 2017,2.61
,,2017 - 2018,3.06
,,2018 - 2019,2.83
,,2019 - 2020,3.1
,,2020 - 2021,3.18
,,2021 - 2022,2.83
,,2022 - 2023,3.06
,Rewari,2000 - 2001,4.26
,,2001 - 2002,4.37
,,2002 - 2003,0.0
,,2003 - 2004,4.83
,,2004 - 2005,6.32
,,2005 - 2006,4.83
,,2006 - 2007,3.81
,,2007 - 2008,3.66
,,2008 - 2009,2.42
,,2009 - 2010,2.41
,,2010 - 2011,2.91
,,2011 - 2012,2.73
,,2012 - 2013,3.49
,,2013 - 2014,3.5
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2016 - 2017,2.0
,,2017 - 2018,2.28
,,2018 - 2019,2.5
,,2019 - 2020,2.48
,,2020 - 2021,2.86
,,2021 - 2022,1.98
,,2022 - 2023,2.45
,Rohtak,2000 - 2001,1.51
,,2001 - 2002,1.35
,,2002 - 2003,1.08
,,2003 - 2004,1.52
,,2004 - 2005,1.73
,,2005 - 2006,2.0
,,2006 - 2007,1.83
,,2007 - 2008,2.24
,,2008 - 2009,1.25
,,2009 - 2010,1.43
,,2010 - 2011,1.5
,,2011 - 2012,2.14
,,2012 - 2013,1.51
,,2013 - 2014,1.95
,,2014 - 2015,2.24
,,2015 - 2016,2.09
,,2016 - 2017,2.04
,,2017 - 2018,2.63
,,2018 - 2019,2.73
,,2019 - 2020,2.45
,,2020 - 2021,2.83
,,2021 - 2022,2.85
,,2022 - 2023,2.93
,Sirsa,2000 - 2001,2.79
,,2001 - 2002,3.17
,,2002 - 2003,3.21
,,2003 - 2004,3.27
,,2004 - 2005,3.43
,,2005 - 2006,3.61
,,2006 - 2007,3.77
,,2007 - 2008,3.92
,,2008 - 2009,3.41
,,2009 - 2010,3.32
,,2010 - 2011,3.18
,,2011 - 2012,0.32
,,2012 - 2013,3.53
,,2013 - 2014,3.93
,,2014 - 2015,3.65
,,2015 - 2016,3.13
,,2016 - 2017,3.66
,,2017 - 2018,3.38
,,2018 - 2019,3.31
,,2019 - 2020,2.74
,,2020 - 2021,3.6
,,2021 - 2022,3.52
,,2022 - 2023,3.51
,Sonipat,2000 - 2001,1.79
,,2001 - 2002,1.88
,,2002 - 2003,2.18
,,2003 - 2004,2.26
,,2004 - 2005,1.88
,,2005 - 2006,2.34
,,2006 - 2007,2.62
,,2007 - 2008,2.69
,,2008 - 2009,2.01
,,2009 - 2010,2.43
,,2010 - 2011,2.15
,,2011 - 2012,2.42
,,2012 - 2013,2.44
,,2013 - 2014,2.48
,,2014 - 2015,2.53
,,2015 - 2016,2.64
,,2016 - 2017,2.42
,,2017 - 2018,2.55
,,2018 - 2019,2.91
,,2019 - 2020,2.68
,,2020 - 2021,3.01
,,2021 - 2022,2.68
,,2022 - 2023,2.88
,Yamunanagar,2000 - 2001,2.95
,,2001 - 2002,2.99
,,2002 - 2003,3.01
,,2003 - 2004,3.03
,,2004 - 2005,3.25
,,2005 - 2006,3.37
,,2006 - 2007,3.59
,,2007 - 2008,3.83
,,2008 - 2009,3.09
,,2009 - 2010,3.63
,,2010 - 2011,3.27
,,2011 - 2012,3.69
,,2012 - 2013,3.95
,,2013 - 2014,3.68
,,2014 - 2015,3.8
,,2015 - 2016,3.78
,,2016 - 2017,3.93
,,2017 - 2018,4.18
,,2018 - 2019,3.53
,,2019 - 2020,4.24
,,2020 - 2021,4.37
,,2021 - 2022,4.45
,,2022 - 2023,3.41
Himachal Pradesh,Bilaspur,2000 - 2001,1.5
,,2001 - 2002,1.35
,,2002 - 2003,0.44
,,2003 - 2004,1.62
,,2004 - 2005,1.35
,,2005 - 2006,1.37
,,2006 - 2007,2.6
,,2007 - 2008,2.25
,,2008 - 2009,2.09
,,2009 - 2010,1.98
,,2010 - 2011,2.08
,,2011 - 2012,2.08
,,2012 - 2013,2.1
,,2013 - 2014,2.08
,,2014 - 2015,2.29
,,2015 - 2016,2.08
,,2016 - 2017,2.08
,,2017 - 2018,2.09
,,2018 - 2019,2.09
,,2019 - 2020,1.98
,,2020 - 2021,12.88
,,2021 - 2022,1.89
,,2022 - 2023,1.68
,Chamba,2000 - 2001,1.47
,,2001 - 2002,1.42
,,2002 - 2003,1.78
,,2003 - 2004,1.66
,,2004 - 2005,1.52
,,2005 - 2006,1.65
,,2006 - 2007,1.48
,,2007 - 2008,1.24
,,2008 - 2009,1.23
,,2009 - 2010,1.14
,,2010 - 2011,1.2
,,2011 - 2012,1.2
,,2012 - 2013,1.22
,,2013 - 2014,1.2
,,2014 - 2015,1.32
,,2015 - 2016,1.2
,,2016 - 2017,1.2
,,2017 - 2018,1.2
,,2018 - 2019,1.2
,,2019 - 2020,1.5
,,2020 - 2021,1.89
,,2021 - 2022,2.01
,,2022 - 2023,1.2
,Hamirpur,2000 - 2001,1.25
,,2001 - 2002,1.42
,,2002 - 2003,0.65
,,2003 - 2004,1.24
,,2004 - 2005,1.05
,,2005 - 2006,1.34
,,2006 - 2007,1.5
,,2007 - 2008,1.56
,,2008 - 2009,1.46
,,2009 - 2010,1.34
,,2010 - 2011,1.41
,,2011 - 2012,1.41
,,2012 - 2013,1.43
,,2013 - 2014,1.41
,,2014 - 2015,1.55
,,2015 - 2016,1.41
,,2016 - 2017,1.41
,,2017 - 2018,1.46
,,2018 - 2019,1.46
,,2019 - 2020,1.58
,,2020 - 2021,15.73
,,2021 - 2022,1.55
,,2022 - 2023,1.66
,Kangra,2000 - 2001,1.47
,,2001 - 2002,1.69
,,2002 - 2003,0.92
,,2003 - 2004,1.48
,,2004 - 2005,1.31
,,2005 - 2006,1.38
,,2006 - 2007,1.41
,,2007 - 2008,1.45
,,2008 - 2009,1.52
,,2009 - 2010,1.43
,,2010 - 2011,1.51
,,2011 - 2012,1.51
,,2012 - 2013,1.52
,,2013 - 2014,1.51
,,2014 - 2015,1.66
,,2015 - 2016,1.51
,,2016 - 2017,1.51
,,2017 - 2018,1.51
,,2018 - 2019,1.52
,,2019 - 2020,1.55
,,2020 - 2021,1.85
,,2021 - 2022,2.55
,,2022 - 2023,2.1
,Kinnaur,2000 - 2001,1.52
,,2001 - 2002,1.69
,,2002 - 2003,1.03
,,2003 - 2004,1.48
,,2004 - 2005,1.39
,,2005 - 2006,1.41
,,2006 - 2007,1.57
,,2007 - 2008,1.54
,,2008 - 2009,1.5
,,2009 - 2010,1.47
,,2010 - 2011,1.53
,,2011 - 2012,1.53
,,2012 - 2013,1.53
,,2013 - 2014,1.57
,,2014 - 2015,1.71
,,2015 - 2016,1.57
,,2016 - 2017,1.5
,,2017 - 2018,1.57
,,2018 - 2019,1.63
,,2019 - 2020,1.5
,,2020 - 2021,1.67
,,2022 - 2023,1.0
,Kullu,2000 - 2001,1.52
,,2001 - 2002,1.49
,,2002 - 2003,1.61
,,2003 - 2004,1.31
,,2004 - 2005,1.66
,,2005 - 2006,0.96
,,2006 - 2007,1.3
,,2007 - 2008,1.35
,,2008 - 2009,1.37
,,2009 - 2010,1.24
,,2010 - 2011,1.31
,,2011 - 2012,1.31
,,2012 - 2013,1.32
,,2013 - 2014,1.31
,,2014 - 2015,1.44
,,2015 - 2016,1.31
,,2016 - 2017,1.31
,,2017 - 2018,1.31
,,2018 - 2019,1.31
,,2019 - 2020,1.33
,,2020 - 2021,1.22
,,2021 - 2022,1.48
,,2022 - 2023,1.26
,Mandi,2000 - 2001,1.57
,,2001 - 2002,1.71
,,2002 - 2003,1.07
,,2003 - 2004,1.46
,,2004 - 2005,1.26
,,2005 - 2006,1.44
,,2006 - 2007,1.38
,,2007 - 2008,1.28
,,2008 - 2009,1.36
,,2009 - 2010,1.15
,,2010 - 2011,1.21
,,2011 - 2012,1.21
,,2012 - 2013,1.22
,,2013 - 2014,1.21
,,2014 - 2015,1.33
,,2015 - 2016,1.73
,,2016 - 2017,1.21
,,2017 - 2018,1.73
,,2018 - 2019,1.73
,,2019 - 2020,1.63
,,2020 - 2021,2.08
,,2021 - 2022,1.94
,,2022 - 2023,2.06
,Shimla,2000 - 2001,0.92
,,2001 - 2002,1.26
,,2002 - 2003,0.85
,,2003 - 2004,0.98
,,2004 - 2005,1.07
,,2005 - 2006,1.09
,,2006 - 2007,1.14
,,2007 - 2008,0.98
,,2008 - 2009,1.0
,,2009 - 2010,0.87
,,2010 - 2011,0.92
,,2011 - 2012,0.92
,,2012 - 2013,0.93
,,2013 - 2014,0.92
,,2014 - 2015,1.01
,,2015 - 2016,0.92
,,2016 - 2017,0.92
,,2017 - 2018,0.92
,,2018 - 2019,0.91
,,2019 - 2020,1.02
,,2020 - 2021,1.19
,,2021 - 2022,1.37
,,2022 - 2023,1.97
,Sirmaur,2000 - 2001,1.65
,,2001 - 2002,1.91
,,2002 - 2003,1.0
,,2003 - 2004,1.62
,,2004 - 2005,1.43
,,2005 - 2006,1.33
,,2006 - 2007,2.25
,,2007 - 2008,2.27
,,2008 - 2009,1.36
,,2009 - 2010,1.12
,,2010 - 2011,1.18
,,2011 - 2012,1.0
,,2012 - 2013,1.2
,,2013 - 2014,1.18
,,2014 - 2015,1.3
,,2015 - 2016,1.18
,,2016 - 2017,1.18
,,2017 - 2018,1.18
,,2018 - 2019,1.18
,,2019 - 2020,1.21
,,2020 - 2021,2.77
,,2021 - 2022,4.2
,,2022 - 2023,0.94
,Solan,2000 - 2001,2.11
,,2001 - 2002,1.86
,,2002 - 2003,1.59
,,2003 - 2004,1.47
,,2004 - 2005,2.19
,,2005 - 2006,1.75
,,2006 - 2007,2.37
,,2007 - 2008,2.33
,,2008 - 2009,2.48
,,2009 - 2010,2.4
,,2010 - 2011,2.52
,,2011 - 2012,2.52
,,2012 - 2013,2.55
,,2013 - 2014,2.52
,,2014 - 2015,2.77
,,2015 - 2016,2.52
,,2016 - 2017,2.52
,,2017 - 2018,2.52
,,2018 - 2019,2.52
,,2019 - 2020,2.51
,,2020 - 2021,2.32
,,2021 - 2022,1.5
,,2022 - 2023,2.97
,Una,2000 - 2001,2.07
,,2001 - 2002,2.4
,,2002 - 2003,1.53
,,2003 - 2004,1.84
,,2004 - 2005,1.77
,,2005 - 2006,1.64
,,2006 - 2007,2.26
,,2007 - 2008,2.3
,,2008 - 2009,2.23
,,2009 - 2010,2.19
,,2010 - 2011,2.31
,,2011 - 2012,2.31
,,2012 - 2013,2.33
,,2013 - 2014,2.31
,,2014 - 2015,2.54
,,2015 - 2016,2.31
,,2016 - 2017,2.31
,,2017 - 2018,2.31
,,2018 - 2019,2.31
,,2019 - 2020,2.41
,,2020 - 2021,2.44
,,2021 - 2022,2.37
,,2022 - 2023,2.44
Jammu and Kashmir,Anantnag,2000 - 2001,1.85
,,2001 - 2002,1.46
,,2002 - 2003,2.05
,,2003 - 2004,2.34
,,2004 - 2005,2.62
,,2005 - 2006,2.88
,,2006 - 2007,2.82
,,2007 - 2008,2.59
,,2009 - 2010,2.19
,,2010 - 2011,2.12
,,2011 - 2012,2.15
,,2012 - 2013,2.22
,,2014 - 2015,0.81
,,2015 - 2016,3.08
,,2016 - 2017,3.02
,,2017 - 2018,3.01
,,2018 - 2019,2.8
,,2019 - 2020,2.97
,,2020 - 2021,3.04
,Badgam,2000 - 2001,1.61
,,2001 - 2002,1.77
,,2002 - 2003,2.22
,,2003 - 2004,1.78
,,2004 - 2005,1.7
,,2005 - 2006,2.55
,,2006 - 2007,2.48
,,2007 - 2008,2.21
,,2009 - 2010,2.48
,,2010 - 2011,2.21
,,2011 - 2012,2.21
,,2012 - 2013,2.82
,,2014 - 2015,0.91
,,2015 - 2016,2.31
,,2016 - 2017,2.43
,,2017 - 2018,2.34
,,2018 - 2019,2.01
,,2019 - 2020,2.64
,,2020 - 2021,2.51
,Bandipora,2007 - 2008,2.74
,,2009 - 2010,3.08
,,2010 - 2011,3.11
,,2011 - 2012,2.75
,,2012 - 2013,2.28
,,2014 - 2015,1.2
,,2015 - 2016,3.02
,,2016 - 2017,2.86
,,2017 - 2018,3.23
,,2018 - 2019,3.19
,,2019 - 2020,3.09
,,2020 - 2021,3.58
,Baramulla,2000 - 2001,1.69
,,2001 - 2002,1.65
,,2002 - 2003,2.09
,,2003 - 2004,2.03
,,2004 - 2005,2.03
,,2005 - 2006,2.5
,,2006 - 2007,2.48
,,2007 - 2008,2.74
,,2009 - 2010,2.75
,,2010 - 2011,2.25
,,2011 - 2012,2.56
,,2012 - 2013,2.23
,,2014 - 2015,1.1
,,2015 - 2016,2.34
,,2016 - 2017,2.66
,,2017 - 2018,2.26
,,2018 - 2019,2.43
,,2019 - 2020,2.9
,,2020 - 2021,1.98
,Doda,2000 - 2001,0.97
,,2001 - 2002,0.85
,,2002 - 2003,1.06
,,2003 - 2004,1.84
,,2004 - 2005,1.13
,,2005 - 2006,1.49
,,2006 - 2007,1.0
,,2007 - 2008,0.94
,,2009 - 2010,1.52
,,2010 - 2011,1.14
,,2011 - 2012,1.76
,,2012 - 2013,2.0
,,2014 - 2015,0.99
,,2015 - 2016,1.53
,,2016 - 2017,1.45
,,2017 - 2018,1.98
,,2018 - 2019,2.16
,,2019 - 2020,1.43
,,2020 - 2021,1.45
,Ganderbal,2007 - 2008,2.67
,,2009 - 2010,2.5
,,2010 - 2011,2.05
,,2011 - 2012,2.37
,,2012 - 2013,1.84
,,2014 - 2015,1.13
,,2015 - 2016,2.45
,,2016 - 2017,2.48
,,2017 - 2018,2.88
,,2018 - 2019,2.95
,,2019 - 2020,3.15
,,2020 - 2021,3.06
,Jammu,2000 - 2001,1.94
,,2001 - 2002,1.74
,,2002 - 2003,1.42
,,2003 - 2004,1.82
,,2004 - 2005,1.68
,,2005 - 2006,1.65
,,2006 - 2007,1.72
,,2007 - 2008,1.85
,,2009 - 2010,1.84
,,2010 - 2011,1.52
,,2011 - 2012,1.95
,,2012 - 2013,2.0
,,2014 - 2015,1.79
,,2015 - 2016,1.71
,,2016 - 2017,1.48
,,2017 - 2018,2.6
,,2018 - 2019,2.28
,,2019 - 2020,1.93
,,2020 - 2021,1.93
,Kathua,2000 - 2001,1.67
,,2001 - 2002,1.77
,,2002 - 2003,1.48
,,2003 - 2004,1.82
,,2004 - 2005,1.69
,,2005 - 2006,1.67
,,2006 - 2007,1.75
,,2007 - 2008,1.91
,,2009 - 2010,1.04
,,2010 - 2011,1.85
,,2011 - 2012,2.03
,,2012 - 2013,1.77
,,2014 - 2015,1.54
,,2015 - 2016,1.66
,,2016 - 2017,1.47
,,2017 - 2018,2.53
,,2018 - 2019,2.42
,,2019 - 2020,1.69
,,2020 - 2021,1.99
,Kishtwar,2007 - 2008,0.94
,,2009 - 2010,1.52
,,2010 - 2011,2.22
,,2011 - 2012,0.78
,,2012 - 2013,0.77
,,2014 - 2015,0.12
,,2015 - 2016,0.88
,,2016 - 2017,1.45
,,2017 - 2018,2.94
,,2018 - 2019,2.88
,,2019 - 2020,1.8
,,2020 - 2021,1.22
,Kulgam,2007 - 2008,2.59
,,2009 - 2010,2.54
,,2010 - 2011,2.72
,,2011 - 2012,2.42
,,2012 - 2013,2.28
,,2014 - 2015,0.98
,,2015 - 2016,1.93
,,2016 - 2017,2.0
,,2017 - 2018,2.2
,,2018 - 2019,3.37
,,2019 - 2020,2.11
,,2020 - 2021,2.85
,Kupwara,2000 - 2001,1.1
,,2001 - 2002,1.64
,,2002 - 2003,1.64
,,2003 - 2004,1.6
,,2004 - 2005,1.48
,,2005 - 2006,1.6
,,2006 - 2007,2.24
,,2007 - 2008,1.58
,,2009 - 2010,1.32
,,2010 - 2011,2.15
,,2011 - 2012,1.3
,,2012 - 2013,1.77
,,2014 - 2015,1.04
,,2015 - 2016,3.76
,,2016 - 2017,2.68
,,2017 - 2018,2.34
,,2018 - 2019,2.17
,,2019 - 2020,2.22
,,2020 - 2021,1.85
,Poonch,2000 - 2001,1.74
,,2001 - 2002,1.56
,,2002 - 2003,1.49
,,2003 - 2004,1.66
,,2004 - 2005,1.47
,,2005 - 2006,1.5
,,2006 - 2007,1.59
,,2007 - 2008,1.82
,,2009 - 2010,1.29
,,2010 - 2011,0.88
,,2011 - 2012,0.99
,,2012 - 2013,1.05
,,2014 - 2015,1.3
,,2015 - 2016,1.5
,,2016 - 2017,1.46
,,2017 - 2018,2.42
,,2018 - 2019,2.03
,,2019 - 2020,1.75
,,2020 - 2021,1.95
,Pulwama,2000 - 2001,1.26
,,2001 - 2002,1.91
,,2002 - 2003,1.72
,,2003 - 2004,2.03
,,2004 - 2005,2.62
,,2005 - 2006,2.6
,,2006 - 2007,2.8
,,2007 - 2008,2.75
,,2009 - 2010,2.01
,,2010 - 2011,1.86
,,2011 - 2012,2.57
,,2012 - 2013,2.93
,,2014 - 2015,0.41
,,2015 - 2016,2.63
,,2016 - 2017,2.73
,,2017 - 2018,1.73
,,2018 - 2019,2.27
,,2019 - 2020,2.71
,,2020 - 2021,2.37
,Rajauri,2000 - 2001,1.32
,,2001 - 2002,1.91
,,2002 - 2003,1.91
,,2003 - 2004,1.72
,,2004 - 2005,1.79
,,2005 - 2006,1.86
,,2006 - 2007,1.65
,,2007 - 2008,1.58
,,2009 - 2010,1.52
,,2010 - 2011,1.42
,,2011 - 2012,1.2
,,2012 - 2013,1.44
,,2014 - 2015,0.81
,,2015 - 2016,1.12
,,2016 - 2017,1.02
,,2017 - 2018,1.74
,,2018 - 2019,1.74
,,2019 - 2020,1.25
,,2020 - 2021,1.34
,Ramban,2007 - 2008,0.94
,,2009 - 2010,1.49
,,2010 - 2011,1.62
,,2011 - 2012,3.29
,,2012 - 2013,2.17
,,2014 - 2015,0.47
,,2015 - 2016,1.62
,,2016 - 2017,1.26
,,2017 - 2018,0.92
,,2018 - 2019,1.37
,,2019 - 2020,0.68
,,2020 - 2021,1.02
,Reasi,2007 - 2008,1.18
,,2009 - 2010,0.95
,,2010 - 2011,0.96
,,2011 - 2012,0.99
,,2012 - 2013,1.21
,,2014 - 2015,0.64
,,2015 - 2016,0.69
,,2016 - 2017,1.34
,,2017 - 2018,1.65
