state,district,year,ragi_autumn_yield_tonne_per_hectare
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Panch mahals,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2019 - 2020,
,,2020 - 2021,
,Surat,2000 - 2001,
,,2001 - 2002,
,Vadodara,2011 - 2012,
,,2012 - 2013,
,Valsad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Himachal Pradesh,Bilaspur,2007 - 2008,
,,2018 - 2019,
,,2019 - 2020,
,Chamba,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Hamirpur,2005 - 2006,
,,2006 - 2007,
,Kangra,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kinnaur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Kullu,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mandi,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Shimla,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sirmaur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Solan,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Jammu and Kashmir,Bandipora,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Kargil,2017 - 2018,
,,2018 - 2019,
,Kishtwar,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Leh ladakh,2017 - 2018,
,,2018 - 2019,
,Udhampur,2017 - 2018,
Jharkhand,Bokaro,2006 - 2007,1.19
,,2007 - 2008,0.88
,,2008 - 2009,0.71
,,2009 - 2010,0.61
,,2011 - 2012,1.29
,,2012 - 2013,0.86
,,2013 - 2014,0.76
,,2014 - 2015,0.92
,,2015 - 2016,1.23
,,2016 - 2017,0.61
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chatra,2006 - 2007,0.89
,,2007 - 2008,0.98
,,2008 - 2009,0.82
,,2009 - 2010,0.61
,,2011 - 2012,0.84
,,2012 - 2013,0.72
,,2013 - 2014,0.75
,,2014 - 2015,0.92
,,2015 - 2016,0.45
,,2016 - 2017,0.61
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Deoghar,2006 - 2007,0.79
,,2007 - 2008,0.56
,,2008 - 2009,0.76
,,2009 - 2010,0.27
,,2012 - 2013,0.89
,,2014 - 2015,1.0
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dhanbad,2006 - 2007,1.2
,,2007 - 2008,0.24
,,2008 - 2009,0.27
,,2009 - 2010,0.08
,,2011 - 2012,0.0
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dumka,2006 - 2007,0.79
,,2007 - 2008,0.54
,,2008 - 2009,0.76
,,2009 - 2010,0.27
,,2011 - 2012,0.78
,,2013 - 2014,0.83
,,2014 - 2015,1.0
,,2015 - 2016,0.71
,,2016 - 2017,1.16
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East singhbum,2006 - 2007,0.85
,,2008 - 2009,0.8
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Garhwa,2006 - 2007,0.77
,,2007 - 2008,0.93
,,2008 - 2009,0.58
,,2009 - 2010,0.41
,,2012 - 2013,0.52
,,2013 - 2014,0.76
,,2014 - 2015,0.92
,,2015 - 2016,0.53
,,2016 - 2017,1.16
,,2021 - 2022,
,Giridih,2002 - 2003,0.37
,,2003 - 2004,0.42
,,2004 - 2005,0.41
,,2005 - 2006,0.82
,,2006 - 2007,1.26
,,2007 - 2008,1.74
,,2008 - 2009,0.59
,,2009 - 2010,0.29
,,2011 - 2012,0.75
,,2012 - 2013,0.48
,,2013 - 2014,0.35
,,2014 - 2015,0.55
,,2015 - 2016,0.4
,,2016 - 2017,0.41
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Godda,2006 - 2007,0.79
,,2007 - 2008,0.54
,,2008 - 2009,0.76
,,2009 - 2010,0.28
,,2011 - 2012,0.79
,,2012 - 2013,0.89
,,2013 - 2014,0.75
,,2014 - 2015,0.92
,,2015 - 2016,0.68
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gumla,2002 - 2003,2.42
,,2003 - 2004,0.63
,,2004 - 2005,0.93
,,2005 - 2006,1.12
,,2006 - 2007,0.8
,,2007 - 2008,0.87
,,2008 - 2009,0.75
,,2009 - 2010,0.68
,,2011 - 2012,0.92
,,2012 - 2013,0.89
,,2013 - 2014,0.53
,,2014 - 2015,1.24
,,2015 - 2016,1.37
,,2016 - 2017,1.56
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hazaribagh,2002 - 2003,1.01
,,2003 - 2004,1.06
,,2004 - 2005,1.1
,,2005 - 2006,0.85
,,2006 - 2007,1.06
,,2007 - 2008,0.88
,,2008 - 2009,1.21
,,2009 - 2010,0.62
,,2011 - 2012,0.85
,,2012 - 2013,1.13
,,2013 - 2014,1.16
,,2014 - 2015,1.19
,,2015 - 2016,0.84
,,2016 - 2017,0.95
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jamtara,2006 - 2007,0.79
,,2007 - 2008,0.54
,,2008 - 2009,0.77
,,2009 - 2010,0.28
,,2011 - 2012,0.78
,,2012 - 2013,0.88
,,2013 - 2014,7.55
,,2014 - 2015,0.91
,,2021 - 2022,
,,2022 - 2023,
,Khunti,2008 - 2009,0.93
,,2009 - 2010,0.51
,,2011 - 2012,0.76
,,2012 - 2013,0.85
,,2013 - 2014,0.87
,,2014 - 2015,0.8
,,2015 - 2016,0.76
,,2016 - 2017,0.84
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Koderma,2002 - 2003,1.22
,,2003 - 2004,1.41
,,2004 - 2005,1.1
,,2005 - 2006,0.99
,,2006 - 2007,0.34
,,2007 - 2008,1.13
,,2008 - 2009,0.68
,,2009 - 2010,1.2
,,2011 - 2012,1.06
,,2012 - 2013,0.98
,,2013 - 2014,0.9
,,2014 - 2015,1.12
,,2015 - 2016,1.08
,,2016 - 2017,0.61
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Latehar,2004 - 2005,0.39
,,2005 - 2006,0.58
,,2006 - 2007,0.77
,,2007 - 2008,1.08
,,2008 - 2009,0.55
,,2009 - 2010,0.44
,,2011 - 2012,0.77
,,2012 - 2013,0.45
,,2013 - 2014,0.62
,,2014 - 2015,0.5
,,2015 - 2016,1.11
,,2016 - 2017,1.16
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lohardaga,2002 - 2003,0.56
,,2003 - 2004,0.52
,,2004 - 2005,0.74
,,2005 - 2006,0.83
,,2006 - 2007,0.81
,,2007 - 2008,1.02
,,2008 - 2009,1.2
,,2009 - 2010,0.77
,,2011 - 2012,1.1
,,2012 - 2013,0.96
,,2013 - 2014,0.82
,,2014 - 2015,0.9
,,2015 - 2016,0.73
,,2016 - 2017,1.24
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pakur,2006 - 2007,0.81
,,2012 - 2013,1.0
,Palamu,2002 - 2003,0.96
,,2006 - 2007,0.77
,,2007 - 2008,0.78
,,2008 - 2009,0.61
,,2009 - 2010,0.39
,,2011 - 2012,0.49
,,2012 - 2013,0.64
,,2013 - 2014,0.49
,,2014 - 2015,0.63
,,2015 - 2016,0.44
,,2016 - 2017,1.16
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Ramgarh,2008 - 2009,1.48
,,2009 - 2010,0.87
,,2011 - 2012,0.41
,,2012 - 2013,0.88
,,2013 - 2014,1.0
,,2014 - 2015,1.42
,,2015 - 2016,1.0
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ranchi,2002 - 2003,0.8
,,2003 - 2004,0.67
,,2004 - 2005,0.59
,,2005 - 2006,0.6
,,2006 - 2007,0.88
,,2007 - 2008,0.81
,,2008 - 2009,1.24
,,2009 - 2010,0.94
,,2011 - 2012,1.23
,,2012 - 2013,1.15
,,2013 - 2014,0.78
,,2014 - 2015,0.84
,,2015 - 2016,0.48
,,2016 - 2017,0.98
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sahebganj,2006 - 2007,0.78
,,2007 - 2008,0.48
,,2011 - 2012,0.79
,,2021 - 2022,
,Saraikela kharsawan,2006 - 2007,0.79
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Simdega,2003 - 2004,0.82
,,2004 - 2005,1.23
,,2005 - 2006,0.78
,,2006 - 2007,0.29
,,2007 - 2008,0.8
,,2008 - 2009,0.89
,,2009 - 2010,1.14
,,2011 - 2012,0.89
,,2012 - 2013,0.72
,,2013 - 2014,0.79
,,2014 - 2015,0.96
,,2015 - 2016,0.62
,,2016 - 2017,1.28
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West singhbhum,2006 - 2007,0.79
,,2008 - 2009,0.71
,,2009 - 2010,0.62
,,2011 - 2012,0.95
,,2012 - 2013,0.86
,,2013 - 2014,0.76
,,2014 - 2015,0.92
,,2015 - 2016,0.89
,,2016 - 2017,1.16
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Karnataka,Bagalkot,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bangalore rural,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Belgaum,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bellary,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bengaluru urban,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bidar,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bijapur,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chamarajanagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chikballapur,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chikmagalur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chitradurga,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Davangere,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dharwad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gadag,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gulbarga,2000 - 2001,
,,2005 - 2006,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hassan,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Haveri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kodagu,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kolar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Koppal,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mandya,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mysore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raichur,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ramanagara,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shimoga,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tumkur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udupi,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Uttar kannad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vijayanagar,2022 - 2023,
,Yadgir,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Kerala,Alappuzha,2007 - 2008,
,,2020 - 2021,
,Ernakulam,2004 - 2005,
,,2006 - 2007,
,Idukki,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kannur,2022 - 2023,
,Kasaragod,2008 - 2009,
,,2009 - 2010,
,,2020 - 2021,
,Kollam,2008 - 2009,
,Malappuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2007 - 2008,
,,2012 - 2013,
,Palakkad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvananthapuram,2007 - 2008,
,,2022 - 2023,
,Wayanad,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2021 - 2022,
Madhya Pradesh,Balaghat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Betul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,Chhatarpur,2001 - 2002,
,,2002 - 2003,
,Chhindwara,2000 - 2001,
,,2003 - 2004,
,,2005 - 2006,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,Dhar,2002 - 2003,
,,2004 - 2005,
,,2008 - 2009,
,Dindori,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,Hoshangabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2012 - 2013,
,Jabalpur,2004 - 2005,
,Jhabua,2008 - 2009,
,Katni,2012 - 2013,
,,2013 - 2014,
,Khandwa,2000 - 2001,
,,2002 - 2003,
,Mandla,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,Narsinghpur,2007 - 2008,
,Panna,2002 - 2003,
,Sagar,2002 - 2003,
,,2004 - 2005,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Satna,2001 - 2002,
,,2010 - 2011,
,Seoni,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,Shivpuri,2001 - 2002,
,Sidhi,2002 - 2003,
,,2005 - 2006,
,,2007 - 2008,
,Singrauli,2008 - 2009,
,Tikamgarh,2000 - 2001,
,,2001 - 2002,
Maharashtra,Ahilyanagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
