state,district,year,rapeseed_and_mustard_winter_yield_tonne_per_hectare
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2011 - 2012,
,,2016 - 2017,
,Washim,2007 - 2008,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,Yavatmal,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2017 - 2018,
,,2019 - 2020,
Manipur,Bishnupur,2000 - 2001,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Chandel,2000 - 2001,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Churachandpur,2000 - 2001,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Imphal east,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Imphal west,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Senapati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Tamenglong,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Thoubal,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Ukhrul,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
Meghalaya,East garo hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,East jaintia hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,East khasi hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,North garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Ri bhoi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,South garo hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,South west garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,South west khasi hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West garo hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West jaintia hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West khasi hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
Mizoram,Aizawl,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,Champhai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Hnahthial,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khawzawl,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kolasib,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lawngtlai,2004 - 2005,
,,2005 - 2006,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lunglei,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mamit,2004 - 2005,
,,2005 - 2006,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Saiha,2004 - 2005,
,,2005 - 2006,
,,2015 - 2016,
,Saitual,2021 - 2022,
,,2022 - 2023,
,Serchhip,2005 - 2006,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kiphire,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kohima,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Longleng,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mokokchung,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Noklak,2022 - 2023,
,Nuiland,2022 - 2023,
,Peren,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Phek,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shamator,2022 - 2023,
,Tseminyu,2022 - 2023,
,Tuensang,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wokha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Zunheboto,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Odisha,Anugul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.1
,,2005 - 2006,0.11
,,2006 - 2007,0.11
,,2007 - 2008,0.1
,,2008 - 2009,0.12
,,2009 - 2010,0.11
,,2010 - 2011,0.12
,,2011 - 2012,0.11
,,2012 - 2013,0.15
,,2013 - 2014,0.14
,,2014 - 2015,0.18
,,2015 - 2016,0.12
,,2016 - 2017,0.2
,,2017 - 2018,0.24
,,2018 - 2019,0.23
,,2019 - 2020,0.25
,,2020 - 2021,0.23
,,2021 - 2022,0.2
,,2022 - 2023,0.16
,Balangir,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.11
,,2005 - 2006,0.14
,,2006 - 2007,0.12
,,2007 - 2008,0.12
,,2008 - 2009,0.15
,,2009 - 2010,0.16
,,2010 - 2011,0.15
,,2011 - 2012,0.1
,,2012 - 2013,0.23
,,2013 - 2014,0.23
,,2014 - 2015,0.24
,,2015 - 2016,0.18
,,2016 - 2017,0.28
,,2017 - 2018,0.24
,,2018 - 2019,0.11
,,2019 - 2020,0.15
,,2020 - 2021,0.15
,,2021 - 2022,0.16
,,2022 - 2023,0.18
,Baleshwar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.31
,,2005 - 2006,0.31
,,2006 - 2007,0.27
,,2007 - 2008,0.33
,,2008 - 2009,0.26
,,2009 - 2010,0.34
,,2010 - 2011,0.38
,,2011 - 2012,0.33
,,2012 - 2013,0.43
,,2013 - 2014,0.39
,,2014 - 2015,0.43
,,2015 - 2016,0.37
,,2016 - 2017,0.6
,,2017 - 2018,0.43
,,2018 - 2019,0.43
,,2019 - 2020,0.38
,,2020 - 2021,0.43
,,2021 - 2022,0.29
,,2022 - 2023,0.33
,Bargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.27
,,2005 - 2006,0.3
,,2006 - 2007,0.27
,,2007 - 2008,0.29
,,2008 - 2009,0.28
,,2009 - 2010,0.29
,,2010 - 2011,0.29
,,2011 - 2012,0.3
,,2012 - 2013,0.35
,,2013 - 2014,0.32
,,2014 - 2015,0.33
,,2015 - 2016,0.29
,,2016 - 2017,0.38
,,2017 - 2018,0.36
,,2018 - 2019,0.34
,,2019 - 2020,0.31
,,2020 - 2021,0.31
,,2021 - 2022,0.3
,,2022 - 2023,0.34
,Bhadrak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.34
,,2005 - 2006,0.49
,,2006 - 2007,0.16
,,2007 - 2008,0.31
,,2008 - 2009,0.29
,,2009 - 2010,0.4
,,2010 - 2011,0.33
,,2011 - 2012,0.24
,,2012 - 2013,0.68
,,2013 - 2014,0.44
,,2014 - 2015,0.45
,,2015 - 2016,0.37
,,2016 - 2017,0.67
,,2017 - 2018,0.61
,,2018 - 2019,0.57
,,2019 - 2020,0.43
,,2020 - 2021,0.42
,,2021 - 2022,0.45
,,2022 - 2023,0.53
,Boudh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.11
,,2005 - 2006,0.09
,,2006 - 2007,0.11
,,2007 - 2008,0.1
,,2008 - 2009,0.11
,,2009 - 2010,0.1
,,2010 - 2011,0.09
,,2011 - 2012,0.1
,,2012 - 2013,0.15
,,2013 - 2014,0.08
,,2014 - 2015,0.11
,,2015 - 2016,0.06
,,2016 - 2017,0.12
,,2017 - 2018,0.11
,,2018 - 2019,0.09
,,2019 - 2020,0.11
,,2020 - 2021,0.13
,,2021 - 2022,0.12
,,2022 - 2023,0.12
,Cuttack,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.17
,,2005 - 2006,0.15
,,2006 - 2007,0.2
,,2007 - 2008,0.26
,,2008 - 2009,0.2
,,2009 - 2010,0.28
,,2010 - 2011,0.25
,,2011 - 2012,0.31
,,2012 - 2013,0.33
,,2013 - 2014,0.25
,,2014 - 2015,0.33
,,2015 - 2016,0.4
,,2016 - 2017,0.28
,,2017 - 2018,0.74
,,2018 - 2019,0.5
,,2019 - 2020,0.33
,,2020 - 2021,0.23
,,2021 - 2022,0.54
,,2022 - 2023,0.23
,Deogarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.18
,,2005 - 2006,0.22
,,2006 - 2007,0.21
,,2007 - 2008,0.23
,,2008 - 2009,0.22
,,2009 - 2010,0.24
,,2010 - 2011,0.21
,,2011 - 2012,0.18
,,2012 - 2013,0.23
,,2013 - 2014,0.24
,,2014 - 2015,0.24
,,2015 - 2016,0.25
,,2016 - 2017,0.3
,,2017 - 2018,0.29
,,2018 - 2019,0.23
,,2019 - 2020,0.16
,,2020 - 2021,0.18
,,2021 - 2022,0.26
,,2022 - 2023,0.23
,Dhenkanal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.14
,,2005 - 2006,0.13
,,2006 - 2007,0.13
,,2007 - 2008,0.13
,,2008 - 2009,0.14
,,2009 - 2010,0.16
,,2010 - 2011,0.16
,,2011 - 2012,0.17
,,2012 - 2013,0.22
,,2013 - 2014,0.2
,,2014 - 2015,0.25
,,2015 - 2016,0.2
,,2016 - 2017,0.23
,,2017 - 2018,0.23
,,2018 - 2019,0.22
,,2019 - 2020,0.2
,,2020 - 2021,0.17
,,2021 - 2022,0.22
,,2022 - 2023,0.19
,Gajapati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.07
,,2005 - 2006,0.05
,,2006 - 2007,0.1
,,2007 - 2008,0.09
,,2008 - 2009,0.06
,,2009 - 2010,0.08
,,2010 - 2011,0.07
,,2011 - 2012,0.04
,,2012 - 2013,0.07
,,2013 - 2014,0.08
,,2014 - 2015,0.1
,,2015 - 2016,0.09
,,2016 - 2017,0.17
,,2017 - 2018,0.21
,,2018 - 2019,0.13
,,2019 - 2020,0.16
,,2020 - 2021,0.17
,,2021 - 2022,0.17
,,2022 - 2023,0.16
,Ganjam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.09
,,2005 - 2006,0.09
,,2006 - 2007,0.09
,,2007 - 2008,0.11
,,2008 - 2009,0.1
,,2009 - 2010,0.11
,,2010 - 2011,0.1
,,2011 - 2012,0.16
,,2012 - 2013,0.16
,,2013 - 2014,0.1
,,2014 - 2015,0.25
,,2015 - 2016,0.19
,,2016 - 2017,0.1
,,2017 - 2018,0.06
,,2018 - 2019,0.14
,,2019 - 2020,0.22
,,2021 - 2022,0.11
,Jagatsinghapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.12
,,2005 - 2006,0.16
,,2006 - 2007,0.13
,,2007 - 2008,0.25
,,2008 - 2009,0.15
,,2009 - 2010,0.13
,,2010 - 2011,0.11
,,2011 - 2012,0.18
,,2012 - 2013,0.21
,,2013 - 2014,0.34
,,2014 - 2015,0.42
,,2015 - 2016,0.3
,,2016 - 2017,0.43
,,2018 - 2019,0.28
,,2019 - 2020,0.2
,,2020 - 2021,0.25
,,2021 - 2022,0.16
,,2022 - 2023,0.26
,Jajapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.06
,,2005 - 2006,0.11
,,2006 - 2007,0.1
,,2007 - 2008,0.12
,,2008 - 2009,0.07
,,2009 - 2010,0.08
,,2010 - 2011,0.09
,,2011 - 2012,0.09
,,2012 - 2013,0.18
,,2013 - 2014,0.07
,,2014 - 2015,0.13
,,2015 - 2016,0.09
,,2016 - 2017,0.17
,,2017 - 2018,0.15
,,2018 - 2019,0.11
,,2019 - 2020,0.14
,,2020 - 2021,0.12
,,2021 - 2022,0.09
,,2022 - 2023,0.09
,Jharsuguda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.33
,,2005 - 2006,0.34
,,2006 - 2007,0.32
,,2007 - 2008,0.3
,,2008 - 2009,0.3
,,2009 - 2010,0.43
,,2010 - 2011,0.29
,,2011 - 2012,0.37
,,2012 - 2013,0.3
,,2013 - 2014,0.47
,,2014 - 2015,0.44
,,2015 - 2016,0.31
,,2016 - 2017,0.48
,,2017 - 2018,0.44
,,2018 - 2019,0.35
,,2019 - 2020,0.3
,,2020 - 2021,0.28
,,2021 - 2022,0.3
,,2022 - 2023,0.29
,Kalahandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.14
,,2005 - 2006,0.13
,,2006 - 2007,0.12
,,2007 - 2008,0.14
,,2008 - 2009,0.13
,,2009 - 2010,0.18
,,2010 - 2011,0.19
,,2011 - 2012,0.14
,,2012 - 2013,0.2
,,2013 - 2014,0.18
,,2014 - 2015,0.15
,,2015 - 2016,0.12
,,2016 - 2017,0.36
,,2017 - 2018,0.28
,,2018 - 2019,0.16
,,2019 - 2020,0.25
,,2020 - 2021,0.25
,,2021 - 2022,0.26
,,2022 - 2023,0.26
,Kandhamal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.11
,,2005 - 2006,0.12
,,2006 - 2007,0.13
,,2007 - 2008,0.13
,,2008 - 2009,0.13
,,2009 - 2010,0.14
,,2010 - 2011,0.11
,,2011 - 2012,0.14
,,2012 - 2013,0.15
,,2013 - 2014,0.13
,,2014 - 2015,0.14
,,2015 - 2016,0.08
,,2016 - 2017,0.15
,,2017 - 2018,0.24
,,2018 - 2019,0.29
,,2019 - 2020,0.22
,,2020 - 2021,0.17
,,2021 - 2022,0.23
,,2022 - 2023,0.23
,Kendrapara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.17
,,2005 - 2006,0.17
,,2006 - 2007,0.15
,,2007 - 2008,0.21
,,2008 - 2009,0.21
,,2009 - 2010,0.22
,,2010 - 2011,0.17
,,2011 - 2012,0.21
,,2012 - 2013,0.23
,,2013 - 2014,0.16
,,2014 - 2015,0.3
,,2015 - 2016,0.2
,,2016 - 2017,0.14
,,2017 - 2018,0.38
,,2018 - 2019,0.3
,,2019 - 2020,0.27
,,2020 - 2021,0.29
,,2021 - 2022,0.22
,,2022 - 2023,0.22
,Kendujhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.15
,,2005 - 2006,0.19
,,2006 - 2007,0.14
,,2007 - 2008,0.2
,,2008 - 2009,0.16
,,2009 - 2010,0.23
,,2010 - 2011,0.2
,,2011 - 2012,0.25
,,2012 - 2013,0.31
,,2013 - 2014,0.28
,,2014 - 2015,0.31
,,2015 - 2016,0.25
,,2016 - 2017,0.46
,,2017 - 2018,0.38
,,2018 - 2019,0.28
,,2019 - 2020,0.33
,,2020 - 2021,0.52
,,2021 - 2022,0.47
,,2022 - 2023,0.39
,Khordha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.19
,,2005 - 2006,0.12
,,2006 - 2007,0.08
,,2007 - 2008,0.07
,,2008 - 2009,0.1
,,2009 - 2010,0.11
,,2010 - 2011,0.1
,,2011 - 2012,0.17
,,2012 - 2013,0.23
,,2013 - 2014,0.14
,,2014 - 2015,0.14
,,2015 - 2016,0.24
,,2016 - 2017,0.15
,,2018 - 2019,0.05
,,2020 - 2021,0.45
,,2021 - 2022,0.18
,,2022 - 2023,0.15
,Koraput,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.15
,,2005 - 2006,0.19
,,2006 - 2007,0.19
,,2007 - 2008,0.26
,,2008 - 2009,0.14
,,2009 - 2010,0.13
,,2010 - 2011,0.23
,,2011 - 2012,0.14
,,2012 - 2013,0.17
,,2013 - 2014,0.26
,,2014 - 2015,0.21
,,2015 - 2016,0.13
,,2016 - 2017,0.2
,,2017 - 2018,0.29
,,2018 - 2019,0.19
,,2019 - 2020,0.21
,,2020 - 2021,0.21
,,2021 - 2022,0.2
,,2022 - 2023,0.19
,Malkangiri,2002 - 2003,
,,2004 - 2005,0.08
,,2005 - 2006,0.07
,,2006 - 2007,0.1
,,2008 - 2009,0.1
,,2012 - 2013,0.08
,,2014 - 2015,0.13
,Mayurbhanj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.21
