state,district,year,maize_kharif_yield_tonne_per_hectare
,,2016 - 2017,1.85
,,2017 - 2018,1.34
,,2018 - 2019,2.45
,,2019 - 2020,1.84
,,2020 - 2021,1.96
,,2021 - 2022,2.95
,,2022 - 2023,2.61
,Banas kantha,2000 - 2001,1.52
,,2001 - 2002,3.12
,,2002 - 2003,0.83
,,2003 - 2004,2.73
,,2004 - 2005,2.0
,,2005 - 2006,2.36
,,2006 - 2007,1.55
,,2007 - 2008,2.7
,,2008 - 2009,1.77
,,2009 - 2010,1.59
,,2010 - 2011,2.2
,,2011 - 2012,2.15
,,2012 - 2013,1.72
,,2013 - 2014,1.84
,,2014 - 2015,1.7
,,2015 - 2016,1.66
,,2016 - 2017,1.52
,,2017 - 2018,1.93
,,2018 - 2019,2.71
,,2019 - 2020,1.9
,,2020 - 2021,1.97
,,2021 - 2022,2.32
,,2022 - 2023,2.15
,Bharuch,2000 - 2001,0.76
,,2001 - 2002,1.99
,,2002 - 2003,1.66
,,2003 - 2004,1.76
,,2004 - 2005,0.91
,,2005 - 2006,1.59
,,2006 - 2007,0.3
,,2007 - 2008,1.39
,,2008 - 2009,1.43
,,2009 - 2010,0.96
,,2010 - 2011,1.65
,,2011 - 2012,1.39
,,2012 - 2013,1.69
,,2013 - 2014,1.27
,,2014 - 2015,1.25
,,2015 - 2016,1.32
,,2016 - 2017,1.68
,,2017 - 2018,1.55
,,2018 - 2019,1.77
,,2019 - 2020,1.5
,,2020 - 2021,1.52
,,2021 - 2022,1.95
,Bhavnagar,2000 - 2001,0.75
,,2001 - 2002,1.97
,,2002 - 2003,1.73
,,2003 - 2004,2.0
,,2004 - 2005,1.0
,,2005 - 2006,1.56
,,2006 - 2007,0.29
,,2007 - 2008,1.39
,,2008 - 2009,1.46
,,2009 - 2010,0.95
,,2010 - 2011,1.63
,,2011 - 2012,1.36
,,2012 - 2013,1.67
,,2013 - 2014,1.27
,,2014 - 2015,1.25
,,2015 - 2016,1.32
,,2016 - 2017,1.68
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.52
,,2021 - 2022,1.95
,,2022 - 2023,1.91
,Botad,2014 - 2015,1.25
,,2015 - 2016,1.32
,,2016 - 2017,1.69
,,2018 - 2019,1.75
,,2019 - 2020,1.49
,,2020 - 2021,1.4
,Chhotaudepur,2014 - 2015,2.14
,,2015 - 2016,2.14
,,2016 - 2017,2.43
,,2017 - 2018,2.23
,,2018 - 2019,0.56
,,2019 - 2020,1.74
,,2020 - 2021,1.5
,,2021 - 2022,1.7
,,2022 - 2023,1.6
,Dang,2000 - 2001,0.75
,,2001 - 2002,2.0
,,2002 - 2003,1.75
,,2004 - 2005,1.0
,,2005 - 2006,1.6
,,2006 - 2007,0.32
,,2007 - 2008,1.36
,,2008 - 2009,1.42
,,2009 - 2010,0.97
,,2010 - 2011,1.63
,,2011 - 2012,1.37
,,2012 - 2013,1.64
,,2013 - 2014,1.27
,,2015 - 2016,1.32
,,2016 - 2017,1.68
,,2019 - 2020,
,,2020 - 2021,1.52
,,2021 - 2022,1.95
,,2022 - 2023,1.91
,Devbhumi dwarka,2017 - 2018,1.55
,Dohad,2003 - 2004,1.81
,,2004 - 2005,0.64
,,2005 - 2006,1.43
,,2006 - 2007,0.14
,,2007 - 2008,1.08
,,2008 - 2009,1.38
,,2009 - 2010,0.87
,,2010 - 2011,1.7
,,2011 - 2012,1.21
,,2012 - 2013,1.68
,,2013 - 2014,0.81
,,2014 - 2015,0.86
,,2015 - 2016,1.19
,,2016 - 2017,1.44
,,2017 - 2018,1.49
,,2018 - 2019,2.0
,,2019 - 2020,1.36
,,2020 - 2021,1.44
,,2021 - 2022,1.77
,,2022 - 2023,1.86
,Gandhinagar,2000 - 2001,0.5
,,2001 - 2002,2.0
,,2002 - 2003,2.0
,,2003 - 2004,1.71
,,2006 - 2007,0.3
,,2007 - 2008,1.25
,,2008 - 2009,1.5
,,2009 - 2010,1.0
,,2010 - 2011,2.0
,,2011 - 2012,1.2
,,2012 - 2013,1.67
,,2013 - 2014,1.26
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,1.55
,,2018 - 2019,1.75
,,2019 - 2020,1.4
,,2021 - 2022,1.92
,,2022 - 2023,1.93
,Gir somnath,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Jamnagar,2000 - 2001,0.75
,,2001 - 2002,2.0
,,2002 - 2003,1.7
,,2003 - 2004,1.73
,,2004 - 2005,0.9
,,2005 - 2006,1.63
,,2006 - 2007,0.31
,,2007 - 2008,1.39
,,2008 - 2009,1.42
,,2009 - 2010,0.91
,,2010 - 2011,1.63
,,2017 - 2018,
,,2018 - 2019,1.78
,Junagadh,2000 - 2001,0.5
,,2002 - 2003,1.0
,,2010 - 2011,
,,2014 - 2015,
,,2015 - 2016,1.3
,,2018 - 2019,
,,2019 - 2020,1.4
,,2020 - 2021,
,Kachchh,2012 - 2013,1.71
,,2013 - 2014,1.27
,,2014 - 2015,1.25
,,2015 - 2016,1.32
,,2016 - 2017,1.69
,,2017 - 2018,1.55
,,2019 - 2020,
,,2021 - 2022,
,Kheda,2000 - 2001,1.55
,,2001 - 2002,2.0
,,2002 - 2003,2.79
,,2003 - 2004,1.72
,,2004 - 2005,1.37
,,2005 - 2006,1.58
,,2006 - 2007,0.67
,,2007 - 2008,1.12
,,2008 - 2009,1.49
,,2009 - 2010,0.89
,,2010 - 2011,1.8
,,2011 - 2012,1.72
,,2012 - 2013,1.82
,,2013 - 2014,1.51
,,2014 - 2015,1.62
,,2015 - 2016,1.8
,,2016 - 2017,2.32
,,2017 - 2018,1.55
,,2018 - 2019,1.77
,,2019 - 2020,1.5
,,2020 - 2021,1.52
,,2021 - 2022,1.95
,,2022 - 2023,1.91
,Mahesana,2000 - 2001,0.67
,,2001 - 2002,2.25
,,2002 - 2003,1.67
,,2003 - 2004,1.75
,,2004 - 2005,1.0
,,2005 - 2006,1.5
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.45
,,2009 - 2010,1.0
,,2010 - 2011,1.67
,,2011 - 2012,1.2
,,2012 - 2013,1.5
,,2013 - 2014,1.27
,,2014 - 2015,1.25
,,2015 - 2016,1.32
,,2016 - 2017,1.68
,,2017 - 2018,1.55
,,2018 - 2019,1.79
,,2019 - 2020,1.5
,,2020 - 2021,1.52
,,2021 - 2022,1.95
,,2022 - 2023,1.91
,Mahisagar,2014 - 2015,1.37
,,2015 - 2016,0.9
,,2016 - 2017,1.23
,,2017 - 2018,1.18
,,2018 - 2019,1.43
,,2019 - 2020,1.22
,,2020 - 2021,1.04
,,2021 - 2022,2.1
,,2022 - 2023,1.84
,Morbi,2017 - 2018,
,,2018 - 2019,1.77
,,2019 - 2020,1.4
,,2020 - 2021,
,Narmada,2003 - 2004,2.34
,,2004 - 2005,0.91
,,2005 - 2006,1.58
,,2006 - 2007,1.0
,,2007 - 2008,1.49
,,2008 - 2009,1.45
,,2009 - 2010,0.96
,,2010 - 2011,1.64
,,2011 - 2012,1.38
,,2012 - 2013,1.69
,,2013 - 2014,1.27
,,2014 - 2015,1.39
,,2015 - 2016,1.33
,,2016 - 2017,1.43
,,2017 - 2018,1.49
,,2018 - 2019,1.77
,,2019 - 2020,1.81
,,2020 - 2021,1.81
,,2021 - 2022,1.82
,,2022 - 2023,1.82
,Navsari,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.63
,,2017 - 2018,1.54
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.5
,,2021 - 2022,1.94
,,2022 - 2023,1.89
,Panch mahals,2000 - 2001,0.56
,,2001 - 2002,1.86
,,2002 - 2003,1.93
,,2003 - 2004,1.35
,,2004 - 2005,0.67
,,2005 - 2006,1.31
,,2006 - 2007,0.18
,,2007 - 2008,1.3
,,2008 - 2009,1.18
,,2009 - 2010,0.76
,,2010 - 2011,1.4
,,2011 - 2012,1.21
,,2012 - 2013,1.65
,,2013 - 2014,1.61
,,2014 - 2015,1.29
,,2015 - 2016,0.78
,,2016 - 2017,1.94
,,2017 - 2018,1.51
,,2018 - 2019,1.62
,,2019 - 2020,1.48
,,2020 - 2021,1.28
,,2021 - 2022,1.44
,,2022 - 2023,1.58
,Patan,2010 - 2011,
,,2017 - 2018,1.55
,,2020 - 2021,1.6
,,2021 - 2022,1.95
,Porbandar,2009 - 2010,1.0
,,2010 - 2011,
,,2014 - 2015,1.23
,,2022 - 2023,
,Rajkot,2000 - 2001,0.67
,,2001 - 2002,2.33
,,2002 - 2003,1.64
,,2003 - 2004,1.72
,,2004 - 2005,1.0
,,2005 - 2006,1.75
,,2006 - 2007,0.25
,,2007 - 2008,1.43
,,2008 - 2009,1.38
,,2009 - 2010,1.0
,,2010 - 2011,1.62
,,2012 - 2013,1.5
,,2013 - 2014,1.27
,,2014 - 2015,1.25
,,2015 - 2016,1.32
,,2016 - 2017,1.68
,,2017 - 2018,1.55
,,2018 - 2019,1.77
,,2019 - 2020,1.48
,,2020 - 2021,1.5
,,2021 - 2022,1.96
,Sabar kantha,2000 - 2001,0.86
,,2001 - 2002,2.15
,,2002 - 2003,1.26
,,2003 - 2004,1.82
,,2004 - 2005,1.13
,,2005 - 2006,1.96
,,2006 - 2007,0.59
,,2007 - 2008,1.45
,,2008 - 2009,1.45
,,2009 - 2010,1.03
,,2010 - 2011,1.61
,,2011 - 2012,1.46
,,2012 - 2013,1.46
,,2013 - 2014,1.16
,,2014 - 2015,1.71
,,2015 - 2016,1.85
,,2016 - 2017,1.62
,,2017 - 2018,1.79
,,2018 - 2019,1.76
,,2019 - 2020,1.6
,,2020 - 2021,2.35
,,2021 - 2022,2.97
,,2022 - 2023,2.32
,Surat,2000 - 2001,0.75
,,2001 - 2002,2.0
,,2002 - 2003,1.75
,,2003 - 2004,1.74
,,2004 - 2005,0.95
,,2005 - 2006,1.55
,,2006 - 2007,0.3
,,2007 - 2008,1.37
,,2008 - 2009,1.36
,,2009 - 2010,1.0
,,2010 - 2011,1.78
,,2011 - 2012,1.4
,,2012 - 2013,1.71
,,2013 - 2014,1.27
,,2014 - 2015,1.47
,,2015 - 2016,1.45
,,2016 - 2017,1.61
,,2017 - 2018,1.55
,,2018 - 2019,1.77
,,2019 - 2020,1.8
,,2020 - 2021,1.56
,,2021 - 2022,1.69
,,2022 - 2023,2.35
,Surendranagar,2004 - 2005,1.0
,,2013 - 2014,
,,2014 - 2015,1.27
,,2017 - 2018,1.6
,,2019 - 2020,
,Tapi,2008 - 2009,1.38
,,2009 - 2010,1.0
,,2010 - 2011,1.6
,,2011 - 2012,1.5
,,2012 - 2013,1.56
,,2013 - 2014,1.27
,,2014 - 2015,1.93
,,2015 - 2016,2.64
,,2016 - 2017,3.25
,,2017 - 2018,3.73
,,2018 - 2019,3.01
,,2019 - 2020,2.97
,,2020 - 2021,3.15
,,2021 - 2022,2.78
,,2022 - 2023,1.99
,Vadodara,2000 - 2001,0.93
,,2001 - 2002,1.92
,,2002 - 2003,1.67
,,2003 - 2004,1.63
,,2004 - 2005,1.12
,,2005 - 2006,1.44
,,2006 - 2007,0.95
,,2007 - 2008,1.77
,,2008 - 2009,2.09
,,2009 - 2010,1.47
,,2010 - 2011,1.97
,,2011 - 2012,1.94
,,2012 - 2013,1.96
,,2013 - 2014,1.99
,,2014 - 2015,1.61
,,2015 - 2016,1.47
,,2016 - 2017,1.97
,,2017 - 2018,1.55
,,2018 - 2019,1.77
,,2019 - 2020,1.5
,,2020 - 2021,1.52
,,2021 - 2022,1.95
,,2022 - 2023,1.91
,Valsad,2013 - 2014,1.33
,,2014 - 2015,1.33
,,2015 - 2016,1.31
,,2017 - 2018,
,,2018 - 2019,
Haryana,Ambala,2000 - 2001,2.29
,,2001 - 2002,2.92
,,2002 - 2003,1.84
,,2003 - 2004,2.27
,,2004 - 2005,2.32
,,2005 - 2006,2.21
,,2006 - 2007,2.8
,,2007 - 2008,3.11
,,2008 - 2009,2.66
,,2009 - 2010,2.54
,,2010 - 2011,1.32
,,2011 - 2012,2.73
,,2012 - 2013,3.75
,,2013 - 2014,4.0
,,2015 - 2016,2.33
,,2016 - 2017,2.33
,,2018 - 2019,5.0
,,2019 - 2020,4.75
,,2020 - 2021,3.59
,,2021 - 2022,3.94
,,2022 - 2023,3.45
,Bhiwani,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2017 - 2018,2.0
,,2019 - 2020,2.83
,,2020 - 2021,2.0
,,2021 - 2022,4.0
,Charki dadri,2019 - 2020,3.0
,,2020 - 2021,0.67
,,2021 - 2022,0.0
,Faridabad,2000 - 2001,2.62
,,2001 - 2002,3.22
,,2002 - 2003,2.51
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2019 - 2020,3.0
,,2020 - 2021,3.0
,,2021 - 2022,3.0
,,2022 - 2023,3.5
,Fatehabad,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2020 - 2021,2.78
,,2021 - 2022,1.62
,,2022 - 2023,2.0
,Gurgaon,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2019 - 2020,3.0
,,2020 - 2021,3.0
,,2021 - 2022,2.94
,,2022 - 2023,3.0
,Hisar,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2016 - 2017,3.0
,,2017 - 2018,2.0
,,2019 - 2020,4.57
,,2020 - 2021,3.75
,,2021 - 2022,3.91
,,2022 - 2023,3.5
,Jhajjar,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2015 - 2016,3.0
,,2016 - 2017,3.0
,,2017 - 2018,1.0
,,2018 - 2019,3.0
,,2019 - 2020,2.88
,,2020 - 2021,3.33
,,2021 - 2022,3.12
,,2022 - 2023,3.33
,Jind,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,4.19
,,2005 - 2006,0.0
,,2007 - 2008,0.0
,,2019 - 2020,1.78
,,2020 - 2021,2.67
,,2021 - 2022,3.33
,,2022 - 2023,3.0
,Kaithal,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2019 - 2020,2.83
,,2020 - 2021,3.0
,,2021 - 2022,3.33
,,2022 - 2023,3.5
,Karnal,2000 - 2001,3.74
,,2001 - 2002,6.17
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,3.55
,,2008 - 2009,2.06
,,2009 - 2010,6.97
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2015 - 2016,3.0
,,2016 - 2017,3.0
,,2017 - 2018,3.0
,,2019 - 2020,2.83
,,2020 - 2021,3.3
,,2021 - 2022,4.81
,,2022 - 2023,3.33
,Kurukshetra,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,2.78
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,3.55
,,2012 - 2013,0.0
,,2014 - 2015,2.0
,,2015 - 2016,3.1
,,2016 - 2017,3.08
,,2017 - 2018,4.0
,,2019 - 2020,2.67
,,2020 - 2021,2.49
,,2021 - 2022,2.86
,,2022 - 2023,3.33
,Mahendragarh,2000 - 2001,0.0
,,2002 - 2003,0.0
,,2005 - 2006,0.0
,,2021 - 2022,0.0
,Mewat,2005 - 2006,0.0
,,2009 - 2010,0.0
,,2011 - 2012,0.0
,,2019 - 2020,3.0
,,2021 - 2022,0.0
,Palwal,2008 - 2009,3.85
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2019 - 2020,3.0
,,2020 - 2021,3.0
,,2021 - 2022,3.13
,Panchkula,2000 - 2001,2.22
,,2001 - 2002,2.56
,,2002 - 2003,1.9
,,2003 - 2004,2.61
,,2004 - 2005,2.65
,,2005 - 2006,2.05
,,2006 - 2007,2.21
,,2007 - 2008,2.59
,,2008 - 2009,2.02
,,2009 - 2010,2.1
,,2010 - 2011,1.81
,,2011 - 2012,2.54
,,2012 - 2013,2.46
,,2013 - 2014,2.8
,,2014 - 2015,2.0
,,2015 - 2016,3.15
,,2016 - 2017,2.88
,,2017 - 2018,3.16
,,2018 - 2019,2.57
,,2019 - 2020,2.61
,,2020 - 2021,2.8
,,2021 - 2022,2.96
,,2022 - 2023,3.33
,Panipat,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2019 - 2020,3.0
,,2020 - 2021,4.33
,,2021 - 2022,2.24
,,2022 - 2023,2.76
,Rewari,2002 - 2003,0.0
,,2005 - 2006,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2020 - 2021,3.0
,,2021 - 2022,3.13
,Rohtak,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,3.08
,,2009 - 2010,2.04
,,2010 - 2011,2.86
,,2011 - 2012,4.36
,,2012 - 2013,3.58
,,2013 - 2014,3.0
,,2014 - 2015,2.0
,,2017 - 2018,3.2
,,2018 - 2019,2.75
,,2019 - 2020,3.0
,,2021 - 2022,3.15
,Sirsa,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2016 - 2017,3.0
,,2017 - 2018,2.0
,,2019 - 2020,3.33
,,2020 - 2021,3.0
,,2021 - 2022,1.76
,,2022 - 2023,3.4
,Sonipat,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,4.33
,,2004 - 2005,4.33
,,2005 - 2006,3.24
,,2006 - 2007,0.0
,,2007 - 2008,4.22
,,2008 - 2009,2.17
,,2009 - 2010,1.67
,,2010 - 2011,3.88
,,2011 - 2012,5.39
,,2012 - 2013,6.04
,,2014 - 2015,2.0
,,2015 - 2016,3.0
,,2016 - 2017,4.8
,,2017 - 2018,3.0
,,2018 - 2019,2.71
,,2019 - 2020,1.75
,,2020 - 2021,2.79
,,2021 - 2022,3.31
,,2022 - 2023,3.33
,Yamunanagar,2000 - 2001,2.46
,,2001 - 2002,3.01
,,2002 - 2003,2.36
,,2003 - 2004,2.93
,,2004 - 2005,2.65
,,2005 - 2006,2.43
,,2006 - 2007,3.32
,,2007 - 2008,2.2
,,2008 - 2009,2.12
,,2009 - 2010,1.61
,,2010 - 2011,3.21
,,2011 - 2012,2.04
,,2012 - 2013,2.71
,,2013 - 2014,3.0
,,2014 - 2015,2.0
,,2016 - 2017,3.1
,,2017 - 2018,3.75
,,2019 - 2020,4.79
,,2020 - 2021,4.56
,,2021 - 2022,4.48
,,2022 - 2023,4.88
Himachal Pradesh,Bilaspur,2000 - 2001,2.22
,,2001 - 2002,2.62
,,2002 - 2003,1.45
,,2003 - 2004,2.1
,,2004 - 2005,1.98
,,2005 - 2006,1.51
,,2006 - 2007,2.09
,,2007 - 2008,2.29
,,2008 - 2009,1.93
,,2009 - 2010,1.98
,,2010 - 2011,2.68
,,2011 - 2012,2.58
,,2012 - 2013,2.38
,,2013 - 2014,2.2
,,2014 - 2015,1.89
,,2015 - 2016,2.74
,,2016 - 2017,1.98
,,2017 - 2018,2.82
,,2018 - 2019,2.0
,,2019 - 2020,2.22
,,2020 - 2021,2.59
,,2021 - 2022,1.75
,,2022 - 2023,2.04
,Chamba,2000 - 2001,2.51
,,2001 - 2002,2.95
,,2002 - 2003,1.96
,,2003 - 2004,3.04
,,2004 - 2005,2.59
,,2005 - 2006,1.23
,,2006 - 2007,2.56
,,2007 - 2008,1.75
,,2008 - 2009,2.61
,,2009 - 2010,2.67
,,2010 - 2011,3.61
,,2011 - 2012,3.47
,,2012 - 2013,3.21
,,2013 - 2014,2.97
,,2014 - 2015,2.55
,,2015 - 2016,3.69
,,2016 - 2017,2.67
,,2017 - 2018,3.69
,,2018 - 2019,2.67
,,2019 - 2020,2.57
,,2020 - 2021,2.19
,,2021 - 2022,3.75
,,2022 - 2023,3.72
,Hamirpur,2000 - 2001,2.05
,,2001 - 2002,2.25
,,2002 - 2003,1.53
,,2003 - 2004,1.88
,,2004 - 2005,1.98
,,2005 - 2006,1.62
,,2006 - 2007,2.06
,,2007 - 2008,1.99
,,2008 - 2009,1.84
,,2009 - 2010,1.92
,,2010 - 2011,2.59
,,2011 - 2012,2.49
,,2012 - 2013,2.3
,,2013 - 2014,2.13
,,2014 - 2015,1.83
,,2015 - 2016,2.65
,,2016 - 2017,1.92
,,2017 - 2018,2.65
,,2018 - 2019,2.65
,,2019 - 2020,2.65
,,2020 - 2021,1.57
,,2021 - 2022,2.21
,,2022 - 2023,1.81
,Kangra,2000 - 2001,1.84
,,2001 - 2002,0.23
,,2002 - 2003,1.16
,,2003 - 2004,1.64
,,2004 - 2005,1.57
,,2005 - 2006,1.38
,,2006 - 2007,1.61
,,2007 - 2008,1.89
,,2008 - 2009,1.83
,,2009 - 2010,1.6
,,2010 - 2011,2.17
,,2011 - 2012,2.09
,,2012 - 2013,1.93
,,2013 - 2014,1.78
,,2014 - 2015,1.53
,,2015 - 2016,2.22
,,2016 - 2017,1.6
,,2017 - 2018,2.22
,,2018 - 2019,2.18
,,2019 - 2020,2.42
,,2020 - 2021,2.33
,,2021 - 2022,2.31
,,2022 - 2023,2.05
,Kinnaur,2000 - 2001,2.29
,,2001 - 2002,2.55
,,2002 - 2003,1.61
,,2003 - 2004,2.44
,,2004 - 2005,2.13
,,2005 - 2006,1.84
,,2006 - 2007,2.33
,,2007 - 2008,2.28
,,2008 - 2009,2.27
,,2009 - 2010,2.37
,,2010 - 2011,3.2
,,2011 - 2012,3.08
,,2012 - 2013,2.85
,,2013 - 2014,2.65
,,2014 - 2015,2.27
,,2015 - 2016,3.28
,,2016 - 2017,2.37
,,2017 - 2018,3.28
,,2018 - 2019,2.55
,,2019 - 2020,2.55
,,2020 - 2021,2.73
,,2021 - 2022,2.86
,,2022 - 2023,2.65
,Kullu,2000 - 2001,3.19
,,2001 - 2002,3.25
,,2002 - 2003,0.96
,,2003 - 2004,2.84
,,2004 - 2005,2.38
,,2005 - 2006,2.62
,,2006 - 2007,2.94
,,2007 - 2008,3.04
,,2008 - 2009,2.7
,,2009 - 2010,2.84
,,2010 - 2011,3.84
,,2011 - 2012,3.69
,,2012 - 2013,3.41
,,2013 - 2014,3.17
,,2014 - 2015,2.71
,,2015 - 2016,3.93
,,2016 - 2017,2.84
,,2017 - 2018,3.93
,,2018 - 2019,2.76
,,2019 - 2020,2.66
,,2020 - 2021,2.82
,,2021 - 2022,3.44
,,2022 - 2023,3.84
,Lahul and spiti,2000 - 2001,2.29
,,2001 - 2002,2.55
,,2002 - 2003,1.61
,,2003 - 2004,2.45
,,2004 - 2005,2.13
,,2005 - 2006,1.84
,,2006 - 2007,2.33
,,2007 - 2008,2.26
,,2008 - 2009,2.27
,,2009 - 2010,1.95
,,2010 - 2011,2.57
,,2011 - 2012,2.55
,,2012 - 2013,2.35
,,2013 - 2014,2.4
,,2014 - 2015,1.86
,,2015 - 2016,2.62
,,2016 - 2017,1.85
,,2017 - 2018,2.76
,,2018 - 2019,2.74
,,2019 - 2020,2.76
,,2020 - 2021,2.75
,,2021 - 2022,2.75
,,2022 - 2023,3.5
,Mandi,2000 - 2001,2.79
,,2001 - 2002,3.11
,,2002 - 2003,2.08
,,2003 - 2004,3.33
,,2004 - 2005,2.82
,,2005 - 2006,2.44
,,2006 - 2007,3.02
,,2007 - 2008,2.76
,,2008 - 2009,2.77
,,2009 - 2010,0.26
,,2010 - 2011,0.35
,,2011 - 2012,0.34
,,2012 - 2013,0.31
,,2013 - 2014,0.29
,,2014 - 2015,0.25
,,2015 - 2016,0.36
,,2016 - 2017,0.26
,,2017 - 2018,0.36
,,2018 - 2019,2.52
,,2019 - 2020,2.56
,,2020 - 2021,4.05
,,2021 - 2022,4.26
,,2022 - 2023,3.11
,Shimla,2000 - 2001,2.04
,,2001 - 2002,2.65
,,2002 - 2003,1.5
,,2003 - 2004,2.92
,,2004 - 2005,2.42
,,2005 - 2006,2.48
,,2006 - 2007,1.86
,,2007 - 2008,1.83
,,2008 - 2009,2.16
,,2009 - 2010,2.27
,,2010 - 2011,3.06
,,2011 - 2012,2.95
,,2012 - 2013,2.72
,,2013 - 2014,2.53
,,2014 - 2015,2.16
,,2015 - 2016,3.13
,,2016 - 2017,2.27
,,2017 - 2018,3.13
,,2018 - 2019,2.65
,,2019 - 2020,2.65
,,2020 - 2021,2.75
,,2021 - 2022,2.74
,,2022 - 2023,3.3
,Sirmaur,2000 - 2001,2.89
,,2001 - 2002,2.97
,,2002 - 2003,2.33
,,2003 - 2004,2.92
,,2004 - 2005,2.05
,,2005 - 2006,2.68
,,2006 - 2007,3.26
,,2007 - 2008,2.85
,,2008 - 2009,2.73
,,2009 - 2010,2.39
,,2010 - 2011,3.23
,,2011 - 2012,3.11
,,2012 - 2013,2.87
,,2013 - 2014,2.67
,,2014 - 2015,2.28
,,2015 - 2016,3.3
,,2016 - 2017,2.66
,,2017 - 2018,3.3
,,2018 - 2019,2.89
,,2019 - 2020,2.92
