state,district,year,maize_summer_yield_tonne_per_hectare
,,2022 - 2023,1.8
,Chandrapur,2000 - 2001,
,,2009 - 2010,1.0
,,2012 - 2013,1.0
,,2014 - 2015,1.0
,,2015 - 2016,
,,2016 - 2017,1.5
,,2017 - 2018,0.38
,,2019 - 2020,1.0
,,2020 - 2021,0.68
,,2021 - 2022,0.68
,,2022 - 2023,0.68
,Chhatrapati Sambhajinagar,2000 - 2001,
,,2001 - 2002,1.5
,,2002 - 2003,1.67
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.33
,,2006 - 2007,1.0
,,2007 - 2008,1.5
,,2008 - 2009,1.5
,,2009 - 2010,1.25
,,2010 - 2011,1.33
,,2011 - 2012,1.27
,,2012 - 2013,1.4
,,2013 - 2014,1.27
,,2014 - 2015,0.44
,,2015 - 2016,0.5
,,2016 - 2017,1.59
,,2017 - 2018,1.2
,,2018 - 2019,0.93
,,2019 - 2020,1.2
,,2020 - 2021,0.92
,,2021 - 2022,0.92
,,2022 - 2023,1.16
,Dharashiv,2000 - 2001,
,,2001 - 2002,1.5
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,0.63
,,2007 - 2008,1.2
,,2008 - 2009,1.0
,,2009 - 2010,0.86
,,2010 - 2011,0.78
,,2011 - 2012,0.88
,,2012 - 2013,0.86
,,2013 - 2014,0.77
,,2014 - 2015,0.62
,,2015 - 2016,0.57
,,2016 - 2017,1.62
,,2017 - 2018,0.97
,,2018 - 2019,0.0
,,2019 - 2020,0.95
,,2020 - 2021,0.77
,,2021 - 2022,0.77
,,2022 - 2023,1.07
,Dhule,2000 - 2001,
,,2001 - 2002,1.0
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,
,,2006 - 2007,1.0
,,2007 - 2008,1.25
,,2008 - 2009,1.0
,,2009 - 2010,1.14
,,2010 - 2011,1.14
,,2011 - 2012,1.14
,,2012 - 2013,1.13
,,2013 - 2014,1.11
,,2014 - 2015,1.0
,,2015 - 2016,1.08
,,2016 - 2017,2.67
,,2017 - 2018,2.31
,,2018 - 2019,
,,2019 - 2020,1.37
,,2020 - 2021,1.85
,,2021 - 2022,1.85
,,2022 - 2023,2.2
,Gadchiroli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,2.0
,,2016 - 2017,
,,2017 - 2018,2.45
,,2018 - 2019,0.71
,,2019 - 2020,1.39
,,2020 - 2021,1.56
,,2021 - 2022,1.56
,,2022 - 2023,1.55
,Gondia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,1.0
,,2015 - 2016,
,,2016 - 2017,1.5
,,2017 - 2018,0.72
,,2018 - 2019,0.67
,,2019 - 2020,1.2
,,2020 - 2021,0.91
,,2021 - 2022,0.58
,,2022 - 2023,0.95
,Hingoli,2000 - 2001,
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.29
,,2007 - 2008,
,,2008 - 2009,1.0
,,2009 - 2010,1.33
,,2010 - 2011,1.2
,,2011 - 2012,1.5
,,2012 - 2013,1.5
,,2013 - 2014,1.33
,,2014 - 2015,0.63
,,2015 - 2016,0.65
,,2016 - 2017,1.56
,,2017 - 2018,0.57
,,2018 - 2019,
,,2019 - 2020,0.85
,,2020 - 2021,0.87
,,2021 - 2022,0.87
,,2022 - 2023,0.98
,Jalgaon,2000 - 2001,
,,2001 - 2002,1.5
,,2002 - 2003,1.25
,,2003 - 2004,
,,2004 - 2005,1.83
,,2005 - 2006,1.5
,,2006 - 2007,1.58
,,2007 - 2008,1.52
,,2008 - 2009,1.5
,,2009 - 2010,1.54
,,2010 - 2011,1.53
,,2011 - 2012,1.55
,,2012 - 2013,
,,2013 - 2014,1.54
,,2014 - 2015,2.5
,,2015 - 2016,1.54
,,2016 - 2017,2.35
,,2017 - 2018,2.35
,,2018 - 2019,1.55
,,2019 - 2020,3.6
,,2020 - 2021,2.06
,,2021 - 2022,2.06
,,2022 - 2023,2.38
,Jalna,2000 - 2001,
,,2001 - 2002,1.0
,,2002 - 2003,1.67
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.5
,,2006 - 2007,0.25
,,2007 - 2008,
,,2008 - 2009,1.5
,,2009 - 2010,
,,2010 - 2011,0.33
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.52
,,2014 - 2015,0.5
,,2015 - 2016,
,,2016 - 2017,1.6
,,2017 - 2018,1.14
,,2018 - 2019,0.83
,,2019 - 2020,2.5
,,2020 - 2021,1.5
,,2021 - 2022,1.5
,,2022 - 2023,1.5
,Kolhapur,2000 - 2001,
,,2001 - 2002,1.0
,,2002 - 2003,2.0
,,2003 - 2004,
,,2004 - 2005,1.86
,,2005 - 2006,2.0
,,2006 - 2007,2.05
,,2007 - 2008,1.96
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,,2011 - 2012,2.0
,,2012 - 2013,
,,2013 - 2014,2.0
,,2014 - 2015,3.0
,,2015 - 2016,2.53
,,2016 - 2017,2.17
,,2017 - 2018,2.55
,,2018 - 2019,2.45
,,2019 - 2020,2.43
,,2020 - 2021,2.55
,,2021 - 2022,2.5
,,2022 - 2023,2.55
,Latur,2000 - 2001,
,,2001 - 2002,1.33
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,1.33
,,2006 - 2007,1.25
,,2007 - 2008,1.25
,,2008 - 2009,1.33
,,2009 - 2010,1.2
,,2010 - 2011,1.2
,,2011 - 2012,1.25
,,2012 - 2013,
,,2013 - 2014,1.2
,,2014 - 2015,
,,2015 - 2016,0.5
,,2016 - 2017,1.8
,,2017 - 2018,0.78
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.79
,,2022 - 2023,1.28
,Mumbai suburban,2016 - 2017,1.0
,Nagpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,
,,2017 - 2018,0.24
,,2018 - 2019,0.36
,,2019 - 2020,1.14
,,2020 - 2021,
,,2021 - 2022,0.86
,,2022 - 2023,0.86
,Nanded,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,
,,2013 - 2014,0.95
,,2014 - 2015,1.17
,,2015 - 2016,1.33
,,2016 - 2017,1.59
,,2017 - 2018,0.97
,,2018 - 2019,0.95
,,2019 - 2020,1.24
,,2020 - 2021,1.16
,,2021 - 2022,1.16
,,2022 - 2023,1.18
,Nandurbar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.25
,,2007 - 2008,1.4
,,2008 - 2009,1.5
,,2009 - 2010,1.33
,,2010 - 2011,1.27
,,2011 - 2012,1.29
,,2012 - 2013,
,,2013 - 2014,1.29
,,2014 - 2015,1.33
,,2015 - 2016,1.32
,,2016 - 2017,2.47
,,2017 - 2018,2.37
,,2018 - 2019,1.29
,,2019 - 2020,1.63
,,2020 - 2021,1.75
,,2021 - 2022,1.75
,,2022 - 2023,1.9
,Nashik,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.0
,,2006 - 2007,1.38
,,2007 - 2008,1.25
,,2008 - 2009,1.5
,,2009 - 2010,1.29
,,2010 - 2011,1.36
,,2011 - 2012,1.29
,,2012 - 2013,1.0
,,2013 - 2014,1.33
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,3.38
,,2017 - 2018,2.34
,,2018 - 2019,1.3
,,2019 - 2020,2.52
,,2020 - 2021,1.95
,,2021 - 2022,1.95
,,2022 - 2023,2.33
,Palghar,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,2.0
,,2022 - 2023,
,Parbhani,2000 - 2001,
,,2001 - 2002,1.33
,,2002 - 2003,1.5
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,1.0
,,2006 - 2007,0.67
,,2007 - 2008,1.5
,,2008 - 2009,1.5
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,0.75
,,2015 - 2016,0.5
,,2016 - 2017,1.56
,,2017 - 2018,0.62
,,2018 - 2019,0.0
,,2019 - 2020,1.21
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,1.03
,Pune,2000 - 2001,
,,2001 - 2002,1.43
,,2002 - 2003,1.83
,,2003 - 2004,
,,2004 - 2005,1.67
,,2005 - 2006,1.69
,,2006 - 2007,1.67
,,2007 - 2008,1.7
,,2008 - 2009,1.69
,,2009 - 2010,1.71
,,2010 - 2011,1.71
,,2011 - 2012,1.7
,,2012 - 2013,1.8
,,2013 - 2014,1.73
,,2014 - 2015,1.45
,,2015 - 2016,1.51
,,2016 - 2017,2.44
,,2017 - 2018,1.09
,,2018 - 2019,1.1
,,2019 - 2020,2.5
,,2020 - 2021,1.54
,,2021 - 2022,1.54
,,2022 - 2023,1.75
,Raigad,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2011 - 2012,
,Ratnagiri,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sangli,2000 - 2001,
,,2001 - 2002,1.36
,,2002 - 2003,1.75
,,2003 - 2004,
,,2004 - 2005,1.5
,,2005 - 2006,1.62
,,2006 - 2007,1.5
,,2007 - 2008,1.58
,,2008 - 2009,1.54
,,2009 - 2010,1.56
,,2010 - 2011,1.53
,,2011 - 2012,1.54
,,2012 - 2013,
,,2013 - 2014,1.57
,,2014 - 2015,1.54
,,2015 - 2016,1.5
,,2016 - 2017,1.6
,,2017 - 2018,2.19
,,2018 - 2019,1.56
,,2019 - 2020,2.0
,,2020 - 2021,3.04
,,2021 - 2022,2.1
,,2022 - 2023,2.82
,Satara,2000 - 2001,
,,2001 - 2002,1.33
,,2002 - 2003,1.75
,,2003 - 2004,
,,2004 - 2005,1.69
,,2005 - 2006,1.6
,,2006 - 2007,1.67
,,2007 - 2008,1.63
,,2008 - 2009,1.56
,,2009 - 2010,1.58
,,2010 - 2011,1.62
,,2011 - 2012,1.62
,,2012 - 2013,1.62
,,2013 - 2014,1.6
,,2014 - 2015,1.59
,,2015 - 2016,1.6
,,2016 - 2017,1.7
,,2017 - 2018,1.59
,,2018 - 2019,1.4
,,2019 - 2020,1.85
,,2020 - 2021,2.1
,,2021 - 2022,3.05
,,2022 - 2023,2.1
,Sindhudurg,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.33
,Solapur,2000 - 2001,
,,2001 - 2002,1.38
,,2002 - 2003,1.78
,,2003 - 2004,
,,2004 - 2005,1.56
,,2005 - 2006,1.68
,,2006 - 2007,1.57
,,2007 - 2008,1.67
,,2008 - 2009,1.67
,,2009 - 2010,1.67
,,2010 - 2011,1.64
,,2011 - 2012,1.63
,,2012 - 2013,1.64
,,2013 - 2014,1.65
,,2014 - 2015,1.55
,,2015 - 2016,1.51
,,2016 - 2017,2.62
,,2017 - 2018,0.6
,,2018 - 2019,0.83
,,2019 - 2020,2.6
,,2020 - 2021,1.41
,,2021 - 2022,1.41
,,2022 - 2023,1.61
,Thane,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,
,,2017 - 2018,
,,2021 - 2022,2.0
,,2022 - 2023,2.33
,Wardha,2000 - 2001,
,,2001 - 2002,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2011 - 2012,
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,
,,2017 - 2018,0.48
,,2018 - 2019,0.37
,,2019 - 2020,
,,2020 - 2021,1.3
,,2021 - 2022,0.68
,,2022 - 2023,0.67
,Washim,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,1.8
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.73
,,2022 - 2023,1.31
,Yavatmal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.25
,,2011 - 2012,
,,2012 - 2013,0.0
,,2013 - 2014,1.25
,,2014 - 2015,
,,2015 - 2016,2.0
,,2016 - 2017,1.5
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.73
,,2022 - 2023,0.53
Manipur,Bishnupur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,,2022 - 2023,
,Chandel,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,,2022 - 2023,
,Churachandpur,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Imphal east,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,,2022 - 2023,
,Imphal west,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,,2022 - 2023,
,Senapati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,,2022 - 2023,
,Tamenglong,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,,2022 - 2023,
,Thoubal,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,,2022 - 2023,
,Ukhrul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Meghalaya,East garo hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East jaintia hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East khasi hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ri bhoi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South garo hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South west garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South west khasi hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West garo hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West jaintia hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West khasi hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Mizoram,Aizawl,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Champhai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hnahthial,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khawzawl,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kolasib,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lawngtlai,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lunglei,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mamit,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Saiha,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Saitual,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Serchhip,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kiphire,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
