state,district,year,groundnut_kharif_yield_tonne_per_hectare
,,2011 - 2012,1.29
,,2012 - 2013,1.18
,,2013 - 2014,1.5
,,2014 - 2015,1.38
,,2015 - 2016,1.4
,,2016 - 2017,2.04
,,2017 - 2018,1.31
,,2018 - 2019,1.51
,,2019 - 2020,1.96
,,2020 - 2021,1.67
,,2021 - 2022,1.98
,,2022 - 2023,1.97
,Rajnandgaon,2000 - 2001,1.59
,,2001 - 2002,2.06
,,2002 - 2003,2.0
,,2004 - 2005,2.0
,,2006 - 2007,2.0
,,2007 - 2008,2.57
,,2008 - 2009,2.5
,,2009 - 2010,0.0
,,2010 - 2011,0.75
,,2011 - 2012,1.0
,,2015 - 2016,1.65
,,2016 - 2017,2.14
,,2018 - 2019,1.8
,,2019 - 2020,2.0
,,2020 - 2021,1.5
,,2021 - 2022,2.0
,Sakti,2022 - 2023,1.83
,Sarangarh bilaigarh,2022 - 2023,1.67
,Sukma,2011 - 2012,0.5
,,2012 - 2013,2.0
,,2013 - 2014,1.0
,,2014 - 2015,2.0
,,2015 - 2016,1.0
,,2016 - 2017,2.0
,,2017 - 2018,1.0
,,2019 - 2020,1.2
,,2020 - 2021,1.25
,Surajpur,2011 - 2012,1.26
,,2012 - 2013,1.37
,,2013 - 2014,1.31
,,2014 - 2015,1.43
,,2015 - 2016,1.19
,,2016 - 2017,1.41
,,2017 - 2018,1.28
,,2018 - 2019,1.19
,,2019 - 2020,1.69
,,2020 - 2021,1.53
,,2021 - 2022,1.56
,,2022 - 2023,1.31
,Surguja,2000 - 2001,1.02
,,2001 - 2002,1.26
,,2002 - 2003,1.3
,,2003 - 2004,1.15
,,2004 - 2005,1.08
,,2005 - 2006,1.13
,,2006 - 2007,1.12
,,2007 - 2008,1.23
,,2008 - 2009,1.22
,,2009 - 2010,1.2
,,2010 - 2011,1.15
,,2011 - 2012,1.26
,,2012 - 2013,1.25
,,2013 - 2014,1.35
,,2014 - 2015,1.38
,,2015 - 2016,1.26
,,2016 - 2017,1.62
,,2017 - 2018,1.23
,,2018 - 2019,1.27
,,2019 - 2020,1.43
,,2020 - 2021,1.47
,,2021 - 2022,1.61
,,2022 - 2023,1.65
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2000 - 2001,0.5
,,2004 - 2005,1.0
,,2005 - 2006,0.89
,,2006 - 2007,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,0.85
,,2015 - 2016,0.94
,,2016 - 2017,1.5
,,2017 - 2018,0.94
,,2018 - 2019,1.5
,,2019 - 2020,1.5
Goa,North goa,2004 - 2005,1.63
,,2005 - 2006,2.41
,,2006 - 2007,1.75
,,2007 - 2008,1.88
,,2008 - 2009,1.4
,,2009 - 2010,2.1
,,2010 - 2011,3.02
,,2011 - 2012,2.86
,,2012 - 2013,2.52
,,2013 - 2014,2.41
,,2014 - 2015,2.03
,,2015 - 2016,2.04
,,2016 - 2017,2.56
,,2017 - 2018,2.33
,,2018 - 2019,2.37
,,2019 - 2020,2.5
,,2020 - 2021,1.75
,,2021 - 2022,1.75
,,2022 - 2023,2.09
,South goa,2004 - 2005,2.0
,,2005 - 2006,1.65
,,2006 - 2007,1.24
,,2007 - 2008,1.83
,,2008 - 2009,0.0
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
Gujarat,Ahmadabad,2000 - 2001,0.29
,,2001 - 2002,1.38
,,2002 - 2003,0.52
,,2003 - 2004,3.0
,,2004 - 2005,1.0
,,2005 - 2006,2.0
,,2006 - 2007,1.0
,,2007 - 2008,2.0
,,2008 - 2009,1.5
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.5
,,2012 - 2013,1.0
,,2013 - 2014,3.01
,,2014 - 2015,2.03
,,2015 - 2016,1.44
,,2016 - 2017,1.64
,,2017 - 2018,2.44
,,2018 - 2019,1.37
,,2019 - 2020,2.77
,,2020 - 2021,1.9
,,2021 - 2022,2.26
,,2022 - 2023,2.58
,Amreli,2000 - 2001,0.17
,,2001 - 2002,1.45
,,2002 - 2003,0.72
,,2003 - 2004,2.32
,,2004 - 2005,0.31
,,2005 - 2006,1.05
,,2006 - 2007,0.41
,,2007 - 2008,1.77
,,2008 - 2009,0.47
,,2009 - 2010,0.17
,,2010 - 2011,1.73
,,2011 - 2012,0.24
,,2012 - 2013,0.09
,,2013 - 2014,3.17
,,2014 - 2015,1.25
,,2015 - 2016,2.17
,,2016 - 2017,1.92
,,2017 - 2018,1.56
,,2018 - 2019,0.71
,,2019 - 2020,3.09
,,2020 - 2021,1.67
,,2021 - 2022,2.31
,,2022 - 2023,2.44
,Anand,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,3.0
,,2014 - 2015,
,,2015 - 2016,1.5
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,2.25
,,2022 - 2023,
,Aravalli,2014 - 2015,1.88
,,2015 - 2016,2.08
,,2016 - 2017,1.53
,,2017 - 2018,2.65
,,2018 - 2019,2.75
,,2019 - 2020,2.07
,,2020 - 2021,1.98
,,2021 - 2022,2.47
,,2022 - 2023,2.08
,Banas kantha,2000 - 2001,0.38
,,2001 - 2002,1.44
,,2002 - 2003,0.48
,,2003 - 2004,2.24
,,2004 - 2005,0.89
,,2005 - 2006,1.73
,,2006 - 2007,0.95
,,2007 - 2008,1.78
,,2008 - 2009,1.36
,,2009 - 2010,1.88
,,2010 - 2011,1.32
,,2011 - 2012,2.46
,,2012 - 2013,1.12
,,2013 - 2014,1.77
,,2014 - 2015,1.83
,,2015 - 2016,1.84
,,2016 - 2017,2.9
,,2017 - 2018,2.26
,,2018 - 2019,2.76
,,2019 - 2020,2.91
,,2020 - 2021,2.74
,,2021 - 2022,2.79
,,2022 - 2023,2.66
,Bharuch,2000 - 2001,0.33
,,2001 - 2002,1.47
,,2002 - 2003,0.6
,,2003 - 2004,2.17
,,2004 - 2005,1.0
,,2005 - 2006,1.67
,,2006 - 2007,1.0
,,2007 - 2008,1.75
,,2008 - 2009,1.4
,,2009 - 2010,0.93
,,2010 - 2011,1.91
,,2011 - 2012,1.67
,,2012 - 2013,0.5
,,2013 - 2014,3.02
,,2014 - 2015,2.03
,,2015 - 2016,
,,2016 - 2017,1.64
,,2017 - 2018,2.44
,,2018 - 2019,1.37
,,2019 - 2020,2.76
,,2020 - 2021,1.9
,,2021 - 2022,2.26
,,2022 - 2023,2.59
,Bhavnagar,2000 - 2001,0.09
,,2001 - 2002,1.36
,,2002 - 2003,0.86
,,2003 - 2004,1.21
,,2004 - 2005,0.43
,,2005 - 2006,1.44
,,2006 - 2007,1.22
,,2007 - 2008,1.72
,,2008 - 2009,1.11
,,2009 - 2010,0.63
,,2010 - 2011,2.08
,,2011 - 2012,1.01
,,2012 - 2013,0.67
,,2013 - 2014,2.44
,,2014 - 2015,1.86
,,2015 - 2016,1.91
,,2016 - 2017,3.34
,,2017 - 2018,2.39
,,2018 - 2019,1.78
,,2019 - 2020,2.83
,,2020 - 2021,1.88
,,2021 - 2022,2.0
,,2022 - 2023,2.32
,Botad,2014 - 2015,0.73
,,2015 - 2016,1.27
,,2016 - 2017,1.05
,,2017 - 2018,2.26
,,2018 - 2019,0.77
,,2019 - 2020,1.87
,,2020 - 2021,1.46
,,2021 - 2022,2.6
,,2022 - 2023,1.88
,Chhotaudepur,2014 - 2015,2.03
,,2015 - 2016,1.43
,,2016 - 2017,
,,2017 - 2018,2.44
,,2018 - 2019,1.37
,,2019 - 2020,2.76
,,2020 - 2021,1.9
,,2021 - 2022,2.26
,,2022 - 2023,2.58
,Dang,2000 - 2001,0.37
,,2001 - 2002,1.41
,,2002 - 2003,0.51
,,2003 - 2004,2.28
,,2004 - 2005,1.0
,,2005 - 2006,1.74
,,2006 - 2007,0.95
,,2007 - 2008,1.76
,,2008 - 2009,1.37
,,2009 - 2010,0.93
,,2010 - 2011,1.85
,,2011 - 2012,1.55
,,2012 - 2013,
,,2013 - 2014,3.02
,,2014 - 2015,2.03
,,2015 - 2016,1.44
,,2016 - 2017,1.64
,,2017 - 2018,0.74
,,2018 - 2019,1.61
,,2019 - 2020,0.63
,,2020 - 2021,1.46
,,2021 - 2022,1.15
,,2022 - 2023,1.07
,Devbhumi dwarka,2014 - 2015,1.76
,,2015 - 2016,0.23
,,2016 - 2017,0.66
,,2017 - 2018,2.56
,,2018 - 2019,0.39
,,2019 - 2020,3.43
,,2020 - 2021,1.93
,,2021 - 2022,2.23
,,2022 - 2023,2.66
,Dohad,2003 - 2004,2.29
,,2004 - 2005,0.88
,,2005 - 2006,1.73
,,2006 - 2007,0.93
,,2007 - 2008,1.85
,,2008 - 2009,1.36
,,2009 - 2010,0.83
,,2010 - 2011,2.0
,,2011 - 2012,1.5
,,2012 - 2013,0.4
,,2013 - 2014,3.02
,,2014 - 2015,2.03
,,2015 - 2016,1.44
,,2016 - 2017,1.64
,,2017 - 2018,2.44
,,2018 - 2019,1.37
,,2019 - 2020,2.76
,,2020 - 2021,1.9
,,2021 - 2022,2.26
,,2022 - 2023,2.58
,Gandhinagar,2000 - 2001,0.33
,,2001 - 2002,1.33
,,2002 - 2003,0.56
,,2003 - 2004,2.24
,,2004 - 2005,0.88
,,2005 - 2006,1.74
,,2006 - 2007,0.96
,,2007 - 2008,1.79
,,2008 - 2009,1.39
,,2009 - 2010,0.93
,,2010 - 2011,1.86
,,2011 - 2012,1.87
,,2012 - 2013,1.63
,,2013 - 2014,1.92
,,2014 - 2015,3.68
,,2015 - 2016,4.74
,,2016 - 2017,3.42
,,2017 - 2018,3.04
,,2018 - 2019,3.0
,,2019 - 2020,2.54
,,2020 - 2021,2.52
,,2021 - 2022,2.49
,,2022 - 2023,2.64
,Gir somnath,2014 - 2015,2.89
,,2015 - 2016,1.86
,,2016 - 2017,1.06
,,2017 - 2018,2.44
,,2018 - 2019,1.37
,,2019 - 2020,5.01
,,2020 - 2021,2.16
,,2021 - 2022,2.86
,,2022 - 2023,2.39
,Jamnagar,2000 - 2001,0.02
,,2001 - 2002,1.39
,,2002 - 2003,0.04
,,2003 - 2004,2.16
,,2004 - 2005,0.97
,,2005 - 2006,1.52
,,2006 - 2007,1.41
,,2007 - 2008,1.66
,,2008 - 2009,1.63
,,2009 - 2010,1.69
,,2010 - 2011,1.79
,,2011 - 2012,1.86
,,2012 - 2013,0.08
,,2013 - 2014,3.04
,,2014 - 2015,2.21
,,2015 - 2016,1.58
,,2016 - 2017,1.18
,,2017 - 2018,3.71
,,2018 - 2019,1.18
,,2019 - 2020,3.2
,,2020 - 2021,2.34
,,2021 - 2022,2.01
,,2022 - 2023,3.06
,Junagadh,2000 - 2001,1.02
,,2001 - 2002,1.62
,,2002 - 2003,0.9
,,2003 - 2004,2.8
,,2004 - 2005,1.35
,,2005 - 2006,2.08
,,2006 - 2007,1.12
,,2007 - 2008,1.81
,,2008 - 2009,1.92
,,2009 - 2010,0.89
,,2010 - 2011,2.2
,,2011 - 2012,1.77
,,2012 - 2013,0.51
,,2013 - 2014,3.59
,,2014 - 2015,3.12
,,2015 - 2016,0.75
,,2016 - 2017,1.41
,,2017 - 2018,1.36
,,2018 - 2019,1.25
,,2019 - 2020,1.76
,,2020 - 2021,1.73
,,2021 - 2022,2.14
,,2022 - 2023,2.93
,Kachchh,2000 - 2001,1.24
,,2001 - 2002,1.14
,,2002 - 2003,1.22
,,2003 - 2004,1.44
,,2004 - 2005,0.99
,,2005 - 2006,1.19
,,2006 - 2007,1.51
,,2007 - 2008,1.47
,,2008 - 2009,1.46
,,2009 - 2010,1.52
,,2010 - 2011,1.46
,,2011 - 2012,1.64
,,2012 - 2013,2.22
,,2013 - 2014,2.15
,,2014 - 2015,2.22
,,2015 - 2016,2.47
,,2016 - 2017,2.31
,,2017 - 2018,2.39
,,2018 - 2019,1.28
,,2019 - 2020,2.01
,,2020 - 2021,1.12
,,2021 - 2022,1.63
,,2022 - 2023,1.71
,Kheda,2000 - 2001,0.36
,,2001 - 2002,1.25
,,2002 - 2003,0.4
,,2003 - 2004,2.33
,,2004 - 2005,0.75
,,2005 - 2006,2.0
,,2006 - 2007,1.0
,,2007 - 2008,2.0
,,2008 - 2009,1.35
,,2009 - 2010,0.93
,,2010 - 2011,2.0
,,2011 - 2012,1.5
,,2012 - 2013,0.33
,,2013 - 2014,3.02
,,2014 - 2015,2.03
,,2015 - 2016,1.44
,,2016 - 2017,1.64
,,2017 - 2018,2.44
,,2018 - 2019,1.37
,,2019 - 2020,1.62
,,2020 - 2021,2.17
,,2021 - 2022,1.28
,,2022 - 2023,1.36
,Mahesana,2000 - 2001,0.38
,,2001 - 2002,1.39
,,2002 - 2003,0.5
,,2003 - 2004,2.28
,,2004 - 2005,0.89
,,2005 - 2006,1.74
,,2006 - 2007,0.96
,,2007 - 2008,1.77
,,2008 - 2009,1.36
,,2009 - 2010,0.94
,,2010 - 2011,1.88
,,2011 - 2012,1.6
,,2012 - 2013,0.49
,,2013 - 2014,3.02
,,2014 - 2015,1.67
,,2015 - 2016,2.54
,,2016 - 2017,2.47
,,2017 - 2018,2.13
,,2018 - 2019,2.96
,,2019 - 2020,2.79
,,2020 - 2021,3.24
,,2021 - 2022,3.05
,,2022 - 2023,2.8
,Mahisagar,2014 - 2015,2.03
,,2015 - 2016,1.43
,,2016 - 2017,1.64
,,2017 - 2018,2.44
,,2018 - 2019,1.37
,,2019 - 2020,2.76
,,2020 - 2021,1.9
,,2021 - 2022,2.26
,,2022 - 2023,1.67
,Morbi,2014 - 2015,2.99
,,2015 - 2016,2.66
,,2016 - 2017,3.35
,,2017 - 2018,3.07
,,2018 - 2019,2.62
,,2019 - 2020,2.89
,,2020 - 2021,1.37
,,2021 - 2022,1.96
,,2022 - 2023,1.91
,Narmada,2003 - 2004,2.0
,,2004 - 2005,1.0
,,2005 - 2006,1.67
,,2006 - 2007,1.0
,,2007 - 2008,2.0
,,2008 - 2009,1.33
,,2009 - 2010,1.0
,,2010 - 2011,1.5
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,3.01
,,2014 - 2015,2.02
,,2015 - 2016,1.43
,,2016 - 2017,1.63
,,2017 - 2018,2.4
,,2018 - 2019,1.36
,,2019 - 2020,2.76
,,2020 - 2021,1.9
,,2021 - 2022,2.26
,,2022 - 2023,2.58
,Navsari,2003 - 2004,2.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,0.0
,,2013 - 2014,3.03
,,2014 - 2015,2.0
,,2015 - 2016,1.42
,,2016 - 2017,1.64
,,2017 - 2018,2.5
,,2018 - 2019,1.36
,,2019 - 2020,2.73
,,2020 - 2021,2.0
,,2021 - 2022,2.5
,,2022 - 2023,
,Panch mahals,2000 - 2001,0.39
,,2001 - 2002,0.71
,,2002 - 2003,0.5
,,2003 - 2004,2.0
,,2004 - 2005,1.0
,,2005 - 2006,1.75
,,2006 - 2007,1.0
,,2007 - 2008,2.0
,,2008 - 2009,1.5
,,2009 - 2010,1.0
,,2010 - 2011,1.67
,,2011 - 2012,1.5
,,2012 - 2013,0.5
,,2013 - 2014,3.02
,,2014 - 2015,2.04
,,2015 - 2016,1.43
,,2016 - 2017,1.64
,,2017 - 2018,2.44
,,2018 - 2019,1.37
,,2019 - 2020,2.76
,,2020 - 2021,1.9
,,2021 - 2022,2.26
,,2022 - 2023,2.58
,Patan,2008 - 2009,1.0
,,2011 - 2012,1.0
,,2012 - 2013,49.0
,,2013 - 2014,3.0
,,2014 - 2015,2.02
,,2015 - 2016,1.43
,,2016 - 2017,1.64
,,2017 - 2018,2.44
,,2018 - 2019,1.37
,,2019 - 2020,2.76
,,2020 - 2021,1.9
,,2021 - 2022,2.4
,,2022 - 2023,2.01
,Porbandar,2003 - 2004,3.18
,,2004 - 2005,1.11
,,2005 - 2006,2.09
,,2006 - 2007,1.7
,,2007 - 2008,1.58
,,2008 - 2009,2.38
,,2009 - 2010,1.98
,,2010 - 2011,0.88
,,2011 - 2012,2.17
,,2012 - 2013,0.36
,,2013 - 2014,3.62
,,2014 - 2015,1.42
,,2015 - 2016,0.13
,,2016 - 2017,2.69
,,2017 - 2018,3.1
,,2018 - 2019,1.4
,,2019 - 2020,2.64
,,2020 - 2021,1.28
,,2021 - 2022,2.06
,,2022 - 2023,2.54
,Rajkot,2000 - 2001,0.06
,,2001 - 2002,1.27
,,2002 - 2003,0.13
,,2003 - 2004,2.32
,,2004 - 2005,0.79
,,2005 - 2006,2.13
,,2006 - 2007,0.48
,,2007 - 2008,2.09
,,2008 - 2009,0.96
,,2009 - 2010,0.27
,,2010 - 2011,2.04
,,2011 - 2012,1.35
,,2012 - 2013,0.08
,,2013 - 2014,3.21
,,2014 - 2015,0.97
,,2015 - 2016,1.7
,,2016 - 2017,0.25
,,2017 - 2018,2.83
,,2018 - 2019,1.06
,,2019 - 2020,3.83
,,2020 - 2021,1.77
,,2021 - 2022,2.05
,,2022 - 2023,2.66
,Sabar kantha,2000 - 2001,0.68
,,2001 - 2002,0.87
,,2002 - 2003,0.77
,,2003 - 2004,1.49
,,2004 - 2005,1.08
,,2005 - 2006,2.17
,,2006 - 2007,0.71
,,2007 - 2008,0.98
,,2008 - 2009,0.94
,,2009 - 2010,1.1
,,2010 - 2011,1.61
,,2011 - 2012,1.16
,,2012 - 2013,2.28
,,2013 - 2014,0.96
,,2014 - 2015,3.63
,,2015 - 2016,2.69
,,2016 - 2017,1.32
,,2017 - 2018,2.62
,,2018 - 2019,1.84
,,2019 - 2020,1.03
,,2020 - 2021,2.41
,,2021 - 2022,3.08
,,2022 - 2023,2.92
,Surat,2000 - 2001,0.68
,,2001 - 2002,1.15
,,2002 - 2003,1.22
,,2003 - 2004,1.13
,,2004 - 2005,1.05
,,2005 - 2006,0.73
,,2006 - 2007,1.23
,,2007 - 2008,1.15
,,2008 - 2009,1.1
,,2009 - 2010,1.02
,,2010 - 2011,1.04
,,2011 - 2012,0.85
,,2012 - 2013,1.75
,,2013 - 2014,1.19
,,2014 - 2015,1.22
,,2015 - 2016,1.75
,,2016 - 2017,2.28
,,2017 - 2018,2.44
,,2018 - 2019,1.37
,,2019 - 2020,2.76
,,2020 - 2021,1.9
,,2021 - 2022,2.26
,,2022 - 2023,2.58
,Surendranagar,2000 - 2001,0.96
,,2001 - 2002,0.99
,,2002 - 2003,1.2
,,2003 - 2004,1.79
,,2004 - 2005,1.51
,,2005 - 2006,1.94
,,2006 - 2007,1.92
,,2007 - 2008,2.34
,,2008 - 2009,1.84
,,2009 - 2010,1.0
,,2010 - 2011,1.83
,,2011 - 2012,2.4
,,2012 - 2013,1.62
,,2013 - 2014,2.69
,,2014 - 2015,2.11
,,2015 - 2016,2.67
,,2016 - 2017,2.62
,,2017 - 2018,2.52
,,2018 - 2019,1.98
,,2019 - 2020,3.09
,,2020 - 2021,2.36
,,2021 - 2022,2.48
,,2022 - 2023,2.52
,Tapi,2008 - 2009,1.69
,,2009 - 2010,2.08
,,2010 - 2011,1.68
,,2011 - 2012,1.33
,,2012 - 2013,1.68
,,2013 - 2014,1.5
,,2014 - 2015,1.7
,,2015 - 2016,2.39
,,2016 - 2017,1.35
,,2017 - 2018,1.67
,,2018 - 2019,1.52
,,2019 - 2020,2.39
,,2020 - 2021,1.81
,,2021 - 2022,2.1
,,2022 - 2023,2.02
,Vadodara,2000 - 2001,0.38
,,2001 - 2002,1.39
,,2002 - 2003,0.5
,,2003 - 2004,2.24
,,2004 - 2005,0.88
,,2005 - 2006,1.7
,,2006 - 2007,0.94
,,2007 - 2008,1.73
,,2008 - 2009,1.32
,,2009 - 2010,0.91
,,2010 - 2011,2.0
,,2011 - 2012,1.58
,,2012 - 2013,0.5
,,2013 - 2014,3.02
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,1.25
,,2019 - 2020,2.76
,,2020 - 2021,1.9
,,2021 - 2022,2.25
,,2022 - 2023,2.56
,Valsad,2000 - 2001,0.25
,,2001 - 2002,1.33
,,2002 - 2003,0.4
,,2004 - 2005,1.0
,,2006 - 2007,1.0
,,2007 - 2008,2.0
,,2008 - 2009,1.5
,,2009 - 2010,1.0
,,2010 - 2011,2.0
,,2011 - 2012,1.33
,,2012 - 2013,0.33
,,2013 - 2014,3.01
,,2014 - 2015,2.03
,,2015 - 2016,1.43
,,2016 - 2017,1.64
,,2017 - 2018,2.44
,,2018 - 2019,1.37
,,2019 - 2020,2.76
,,2020 - 2021,2.0
,,2021 - 2022,2.26
,,2022 - 2023,2.57
Haryana,Ambala,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2011 - 2012,0.0
,,2021 - 2022,0.6
,Bhiwani,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,1.0
,,2005 - 2006,0.81
,,2007 - 2008,0.0
,,2008 - 2009,2.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.81
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2016 - 2017,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Charki dadri,2019 - 2020,1.0
,,2021 - 2022,1.0
,Faridabad,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2010 - 2011,0.0
,,2018 - 2019,1.0
,Fatehabad,2000 - 2001,0.0
,,2003 - 2004,1.2
,,2004 - 2005,0.87
,,2005 - 2006,0.97
,,2006 - 2007,1.13
,,2007 - 2008,1.14
,,2008 - 2009,0.94
,,2009 - 2010,0.92
,,2010 - 2011,1.04
,,2011 - 2012,0.98
,,2012 - 2013,1.19
,,2013 - 2014,1.2
,,2014 - 2015,1.15
,,2015 - 2016,1.23
,,2016 - 2017,1.45
,,2017 - 2018,1.08
,,2018 - 2019,1.1
,,2019 - 2020,1.1
,,2020 - 2021,1.1
,,2021 - 2022,1.1
,Gurgaon,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.43
,,2003 - 2004,0.4
,,2004 - 2005,0.62
,,2005 - 2006,0.65
,,2006 - 2007,0.0
,,2007 - 2008,0.47
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.88
,Hisar,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.96
,,2003 - 2004,1.67
,,2004 - 2005,1.49
,,2005 - 2006,1.05
,,2006 - 2007,1.04
,,2007 - 2008,0.62
,,2008 - 2009,0.96
,,2009 - 2010,1.11
,,2010 - 2011,1.02
,,2011 - 2012,1.06
,,2012 - 2013,1.2
,,2013 - 2014,1.33
,,2014 - 2015,1.5
,,2015 - 2016,1.25
,,2016 - 2017,1.33
,,2017 - 2018,2.0
,,2018 - 2019,1.08
,,2019 - 2020,1.08
,,2020 - 2021,1.08
,,2021 - 2022,1.08
,Jhajjar,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.62
,,2006 - 2007,0.55
,,2007 - 2008,0.74
,,2008 - 2009,1.48
,,2009 - 2010,0.0
,,2010 - 2011,0.68
,,2011 - 2012,1.29
,,2012 - 2013,1.13
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2018 - 2019,1.06
,,2019 - 2020,1.0
,,2020 - 2021,1.06
,,2021 - 2022,1.06
,Karnal,2000 - 2001,0.0
,,2003 - 2004,0.0
,,2008 - 2009,0.0
,Mahendragarh,2000 - 2001,0.0
,,2001 - 2002,1.3
,,2002 - 2003,0.68
,,2003 - 2004,0.6
,,2004 - 2005,0.7
,,2005 - 2006,0.6
,,2006 - 2007,0.61
,,2007 - 2008,0.87
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,1.22
,,2011 - 2012,0.96
,,2012 - 2013,1.19
,,2018 - 2019,0.5
,,2021 - 2022,0.5
,Mewat,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2012 - 2013,1.0
,,2020 - 2021,1.0
,Panchkula,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,1.3
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,2.56
,,2011 - 2012,0.0
,,2018 - 2019,0.6
,,2019 - 2020,0.63
,,2020 - 2021,0.57
,,2021 - 2022,0.6
,Panipat,2019 - 2020,1.0
,Rewari,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.63
,,2004 - 2005,0.61
,,2005 - 2006,0.45
,,2006 - 2007,0.76
,,2007 - 2008,1.22
,,2008 - 2009,0.0
,,2009 - 2010,1.28
,,2010 - 2011,0.0
,,2011 - 2012,0.83
,,2012 - 2013,1.11
,,2016 - 2017,1.0
,,2018 - 2019,1.21
,,2019 - 2020,1.33
,,2020 - 2021,1.2
,,2021 - 2022,1.2
,Sirsa,2000 - 2001,0.78
,,2001 - 2002,0.88
,,2002 - 2003,0.8
,,2003 - 2004,0.83
,,2004 - 2005,0.88
,,2005 - 2006,0.78
,,2006 - 2007,1.09
,,2007 - 2008,0.93
,,2008 - 2009,0.8
,,2009 - 2010,0.87
,,2010 - 2011,1.16
,,2011 - 2012,1.03
,,2012 - 2013,1.18
,,2013 - 2014,1.2
,,2014 - 2015,1.15
,,2015 - 2016,1.24
,,2016 - 2017,1.13
,,2017 - 2018,1.17
,,2018 - 2019,1.2
,,2019 - 2020,1.2
,,2020 - 2021,1.2
,,2021 - 2022,1.2
,Sonipat,2001 - 2002,0.0
,Yamunanagar,2000 - 2001,1.67
,,2001 - 2002,1.16
,,2002 - 2003,0.79
,,2003 - 2004,1.19
,,2004 - 2005,0.79
,,2005 - 2006,1.02
,,2006 - 2007,1.08
,,2007 - 2008,1.19
,,2008 - 2009,1.96
,,2009 - 2010,2.22
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.89
Himachal Pradesh,Bilaspur,2001 - 2002,0.31
,,2002 - 2003,0.5
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2021 - 2022,1.0
,Chamba,2007 - 2008,1.0
,Kullu,2000 - 2001,0.5
,,2001 - 2002,0.31
,,2002 - 2003,0.17
,,2005 - 2006,0.25
,,2006 - 2007,0.62
,,2007 - 2008,0.76
,,2008 - 2009,0.64
,,2009 - 2010,0.7
,,2010 - 2011,0.85
,,2011 - 2012,0.94
,,2012 - 2013,0.89
,,2013 - 2014,0.65
,,2014 - 2015,0.61
,,2015 - 2016,1.13
,,2016 - 2017,0.91
,,2017 - 2018,1.27
,,2018 - 2019,1.19
,,2019 - 2020,1.33
,,2020 - 2021,0.95
,,2021 - 2022,0.94
,,2022 - 2023,0.93
,Mandi,2000 - 2001,0.02
,,2001 - 2002,0.25
,,2002 - 2003,0.0
