state,district,year,groundnut_winter_yield_tonne_per_hectare
,,2004 - 2005,0.95
,,2005 - 2006,0.89
,,2006 - 2007,0.72
,,2007 - 2008,0.92
,,2008 - 2009,1.2
,,2009 - 2010,1.02
,,2010 - 2011,0.9
,,2011 - 2012,1.19
,,2012 - 2013,1.19
,,2013 - 2014,1.03
,,2014 - 2015,
,,2015 - 2016,0.48
,,2016 - 2017,0.87
,,2017 - 2018,1.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,2.15
,,2022 - 2023,2.02
,Baleshwar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.17
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.2
,,2022 - 2023,
,Bhadrak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.55
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2022 - 2023,
,Boudh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.84
,,2005 - 2006,0.78
,,2006 - 2007,1.04
,,2007 - 2008,0.95
,,2008 - 2009,0.8
,,2009 - 2010,0.61
,,2010 - 2011,0.55
,,2011 - 2012,0.74
,,2012 - 2013,1.03
,,2013 - 2014,0.7
,,2014 - 2015,0.75
,,2015 - 2016,0.87
,,2016 - 2017,0.99
,,2017 - 2018,
,,2018 - 2019,1.05
,,2019 - 2020,1.15
,,2020 - 2021,0.77
,,2021 - 2022,0.83
,,2022 - 2023,1.1
,Cuttack,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.59
,,2005 - 2006,1.07
,,2006 - 2007,1.14
,,2007 - 2008,1.25
,,2008 - 2009,1.4
,,2009 - 2010,1.15
,,2010 - 2011,1.04
,,2011 - 2012,1.3
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Deogarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.6
,,2005 - 2006,
,,2006 - 2007,0.88
,,2007 - 2008,
,,2008 - 2009,0.7
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dhenkanal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.98
,,2005 - 2006,1.09
,,2006 - 2007,1.56
,,2007 - 2008,1.38
,,2008 - 2009,1.1
,,2009 - 2010,1.38
,,2010 - 2011,
,,2011 - 2012,0.96
,,2012 - 2013,2.05
,,2013 - 2014,1.89
,,2014 - 2015,1.92
,,2015 - 2016,1.89
,,2016 - 2017,1.79
,,2017 - 2018,2.21
,,2018 - 2019,1.68
,,2019 - 2020,
,,2020 - 2021,2.34
,,2021 - 2022,2.22
,,2022 - 2023,2.05
,Gajapati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.44
,,2005 - 2006,0.65
,,2006 - 2007,0.76
,,2007 - 2008,1.0
,,2008 - 2009,0.92
,,2009 - 2010,0.97
,,2010 - 2011,0.95
,,2011 - 2012,1.2
,,2012 - 2013,1.12
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.18
,,2017 - 2018,1.05
,,2018 - 2019,
,,2019 - 2020,1.4
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,1.32
,Ganjam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.17
,,2005 - 2006,1.21
,,2006 - 2007,1.16
,,2007 - 2008,1.42
,,2008 - 2009,1.33
,,2009 - 2010,1.68
,,2010 - 2011,1.46
,,2011 - 2012,1.61
,,2012 - 2013,1.56
,,2013 - 2014,1.79
,,2014 - 2015,2.33
,,2015 - 2016,1.78
,,2016 - 2017,1.42
,,2017 - 2018,
,,2018 - 2019,0.87
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.0
,Jagatsinghapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jajapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,0.04
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jharsuguda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.99
,,2006 - 2007,1.2
,,2007 - 2008,0.91
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.15
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.88
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kalahandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.61
,,2005 - 2006,0.58
,,2006 - 2007,0.71
,,2007 - 2008,0.97
,,2008 - 2009,0.98
,,2009 - 2010,1.33
,,2010 - 2011,1.38
,,2011 - 2012,1.21
,,2012 - 2013,1.01
,,2013 - 2014,1.02
,,2014 - 2015,0.92
,,2015 - 2016,0.87
,,2016 - 2017,1.15
,,2017 - 2018,1.06
,,2018 - 2019,0.11
,,2019 - 2020,2.09
,,2020 - 2021,
,,2021 - 2022,1.8
,,2022 - 2023,1.4
,Kandhamal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.9
,,2005 - 2006,0.6
,,2006 - 2007,0.68
,,2007 - 2008,0.73
,,2008 - 2009,1.0
,,2009 - 2010,0.69
,,2010 - 2011,0.74
,,2011 - 2012,0.92
,,2012 - 2013,1.05
,,2013 - 2014,1.53
,,2014 - 2015,1.11
,,2015 - 2016,1.33
,,2016 - 2017,0.89
,,2017 - 2018,1.32
,,2018 - 2019,1.52
,,2019 - 2020,1.57
,,2020 - 2021,1.59
,,2021 - 2022,1.72
,,2022 - 2023,2.04
,Kendrapara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kendujhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.87
,,2005 - 2006,0.64
,,2006 - 2007,0.67
,,2007 - 2008,0.81
,,2008 - 2009,0.75
,,2009 - 2010,0.95
,,2010 - 2011,1.06
,,2011 - 2012,1.02
,,2012 - 2013,0.85
,,2013 - 2014,1.18
,,2014 - 2015,
,,2015 - 2016,2.19
,,2016 - 2017,1.08
,,2017 - 2018,1.15
,,2018 - 2019,
,,2019 - 2020,1.48
,,2020 - 2021,0.75
,,2021 - 2022,1.77
,,2022 - 2023,1.99
,Khordha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,2.11
,,2009 - 2010,2.16
,,2010 - 2011,
,,2011 - 2012,2.4
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,5.61
,,2019 - 2020,
,,2020 - 2021,3.61
,,2021 - 2022,1.9
,,2022 - 2023,
,Koraput,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.9
,,2005 - 2006,0.81
,,2006 - 2007,0.93
,,2007 - 2008,1.09
,,2008 - 2009,0.87
,,2009 - 2010,0.75
,,2010 - 2011,1.1
,,2011 - 2012,0.99
,,2012 - 2013,1.1
,,2013 - 2014,1.4
,,2014 - 2015,1.16
,,2015 - 2016,1.35
,,2016 - 2017,1.39
,,2017 - 2018,1.36
,,2018 - 2019,1.47
,,2019 - 2020,1.61
,,2020 - 2021,1.56
,,2021 - 2022,1.46
,,2022 - 2023,1.61
,Malkangiri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.58
,,2005 - 2006,1.56
,,2006 - 2007,1.69
,,2007 - 2008,1.9
,,2008 - 2009,1.74
,,2009 - 2010,1.82
,,2010 - 2011,2.06
,,2011 - 2012,1.21
,,2012 - 2013,2.02
,,2013 - 2014,2.16
,,2014 - 2015,1.84
,,2015 - 2016,1.9
,,2016 - 2017,2.02
,,2017 - 2018,2.7
,,2018 - 2019,1.8
,,2019 - 2020,2.72
,,2020 - 2021,1.76
,,2021 - 2022,
,,2022 - 2023,
,Mayurbhanj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.66
,,2005 - 2006,0.7
,,2006 - 2007,0.63
,,2007 - 2008,0.75
,,2008 - 2009,0.59
,,2009 - 2010,0.84
,,2010 - 2011,0.86
,,2011 - 2012,0.47
,,2012 - 2013,0.84
,,2013 - 2014,0.69
,,2014 - 2015,0.94
,,2015 - 2016,0.51
,,2016 - 2017,0.92
,,2017 - 2018,0.76
,,2018 - 2019,0.73
,,2019 - 2020,0.96
,,2020 - 2021,1.18
,,2021 - 2022,1.17
,,2022 - 2023,2.41
,Nabarangpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.8
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,1.13
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nayagarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.88
,,2005 - 2006,0.76
,,2006 - 2007,1.04
,,2007 - 2008,1.31
,,2008 - 2009,1.37
,,2009 - 2010,1.26
,,2010 - 2011,1.24
,,2011 - 2012,1.25
,,2012 - 2013,1.53
,,2013 - 2014,1.09
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.95
,,2017 - 2018,2.38
,,2018 - 2019,0.88
,,2019 - 2020,
,,2020 - 2021,2.05
,,2021 - 2022,1.57
,,2022 - 2023,1.78
,Nuapada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.01
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.1
,,2008 - 2009,
,,2009 - 2010,1.34
,,2010 - 2011,
,,2011 - 2012,0.57
,,2012 - 2013,0.58
,,2013 - 2014,0.79
,,2014 - 2015,0.46
,,2015 - 2016,
,,2016 - 2017,1.09
,,2017 - 2018,1.02
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Puri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.88
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rayagada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.61
,,2005 - 2006,0.6
,,2006 - 2007,0.7
,,2007 - 2008,0.82
,,2008 - 2009,0.58
,,2009 - 2010,0.66
,,2010 - 2011,0.85
,,2011 - 2012,0.71
,,2012 - 2013,0.63
,,2013 - 2014,0.83
,,2014 - 2015,0.71
,,2015 - 2016,0.25
,,2016 - 2017,0.57
,,2017 - 2018,0.78
,,2018 - 2019,0.77
,,2019 - 2020,0.84
,,2020 - 2021,1.46
,,2021 - 2022,1.3
,,2022 - 2023,1.12
,Sambalpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.65
,,2005 - 2006,0.83
,,2006 - 2007,0.76
,,2007 - 2008,0.74
,,2008 - 2009,1.9
,,2009 - 2010,1.5
,,2010 - 2011,0.83
,,2011 - 2012,
,,2012 - 2013,0.2
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.06
,,2021 - 2022,1.21
,,2022 - 2023,0.8
,Sonepur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,1.45
,,2006 - 2007,
,,2007 - 2008,0.99
,,2008 - 2009,0.93
,,2009 - 2010,0.87
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,1.36
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.43
,,2018 - 2019,1.48
,,2019 - 2020,2.0
,,2020 - 2021,1.4
,,2021 - 2022,
,,2022 - 2023,
,Sundargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,1.22
,,2006 - 2007,0.9
,,2007 - 2008,0.98
,,2008 - 2009,1.5
,,2009 - 2010,0.6
,,2010 - 2011,
,,2011 - 2012,0.6
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.77
,,2015 - 2016,
,,2016 - 2017,1.44
,,2017 - 2018,0.6
,,2018 - 2019,
,,2019 - 2020,0.78
,,2020 - 2021,1.28
,,2021 - 2022,
,,2022 - 2023,0.23
Puducherry,Karaikal,2000 - 2001,
,,2001 - 2002,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2021 - 2022,
,,2022 - 2023,
,Mahe,2000 - 2001,
,Pondicherry,2001 - 2002,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Punjab,Bathinda,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,Faridkot,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,
,Fazilka,2016 - 2017,
,Firozepur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,Hoshiarpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jalandhar,2006 - 2007,
,Ludhiana,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,Mansa,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,Muktsar,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,Rupnagar,2002 - 2003,
,,2004 - 2005,
,Sangrur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
Rajasthan,Ajmer,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Alwar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Banswara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baran,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Barmer,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bharatpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Bhilwara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bikaner,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bundi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chittorgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Churu,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dausa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dholpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dungarpur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ganganagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hanumangarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jaipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jaisalmer,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
