crop,state,district,location,knn_pred_class,rf_pred_class,xgb_pred_class,knn_high_proba,rf_high_proba,xgb_high_proba,knn_weight,rf_weight,xgb_weight,ensemble_high_proba,votes_for_high,high_class_used,ood_distance,ood_flag
garlic,Punjab,Patiala,Punjab_Patiala,High,High,High,1.0,0.95,0.9974,0.3318,0.3346,0.3336,0.9824,3,High,4.9226,False
garlic,Punjab,Sangrur,Punjab_Sangrur,High,High,High,1.0,0.95,0.9973,0.3318,0.3346,0.3336,0.9824,3,High,5.4724,False
moong,Mizoram,Saitual,Mizoram_Saitual,High,High,High,1.0,0.9467,0.9942,0.352,0.2937,0.3543,0.9823,3,High,7.8041,False
groundnut,Rajasthan,Jodhpur Gramin,Rajasthan_Jodhpur Gramin,Medium,Medium,Medium,1.0,0.95,0.995,0.3345,0.3232,0.3423,0.9821,3,Medium,5.8458,False
sugarcane,Maharashtra,Palghar,Maharashtra_Palghar,High,High,High,1.0,0.9433,0.9991,0.3445,0.3097,0.3457,0.9821,3,High,6.9775,False
garlic,Punjab,Bathinda,Punjab_Bathinda,High,High,High,1.0,0.95,0.9959,0.3318,0.3346,0.3336,0.9819,3,High,7.0774,False
mesta,Andhra Pradesh,Eluru,Andhra Pradesh_Eluru,High,High,High,1.0,0.9467,0.9976,0.3354,0.3292,0.3354,0.9816,3,High,7.1795,False
other_rabi_pulses,Punjab,Shahid Bhagat Singh Nagar,Punjab_Shahid Bhagat Singh Nagar,High,High,High,1.0,0.95,0.9923,0.3453,0.3156,0.3391,0.9816,3,High,5.3687,False
other_rabi_pulses,Punjab,Faridkot,Punjab_Faridkot,High,High,High,1.0,0.9467,0.9943,0.3453,0.3156,0.3391,0.9812,3,High,8.0847,False
sunflower,Haryana,Rohtak,Haryana_Rohtak,High,High,High,1.0,0.9433,0.9987,0.3358,0.3275,0.3367,0.981,3,High,4.153,False
other_rabi_pulses,Manipur,Noney,Manipur_Noney,High,High,High,1.0,0.9467,0.9931,0.3453,0.3156,0.3391,0.9808,3,High,5.7763,False
sweet_potato,Karnataka,Vijayanagar,Karnataka_Vijayanagar,High,High,High,1.0,0.9433,0.9974,0.3413,0.3236,0.3351,0.9808,3,High,5.8055,False
moong,Manipur,Kakching,Manipur_Kakching,High,High,High,1.0,0.9367,0.9971,0.352,0.2937,0.3543,0.9804,3,High,6.7904,False
horse_gram,Bihar,Sheohar,Bihar_Sheohar,High,High,High,1.0,0.9433,0.9984,0.319,0.3458,0.3352,0.9799,3,High,4.5159,False
other_cereals,Tamil Nadu,Ariyalur,Tamil Nadu_Ariyalur,High,High,High,1.0,0.9433,0.9973,0.3222,0.3388,0.339,0.9799,3,High,5.446,False
other_kharif_pulses,Manipur,Tengnoupal,Manipur_Tengnoupal,High,High,High,1.0,0.9433,0.9921,0.3445,0.3083,0.3472,0.9798,3,High,6.0493,False
bajra,Rajasthan,Gangapurcity,Rajasthan_Gangapurcity,High,High,High,1.0,0.94,0.9971,0.3346,0.3212,0.3441,0.9797,3,High,4.4755,False
other_cereals,Nagaland,Tseminyu,Nagaland_Tseminyu,High,High,High,1.0,0.9433,0.9968,0.3222,0.3388,0.339,0.9797,3,High,6.6851,False
banana,Telangana,Mancherial,Telangana_Mancherial,High,High,High,1.0,0.94,0.9973,0.3404,0.3245,0.3351,0.9796,3,High,3.7036,False
potato,Tamil Nadu,Ariyalur,Tamil Nadu_Ariyalur,High,High,High,1.0,0.9367,0.9958,0.3531,0.299,0.348,0.9796,3,High,7.9426,False
other_kharif_pulses,Manipur,Kakching,Manipur_Kakching,High,High,High,1.0,0.94,0.9932,0.3445,0.3083,0.3472,0.9791,3,High,5.723,False
banana,Telangana,Hanumakonda,Telangana_Hanumakonda,High,High,High,1.0,0.9367,0.9981,0.3404,0.3245,0.3351,0.9788,3,High,4.5919,False
wheat,Rajasthan,Neem Ka Thana,Rajasthan_Neem Ka Thana,High,High,High,1.0,0.9367,0.9987,0.335,0.3299,0.335,0.9787,3,High,5.7941,False
ginger,Manipur,Kakching,Manipur_Kakching,High,High,High,1.0,0.9367,0.9982,0.337,0.329,0.334,0.9786,3,High,7.1535,False
mesta,Andhra Pradesh,Annamayya,Andhra Pradesh_Annamayya,High,High,High,1.0,0.94,0.995,0.3354,0.3292,0.3354,0.9786,3,High,6.5929,False
mesta,Andhra Pradesh,Ntr,Andhra Pradesh_Ntr,High,High,High,1.0,0.9367,0.9983,0.3354,0.3292,0.3354,0.9786,3,High,5.4981,False
sugarcane,Maharashtra,Raigad,Maharashtra_Raigad,High,High,High,1.0,0.9333,0.9975,0.3445,0.3097,0.3457,0.9785,3,High,6.9419,False
ginger,Manipur,Noney,Manipur_Noney,High,High,High,1.0,0.94,0.9944,0.337,0.329,0.334,0.9784,3,High,6.1287,False
potato,Punjab,Patiala,Punjab_Patiala,High,High,High,1.0,0.93,0.9966,0.3531,0.299,0.348,0.9779,3,High,4.8823,False
coriander,Rajasthan,Neem Ka Thana,Rajasthan_Neem Ka Thana,High,High,High,1.0,0.9333,0.9995,0.3354,0.3301,0.3344,0.9778,3,High,5.7991,False
